Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
1. FC Heidenheim,FC Augsburg,A,3-3-1-3,3-4-2-1,0,Diant Ramaj,Marnon Busch,Patrick Mainka,Benedikt Gimber,Arijon Ibrahimović,Julian Niehues,Hennes Behrens,Jan Schöppner,Eren Dinkçi,Stefan Schimmer,Christian Joe Conteh,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Anton Kade,Kristijan Jakić,Han-Noah Massengo,Robin Fellhauer,Mert Kömür,Alexis Claude-Maurice,Michael Gregoritsch,7.6,6.8,7.0,6.8,7.1,6.6,6.8,7.1,6.8,5.9,6.6,7.4,7.7,8.9,7.3,6.7,7.0,7.2,6.6,6.2,6.9,6.6,0,1,0,16,5,470,12,9,0.51,2,12,4,459,14,8,0.49
1. FC Heidenheim,Hamburger SV,H,3-4-2-1,3-4-2-1,0,Diant Ramaj,Marnon Busch,Patrick Mainka,Benedikt Gimber,Haktab Omar Traore,Julian Niehues,Niklas Dorsch,Hennes Behrens,Eren Dinkçi,Arijon Ibrahimović,Marvin Pieringer,Daniel Heuer Fernandes,Warmed Omari,Luka Vušković,Daniel Elfadli,Bakery Jatta,Nicolai Remberg,Albert Sambi Lokonga,Miro Muheim,Fábio Vieira,Philip Otele,Ransford Yeboah Königsdörffer,6.6,7.5,6.6,7.0,6.4,6.9,7.7,7.3,6.8,6.7,6.7,8.2,6.8,7.3,6.6,7.1,6.7,6.7,6.4,7.4,7.0,7.2,0,2,2,20,10,378,17,11,0.48,1,14,8,413,9,6,0.52
1. FC Heidenheim,Borussia Dortmund,A,3-4-3,3-4-2-1,0,Diant Ramaj,Marnon Busch,Patrick Mainka,Tim Siersleben,Haktab Omar Traore,Julian Niehues,Niklas Dorsch,Hennes Behrens,Eren Dinkçi,Marvin Pieringer,Mathias Honsak,Gregor Kobel,Filippo Mané,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,5.6,6.2,6.5,6.0,6.0,8.4,7.1,7.5,6.9,6.1,6.2,6.8,6.9,7.9,6.3,6.7,7.1,7.0,7.4,6.9,7.3,7.4,2,3,7,12,3,257,19,11,0.35,6,19,12,479,19,9,0.65
1. FC Heidenheim,RB Leipzig,H,4-2-3-1,4-3-3,0,Diant Ramaj,Leonidas Stergiou,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Niklas Dorsch,Arijon Ibrahimović,Adrian Beck,Mathias Honsak,Marvin Pieringer,Péter Gulácsi,Ridle Baku,Willi Orbán,El Chadaille Bitshiabu,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,6.4,6.9,6.0,5.8,6.5,6.1,6.8,6.8,6.2,6.6,6.3,8.0,8.1,8.2,7.3,8.4,6.8,7.5,6.2,7.3,6.3,7.7,0,3,2,7,4,237,27,9,0.26,3,11,0,702,20,10,0.74
1. FC Heidenheim,VfL Wolfsburg,A,4-2-3-1,4-2-3-1,1,Diant Ramaj,Marnon Busch,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Niklas Dorsch,Arijon Ibrahimović,Adrian Beck,Mathias Honsak,Marvin Pieringer,Kamil Grabara,Jan Bürger,Moritz Jenz,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Mohamed Amoura,6.5,6.7,6.7,6.3,6.6,6.2,8.1,6.8,7.3,6.2,6.5,7.5,6.1,8.6,6.8,6.3,6.7,6.9,7.4,6.5,7.1,6.9,1,1,3,13,6,267,16,10,0.3,2,13,9,627,12,12,0.7
1. FC Heidenheim,1. FSV Mainz 05,A,4-3-1-2,3-5-2,0,Diant Ramaj,Haktab Omar Traore,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Julian Niehues,Niklas Dorsch,Arijon Ibrahimović,Mikkel Kaufmann,Marvin Pieringer,Daniel Batz,Danny da Costa,Stefan Bell,Dominik Kohr,Silvan Widmer,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Nikolas Veratschnig,Armindo Sieb,Phillip Tietz,6.2,6.3,7.8,6.1,6.1,6.5,6.3,6.7,7.1,6.4,6.2,6.4,7.2,6.8,7.7,7.7,9.0,7.1,7.0,6.8,6.1,5.9,1,2,1,15,1,489,21,11,0.58,5,13,4,348,13,10,0.42
1. FC Heidenheim,1. FC Köln,H,4-3-2-1,3-4-3,1,Diant Ramaj,Haktab Omar Traore,Patrick Mainka,Tim Siersleben,Jonas Föhrenbach,Jan Schöppner,Julian Niehues,Niklas Dorsch,Sirlord Conteh,Arijon Ibrahimović,Marvin Pieringer,Marvin Schwäbe,Sebastian Sebulonsen,Eric Martel,Jahmai Simpson-Pusey,Jan Thielmann,Tom Krauß,Denis Huseinbašić,Alessio Castro-Montes,Fynn Schenten,Ragnar Ache,Jakub Kamiński,8.6,6.1,7.7,6.7,5.8,7.0,7.4,7.4,5.8,7.0,7.8,8.3,6.6,7.7,6.4,6.1,6.7,6.8,7.8,6.9,6.4,6.6,2,2,3,14,5,489,15,7,0.56,3,21,4,381,11,9,0.44
1. FC Heidenheim,FC Bayern München,H,5-3-2,4-2-3-1,0,Diant Ramaj,Haktab Omar Traore,Marnon Busch,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Niklas Dorsch,Luca Kerber,Mathias Honsak,Marvin Pieringer,Jonas Urbig,Josip Stanišić,Dayot Upamecano,Jonathan Tah,Hiroki Itō,Leon Goretzka,Raphaël Guerreiro,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,7.6,5.6,6.6,6.5,7.0,5.8,6.6,7.0,6.3,6.3,6.3,7.2,8.4,7.5,7.4,6.9,7.3,6.7,9.0,5.7,7.3,8.0,0,4,4,7,0,267,12,6,0.26,4,23,6,778,10,8,0.74
1. FC Heidenheim,FC St. Pauli,A,3-4-2-1,3-4-2-1,0,Diant Ramaj,Thomas Keller,Patrick Mainka,Tim Siersleben,Marnon Busch,Jan Schöppner,Julian Niehues,Jonas Föhrenbach,Adrian Beck,Arijon Ibrahimović,Marvin Pieringer,Nikola Vasilj,Hauke Wahl,Eric Smith,Karol Mets,Arkadiusz Pyrka,James Sands,Jackson Irvine,Louis Oppie,Joel Chima Fujita,Mathias Pereira Lage,Martijn Kaars,6.6,6.5,7.2,7.7,7.3,6.3,6.5,6.6,7.0,7.0,7.3,8.2,6.9,6.6,7.4,6.2,6.1,7.3,6.6,7.8,6.0,8.3,1,2,3,20,11,594,9,6,0.64,2,8,4,347,3,15,0.36
1. FC Heidenheim,SC Freiburg,H,3-1-4-2,4-2-3-1,3,Diant Ramaj,Thomas Keller,Patrick Mainka,Benedikt Gimber,Julian Niehues,Marnon Busch,Jan Schöppner,Niklas Dorsch,Jonas Föhrenbach,Marvin Pieringer,Mathias Honsak,Noah Atubolu,Lukas Kübler,Matthias Ginter,Philipp Lienhart,Philipp Treu,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Johan Manzambi,Vincenzo Grifo,Lucas Höler,7.3,6.0,8.5,6.6,6.7,7.5,6.4,6.6,7.6,6.7,6.9,6.6,6.7,6.3,6.9,6.5,6.6,6.6,6.5,8.1,6.7,6.3,2,1,6,16,8,282,18,10,0.39,0,16,6,456,15,11,0.61
1. FC Heidenheim,1. FC Union Berlin,A,3-4-2-1,3-4-2-1,3,Diant Ramaj,Thomas Keller,Patrick Mainka,Benedikt Gimber,Marnon Busch,Julian Niehues,Niklas Dorsch,Jonas Föhrenbach,Mathias Honsak,Adrian Beck,Marvin Pieringer,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Christopher Trimmel,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,7.0,7.2,7.0,6.7,7.0,6.9,6.9,6.5,6.7,6.6,6.8,6.1,6.2,5.6,6.8,7.7,7.5,6.1,6.7,6.7,6.8,6.3,2,1,1,10,5,451,18,13,0.57,1,9,5,330,6,10,0.43
