Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
1. FC Köln,TSG Hoffenheim,H,3-4-2-1,3-5-2,1,Marvin Schwäbe,Joel Schmied,Rav van den Berg,Cenk Özkaçar,Sebastian Sebulonsen,Eric Martel,Tom Krauß,Kristoffer Lund,Jakub Kamiński,Said El Mala,Ragnar Ache,Oliver Baumann,Robin Hranáč,Ozan Kabak,Albian Hajdari,Vladimír Coufal,Grischa Prömel,Leon Avdullahu,Wouter Burger,Bazoumana Touré,Fisnik Asllani,Andrej Kramarić,7.4,6.2,6.3,6.3,6.8,7.5,7.3,7.0,7.8,8.1,7.3,6.4,6.6,7.8,6.9,7.7,6.4,6.8,6.9,6.3,6.6,6.8,2,2,2,9,3,270,18,12,0.36,2,18,10,484,13,6,0.64
1. FC Köln,VfB Stuttgart,A,5-3-2,4-2-3-1,0,Marvin Schwäbe,Sebastian Sebulonsen,Joel Schmied,Eric Martel,Cenk Özkaçar,Kristoffer Lund,Jan Thielmann,Tom Krauß,Jakub Kamiński,Marius Bülter,Ragnar Ache,Alexander Nübel,Lorenz Assignon,Finn Jeltsch,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Chema Andrés,Jamie Leweling,Deniz Undav,Chris Führich,Ermedin Demirović,6.9,5.3,6.5,6.0,7.0,7.0,7.0,6.2,6.4,6.7,7.4,7.1,7.3,6.8,7.2,7.8,6.8,6.6,6.3,8.3,7.3,9.1,1,3,2,10,5,337,11,10,0.43,4,13,2,475,22,10,0.57
1. FC Köln,RB Leipzig,H,5-3-2,4-3-3,0,Marvin Schwäbe,Jan Thielmann,Sebastian Sebulonsen,Eric Martel,Cenk Özkaçar,Kristoffer Lund,Ísak Bergmann Jóhannesson,Tom Krauß,Jakub Kamiński,Ragnar Ache,Said El Mala,Péter Gulácsi,Benjamin Henrichs,Willi Orbán,Nicolas Seiwald,David Raum,Brajan Gruda,Xaver Schlager,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,7.3,7.0,6.0,5.9,6.6,7.2,6.8,7.7,7.3,6.8,6.2,6.5,6.4,7.7,6.7,7.3,6.5,7.4,9.7,7.6,7.1,7.0,1,2,3,10,4,341,21,13,0.46,5,19,3,431,19,7,0.54
1. FC Köln,VfL Wolfsburg,H,4-4-2,4-2-3-1,3,Marvin Schwäbe,Alessio Castro-Montes,Sebastian Sebulonsen,Cenk Özkaçar,Kristoffer Lund,Linton Maina,Eric Martel,Tom Krauß,Jakub Kamiński,Ragnar Ache,Marius Bülter,Kamil Grabara,Kilian Fischer,Denis Vavro,Moritz Jenz,Yannick Gerhardt,Vinícius Souza,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,7.3,7.3,7.0,6.6,7.6,7.9,6.7,7.8,6.8,6.9,6.9,7.2,7.1,6.9,6.4,6.1,6.5,6.9,6.9,6.4,6.7,6.8,1,0,2,15,3,320,21,16,0.42,3,14,4,466,20,8,0.58
1. FC Köln,SC Freiburg,A,4-4-2,4-2-3-1,0,Marvin Schwäbe,Alessio Castro-Montes,Sebastian Sebulonsen,Rav van den Berg,Kristoffer Lund,Jan Thielmann,Tom Krauß,Jakub Kamiński,Linton Maina,Ragnar Ache,Marius Bülter,Noah Atubolu,Lukas Kübler,Matthias Ginter,Max Rosenfelder,Philipp Treu,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Yuito Suzuki,Derry Scherhant,Igor Matanović,7.3,6.8,6.6,6.3,6.9,6.6,7.0,6.7,6.3,6.7,6.8,8.0,6.9,7.6,5.6,6.9,6.6,6.8,6.7,7.7,7.0,6.0,1,2,2,19,5,421,19,5,0.53,3,13,5,379,11,8,0.47
1. FC Köln,1. FSV Mainz 05,H,3-4-3,3-1-4-2,3,Marvin Schwäbe,Sebastian Sebulonsen,Jahmai Simpson-Pusey,Cenk Özkaçar,Linton Maina,Eric Martel,Ísak Bergmann Jóhannesson,Alessio Castro-Montes,Jakub Kamiński,Marius Bülter,Said El Mala,Daniel Batz,Dominik Kohr,Stefan Bell,Kacper Potulski,Kaishu Sano,Danny da Costa,Paul Nebel,Jae-sung Lee,Silvan Widmer,Silas,Phillip Tietz,7.2,6.8,7.2,6.5,6.5,6.6,7.1,7.6,6.7,5.9,7.2,7.1,6.1,8.1,6.9,6.6,7.9,6.1,6.1,6.5,6.5,6.6,2,1,3,20,9,473,12,10,0.62,3,10,5,293,23,6,0.38
1. FC Köln,FC Bayern München,H,3-4-3,4-2-3-1,0,Marvin Schwäbe,Sebastian Sebulonsen,Jahmai Simpson-Pusey,Cenk Özkaçar,Jan Thielmann,Tom Krauß,Jakub Kamiński,Kristoffer Lund,Linton Maina,Ragnar Ache,Said El Mala,Manuel Neuer,Konrad Laimer,Min-jae Kim,Jonathan Tah,Hiroki Itō,Aleksandar Pavlović,Leon Goretzka,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,5.8,5.8,6.3,6.3,6.7,7.3,6.9,6.5,7.8,6.9,7.0,7.8,6.9,7.5,6.8,6.9,7.2,6.7,6.3,7.2,6.9,7.3,1,3,1,8,4,248,23,4,0.28,2,19,6,680,15,3,0.72
1. FC Köln,1. FC Heidenheim,A,3-4-3,4-3-2-1,1,Marvin Schwäbe,Sebastian Sebulonsen,Eric Martel,Jahmai Simpson-Pusey,Jan Thielmann,Tom Krauß,Denis Huseinbašić,Alessio Castro-Montes,Fynn Schenten,Ragnar Ache,Jakub Kamiński,Diant Ramaj,Haktab Omar Traore,Patrick Mainka,Tim Siersleben,Jonas Föhrenbach,Jan Schöppner,Julian Niehues,Niklas Dorsch,Sirlord Conteh,Arijon Ibrahimović,Marvin Pieringer,8.3,6.6,7.7,6.4,6.1,6.7,6.8,7.8,6.9,6.4,6.6,8.6,6.1,7.7,6.7,5.8,7.0,7.4,7.4,5.8,7.0,7.8,2,2,3,21,4,381,11,9,0.44,3,14,5,489,15,7,0.56
1. FC Köln,1. FC Union Berlin,H,4-2-3-1,3-4-2-1,0,Marvin Schwäbe,Sebastian Sebulonsen,Rav van den Berg,Dominique Heintz,Kristoffer Lund,Tom Krauß,Eric Martel,Jan Thielmann,Ísak Bergmann Jóhannesson,Jakub Kamiński,Ragnar Ache,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Christopher Trimmel,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,6.8,6.3,6.9,8.2,6.3,7.0,7.1,7.5,6.6,6.9,6.6,7.1,6.9,8.2,7.0,7.2,6.4,6.8,7.0,6.4,6.5,6.0,0,1,0,13,3,524,9,18,0.62,2,11,6,306,7,9,0.38
1. FC Köln,Bayer 04 Leverkusen,A,3-4-3,3-4-2-1,0,Marvin Schwäbe,Sebastian Sebulonsen,Eric Martel,Rav van den Berg,Jan Thielmann,Denis Huseinbašić,Tom Krauß,Jakub Kamiński,Luca Waldschmidt,Marius Bülter,Said El Mala,Mark Flekken,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Arthur,Aleix García,Ibrahim Maza,Ernest Poku,Jonas Hofmann,Malik Tillman,Christian Kofane,7.5,6.2,5.8,6.6,6.6,6.7,7.4,7.1,6.2,6.5,6.5,7.1,7.2,8.5,6.8,7.0,8.0,7.2,6.6,7.1,7.2,6.4,0,2,1,5,3,369,20,8,0.39,5,17,8,577,12,6,0.61
