Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
1. FC Union Berlin,Bayer 04 Leverkusen,H,3-4-2-1,3-4-2-1,3,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Stanley N'Soki,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,András Schäfer,Woo-Yeong Jeong,Andrej Ilić,Janis Blaswich,Loïc Badé,Robert Andrich,Edmond Tapsoba,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Ibrahim Maza,Christian Kofane,6.9,7.2,6.7,6.9,6.5,7.3,7.1,8.0,7.5,6.8,6.3,6.5,6.7,6.7,6.8,6.9,6.6,7.0,7.0,6.2,7.3,6.4,1,0,1,8,4,303,14,7,0.35,3,16,5,549,10,15,0.65
1. FC Union Berlin,Bayer 04 Leverkusen,H,3-4-2-1,3-4-2-1,3,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Stanley N'Soki,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,András Schäfer,Woo-Yeong Jeong,Andrej Ilić,Janis Blaswich,Loïc Badé,Robert Andrich,Edmond Tapsoba,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Ibrahim Maza,Christian Kofane,6.9,7.2,6.7,6.9,6.5,7.3,7.1,8.0,7.5,6.8,6.3,6.5,6.7,6.7,6.8,6.9,6.6,7.0,7.0,6.2,7.3,6.4,1,0,1,8,4,303,14,7,0.35,3,16,5,549,10,15,0.65
1. FC Union Berlin,Eintracht Frankfurt,H,5-3-2,3-4-2-1,1,Frederik Rønnow,Christopher Trimmel,Danilho Doekhi,Leopold Querfeld,Stanley N'Soki,Derrick Köhn,András Schäfer,Rani Khedira,Aljoscha Kemlein,Woo-Yeong Jeong,Ilyas Ansah,Kauã Santos,Rasmus Kristensen,Robin Koch,Arthur Theate,Ritsu Doan,Oscar Højlund,Hugo Larsson,Nathaniel Brown,Mario Götze,Farès Chaïbi,Arnaud Kalimuendo,6.6,6.8,6.5,7.3,6.7,6.2,6.5,7.1,7.0,7.1,6.3,7.0,7.1,6.9,7.3,6.3,5.8,6.6,7.7,6.2,6.5,5.9,1,1,2,11,5,229,16,10,0.27,1,3,2,649,11,9,0.73
1. FC Union Berlin,TSG Hoffenheim,A,3-4-2-1,4-3-3,0,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Stanley N'Soki,Oliver Burke,Woo-Yeong Jeong,Andrej Ilić,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Albian Hajdari,Andrej Kramarić,Leon Avdullahu,Grischa Prömel,Tim Lemperle,Fisnik Asllani,Bazoumana Touré,6.9,6.1,6.1,6.0,6.5,7.6,6.8,6.2,6.5,6.1,6.2,6.9,6.8,6.8,7.1,7.1,8.2,7.2,6.9,6.5,6.5,7.3,1,3,2,16,10,286,17,11,0.41,2,9,3,449,16,17,0.59
1. FC Union Berlin,Borussia Dortmund,H,3-4-2-1,3-4-2-1,0,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Josip Juranović,Woo-Yeong Jeong,Ilyas Ansah,Andrej Ilić,Gregor Kobel,Emre Can,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Maximilian Beier,Fábio Silva,Serhou Guirassy,5.9,5.7,7.1,6.9,7.0,6.3,6.6,7.5,7.1,6.5,6.6,8.6,7.4,7.2,8.5,7.5,6.6,7.0,6.7,7.0,6.1,7.2,0,3,4,10,7,378,17,16,0.56,3,15,2,299,14,9,0.44
1. FC Union Berlin,VfB Stuttgart,A,3-5-2,4-4-2,1,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,András Schäfer,Rani Khedira,Aljoscha Kemlein,Josip Juranović,Andrej Ilić,Livan Burcu,Alexander Nübel,Josha Vagnoman,Ramon Hendriks,Jeff Chabot,Maximilian Mittelstädt,Jamie Leweling,Atakan Karazor,Angelo Stiller,Chris Führich,Deniz Undav,Nikolas Nartey,7.3,6.4,7.0,6.7,7.2,6.1,6.5,7.0,8.1,5.9,6.1,7.0,5.4,8.0,7.9,7.0,6.3,7.6,6.7,8.8,7.0,6.5,1,1,2,20,8,370,18,6,0.43,4,12,3,509,17,11,0.57
1. FC Union Berlin,FC Augsburg,A,3-4-2-1,3-4-2-1,1,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Christopher Trimmel,Rani Khedira,András Schäfer,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Kristijan Jakić,Elvis Rexhbeçaj,Dimitrios Giannoulis,Anton Kade,Alexis Claude-Maurice,Michael Gregoritsch,7.3,6.2,6.9,6.4,7.1,6.5,6.5,6.0,7.3,6.5,6.9,6.9,7.0,7.2,6.7,7.2,6.7,6.2,6.6,7.0,7.8,6.5,1,1,2,16,3,455,16,9,0.52,1,9,3,409,10,18,0.48
1. FC Union Berlin,1. FSV Mainz 05,H,3-4-2-1,3-5-2,1,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Oliver Burke,Livan Burcu,Andrej Ilić,Daniel Batz,Danny da Costa,Stefan Bell,Dominik Kohr,Silvan Widmer,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Nikolas Veratschnig,Benedict Hollerbach,Phillip Tietz,6.3,6.3,7.0,6.7,7.1,6.5,6.6,8.0,6.1,6.6,6.4,7.1,7.0,6.7,6.6,6.7,8.1,6.7,7.1,6.8,7.3,5.9,2,2,6,17,2,481,22,8,0.57,3,9,1,374,22,9,0.43
1. FC Union Berlin,1. FC Köln,A,3-4-2-1,4-2-3-1,3,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Christopher Trimmel,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,Marvin Schwäbe,Sebastian Sebulonsen,Rav van den Berg,Dominique Heintz,Kristoffer Lund,Tom Krauß,Eric Martel,Jan Thielmann,Ísak Bergmann Jóhannesson,Jakub Kamiński,Ragnar Ache,7.1,6.9,8.2,7.0,7.2,6.4,6.8,7.0,6.4,6.5,6.0,6.8,6.3,6.9,8.2,6.3,7.0,7.1,7.5,6.6,6.9,6.6,1,0,2,11,6,306,7,9,0.38,0,13,3,524,9,18,0.62
1. FC Union Berlin,RB Leipzig,H,3-4-2-1,4-3-3,3,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,Péter Gulácsi,Kosta Nedeljković,Willi Orbán,Castello Lukeba,David Raum,Christoph Baumgartner,Nicolas Seiwald,Xaver Schlager,Johan Bakayoko,Conrad Harder,Yan Diomande,7.1,7.0,7.7,6.3,6.3,6.7,7.3,8.0,6.7,7.2,7.5,5.8,5.6,7.1,6.2,6.5,5.9,7.1,6.4,6.7,6.1,7.2,3,1,3,12,4,311,35,8,0.37,0,9,6,558,14,7,0.63
