Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
1. FSV Mainz 05,Hamburger SV,H,3-5-2,3-4-2-1,1,Daniel Batz,Dominik Kohr,Stefan Posch,Kacper Potulski,Danny da Costa,Jae-sung Lee,Kaishu Sano,Nadiem Amiri,Phillipp Mwene,Silas,Phillip Tietz,Daniel Heuer Fernandes,Warmed Omari,Jordan Torunarigha,Nicolás Capaldo,Bakery Jatta,Fábio Vieira,Nicolai Remberg,Miro Muheim,Ransford Yeboah Königsdörffer,Philip Otele,Robert Glatzel,6.9,7.1,7.2,5.9,7.4,6.7,7.0,8.0,7.2,6.5,5.9,6.7,6.9,7.2,6.8,6.3,7.8,7.0,6.8,6.5,6.5,6.5,1,1,2,17,7,315,19,13,0.45,1,14,2,406,12,16,0.55
1. FSV Mainz 05,Borussia Dortmund,A,3-5-2,3-4-2-1,0,Daniel Batz,Stefan Posch,Stefan Bell,Dominik Kohr,Danny da Costa,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Silvan Widmer,Silas,Phillip Tietz,Gregor Kobel,Niklas Süle,Waldemar Anton,Ramy Bensebaini,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Maximilian Beier,Julian Brandt,Serhou Guirassy,6.7,5.7,6.1,5.7,6.0,6.5,6.4,6.3,6.3,6.6,6.6,8.8,6.8,7.7,7.8,10.0,7.0,7.1,6.7,7.7,6.8,8.3,0,4,2,10,2,432,16,10,0.45,5,14,7,507,8,5,0.55
1. FSV Mainz 05,FC Augsburg,H,3-5-2,3-4-2-1,3,Daniel Batz,Stefan Posch,Stefan Bell,Dominik Kohr,Danny da Costa,Jae-sung Lee,Kaishu Sano,Nadiem Amiri,Silvan Widmer,Silas,Phillip Tietz,Finn Dahmen,Noahkai Banks,Arthur Chaves,Keven Schlotterbeck,Marius Wolf,Han-Noah Massengo,Elvis Rexhbeçaj,Robin Fellhauer,Mert Kömür,Alexis Claude-Maurice,Michael Gregoritsch,8.3,7.0,7.6,7.2,7.3,7.3,7.3,8.6,6.5,6.3,6.4,7.4,6.5,6.4,7.1,6.4,7.0,5.8,6.7,6.5,6.2,6.3,2,0,4,10,6,328,16,8,0.39,2,14,4,526,12,12,0.61
1. FSV Mainz 05,RB Leipzig,A,3-5-2,4-4-1-1,3,Daniel Batz,Stefan Posch,Stefan Bell,Kacper Potulski,Danny da Costa,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Silvan Widmer,Benedict Hollerbach,Phillip Tietz,Péter Gulácsi,Ridle Baku,Willi Orbán,El Chadaille Bitshiabu,David Raum,Yan Diomande,Nicolas Seiwald,Xaver Schlager,Antonio Nusa,Rômulo,Conrad Harder,7.7,6.9,6.9,6.7,7.3,7.1,7.2,6.9,6.7,6.2,6.3,6.1,6.1,6.8,6.8,7.1,7.8,7.5,6.5,8.0,6.0,7.5,2,1,4,11,4,300,28,3,0.3,3,15,5,700,11,13,0.7
1. FSV Mainz 05,VfL Wolfsburg,H,3-5-2,4-2-3-1,3,Daniel Batz,Stefan Posch,Stefan Bell,Dominik Kohr,Danny da Costa,Paul Nebel,Kaishu Sano,Jae-sung Lee,Silvan Widmer,Benedict Hollerbach,Phillip Tietz,Kamil Grabara,Saël Kumbedi,Denis Vavro,Moritz Jenz,Aaron Zehnter,Yannick Gerhardt,Vinícius Souza,Patrick Wimmer,Christian Eriksen,Mohamed Amoura,Dženan Pejčinović,6.6,7.5,6.8,7.1,6.5,6.7,6.6,7.1,7.0,6.8,6.0,7.9,7.2,7.1,6.7,5.7,6.4,6.8,6.2,6.9,6.8,6.5,3,1,9,20,15,425,17,9,0.59,1,7,1,319,21,8,0.41
1. FSV Mainz 05,1. FC Köln,A,3-1-4-2,3-4-3,0,Daniel Batz,Dominik Kohr,Stefan Bell,Kacper Potulski,Kaishu Sano,Danny da Costa,Paul Nebel,Jae-sung Lee,Silvan Widmer,Silas,Phillip Tietz,Marvin Schwäbe,Sebastian Sebulonsen,Jahmai Simpson-Pusey,Cenk Özkaçar,Linton Maina,Eric Martel,Ísak Bergmann Jóhannesson,Alessio Castro-Montes,Jakub Kamiński,Marius Bülter,Said El Mala,7.1,6.1,8.1,6.9,6.6,7.9,6.1,6.1,6.5,6.5,6.6,7.2,6.8,7.2,6.5,6.5,6.6,7.1,7.6,6.7,5.9,7.2,1,2,3,10,5,293,23,6,0.38,3,20,9,473,12,10,0.62
1. FSV Mainz 05,1. FC Heidenheim,H,3-5-2,4-3-1-2,3,Daniel Batz,Danny da Costa,Stefan Bell,Dominik Kohr,Silvan Widmer,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Nikolas Veratschnig,Armindo Sieb,Phillip Tietz,Diant Ramaj,Haktab Omar Traore,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Julian Niehues,Niklas Dorsch,Arijon Ibrahimović,Mikkel Kaufmann,Marvin Pieringer,6.4,7.2,6.8,7.7,7.7,9.0,7.1,7.0,6.8,6.1,5.9,6.2,6.3,7.8,6.1,6.1,6.5,6.3,6.7,7.1,6.4,6.2,2,1,5,13,4,348,13,10,0.42,1,15,1,489,21,11,0.58
1. FSV Mainz 05,1. FC Union Berlin,A,3-5-2,3-4-2-1,1,Daniel Batz,Danny da Costa,Stefan Bell,Dominik Kohr,Silvan Widmer,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Nikolas Veratschnig,Benedict Hollerbach,Phillip Tietz,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Oliver Burke,Livan Burcu,Andrej Ilić,7.1,7.0,6.7,6.6,6.7,8.1,6.7,7.1,6.8,7.3,5.9,6.3,6.3,7.0,6.7,7.1,6.5,6.6,8.0,6.1,6.6,6.4,2,2,3,9,1,374,22,9,0.43,6,17,2,481,22,8,0.57
1. FSV Mainz 05,FC St. Pauli,H,5-3-2,3-4-1-2,1,Daniel Batz,Danny da Costa,Dominik Kohr,Andreas Hanche-Olsen,Kacper Potulski,Silvan Widmer,Paul Nebel,Kaishu Sano,Jae-sung Lee,Benedict Hollerbach,Nadiem Amiri,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Jackson Irvine,Louis Oppie,Joel Chima Fujita,Andreas Hountondji,Mathias Pereira Lage,7.5,6.8,7.6,7.8,7.1,6.6,6.2,6.9,6.6,6.2,6.6,6.8,7.4,6.9,7.4,6.8,7.2,7.3,7.1,6.6,6.1,6.7,0,0,5,13,9,404,8,9,0.53,0,5,5,366,17,5,0.47
1. FSV Mainz 05,Samsunspor,H,3-5-1-1,4-1-4-1,3,Daniel Batz,Dominik Kohr,Andreas Hanche-Olsen,Kacper Potulski,Danny da Costa,Paul Nebel,Kaishu Sano,Jae-sung Lee,Silvan Widmer,Nadiem Amiri,Nelson Weiper,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Emre Kılınç,Carlo Holse,Olivier Ntcham,Anthony Musaba,Marius Mouandilmadji,6.5,6.9,7.2,6.5,7.2,6.8,6.9,7.4,7.9,7.4,7.0,7.5,6.9,7.2,6.6,6.8,6.5,6.3,6.5,6.5,6.0,6.5,2,0,3,13,5,397,14,9,0.46,1,7,3,475,11,10,0.54
