Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Bayer 04 Leverkusen,1. FC Union Berlin,A,3-4-2-1,3-4-2-1,0,Janis Blaswich,Loïc Badé,Robert Andrich,Edmond Tapsoba,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Ibrahim Maza,Christian Kofane,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Stanley N'Soki,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,András Schäfer,Woo-Yeong Jeong,Andrej Ilić,6.5,6.7,6.7,6.8,6.9,6.6,7.0,7.0,6.2,7.3,6.4,6.9,7.2,6.7,6.9,6.5,7.3,7.1,8.0,7.5,6.8,6.3,0,1,3,16,5,549,10,15,0.65,1,8,4,303,14,7,0.35
Bayer 04 Leverkusen,Olympiacos FC,A,3-4-2-1,4-2-3-1,3,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Lucas Vázquez,Exequiel Palacios,Aleix García,Alejandro Grimaldo,Ibrahim Maza,Ernest Poku,Patrik Schick,Konstantinos Tzolakis,Rodinei,Panagiotis Retsos,Lorenzo Pirola,Francisco Ortega,Christos Mouzakitis,Santiago Hezze,Gelson Martins,Mehdi Taremi,Daniel Podence,Ayoub El Kaabi,6.9,6.8,6.9,7.3,7.1,7.6,7.0,7.3,7.5,6.9,8.0,7.7,6.8,6.4,6.9,5.8,6.9,6.4,6.5,6.7,6.3,6.4,2,0,4,8,3,592,17,7,0.58,1,13,3,413,6,9,0.42
Bayer 04 Leverkusen,FC St. Pauli,H,3-4-2-1,3-4-2-1,3,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Lucas Vázquez,Exequiel Palacios,Aleix García,Alejandro Grimaldo,Ibrahim Maza,Ernest Poku,Patrik Schick,Nikola Vasilj,Adam Dźwigała,Tomoya Ando,Karol Mets,Manolis Saliakas,James Sands,Jackson Irvine,Arkadiusz Pyrka,Danel Sinani,Mathias Rasmussen,Martijn Kaars,6.7,8.2,6.9,8.9,7.5,7.1,7.6,6.6,6.4,9.3,7.5,6.2,6.2,6.1,5.8,6.4,6.3,6.1,6.4,6.7,6.4,6.1,4,0,5,12,8,846,8,11,0.68,1,11,3,383,19,7,0.32
Bayer 04 Leverkusen,FC St. Pauli,H,3-4-2-1,3-4-2-1,3,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Lucas Vázquez,Exequiel Palacios,Aleix García,Alejandro Grimaldo,Malik Tillman,Martin Terrier,Patrik Schick,Ben Voll,Tomoya Ando,James Sands,Karol Mets,Arkadiusz Pyrka,Mathias Rasmussen,Joel Chima Fujita,Louis Oppie,Danel Sinani,Mathias Pereira Lage,Martijn Kaars,6.3,6.8,9.2,7.4,6.9,7.8,7.6,7.5,6.3,8.0,7.6,5.3,6.7,6.3,6.9,6.9,7.3,6.2,7.0,6.8,6.4,5.1,3,0,3,8,4,798,12,14,0.61,3,10,5,505,28,6,0.39
Bayer 04 Leverkusen,Eintracht Frankfurt,A,3-4-2-1,3-4-2-1,3,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Martin Terrier,Christian Kofane,Kauã Santos,Aurèle Amenda,Robin Koch,Arthur Theate,Rasmus Kristensen,Hugo Larsson,Ellyes Skhiri,Nathaniel Brown,Ritsu Doan,Mario Götze,Arnaud Kalimuendo,6.8,6.9,7.4,7.1,7.7,6.7,8.3,6.8,8.0,6.9,6.6,5.1,6.3,7.7,6.2,6.5,6.4,5.6,6.3,6.7,6.7,6.1,3,1,3,11,3,740,17,11,0.58,3,11,8,510,16,10,0.42
Bayer 04 Leverkusen,Villarreal,H,3-4-2-1,4-4-2,3,Janis Blaswich,Jarell Quansah,Robert Andrich,Loïc Badé,Lucas Vázquez,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Ibrahim Maza,Patrik Schick,Arnau Tenas,Pau Navarro,Rafa Marín,Renato Veiga,Sergi Cardona,Tajon Buchanan,Santi Comesaña,Thomas Partey,Alassane Diatta,Tani Oluwaseyi,Nicolas Pépé,6.9,7.5,7.1,7.7,6.8,7.3,7.5,9.0,9.6,7.7,6.5,5.5,6.1,6.5,6.3,6.1,6.2,6.1,6.4,7.0,6.3,6.6,3,0,4,15,4,787,15,15,0.65,0,5,1,420,22,7,0.35
Bayer 04 Leverkusen,SV Werder Bremen,H,3-4-2-1,3-5-2,3,Janis Blaswich,Jarell Quansah,Robert Andrich,Loïc Badé,Lucas Vázquez,Ibrahim Maza,Aleix García,Alejandro Grimaldo,Jonas Hofmann,Ernest Poku,Patrik Schick,Mio Backhaus,Amos Pieper,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Romano Schmid,Senne Lynen,Jens Stage,Isaac Schmidt,Justin Njinmah,Marco Grüll,7.9,7.3,7.1,8.0,7.6,7.5,7.1,6.4,7.2,5.9,7.5,8.1,6.8,8.1,6.6,6.3,6.4,7.0,6.3,6.5,6.4,6.3,1,0,4,13,5,551,13,9,0.5,0,17,5,555,18,6,0.5
Bayer 04 Leverkusen,Olympiacos FC,A,3-4-2-1,4-2-3-1,0,Janis Blaswich,Jarell Quansah,Robert Andrich,Loïc Badé,Lucas Vázquez,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Ibrahim Maza,Ernest Poku,Christian Kofane,Konstantinos Tzolakis,Costinha,Panagiotis Retsos,Lorenzo Pirola,Francisco Ortega,Santiago Hezze,Christos Mouzakitis,Rodinei,Chiquinho,Gelson Martins,Mehdi Taremi,5.8,6.0,6.1,7.4,6.1,7.2,7.5,6.7,7.1,7.1,5.3,8.9,8.3,7.9,6.8,7.1,7.1,6.7,7.7,7.0,6.5,7.4,0,2,5,17,8,738,17,13,0.72,2,6,2,290,22,9,0.28
Bayer 04 Leverkusen,TSG Hoffenheim,A,3-4-2-1,4-2-3-1,0,Mark Flekken,Robert Andrich,Loïc Badé,Jarell Quansah,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Ernest Poku,Patrik Schick,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Leon Avdullahu,Wouter Burger,Andrej Kramarić,Fisnik Asllani,Alexander Prass,Tim Lemperle,7.8,7.0,7.9,7.2,6.5,7.0,7.1,6.5,6.8,6.3,6.2,7.4,6.8,7.0,7.5,7.7,7.2,8.1,7.0,6.8,6.9,6.2,0,1,2,8,5,576,18,17,0.62,4,19,3,347,19,7,0.38
Bayer 04 Leverkusen,VfB Stuttgart,H,3-4-2-1,4-2-3-1,0,Mark Flekken,Jarell Quansah,Robert Andrich,Jeanuël Belocian,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Nathan Tella,Martin Terrier,Alexander Nübel,Josha Vagnoman,Ramon Hendriks,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Jamie Leweling,Nikolas Nartey,Chris Führich,Deniz Undav,6.1,6.5,6.0,5.4,6.0,6.8,6.5,6.9,7.3,7.0,6.8,8.3,6.7,6.7,6.3,7.6,6.2,7.2,8.5,6.7,7.1,8.2,1,4,3,16,5,549,11,10,0.57,4,10,3,405,11,12,0.43
