Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Borussia Dortmund,VfL Wolfsburg,A,3-4-2-1,4-2-3-1,3,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Julian Brandt,Maximilian Beier,Serhou Guirassy,Kamil Grabara,Kilian Fischer,Denis Vavro,Konstantinos Koulierakis,Jeanuël Belocian,Christian Eriksen,Maximilian Arnold,Adam Daghim,Kento Shiogai,Kevin Paredes,Mohamed Amoura,6.5,7.1,6.9,7.7,6.4,6.9,7.2,6.8,7.3,6.3,7.2,5.7,6.6,7.0,7.4,7.1,7.1,8.1,7.4,6.1,6.9,6.2,2,1,2,21,8,580,13,13,0.65,4,12,4,312,14,10,0.35
Borussia Dortmund,1. FC Heidenheim,H,3-4-2-1,3-4-3,3,Gregor Kobel,Filippo Mané,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,Diant Ramaj,Marnon Busch,Patrick Mainka,Tim Siersleben,Haktab Omar Traore,Julian Niehues,Niklas Dorsch,Hennes Behrens,Eren Dinkçi,Marvin Pieringer,Mathias Honsak,6.8,6.9,7.9,6.3,6.7,7.1,7.0,7.4,6.9,7.3,7.4,5.6,6.2,6.5,6.0,6.0,8.4,7.1,7.5,6.9,6.1,6.2,3,2,6,19,12,479,19,9,0.65,7,12,3,257,19,11,0.35
Borussia Dortmund,Inter,H,3-4-2-1,3-5-2,0,Gregor Kobel,Filippo Mané,Emre Can,Nico Schlotterbeck,Julian Ryerson,Felix Nmecha,Jobe Bellingham,Ramy Bensebaini,Maximilian Beier,Fábio Silva,Serhou Guirassy,Yann Sommer,Manuel Akanji,Francesco Acerbi,Yann Bisseck,Luís Henrique,Petar Sučić,Piotr Zieliński,Henrikh Mkhitaryan,Federico Dimarco,Marcus Thuram,Ange-Yoan Bonny,6.6,6.9,7.3,7.3,7.1,6.7,7.2,6.9,6.2,6.5,6.9,7.2,7.6,7.1,7.6,7.2,6.4,6.9,7.4,8.4,6.8,6.2,0,2,1,9,5,450,23,14,0.45,1,12,3,547,27,12,0.55
Borussia Dortmund,1. FC Union Berlin,A,3-4-2-1,3-4-2-1,3,Gregor Kobel,Emre Can,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Maximilian Beier,Fábio Silva,Serhou Guirassy,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Josip Juranović,Woo-Yeong Jeong,Ilyas Ansah,Andrej Ilić,8.6,7.4,7.2,8.5,7.5,6.6,7.0,6.7,7.0,6.1,7.2,5.9,5.7,7.1,6.9,7.0,6.3,6.6,7.5,7.1,6.5,6.6,3,0,3,15,2,299,14,9,0.44,4,10,7,378,17,16,0.56
Borussia Dortmund,Tottenham Hotspur,A,3-4-2-1,4-2-3-1,0,Gregor Kobel,Waldemar Anton,Nico Schlotterbeck,Ramy Bensebaini,Yan Couto,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,Guglielmo Vicario,Pedro Porro,Kevin Danso,Cristian Romero,Destiny Udogie,Lucas Bergvall,Archie Gray,Wilson Odobert,Xavi Simons,Djed Spence,Dominic Solanke,7.3,5.6,7.4,6.3,6.8,6.9,6.5,4.7,6.4,6.4,6.2,7.2,7.3,7.0,8.5,7.6,6.7,6.9,8.7,7.4,6.9,7.2,0,2,0,6,2,401,22,14,0.46,2,16,4,460,22,12,0.54
Borussia Dortmund,FC St. Pauli,H,3-4-2-1,3-4-2-1,3,Gregor Kobel,Emre Can,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Fábio Silva,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Eric Smith,Lars Ritzka,Joel Chima Fujita,Mathias Pereira Lage,Martijn Kaars,6.8,7.5,7.7,6.8,6.6,6.6,6.5,6.7,8.6,8.3,6.3,6.3,6.2,6.8,5.9,6.5,8.3,7.1,6.7,6.5,7.1,6.1,3,2,4,10,5,645,10,10,0.63,1,9,5,362,22,9,0.37
Borussia Dortmund,SV Werder Bremen,H,3-4-2-1,3-4-2-1,3,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Marcel Sabitzer,Felix Nmecha,Julian Ryerson,Maximilian Beier,Carney Chukwuemeka,Fábio Silva,Mio Backhaus,Amos Pieper,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Senne Lynen,Jens Stage,Isaac Schmidt,Romano Schmid,Marco Grüll,Justin Njinmah,7.0,6.7,7.3,9.0,7.2,7.6,7.3,7.7,6.2,6.3,6.9,6.5,6.9,6.0,6.4,6.1,6.3,6.0,6.5,6.5,6.9,6.7,3,0,3,18,3,459,18,8,0.46,1,6,3,553,11,14,0.54
Borussia Dortmund,Eintracht Frankfurt,A,3-4-2-1,3-4-2-1,1,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Marcel Sabitzer,Felix Nmecha,Daniel Svensson,Maximilian Beier,Julian Brandt,Serhou Guirassy,Kauã Santos,Rasmus Kristensen,Robin Koch,Arthur Theate,Ritsu Doan,Oscar Højlund,Hugo Larsson,Nathaniel Brown,Can Uzun,Ansgar Knauff,Younes Ebnoutalib,6.3,7.4,7.2,7.1,6.3,6.9,8.0,6.3,7.3,6.6,5.5,7.5,6.4,6.4,7.0,6.8,6.4,6.6,6.5,6.7,6.4,7.1,3,3,4,16,5,550,11,14,0.6,2,12,2,368,20,5,0.4
Borussia Dortmund,Borussia M'gladbach,H,3-4-2-1,3-4-2-1,3,Gregor Kobel,Niklas Süle,Emre Can,Nico Schlotterbeck,Julian Ryerson,Pascal Groß,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Joseph Scally,Rocco Reitz,Yannik Engelhardt,Luca Netz,Giovanni Reyna,Florian Neuhaus,Haris Tabaković,6.9,8.1,7.5,9.1,6.7,7.4,8.3,6.7,5.8,7.4,6.4,7.7,7.5,6.8,6.9,6.0,6.2,6.6,6.8,6.6,6.7,6.0,2,0,3,10,6,628,18,13,0.57,0,6,4,473,22,15,0.43
Borussia Dortmund,SC Freiburg,A,3-4-2-1,4-2-3-1,1,Gregor Kobel,Emre Can,Nico Schlotterbeck,Ramy Bensebaini,Yan Couto,Felix Nmecha,Jobe Bellingham,Julian Ryerson,Fábio Silva,Carney Chukwuemeka,Serhou Guirassy,Noah Atubolu,Lukas Kübler,Matthias Ginter,Anthony Jung,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Philipp Treu,Yuito Suzuki,Johan Manzambi,Lucas Höler,8.2,7.1,7.1,7.7,7.2,6.7,5.6,6.1,6.3,6.5,6.2,7.2,6.6,7.1,6.8,6.7,6.6,6.7,7.9,6.9,6.5,8.0,1,1,2,9,0,390,14,11,0.43,0,21,6,501,15,10,0.57
Borussia Dortmund,Bodø/Glimt,H,3-4-2-1,4-1-4-1,1,Gregor Kobel,Aarón Anselmino,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Jobe Bellingham,Felix Nmecha,Ramy Bensebaini,Maximilian Beier,Julian Brandt,Fábio Silva,Nikita Haikin,Fredrik Sjøvold,Odin Luras Bjørtuft,Haitam Aleesami,Isak Dybvik Määttä,Patrick Berg,Ole Didrik Blomberg,Håkon Evjen,Sondre Fet,Jens Petter Hauge,Kasper Høgh,6.3,6.4,7.1,7.9,8.2,7.1,7.4,7.5,5.9,8.3,7.2,8.6,6.9,7.1,7.0,6.3,7.6,6.1,6.6,6.0,7.5,6.7,2,2,6,22,10,546,17,6,0.63,2,7,4,323,26,5,0.37
Borussia Dortmund,TSG Hoffenheim,H,3-4-2-1,4-3-1-2,3,Gregor Kobel,Aarón Anselmino,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Marcel Sabitzer,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Grischa Prömel,Leon Avdullahu,Wouter Burger,Fisnik Asllani,Bazoumana Touré,Tim Lemperle,7.7,7.0,7.3,8.8,7.9,6.8,6.9,6.7,6.2,7.4,6.6,6.6,7.2,6.0,6.7,5.7,6.5,7.1,7.1,6.3,6.9,6.4,2,0,2,8,7,380,15,9,0.43,2,11,5,507,14,7,0.57
Borussia Dortmund,Bayer 04 Leverkusen,H,3-4-3,3-4-2-1,0,Gregor Kobel,Emre Can,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Fábio Silva,Carney Chukwuemeka,Mark Flekken,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Jonas Hofmann,Ibrahim Maza,Aleix García,Alejandro Grimaldo,Martin Terrier,Ernest Poku,Christian Kofane,6.8,8.2,7.4,6.9,6.8,6.6,6.6,6.0,6.9,6.6,6.6,7.9,7.1,7.5,7.5,7.3,8.1,7.9,7.0,6.8,6.5,6.6,0,1,3,20,11,539,14,8,0.58,2,6,0,424,23,5,0.42
Borussia Dortmund,Bayer 04 Leverkusen,A,3-4-2-1,3-4-2-1,3,Gregor Kobel,Aarón Anselmino,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Felix Nmecha,Marcel Sabitzer,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,Mark Flekken,Robert Andrich,Loïc Badé,Edmond Tapsoba,Jonas Hofmann,Ibrahim Maza,Aleix García,Alejandro Grimaldo,Malik Tillman,Ernest Poku,Patrik Schick,7.4,7.5,7.2,6.7,6.6,7.3,6.5,6.7,7.2,6.7,7.0,6.4,6.9,6.9,5.9,6.5,7.0,7.1,7.2,6.5,6.5,6.6,2,1,3,7,3,350,16,7,0.37,2,14,10,613,11,9,0.63
