Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Borussia M'gladbach,Eintracht Frankfurt,A,3-1-4-2,3-4-2-1,0,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kota Takai,Yannik Engelhardt,Jens Castrop,Rocco Reitz,Kevin Stöger,Lukas Ullrich,Franck Honorat,Haris Tabaković,Kauã Santos,Rasmus Kristensen,Aurèle Amenda,Robin Koch,Ayoube Amaimouni-Echghouyab,Ritsu Doan,Hugo Larsson,Nathaniel Brown,Mario Götze,Jean-Mattéo Bahoya,Arnaud Kalimuendo,8.0,6.4,6.5,5.8,6.5,6.3,6.3,6.4,6.7,7.2,6.1,8.3,6.9,7.8,7.6,7.5,7.5,7.3,7.9,6.5,7.8,6.6,0,3,0,20,8,463,11,11,0.56,4,12,2,379,19,11,0.44
Borussia M'gladbach,Bayer 04 Leverkusen,H,3-5-2,3-4-2-1,1,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Jens Castrop,Rocco Reitz,Yannik Engelhardt,Kevin Stöger,Lukas Ullrich,Franck Honorat,Haris Tabaković,Janis Blaswich,Jarell Quansah,Loïc Badé,Edmond Tapsoba,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Jonas Hofmann,Malik Tillman,Patrik Schick,6.4,6.2,7.2,6.3,7.0,6.6,7.2,7.1,6.4,6.4,6.3,6.7,6.4,6.7,7.0,6.2,6.8,7.4,6.7,6.6,6.5,6.5,1,1,1,9,2,460,19,11,0.39,1,10,2,717,14,7,0.61
Borussia M'gladbach,SV Werder Bremen,A,5-4-1,3-4-2-1,1,Moritz Nicolas,Joseph Scally,Philipp Sander,Nico Elvedi,Fabio Chiarodia,Luca Netz,Franck Honorat,Rocco Reitz,Yannik Engelhardt,Florian Neuhaus,Haris Tabaković,Mio Backhaus,Julián Malatini,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Jens Stage,Senne Lynen,Olivier Deman,Romano Schmid,Samuel Mbangula,Justin Njinmah,7.2,6.8,7.3,7.7,6.4,6.5,6.4,6.0,7.1,6.6,7.1,6.7,6.4,7.4,6.6,6.3,7.0,6.4,7.1,7.1,7.7,6.4,1,1,2,7,3,292,17,10,0.32,0,18,7,611,17,14,0.68
Borussia M'gladbach,VfB Stuttgart,H,4-2-3-1,4-2-3-1,0,Moritz Nicolas,Joseph Scally,Kota Takai,Nico Elvedi,Lukas Ullrich,Philipp Sander,Florian Neuhaus,Franck Honorat,Rocco Reitz,Shuto Machino,Haris Tabaković,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Atakan Karazor,Angelo Stiller,Badredine Bouanani,Nikolas Nartey,Jamie Leweling,Ermedin Demirović,8.1,4.5,6.8,6.4,6.3,6.5,6.6,6.4,6.5,6.5,5.1,7.9,6.8,6.9,8.3,7.1,6.6,7.3,7.1,6.9,7.7,6.5,0,3,2,12,1,431,12,6,0.44,4,17,4,555,21,11,0.56
Borussia M'gladbach,Hamburger SV,A,3-4-2-1,3-4-3,1,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Joseph Scally,Rocco Reitz,Yannik Engelhardt,Luca Netz,Franck Honorat,Florian Neuhaus,Haris Tabaković,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Bakery Jatta,Fábio Vieira,Nicolai Remberg,Miro Muheim,Ransford Yeboah Königsdörffer,Damion Downs,Jean-Luc Dompé,8.9,7.4,6.8,7.1,7.0,7.2,6.1,6.5,6.5,6.7,5.8,6.6,7.4,7.3,7.4,7.2,7.1,6.9,6.9,6.7,6.2,6.9,0,0,1,6,5,409,12,16,0.43,2,25,2,538,7,18,0.57
Borussia M'gladbach,TSG Hoffenheim,A,5-4-1,4-3-1-2,0,Moritz Nicolas,Joseph Scally,Philipp Sander,Nico Elvedi,Kevin Diks,Lukas Ullrich,Franck Honorat,Rocco Reitz,Yannik Engelhardt,Jens Castrop,Haris Tabaković,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Bernardo,Wouter Burger,Leon Avdullahu,Alexander Prass,Andrej Kramarić,Fisnik Asllani,Tim Lemperle,6.8,5.1,4.9,5.8,6.9,5.4,6.1,6.8,6.3,6.2,6.8,7.5,7.4,6.7,7.0,6.8,8.3,6.6,6.9,9.2,6.9,7.8,1,5,2,7,2,336,17,16,0.34,8,18,6,645,10,9,0.66
Borussia M'gladbach,FC Augsburg,H,3-4-2-1,3-4-2-1,3,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Joseph Scally,Rocco Reitz,Yannik Engelhardt,Luca Netz,Franck Honorat,Florian Neuhaus,Haris Tabaković,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Mert Kömür,Han-Noah Massengo,Mads Pedersen,Fabian Rieder,Alexis Claude-Maurice,Anton Kade,6.8,7.4,7.6,8.2,7.0,6.9,5.9,7.6,7.4,7.0,8.5,5.8,7.1,6.4,5.8,6.8,6.4,6.5,7.2,6.4,7.0,6.7,4,0,6,12,2,563,18,8,0.52,2,17,2,512,33,16,0.48
Borussia M'gladbach,Borussia Dortmund,A,3-4-2-1,3-4-2-1,0,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Joseph Scally,Rocco Reitz,Yannik Engelhardt,Luca Netz,Giovanni Reyna,Florian Neuhaus,Haris Tabaković,Gregor Kobel,Niklas Süle,Emre Can,Nico Schlotterbeck,Julian Ryerson,Pascal Groß,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,7.7,7.5,6.8,6.9,6.0,6.2,6.6,6.8,6.6,6.7,6.0,6.9,8.1,7.5,9.1,6.7,7.4,8.3,6.7,5.8,7.4,6.4,0,2,0,6,4,473,22,15,0.43,3,10,6,628,18,13,0.57
Borussia M'gladbach,VfL Wolfsburg,H,3-4-2-1,4-2-3-1,0,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Jens Castrop,Rocco Reitz,Yannik Engelhardt,Luca Netz,Shuto Machino,Giovanni Reyna,Haris Tabaković,Kamil Grabara,Saël Kumbedi,Jenson Seelt,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Mohamed Amoura,6.9,6.6,6.4,6.7,6.2,6.6,6.9,6.2,6.8,6.2,6.8,6.8,6.1,7.0,6.0,6.6,6.1,6.7,6.9,6.9,8.5,7.4,1,3,0,14,6,575,16,8,0.58,3,11,3,430,15,6,0.42
Borussia M'gladbach,1. FSV Mainz 05,A,3-4-2-1,3-5-2,3,Moritz Nicolas,Joseph Scally,Nico Elvedi,Kevin Diks,Jens Castrop,Rocco Reitz,Yannik Engelhardt,Luca Netz,Shuto Machino,Giovanni Reyna,Haris Tabaković,Daniel Batz,Danny da Costa,Andreas Hanche-Olsen,Maxim Leitsch,Silvan Widmer,Kaishu Sano,Nadiem Amiri,Jae-sung Lee,Phillipp Mwene,Fabio Moreno Fell,Nelson Weiper,7.1,7.5,7.5,7.3,7.5,7.2,6.8,6.7,6.9,7.2,6.5,8.2,6.3,7.1,7.3,7.3,7.8,6.6,6.9,6.3,6.2,6.3,1,0,2,14,6,425,23,12,0.45,2,8,8,525,17,4,0.55
