Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Eintracht Frankfurt,FC Bayern München,A,3-4-2-1,4-2-3-1,0,Kauã Santos,Nnamdi Collins,Ellyes Skhiri,Aurèle Amenda,Ayoube Amaimouni-Echghouyab,Hugo Larsson,Oscar Højlund,Nathaniel Brown,Ritsu Doan,Jean-Mattéo Bahoya,Mahmoud Dahoud,Jonas Urbig,Josip Stanišić,Dayot Upamecano,Min-jae Kim,Alphonso Davies,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Jamal Musiala,Luis Díaz,Harry Kane,8.4,6.3,6.6,5.2,6.3,6.8,6.4,6.9,6.3,6.9,6.4,7.1,7.0,7.6,6.5,7.2,7.1,7.8,8.8,6.5,7.7,8.2,2,3,4,9,2,499,11,8,0.49,2,24,8,510,15,10,0.51
Eintracht Frankfurt,Borussia M'gladbach,H,3-4-2-1,3-1-4-2,3,Kauã Santos,Rasmus Kristensen,Aurèle Amenda,Robin Koch,Ayoube Amaimouni-Echghouyab,Ritsu Doan,Hugo Larsson,Nathaniel Brown,Mario Götze,Jean-Mattéo Bahoya,Arnaud Kalimuendo,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kota Takai,Yannik Engelhardt,Jens Castrop,Rocco Reitz,Kevin Stöger,Lukas Ullrich,Franck Honorat,Haris Tabaković,8.3,6.9,7.8,7.6,7.5,7.5,7.3,7.9,6.5,7.8,6.6,8.0,6.4,6.5,5.8,6.5,6.3,6.3,6.4,6.7,7.2,6.1,3,0,4,12,2,379,19,11,0.44,0,20,8,463,11,11,0.56
Eintracht Frankfurt,1. FC Union Berlin,A,3-4-2-1,5-3-2,1,Kauã Santos,Rasmus Kristensen,Robin Koch,Arthur Theate,Ritsu Doan,Oscar Højlund,Hugo Larsson,Nathaniel Brown,Mario Götze,Farès Chaïbi,Arnaud Kalimuendo,Frederik Rønnow,Christopher Trimmel,Danilho Doekhi,Leopold Querfeld,Stanley N'Soki,Derrick Köhn,András Schäfer,Rani Khedira,Aljoscha Kemlein,Woo-Yeong Jeong,Ilyas Ansah,7.0,7.1,6.9,7.3,6.3,5.8,6.6,7.7,6.2,6.5,5.9,6.6,6.8,6.5,7.3,6.7,6.2,6.5,7.1,7.0,7.1,6.3,1,1,1,3,2,649,11,9,0.73,2,11,5,229,16,10,0.27
Eintracht Frankfurt,Bayer 04 Leverkusen,H,3-4-2-1,3-4-2-1,0,Kauã Santos,Aurèle Amenda,Robin Koch,Arthur Theate,Rasmus Kristensen,Hugo Larsson,Ellyes Skhiri,Nathaniel Brown,Ritsu Doan,Mario Götze,Arnaud Kalimuendo,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Martin Terrier,Christian Kofane,5.1,6.3,7.7,6.2,6.5,6.4,5.6,6.3,6.7,6.7,6.1,6.8,6.9,7.4,7.1,7.7,6.7,8.3,6.8,8.0,6.9,6.6,1,3,3,11,8,510,16,10,0.42,3,11,3,740,17,11,0.58
Eintracht Frankfurt,Tottenham Hotspur,H,3-5-2,3-4-3,0,Kauã Santos,Aurèle Amenda,Robin Koch,Arthur Theate,Aurélio Buta,Oscar Højlund,Ellyes Skhiri,Hugo Larsson,Nathaniel Brown,Mario Götze,Ansgar Knauff,Guglielmo Vicario,João Palhinha,Cristian Romero,Kevin Danso,Djed Spence,Pape Matar Sarr,Archie Gray,Destiny Udogie,Wilson Odobert,Randal Kolo Muani,Xavi Simons,7.7,6.1,6.4,6.6,5.8,6.5,6.9,6.4,6.4,6.4,6.1,6.9,7.8,8.5,7.2,6.0,7.2,6.9,6.6,6.9,6.6,8.1,0,2,1,4,0,511,18,8,0.45,5,15,5,621,13,12,0.55
Eintracht Frankfurt,TSG Hoffenheim,H,3-4-2-1,3-4-2-1,0,Kauã Santos,Nnamdi Collins,Robin Koch,Aurèle Amenda,Rasmus Kristensen,Farès Chaïbi,Ellyes Skhiri,Nathaniel Brown,Ritsu Doan,Can Uzun,Arnaud Kalimuendo,Oliver Baumann,Ozan Kabak,Albian Hajdari,Bernardo,Vladimír Coufal,Leon Avdullahu,Wouter Burger,Alexander Prass,Andrej Kramarić,Fisnik Asllani,Max Moerstedt,6.1,6.1,6.0,5.3,6.6,6.3,6.4,7.3,6.7,7.1,7.6,7.0,8.1,7.1,6.8,6.8,6.5,7.6,6.4,6.4,6.5,7.3,1,3,1,9,6,431,16,16,0.47,3,10,6,478,17,8,0.53
Eintracht Frankfurt,Qarabağ FK,A,3-4-3,4-2-3-1,0,Kauã Santos,Nnamdi Collins,Robin Koch,Arthur Theate,Rasmus Kristensen,Ellyes Skhiri,Hugo Larsson,Nathaniel Brown,Ritsu Doan,Can Uzun,Ansgar Knauff,Mateusz Kochalski,Matheus Silva,Bahlul Mustafazada,Kevin Medina,Elvin Jafarguliyev,Pedro Bicalho,Marko Janković,Leandro Andrade,Joni Montiel,Abdellah Zoubir,Camilo Durán,6.3,6.0,6.3,6.4,6.6,7.2,6.9,6.9,6.4,7.9,6.8,6.6,6.1,7.0,6.8,7.9,6.4,7.1,5.8,6.1,6.6,7.4,2,3,1,8,1,418,27,7,0.42,3,11,7,578,7,12,0.58
Eintracht Frankfurt,SV Werder Bremen,A,4-2-3-1,3-4-2-1,1,Kauã Santos,Rasmus Kristensen,Nnamdi Collins,Robin Koch,Arthur Theate,Mahmoud Dahoud,Ellyes Skhiri,Ritsu Doan,Farès Chaïbi,Nathaniel Brown,Arnaud Kalimuendo,Mio Backhaus,Amos Pieper,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Senne Lynen,Jens Stage,Isaac Schmidt,Romano Schmid,Marco Grüll,Justin Njinmah,6.0,6.3,7.5,6.6,6.3,6.5,6.6,6.2,6.3,7.0,6.7,5.7,7.1,6.5,6.3,6.9,7.0,7.9,6.7,6.9,6.0,7.6,3,3,4,8,1,345,21,8,0.4,3,13,4,524,17,15,0.6
Eintracht Frankfurt,VfB Stuttgart,A,4-4-2,4-2-2-2,0,Kauã Santos,Rasmus Kristensen,Robin Koch,Aurèle Amenda,Arthur Theate,Ritsu Doan,Ellyes Skhiri,Oscar Højlund,Ansgar Knauff,Arnaud Kalimuendo,Younes Ebnoutalib,Alexander Nübel,Josha Vagnoman,Ramon Hendriks,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Jamie Leweling,Chris Führich,Deniz Undav,Ermedin Demirović,7.0,7.0,6.5,6.0,6.8,6.1,6.5,6.5,6.3,6.9,6.3,7.2,7.2,7.3,6.2,7.2,6.7,7.3,7.3,7.8,8.3,7.6,2,3,1,12,2,348,12,8,0.42,7,20,10,479,16,15,0.58
Eintracht Frankfurt,Borussia Dortmund,H,3-4-2-1,3-4-2-1,1,Kauã Santos,Rasmus Kristensen,Robin Koch,Arthur Theate,Ritsu Doan,Oscar Højlund,Hugo Larsson,Nathaniel Brown,Can Uzun,Ansgar Knauff,Younes Ebnoutalib,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Marcel Sabitzer,Felix Nmecha,Daniel Svensson,Maximilian Beier,Julian Brandt,Serhou Guirassy,7.5,6.4,6.4,7.0,6.8,6.4,6.6,6.5,6.7,6.4,7.1,6.3,7.4,7.2,7.1,6.3,6.9,8.0,6.3,7.3,6.6,5.5,3,3,2,12,2,368,20,5,0.4,4,16,5,550,11,14,0.6
