Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
FC Augsburg,VfL Wolfsburg,A,3-4-2-1,4-2-3-1,3,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Mert Kömür,Alexis Claude-Maurice,Rodrigo Ribeiro,Kamil Grabara,Saël Kumbedi,Denis Vavro,Moritz Jenz,Jeanuël Belocian,Christian Eriksen,Yannick Gerhardt,Adam Daghim,Lovro Majer,Mattias Svanberg,Mohamed Amoura,6.9,6.3,6.7,6.7,7.0,6.5,6.4,7.2,6.6,7.5,7.0,5.8,6.1,6.1,6.5,6.3,9.1,7.5,7.1,6.7,6.5,7.1,3,2,2,15,10,448,15,9,0.5,4,10,4,455,12,16,0.5
FC Augsburg,1. FC Heidenheim,H,3-4-2-1,3-3-1-3,3,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Anton Kade,Kristijan Jakić,Han-Noah Massengo,Robin Fellhauer,Mert Kömür,Alexis Claude-Maurice,Michael Gregoritsch,Diant Ramaj,Marnon Busch,Patrick Mainka,Benedikt Gimber,Arijon Ibrahimović,Julian Niehues,Hennes Behrens,Jan Schöppner,Eren Dinkçi,Stefan Schimmer,Christian Joe Conteh,7.4,7.7,8.9,7.3,6.7,7.0,7.2,6.6,6.2,6.9,6.6,7.6,6.8,7.0,6.8,7.1,6.6,6.8,7.1,6.8,5.9,6.6,1,0,2,12,4,459,14,8,0.49,0,16,5,470,12,9,0.51
FC Augsburg,1. FSV Mainz 05,A,3-4-2-1,3-5-2,0,Finn Dahmen,Noahkai Banks,Arthur Chaves,Keven Schlotterbeck,Marius Wolf,Han-Noah Massengo,Elvis Rexhbeçaj,Robin Fellhauer,Mert Kömür,Alexis Claude-Maurice,Michael Gregoritsch,Daniel Batz,Stefan Posch,Stefan Bell,Dominik Kohr,Danny da Costa,Jae-sung Lee,Kaishu Sano,Nadiem Amiri,Silvan Widmer,Silas,Phillip Tietz,7.4,6.5,6.4,7.1,6.4,7.0,5.8,6.7,6.5,6.2,6.3,8.3,7.0,7.6,7.2,7.3,7.3,7.3,8.6,6.5,6.3,6.4,0,2,2,14,4,526,12,12,0.61,4,10,6,328,16,8,0.39
FC Augsburg,FC St. Pauli,H,3-4-2-1,3-4-2-1,3,Finn Dahmen,Arthur Chaves,Keven Schlotterbeck,Noahkai Banks,Robin Fellhauer,Han-Noah Massengo,Elvis Rexhbeçaj,Marius Wolf,Fabian Rieder,Alexis Claude-Maurice,Michael Gregoritsch,Nikola Vasilj,Tomoya Ando,Eric Smith,Karol Mets,Manolis Saliakas,Mathias Rasmussen,James Sands,Arkadiusz Pyrka,Danel Sinani,Joel Chima Fujita,Ricky-Jade Jones,7.6,8.0,7.9,7.5,6.4,7.1,6.6,5.9,6.1,7.8,8.9,7.1,7.1,6.2,7.0,7.1,6.6,6.6,6.7,6.9,6.6,5.8,2,1,5,12,5,417,13,13,0.44,5,17,5,526,18,14,0.56
FC Augsburg,FC Bayern München,A,3-4-2-1,4-2-3-1,3,Finn Dahmen,Arthur Chaves,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Han-Noah Massengo,Elvis Rexhbeçaj,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Anton Kade,Jonas Urbig,Alphonso Davies,Jonathan Tah,Min-jae Kim,Hiroki Itō,Aleksandar Pavlović,Leon Goretzka,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,8.0,8.0,7.0,7.5,6.2,8.0,6.9,6.8,6.5,7.1,6.3,6.8,6.9,6.9,6.6,7.6,8.0,6.7,7.9,5.9,6.7,6.4,2,1,1,16,3,336,20,10,0.3,3,15,9,823,13,5,0.7
FC Augsburg,SC Freiburg,H,3-4-2-1,4-2-3-1,1,Finn Dahmen,Noahkai Banks,Yannik Keitel,Keven Schlotterbeck,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Michael Gregoritsch,Noah Atubolu,Lukas Kübler,Matthias Ginter,Bruno Ogbus,Jordy Makengo,Maximilian Eggestein,Johan Manzambi,Philipp Treu,Lucas Höler,Vincenzo Grifo,Igor Matanović,6.9,7.2,6.4,7.2,6.7,7.2,6.3,6.2,6.8,7.8,6.8,6.4,6.7,6.8,7.6,6.0,6.9,7.2,6.5,6.1,6.8,7.8,2,2,1,13,9,334,17,14,0.45,2,13,6,420,17,11,0.55
FC Augsburg,1. FC Union Berlin,H,3-4-2-1,3-4-2-1,1,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Kristijan Jakić,Elvis Rexhbeçaj,Dimitrios Giannoulis,Anton Kade,Alexis Claude-Maurice,Michael Gregoritsch,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Christopher Trimmel,Rani Khedira,András Schäfer,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,6.9,7.0,7.2,6.7,7.2,6.7,6.2,6.6,7.0,7.8,6.5,7.3,6.2,6.9,6.4,7.1,6.5,6.5,6.0,7.3,6.5,6.9,1,1,1,9,3,409,10,18,0.48,2,16,3,455,16,9,0.52
FC Augsburg,Borussia M'gladbach,A,3-4-2-1,3-4-2-1,0,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Mert Kömür,Han-Noah Massengo,Mads Pedersen,Fabian Rieder,Alexis Claude-Maurice,Anton Kade,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Joseph Scally,Rocco Reitz,Yannik Engelhardt,Luca Netz,Franck Honorat,Florian Neuhaus,Haris Tabaković,5.8,7.1,6.4,5.8,6.8,6.4,6.5,7.2,6.4,7.0,6.7,6.8,7.4,7.6,8.2,7.0,6.9,5.9,7.6,7.4,7.0,8.5,0,4,2,17,2,512,33,16,0.48,6,12,2,563,18,8,0.52
FC Augsburg,SV Werder Bremen,H,3-4-2-1,3-5-2,1,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Marius Wolf,Mio Backhaus,Niklas Stark,Marco Friedl,Amos Pieper,Yukinari Sugawara,Jens Stage,Senne Lynen,Cameron Puertas,Isaac Schmidt,Justin Njinmah,Romano Schmid,8.1,7.0,7.6,6.9,7.1,7.4,6.8,6.8,6.6,7.7,6.2,8.4,7.4,7.3,7.5,6.6,7.0,7.9,6.7,6.3,6.6,6.5,0,0,3,14,6,444,11,20,0.53,1,9,11,393,23,10,0.47
FC Augsburg,Eintracht Frankfurt,A,3-4-2-1,4-2-3-1,0,Finn Dahmen,Noahkai Banks,Chrislain Matsima,Keven Schlotterbeck,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Anton Kade,Michael Zetterer,Rasmus Kristensen,Nnamdi Collins,Robin Koch,Arthur Theate,Mahmoud Dahoud,Ellyes Skhiri,Ritsu Doan,Mario Götze,Farès Chaïbi,Ansgar Knauff,7.2,7.1,7.3,6.7,7.1,7.3,6.8,6.5,6.6,6.6,6.2,7.4,7.4,7.3,6.9,7.2,6.6,6.7,8.0,6.3,6.5,6.2,0,1,0,12,6,442,17,14,0.49,2,11,2,475,16,10,0.51
