Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
FC Bayern München,TSG Hoffenheim,H,4-2-3-1,4-4-1-1,3,Manuel Neuer,Josip Stanišić,Dayot Upamecano,Jonathan Tah,Alphonso Davies,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,Oliver Baumann,Vladimír Coufal,Kevin Akpoguma,Ozan Kabak,Albian Hajdari,Alexander Prass,Leon Avdullahu,Grischa Prömel,Bazoumana Touré,Andrej Kramarić,Fisnik Asllani,7.6,7.7,7.2,6.4,6.5,8.2,8.1,7.9,6.5,10.0,8.5,7.3,5.5,3.0,5.7,6.0,6.6,6.3,6.7,5.7,7.8,7.2,5,1,11,27,8,475,18,7,0.55,6,9,3,398,19,11,0.45
FC Bayern München,Hamburger SV,A,4-2-3-1,3-5-1-1,1,Manuel Neuer,Josip Stanišić,Dayot Upamecano,Min-jae Kim,Alphonso Davies,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Serge Gnabry,Harry Kane,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Daniel Elfadli,Bakery Jatta,Albert Sambi Lokonga,Nicolai Remberg,Miro Muheim,William Mikelbrencis,Fábio Vieira,Ransford Yeboah Königsdörffer,6.1,5.8,7.0,7.0,6.5,7.1,7.0,6.3,6.6,6.7,7.0,8.2,6.5,7.5,6.8,6.3,6.8,7.2,7.8,7.0,7.0,6.8,2,2,5,13,9,689,8,12,0.72,5,14,3,262,23,15,0.28
FC Bayern München,PSV Eindhoven,A,4-2-3-1,4-4-2,3,Jonas Urbig,Tom Bischof,Dayot Upamecano,Jonathan Tah,Hiroki Itō,Joshua Kimmich,Aleksandar Pavlović,Lennart Karl,Jamal Musiala,Luis Díaz,Nicolas Jackson,Matěj Kovář,Sergiño Dest,Jerdy Schouten,Armando Obispo,Mauro Júnior,Dennis Man,Paul Wanner,Joey Veerman,Ivan Perišić,Guus Til,Ismael Saibari,9.9,6.6,6.7,6.7,6.6,6.9,6.4,7.0,7.2,6.9,6.2,8.0,7.0,6.6,7.0,7.5,6.7,7.2,7.1,6.8,6.8,8.0,2,1,4,17,6,550,11,11,0.57,1,13,5,395,22,10,0.43
FC Bayern München,FC Augsburg,H,4-2-3-1,3-4-2-1,0,Jonas Urbig,Alphonso Davies,Jonathan Tah,Min-jae Kim,Hiroki Itō,Aleksandar Pavlović,Leon Goretzka,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Finn Dahmen,Arthur Chaves,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Han-Noah Massengo,Elvis Rexhbeçaj,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Anton Kade,6.8,6.9,6.9,6.6,7.6,8.0,6.7,7.9,5.9,6.7,6.4,8.0,8.0,7.0,7.5,6.2,8.0,6.9,6.8,6.5,7.1,6.3,1,2,3,15,9,823,13,5,0.7,1,16,3,336,20,10,0.3
FC Bayern München,Royale Union Saint-Gilloise,H,4-2-3-1,3-4-2-1,3,Manuel Neuer,Raphaël Guerreiro,Jonathan Tah,Min-jae Kim,Tom Bischof,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Kjell Scherpen,Kevin Mac Allister,Christian Burgess,Ross Sykes,Anan Khalaili,Adem Zorgane,Kamiel Van de Perre,Guilherme Smith,Raul Florucz,Anouar Ait El Hadj,Promise David,7.1,7.1,7.4,6.2,6.6,8.8,8.1,6.6,6.4,7.2,7.9,6.0,6.6,6.0,6.8,7.8,6.5,6.6,6.5,6.8,6.2,6.7,2,0,6,14,4,917,9,6,0.74,2,5,1,318,26,9,0.26
FC Bayern München,RB Leipzig,A,4-2-3-1,4-3-3,3,Manuel Neuer,Tom Bischof,Dayot Upamecano,Jonathan Tah,Hiroki Itō,Aleksandar Pavlović,Leon Goretzka,Lennart Karl,Serge Gnabry,Luis Díaz,Harry Kane,Péter Gulácsi,Ridle Baku,Willi Orbán,Castello Lukeba,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,7.8,6.2,7.1,8.0,6.3,7.0,6.8,6.8,7.4,7.1,7.8,8.2,5.4,5.6,5.8,6.2,6.6,6.3,5.6,7.7,8.1,7.5,5,1,6,19,9,610,18,7,0.58,7,17,5,432,14,6,0.42
FC Bayern München,1. FC Köln,A,4-2-3-1,3-4-3,3,Manuel Neuer,Konrad Laimer,Min-jae Kim,Jonathan Tah,Hiroki Itō,Aleksandar Pavlović,Leon Goretzka,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,Marvin Schwäbe,Sebastian Sebulonsen,Jahmai Simpson-Pusey,Cenk Özkaçar,Jan Thielmann,Tom Krauß,Jakub Kamiński,Kristoffer Lund,Linton Maina,Ragnar Ache,Said El Mala,7.8,6.9,7.5,6.8,6.9,7.2,6.7,6.3,7.2,6.9,7.3,5.8,5.8,6.3,6.3,6.7,7.3,6.9,6.5,7.8,6.9,7.0,3,1,2,19,6,680,15,3,0.72,1,8,4,248,23,4,0.28
FC Bayern München,VfL Wolfsburg,H,4-2-3-1,4-2-3-1,3,Manuel Neuer,Konrad Laimer,Dayot Upamecano,Jonathan Tah,Josip Stanišić,Aleksandar Pavlović,Tom Bischof,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Kamil Grabara,Saël Kumbedi,Moritz Jenz,Konstantinos Koulierakis,Kilian Fischer,Mattias Svanberg,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,7.2,7.1,6.8,7.7,6.6,7.2,6.9,10.0,6.4,8.1,8.8,6.8,4.6,4.7,5.4,4.1,6.0,6.5,5.9,6.2,6.0,7.6,8,1,7,16,6,714,14,6,0.68,2,8,2,340,26,7,0.32
FC Bayern München,1. FC Heidenheim,A,4-2-3-1,5-3-2,3,Jonas Urbig,Josip Stanišić,Dayot Upamecano,Jonathan Tah,Hiroki Itō,Leon Goretzka,Raphaël Guerreiro,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Diant Ramaj,Haktab Omar Traore,Marnon Busch,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Niklas Dorsch,Luca Kerber,Mathias Honsak,Marvin Pieringer,7.2,8.4,7.5,7.4,6.9,7.3,6.7,9.0,5.7,7.3,8.0,7.6,5.6,6.6,6.5,7.0,5.8,6.6,7.0,6.3,6.3,6.3,4,0,4,23,6,778,10,8,0.74,4,7,0,267,12,6,0.26
FC Bayern München,1. FSV Mainz 05,H,4-2-3-1,5-4-1,1,Manuel Neuer,Josip Stanišić,Min-jae Kim,Hiroki Itō,Tom Bischof,Joshua Kimmich,Leon Goretzka,Michael Olise,Lennart Karl,Serge Gnabry,Harry Kane,Daniel Batz,Sota Kawasaki,Danny da Costa,Stefan Bell,Kacper Potulski,Nikolas Veratschnig,William Bøving,Lennard Maloney,Kaishu Sano,Jae-sung Lee,Benedict Hollerbach,6.4,6.9,6.8,6.7,6.2,7.9,6.5,8.1,7.3,8.0,7.2,7.9,7.0,6.4,6.6,7.7,6.1,7.5,6.5,6.7,7.3,6.4,2,2,9,24,7,971,7,7,0.85,2,5,0,177,19,7,0.15
FC Bayern München,Sporting CP,H,4-2-3-1,5-4-1,3,Manuel Neuer,Konrad Laimer,Dayot Upamecano,Jonathan Tah,Josip Stanišić,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Serge Gnabry,Harry Kane,Rui Silva,Iván Fresneda,Eduardo Quaresma,Ousmane Diomande,Matheus Reis,Maximiliano Araújo,Geny Catamo,Morten Hjulmand,João Simões,Alisson Santos,Luis Javier Suárez,6.6,6.5,7.5,7.8,6.5,7.6,7.4,7.5,8.0,8.5,6.7,7.9,5.9,5.8,6.7,6.6,5.7,6.4,6.6,6.2,6.0,7.0,3,1,3,23,4,681,27,5,0.62,1,4,3,423,12,11,0.38
FC Bayern München,VfB Stuttgart,A,4-2-3-1,4-2-3-1,3,Jonas Urbig,Konrad Laimer,Dayot Upamecano,Min-jae Kim,Tom Bischof,Joshua Kimmich,Leon Goretzka,Michael Olise,Raphaël Guerreiro,Luis Díaz,Nicolas Jackson,Alexander Nübel,Josha Vagnoman,Ameen Al-Dakhil,Ramon Hendriks,Maximilian Mittelstädt,Chema Andrés,Angelo Stiller,Nikolas Nartey,Bilal El Khannouss,Jamie Leweling,Deniz Undav,7.3,7.6,7.0,7.2,6.5,7.3,7.1,7.9,6.2,7.0,6.7,5.9,6.3,5.5,5.8,6.4,7.1,6.8,6.9,6.7,6.4,6.3,5,0,5,19,4,561,6,5,0.59,1,13,3,381,11,11,0.41
FC Bayern München,1. FC Union Berlin,A,4-2-3-1,3-4-1-2,3,Manuel Neuer,Konrad Laimer,Dayot Upamecano,Jonathan Tah,Josip Stanišić,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Aljoscha Kemlein,András Schäfer,Tom Rothe,Rani Khedira,Woo-Yeong Jeong,Ilyas Ansah,7.0,6.1,7.2,6.6,6.4,7.7,6.5,6.4,6.1,6.6,6.9,6.8,5.7,7.1,6.1,7.0,6.4,6.7,6.4,6.7,6.6,6.0,3,2,2,6,4,452,20,14,0.6,4,18,2,291,19,9,0.4
FC Bayern München,FC St. Pauli,H,4-2-3-1,5-4-1,3,Manuel Neuer,Konrad Laimer,Min-jae Kim,Jonathan Tah,Tom Bischof,Joshua Kimmich,Aleksandar Pavlović,Lennart Karl,Raphaël Guerreiro,Luis Díaz,Harry Kane,Nikola Vasilj,Arkadiusz Pyrka,Hauke Wahl,Eric Smith,Karol Mets,Lars Ritzka,Joel Chima Fujita,James Sands,Jackson Irvine,Mathias Pereira Lage,Andreas Hountondji,6.3,5.9,7.8,8.0,6.1,8.2,7.8,6.2,7.5,8.6,6.1,6.1,6.5,6.4,6.3,5.9,6.4,6.5,6.4,6.8,6.7,7.4,3,1,4,19,10,995,7,8,0.8,1,10,2,242,23,5,0.2
FC Bayern München,Arsenal,A,4-2-3-1,4-2-3-1,0,Manuel Neuer,Josip Stanišić,Dayot Upamecano,Jonathan Tah,Konrad Laimer,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Serge Gnabry,Harry Kane,David Raya,Jurriën Timber,William Saliba,Cristhian Mosquera,Myles Lewis-Skelly,Martín Zubimendi,Declan Rice,Bukayo Saka,Eberechi Eze,Leandro Trossard,Mikel Merino,6.3,6.4,5.9,6.2,6.0,6.7,6.7,6.7,7.6,6.8,6.8,6.4,7.8,6.3,6.8,6.0,6.6,7.6,6.7,6.9,6.7,6.4,1,3,1,8,1,533,15,16,0.6,7,13,6,344,8,13,0.4
FC Bayern München,SC Freiburg,H,4-2-3-1,4-4-2,3,Manuel Neuer,Josip Stanišić,Dayot Upamecano,Jonathan Tah,Tom Bischof,Aleksandar Pavlović,Leon Goretzka,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Noah Atubolu,Philipp Treu,Matthias Ginter,Max Rosenfelder,Jordy Makengo,Jan-Niklas Beste,Maximilian Eggestein,Johan Manzambi,Derry Scherhant,Yuito Suzuki,Lucas Höler,6.1,6.5,7.9,6.7,6.5,7.4,6.9,10.0,8.7,5.8,8.0,5.0,5.3,5.1,5.8,5.5,6.4,6.7,7.7,6.2,7.2,6.4,6,2,5,22,3,778,15,7,0.72,0,8,5,296,15,9,0.28
FC Bayern München,1. FC Union Berlin,A,4-2-3-1,3-5-2,1,Manuel Neuer,Konrad Laimer,Dayot Upamecano,Jonathan Tah,Josip Stanišić,Joshua Kimmich,Leon Goretzka,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,András Schäfer,Aljoscha Kemlein,Rani Khedira,Tom Rothe,Oliver Burke,Ilyas Ansah,5.8,6.2,6.8,6.8,6.3,7.3,6.3,5.8,6.3,7.4,8.1,5.9,8.9,6.8,6.9,6.8,6.2,6.7,6.5,6.3,6.4,6.6,2,2,3,12,5,752,12,8,0.74,1,12,6,261,15,8,0.26
FC Bayern München,Paris Saint-Germain,A,4-2-3-1,4-3-3,3,Manuel Neuer,Konrad Laimer,Jonathan Tah,Dayot Upamecano,Josip Stanišić,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,Lucas Chevalier,Achraf Hakimi,Marquinhos,Willian Pacho,Nuno Mendes,Warren Zaïre-Emery,Vitinha,Fabián Ruiz,Bradley Barcola,Ousmane Dembélé,Khvicha Kvaratskhelia,8.2,7.0,7.0,6.7,7.0,6.5,6.4,7.3,6.8,7.6,6.9,7.4,6.1,6.5,6.1,6.4,7.1,7.4,6.6,6.5,6.6,6.8,2,1,5,9,1,299,23,7,0.29,3,25,9,702,19,9,0.71
FC Bayern München,Bayer 04 Leverkusen,H,4-2-3-1,5-4-1,3,Manuel Neuer,Konrad Laimer,Min-jae Kim,Jonathan Tah,Tom Bischof,Joshua Kimmich,Leon Goretzka,Lennart Karl,Raphaël Guerreiro,Serge Gnabry,Nicolas Jackson,Mark Flekken,Arthur,Jarell Quansah,Loïc Badé,Edmond Tapsoba,Jeanuël Belocian,Claudio Echeverri,Robert Andrich,Aleix García,Ernest Poku,Patrik Schick,6.8,7.9,7.5,8.0,7.3,8.2,7.4,6.8,6.7,8.0,7.0,5.5,5.9,6.1,6.8,7.2,6.2,6.5,6.6,6.4,6.4,6.6,3,0,3,18,10,672,20,3,0.59,0,7,4,466,15,11,0.41
FC Bayern München,1. FC Köln,A,4-2-3-1,3-4-3,3,Jonas Urbig,Konrad Laimer,Dayot Upamecano,Jonathan Tah,Josip Stanišić,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,Ron-Robert Zieler,Joel Schmied,Tom Krauß,Eric Martel,Sebastian Sebulonsen,Ísak Bergmann Jóhannesson,Jakub Kamiński,Kristoffer Lund,Marius Bülter,Ragnar Ache,Said El Mala,7.7,7.1,6.7,7.5,6.5,7.7,6.9,8.0,6.4,7.6,8.8,6.7,5.9,5.7,5.6,6.4,6.4,6.5,7.2,7.6,7.4,6.3,4,1,7,16,5,525,17,12,0.6,0,13,6,336,9,14,0.4
FC Bayern München,Borussia M'gladbach,A,4-2-3-1,5-4-1,3,Jonas Urbig,Sacha Boey,Dayot Upamecano,Min-jae Kim,Tom Bischof,Joshua Kimmich,Leon Goretzka,Michael Olise,Harry Kane,Luis Díaz,Nicolas Jackson,Moritz Nicolas,Jens Castrop,Philipp Sander,Nico Elvedi,Kevin Diks,Luca Netz,Franck Honorat,Rocco Reitz,Yannik Engelhardt,Kevin Stöger,Haris Tabaković,6.7,6.6,7.2,7.5,6.6,8.5,8.4,7.2,6.2,6.4,5.6,8.4,3.6,6.2,6.8,7.7,6.2,6.6,7.2,7.2,5.9,6.6,3,0,4,27,8,897,7,6,0.83,1,1,1,186,19,8,0.17
FC Bayern München,Club Brugge KV,H,4-2-3-1,4-1-4-1,3,Manuel Neuer,Raphaël Guerreiro,Dayot Upamecano,Jonathan Tah,Konrad Laimer,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,Nordin Jackers,Kyriani Sabbe,Joel Ordóñez,Brandon Mechele,Bjorn Meijer,Aleksandar Stanković,Carlos Forbs,Lynnt Audoor,Hans Vanaken,Christos Tzolis,Nicolò Tresoldi,7.2,7.1,7.0,7.9,8.2,8.1,7.9,7.7,7.9,8.9,7.1,7.8,5.8,6.3,6.3,6.2,6.5,6.5,6.5,6.6,6.2,6.5,4,0,7,26,9,718,15,3,0.63,0,5,1,419,15,14,0.37
FC Bayern München,Borussia Dortmund,H,4-2-3-1,3-4-2-1,3,Manuel Neuer,Sacha Boey,Dayot Upamecano,Jonathan Tah,Konrad Laimer,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Harry Kane,Luis Díaz,Nicolas Jackson,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Pascal Groß,Marcel Sabitzer,Daniel Svensson,Karim Adeyemi,Felix Nmecha,Serhou Guirassy,6.7,6.3,6.6,6.4,6.4,7.9,7.0,8.1,9.0,6.7,6.2,8.0,6.3,6.9,8.1,7.9,6.2,6.5,6.9,6.3,6.7,6.9,2,1,3,15,4,586,11,17,0.61,2,8,3,369,18,12,0.39
