Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
FC St. Pauli,Bayer 04 Leverkusen,A,3-4-2-1,3-4-2-1,0,Nikola Vasilj,Adam Dźwigała,Tomoya Ando,Karol Mets,Manolis Saliakas,James Sands,Jackson Irvine,Arkadiusz Pyrka,Danel Sinani,Mathias Rasmussen,Martijn Kaars,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Lucas Vázquez,Exequiel Palacios,Aleix García,Alejandro Grimaldo,Ibrahim Maza,Ernest Poku,Patrik Schick,6.2,6.2,6.1,5.8,6.4,6.3,6.1,6.4,6.7,6.4,6.1,6.7,8.2,6.9,8.9,7.5,7.1,7.6,6.6,6.4,9.3,7.5,0,4,1,11,3,383,19,7,0.32,5,12,8,846,8,11,0.68
FC St. Pauli,VfB Stuttgart,H,3-4-2-1,4-2-3-1,3,Nikola Vasilj,Adam Dźwigała,Tomoya Ando,Karol Mets,Manolis Saliakas,James Sands,Jackson Irvine,Arkadiusz Pyrka,Danel Sinani,Mathias Rasmussen,Martijn Kaars,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Ramon Hendriks,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Bilal El Khannouss,Deniz Undav,Chris Führich,Ermedin Demirović,6.4,6.5,6.7,6.9,8.3,6.6,6.9,7.2,6.8,6.5,6.3,7.9,6.0,7.3,7.0,7.2,6.6,7.2,6.5,6.3,6.2,6.6,2,1,2,15,5,307,8,9,0.32,2,7,5,660,13,9,0.68
FC St. Pauli,Bayer 04 Leverkusen,A,3-4-2-1,3-4-2-1,0,Ben Voll,Tomoya Ando,James Sands,Karol Mets,Arkadiusz Pyrka,Mathias Rasmussen,Joel Chima Fujita,Louis Oppie,Danel Sinani,Mathias Pereira Lage,Martijn Kaars,Janis Blaswich,Jarell Quansah,Robert Andrich,Edmond Tapsoba,Lucas Vázquez,Exequiel Palacios,Aleix García,Alejandro Grimaldo,Malik Tillman,Martin Terrier,Patrik Schick,5.3,6.7,6.3,6.9,6.9,7.3,6.2,7.0,6.8,6.4,5.1,6.3,6.8,9.2,7.4,6.9,7.8,7.6,7.5,6.3,8.0,7.6,0,3,3,10,5,505,28,6,0.39,3,8,4,798,12,14,0.61
FC St. Pauli,FC Augsburg,A,3-4-2-1,3-4-2-1,0,Nikola Vasilj,Tomoya Ando,Eric Smith,Karol Mets,Manolis Saliakas,Mathias Rasmussen,James Sands,Arkadiusz Pyrka,Danel Sinani,Joel Chima Fujita,Ricky-Jade Jones,Finn Dahmen,Arthur Chaves,Keven Schlotterbeck,Noahkai Banks,Robin Fellhauer,Han-Noah Massengo,Elvis Rexhbeçaj,Marius Wolf,Fabian Rieder,Alexis Claude-Maurice,Michael Gregoritsch,7.1,7.1,6.2,7.0,7.1,6.6,6.6,6.7,6.9,6.6,5.8,7.6,8.0,7.9,7.5,6.4,7.1,6.6,5.9,6.1,7.8,8.9,1,2,5,17,5,526,18,14,0.56,5,12,5,417,13,13,0.44
FC St. Pauli,RB Leipzig,H,3-4-2-1,4-3-3,1,Nikola Vasilj,Tomoya Ando,Hauke Wahl,Karol Mets,Manolis Saliakas,James Sands,Eric Smith,Arkadiusz Pyrka,Danel Sinani,Joel Chima Fujita,Ricky-Jade Jones,Péter Gulácsi,Ridle Baku,Willi Orbán,El Chadaille Bitshiabu,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,7.4,7.1,7.1,7.2,6.9,6.6,6.7,6.9,6.6,6.6,6.3,7.1,7.0,7.4,7.1,5.4,6.9,6.6,6.5,8.1,5.4,6.6,1,1,2,7,4,513,25,7,0.46,2,12,3,603,10,6,0.54
FC St. Pauli,Hamburger SV,H,3-4-3,4-2-3-1,1,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Eric Smith,Louis Oppie,Joel Chima Fujita,Martijn Kaars,Mathias Pereira Lage,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Miro Muheim,Fábio Vieira,Nicolai Remberg,Bakery Jatta,Ransford Yeboah Königsdörffer,Alexander Røssing-Lelesiit,Damion Downs,7.3,7.4,7.0,7.0,6.6,7.0,7.0,6.6,6.6,6.4,6.1,8.0,7.3,8.1,7.8,7.7,7.2,6.3,6.5,6.2,6.5,6.0,0,0,,8,5,420,16,13,0.43,,5,4,581,13,15,0.57
FC St. Pauli,Borussia Dortmund,A,3-4-2-1,3-4-2-1,0,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Eric Smith,Lars Ritzka,Joel Chima Fujita,Mathias Pereira Lage,Martijn Kaars,Gregor Kobel,Emre Can,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Fábio Silva,6.3,6.2,6.8,5.9,6.5,8.3,7.1,6.7,6.5,7.1,6.1,6.8,7.5,7.7,6.8,6.6,6.6,6.5,6.7,8.6,8.3,6.3,2,3,1,9,5,362,22,9,0.37,4,10,5,645,10,10,0.63
FC St. Pauli,VfL Wolfsburg,A,3-4-1-2,4-2-3-1,0,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Eric Smith,Lars Ritzka,Joel Chima Fujita,Ricky-Jade Jones,Mathias Pereira Lage,Kamil Grabara,Saël Kumbedi,Moritz Jenz,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,7.1,6.6,6.7,6.9,7.0,6.3,8.0,6.2,7.0,6.7,7.2,8.1,6.3,6.9,7.4,7.0,6.6,7.6,6.6,7.1,7.1,7.3,1,2,2,9,4,396,18,10,0.39,2,13,7,620,13,8,0.61
FC St. Pauli,1. FSV Mainz 05,A,3-4-1-2,5-3-2,1,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Jackson Irvine,Louis Oppie,Joel Chima Fujita,Andreas Hountondji,Mathias Pereira Lage,Daniel Batz,Danny da Costa,Dominik Kohr,Andreas Hanche-Olsen,Kacper Potulski,Silvan Widmer,Paul Nebel,Kaishu Sano,Jae-sung Lee,Benedict Hollerbach,Nadiem Amiri,6.8,7.4,6.9,7.4,6.8,7.2,7.3,7.1,6.6,6.1,6.7,7.5,6.8,7.6,7.8,7.1,6.6,6.2,6.9,6.6,6.2,6.6,0,0,0,5,5,366,17,5,0.47,5,13,9,404,8,9,0.53
FC St. Pauli,1. FC Heidenheim,H,3-4-2-1,3-4-2-1,3,Nikola Vasilj,Hauke Wahl,Eric Smith,Karol Mets,Arkadiusz Pyrka,James Sands,Jackson Irvine,Louis Oppie,Joel Chima Fujita,Mathias Pereira Lage,Martijn Kaars,Diant Ramaj,Thomas Keller,Patrick Mainka,Tim Siersleben,Marnon Busch,Jan Schöppner,Julian Niehues,Jonas Föhrenbach,Adrian Beck,Arijon Ibrahimović,Marvin Pieringer,8.2,6.9,6.6,7.4,6.2,6.1,7.3,6.6,7.8,6.0,8.3,6.6,6.5,7.2,7.7,7.3,6.3,6.5,6.6,7.0,7.0,7.3,2,1,2,8,4,347,3,15,0.36,3,20,11,594,9,6,0.64
