Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Hamburger SV,1. FSV Mainz 05,A,3-4-2-1,3-5-2,1,Daniel Heuer Fernandes,Warmed Omari,Jordan Torunarigha,Nicolás Capaldo,Bakery Jatta,Fábio Vieira,Nicolai Remberg,Miro Muheim,Ransford Yeboah Königsdörffer,Philip Otele,Robert Glatzel,Daniel Batz,Dominik Kohr,Stefan Posch,Kacper Potulski,Danny da Costa,Jae-sung Lee,Kaishu Sano,Nadiem Amiri,Phillipp Mwene,Silas,Phillip Tietz,6.7,6.9,7.2,6.8,6.3,7.8,7.0,6.8,6.5,6.5,6.5,6.9,7.1,7.2,5.9,7.4,6.7,7.0,8.0,7.2,6.5,5.9,1,1,1,14,2,406,12,16,0.55,2,17,7,315,19,13,0.45
Hamburger SV,1. FC Union Berlin,H,3-4-3,3-4-2-1,3,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Bakery Jatta,Fábio Vieira,Nicolai Remberg,Miro Muheim,Ransford Yeboah Königsdörffer,Robert Glatzel,Philip Otele,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Stanley N'Soki,Christopher Trimmel,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Andrej Ilić,6.7,7.1,6.4,6.5,7.0,7.2,6.4,6.8,8.5,6.7,7.5,5.8,5.9,7.0,6.6,7.4,6.6,6.6,6.4,6.3,6.7,7.6,3,2,5,13,6,442,13,7,0.56,3,12,3,336,13,11,0.44
Hamburger SV,1. FC Heidenheim,A,3-4-2-1,3-4-2-1,3,Daniel Heuer Fernandes,Warmed Omari,Luka Vušković,Daniel Elfadli,Bakery Jatta,Nicolai Remberg,Albert Sambi Lokonga,Miro Muheim,Fábio Vieira,Philip Otele,Ransford Yeboah Königsdörffer,Diant Ramaj,Marnon Busch,Patrick Mainka,Benedikt Gimber,Haktab Omar Traore,Julian Niehues,Niklas Dorsch,Hennes Behrens,Eren Dinkçi,Arijon Ibrahimović,Marvin Pieringer,8.2,6.8,7.3,6.6,7.1,6.7,6.7,6.4,7.4,7.0,7.2,6.6,7.5,6.6,7.0,6.4,6.9,7.7,7.3,6.8,6.7,6.7,2,0,1,14,8,413,9,6,0.52,2,20,10,378,17,11,0.48
Hamburger SV,FC Bayern München,H,3-5-1-1,4-2-3-1,1,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Daniel Elfadli,Bakery Jatta,Albert Sambi Lokonga,Nicolai Remberg,Miro Muheim,William Mikelbrencis,Fábio Vieira,Ransford Yeboah Königsdörffer,Manuel Neuer,Josip Stanišić,Dayot Upamecano,Min-jae Kim,Alphonso Davies,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Lennart Karl,Serge Gnabry,Harry Kane,8.2,6.5,7.5,6.8,6.3,6.8,7.2,7.8,7.0,7.0,6.8,6.1,5.8,7.0,7.0,6.5,7.1,7.0,6.3,6.6,6.7,7.0,2,2,5,14,3,262,23,15,0.28,5,13,9,689,8,12,0.72
Hamburger SV,FC St. Pauli,A,4-2-3-1,3-4-3,1,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Miro Muheim,Fábio Vieira,Nicolai Remberg,Bakery Jatta,Ransford Yeboah Königsdörffer,Alexander Røssing-Lelesiit,Damion Downs,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Eric Smith,Louis Oppie,Joel Chima Fujita,Martijn Kaars,Mathias Pereira Lage,8.0,7.3,8.1,7.8,7.7,7.2,6.3,6.5,6.2,6.5,6.0,7.3,7.4,7.0,7.0,6.6,7.0,7.0,6.6,6.6,6.4,6.1,0,0,,5,4,581,13,15,0.57,,8,5,420,16,13,0.43
Hamburger SV,Borussia M'gladbach,H,3-4-3,3-4-2-1,1,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Bakery Jatta,Fábio Vieira,Nicolai Remberg,Miro Muheim,Ransford Yeboah Königsdörffer,Damion Downs,Jean-Luc Dompé,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Joseph Scally,Rocco Reitz,Yannik Engelhardt,Luca Netz,Franck Honorat,Florian Neuhaus,Haris Tabaković,6.6,7.4,7.3,7.4,7.2,7.1,6.9,6.9,6.7,6.2,6.9,8.9,7.4,6.8,7.1,7.0,7.2,6.1,6.5,6.5,6.7,5.8,0,0,2,25,2,538,7,18,0.57,1,6,5,409,12,16,0.43
Hamburger SV,SC Freiburg,A,3-4-3,4-2-3-1,0,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Daniel Elfadli,Bakery Jatta,Albert Sambi Lokonga,Nicolai Remberg,Miro Muheim,Fábio Vieira,Damion Downs,Jean-Luc Dompé,Noah Atubolu,Lukas Kübler,Matthias Ginter,Philipp Lienhart,Christian Günter,Maximilian Eggestein,Johan Manzambi,Philipp Treu,Yuito Suzuki,Vincenzo Grifo,Lucas Höler,7.5,6.4,7.4,5.0,6.1,6.7,7.4,7.1,7.1,6.1,6.6,7.4,6.2,7.1,7.3,7.2,6.5,6.7,6.5,6.7,7.1,6.7,1,2,1,10,3,341,10,13,0.4,3,20,0,514,12,10,0.6
Hamburger SV,Eintracht Frankfurt,H,4-3-3,3-4-2-1,1,Daniel Heuer Fernandes,William Mikelbrencis,Luka Vušković,Daniel Elfadli,Miro Muheim,Nicolás Capaldo,Albert Sambi Lokonga,Nicolai Remberg,Rayan Philippe,Ransford Yeboah Königsdörffer,Fabio Baldé,Michael Zetterer,Nnamdi Collins,Robin Koch,Aurèle Amenda,Rasmus Kristensen,Hugo Larsson,Mahmoud Dahoud,Nathaniel Brown,Ritsu Doan,Jean-Mattéo Bahoya,Ansgar Knauff,7.2,6.1,6.9,6.8,7.1,7.1,8.5,6.9,6.3,6.6,7.3,6.8,6.4,7.3,7.0,6.5,7.6,6.3,8.2,6.1,6.9,6.5,1,1,1,9,5,372,18,12,0.4,2,9,5,563,11,8,0.6
Hamburger SV,TSG Hoffenheim,A,3-4-3,4-4-2,0,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Giorgi Gocholeishvili,Albert Sambi Lokonga,Jonas Meffert,Miro Muheim,Fábio Vieira,Ransford Yeboah Königsdörffer,Fabio Baldé,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Albian Hajdari,Grischa Prömel,Leon Avdullahu,Wouter Burger,Bazoumana Touré,Tim Lemperle,Andrej Kramarić,6.0,5.8,6.3,5.6,6.4,6.3,6.6,6.9,7.4,6.6,6.6,5.6,6.4,7.3,7.9,6.9,8.3,7.3,7.0,6.9,7.1,6.8,1,4,2,14,3,389,12,15,0.41,5,10,3,562,18,10,0.59
Hamburger SV,SV Werder Bremen,H,3-4-3,4-2-3-1,3,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Bakery Jatta,Albert Sambi Lokonga,Nicolai Remberg,Aboubaka Soumahoro,Fábio Vieira,Rayan Philippe,Jean-Luc Dompé,Mio Backhaus,Yukinari Sugawara,Amos Pieper,Karim Coulibaly,Marco Friedl,Senne Lynen,Jens Stage,Cameron Puertas,Romano Schmid,Marco Grüll,Keke Topp,6.5,6.4,7.3,6.7,7.2,8.0,7.5,6.3,7.2,6.5,7.7,6.6,5.9,6.6,6.1,5.9,5.9,7.8,6.1,6.6,6.6,6.2,3,2,3,12,5,456,18,13,0.54,1,10,3,384,14,8,0.46
