Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
RB Leipzig,1. FC Köln,A,4-3-3,5-3-2,3,Péter Gulácsi,Benjamin Henrichs,Willi Orbán,Nicolas Seiwald,David Raum,Brajan Gruda,Xaver Schlager,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,Marvin Schwäbe,Jan Thielmann,Sebastian Sebulonsen,Eric Martel,Cenk Özkaçar,Kristoffer Lund,Ísak Bergmann Jóhannesson,Tom Krauß,Jakub Kamiński,Ragnar Ache,Said El Mala,6.5,6.4,7.7,6.7,7.3,6.5,7.4,9.7,7.6,7.1,7.0,7.3,7.0,6.0,5.9,6.6,7.2,6.8,7.7,7.3,6.8,6.2,2,1,5,19,3,431,19,7,0.54,3,10,4,341,21,13,0.46
RB Leipzig,1. FSV Mainz 05,H,4-4-1-1,3-5-2,0,Péter Gulácsi,Ridle Baku,Willi Orbán,El Chadaille Bitshiabu,David Raum,Yan Diomande,Nicolas Seiwald,Xaver Schlager,Antonio Nusa,Rômulo,Conrad Harder,Daniel Batz,Stefan Posch,Stefan Bell,Kacper Potulski,Danny da Costa,Nadiem Amiri,Kaishu Sano,Jae-sung Lee,Silvan Widmer,Benedict Hollerbach,Phillip Tietz,6.1,6.1,6.8,6.8,7.1,7.8,7.5,6.5,8.0,6.0,7.5,7.7,6.9,6.9,6.7,7.3,7.1,7.2,6.9,6.7,6.2,6.3,1,2,3,15,5,700,11,13,0.7,4,11,4,300,28,3,0.3
RB Leipzig,FC St. Pauli,A,4-3-3,3-4-2-1,1,Péter Gulácsi,Ridle Baku,Willi Orbán,El Chadaille Bitshiabu,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,Nikola Vasilj,Tomoya Ando,Hauke Wahl,Karol Mets,Manolis Saliakas,James Sands,Eric Smith,Arkadiusz Pyrka,Danel Sinani,Joel Chima Fujita,Ricky-Jade Jones,7.1,7.0,7.4,7.1,5.4,6.9,6.6,6.5,8.1,5.4,6.6,7.4,7.1,7.1,7.2,6.9,6.6,6.7,6.9,6.6,6.6,6.3,1,1,2,12,3,603,10,6,0.54,2,7,4,513,25,7,0.46
RB Leipzig,1. FC Heidenheim,A,4-3-3,4-2-3-1,3,Péter Gulácsi,Ridle Baku,Willi Orbán,El Chadaille Bitshiabu,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,Diant Ramaj,Leonidas Stergiou,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Niklas Dorsch,Arijon Ibrahimović,Adrian Beck,Mathias Honsak,Marvin Pieringer,8.0,8.1,8.2,7.3,8.4,6.8,7.5,6.2,7.3,6.3,7.7,6.4,6.9,6.0,5.8,6.5,6.1,6.8,6.8,6.2,6.6,6.3,3,0,3,11,0,702,20,10,0.74,2,7,4,237,27,9,0.26
RB Leipzig,FC Bayern München,H,4-3-3,4-2-3-1,0,Péter Gulácsi,Ridle Baku,Willi Orbán,Castello Lukeba,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Yan Diomande,Rômulo,Antonio Nusa,Manuel Neuer,Tom Bischof,Dayot Upamecano,Jonathan Tah,Hiroki Itō,Aleksandar Pavlović,Leon Goretzka,Lennart Karl,Serge Gnabry,Luis Díaz,Harry Kane,8.2,5.4,5.6,5.8,6.2,6.6,6.3,5.6,7.7,8.1,7.5,7.8,6.2,7.1,8.0,6.3,7.0,6.8,6.8,7.4,7.1,7.8,1,5,7,17,5,432,14,6,0.42,6,19,9,610,18,7,0.58
RB Leipzig,SC Freiburg,H,4-3-3,4-2-3-1,3,Péter Gulácsi,Ridle Baku,Willi Orbán,Castello Lukeba,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Tidiam Gomis,Rômulo,Assan Ouédraogo,Noah Atubolu,Lukas Kübler,Bruno Ogbus,Anthony Jung,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Philipp Treu,Yuito Suzuki,Johan Manzambi,Lucas Höler,6.8,7.3,8.5,7.1,8.4,6.6,6.9,6.9,6.5,6.8,6.6,8.5,6.3,7.1,6.8,6.3,7.0,6.7,6.5,6.8,6.4,7.1,2,0,4,21,7,552,13,16,0.64,0,3,2,313,26,12,0.36
RB Leipzig,Bayer 04 Leverkusen,H,4-3-3,3-4-2-1,0,Péter Gulácsi,Kosta Nedeljković,Willi Orbán,Castello Lukeba,David Raum,Christoph Baumgartner,Nicolas Seiwald,Xaver Schlager,Conrad Harder,Rômulo,Tidiam Gomis,Mark Flekken,Robert Andrich,Loïc Badé,Jeanuël Belocian,Arthur,Aleix García,Malik Tillman,Nathan Tella,Jonas Hofmann,Martin Terrier,Patrik Schick,7.7,6.0,6.6,6.4,7.8,7.5,6.4,8.8,6.5,6.3,6.6,8.8,6.8,7.9,6.5,6.9,6.7,6.8,6.8,6.6,7.7,7.1,1,3,2,19,2,474,16,12,0.44,5,15,8,608,10,10,0.56
RB Leipzig,1. FC Union Berlin,A,4-3-3,3-4-2-1,0,Péter Gulácsi,Kosta Nedeljković,Willi Orbán,Castello Lukeba,David Raum,Christoph Baumgartner,Nicolas Seiwald,Xaver Schlager,Johan Bakayoko,Conrad Harder,Yan Diomande,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Derrick Köhn,Woo-Yeong Jeong,Ilyas Ansah,Oliver Burke,5.8,5.6,7.1,6.2,6.5,5.9,7.1,6.4,6.7,6.1,7.2,7.1,7.0,7.7,6.3,6.3,6.7,7.3,8.0,6.7,7.2,7.5,1,3,0,9,6,558,14,7,0.63,3,12,4,311,35,8,0.37
RB Leipzig,Eintracht Frankfurt,H,4-3-3,3-4-2-1,3,Péter Gulácsi,Kosta Nedeljković,Willi Orbán,Castello Lukeba,David Raum,Christoph Baumgartner,Nicolas Seiwald,Xaver Schlager,Yan Diomande,Conrad Harder,Antonio Nusa,Michael Zetterer,Nnamdi Collins,Robin Koch,Arthur Theate,Rasmus Kristensen,Farès Chaïbi,Mahmoud Dahoud,Nathaniel Brown,Ritsu Doan,Jean-Mattéo Bahoya,Michy Batshuayi,7.2,6.9,8.2,7.8,7.9,8.3,7.3,7.3,10.0,8.6,7.2,4.6,5.3,5.4,5.7,7.0,6.2,5.9,6.3,6.3,6.6,5.9,6,0,6,16,4,484,16,16,0.52,1,8,0,453,24,9,0.48
RB Leipzig,1. FC Magdeburg,H,4-2-3-1,4-3-3,3,Maarten Vandevoordt,Lukas Klostermann,Willi Orbán,Castello Lukeba,David Raum,Nicolas Seiwald,Ezechiel Banzuzi,Yan Diomande,Christoph Baumgartner,Antonio Nusa,Conrad Harder,Dominik Reimann,Lubambo Musonda,Marcus Mathisen,Tobias Müller,Alexander Nollenberger,Laurin Ulrich,Falko Michel,Silas Gnaka,Noah Pesch,Mateusz Żukowski,Barış Atik,7.1,6.0,6.9,6.9,7.2,7.0,6.4,7.0,9.1,9.1,6.1,7.1,5.5,6.5,6.7,6.4,6.9,6.9,7.4,6.1,6.4,6.6,3,1,5,16,2,491,10,11,0.5,1,11,8,497,22,6,0.5
