Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
SC Freiburg,TSG Hoffenheim,A,4-2-3-1,4-3-3,0,Noah Atubolu,Philipp Treu,Matthias Ginter,Bruno Ogbus,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Cyriaque Irié,Yuito Suzuki,Derry Scherhant,Lucas Höler,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Albian Hajdari,Grischa Prömel,Leon Avdullahu,Wouter Burger,Andrej Kramarić,Fisnik Asllani,Bazoumana Touré,7.4,6.3,6.1,6.4,6.2,6.7,6.0,6.8,6.1,6.2,6.2,7.6,9.1,7.3,8.6,7.1,6.9,7.2,7.8,7.4,7.2,7.0,0,3,0,13,6,331,6,8,0.39,2,25,6,523,17,6,0.61
SC Freiburg,Hertha BSC,A,4-2-3-1,3-4-2-1,3,Florian Müller,Philipp Treu,Matthias Ginter,Max Rosenfelder,Jordy Makengo,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Yuito Suzuki,Derry Scherhant,Igor Matanović,Tjark Ernst,Linus Gechter,Toni Leistner,Márton Dárdai,Julian Eitschberger,Michaël Cuisance,Paul Seguin,Michał Karbownik,Fabian Reese,Marten Winkler,Dawid Kownacki,8.5,7.0,7.5,7.0,6.9,6.8,6.6,6.8,9.0,7.0,5.7,9.8,6.2,6.4,6.9,6.9,6.7,7.6,6.5,8.6,6.9,7.0,6,5,3,18,5,524,23,14,0.48,1,11,6,560,25,9,0.52
SC Freiburg,SV Werder Bremen,H,4-2-3-1,3-1-4-2,3,Noah Atubolu,Bruno Ogbus,Matthias Ginter,Max Rosenfelder,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Johan Manzambi,Vincenzo Grifo,Igor Matanović,Mio Backhaus,Julián Malatini,Marco Friedl,Karim Coulibaly,Senne Lynen,Yukinari Sugawara,Jens Stage,Romano Schmid,Olivier Deman,Justin Njinmah,Keke Topp,8.4,6.8,7.2,7.5,6.7,7.7,6.8,7.8,5.5,6.8,7.1,6.7,6.0,7.8,7.0,6.5,7.0,6.4,6.2,6.7,6.6,5.8,1,0,0,7,4,280,11,12,0.33,1,17,8,554,15,9,0.67
SC Freiburg,VfB Stuttgart,A,4-2-3-1,4-2-3-1,0,Noah Atubolu,Philipp Treu,Matthias Ginter,Max Rosenfelder,Jordy Makengo,Maximilian Eggestein,Johan Manzambi,Jan-Niklas Beste,Yuito Suzuki,Derry Scherhant,Igor Matanović,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Atakan Karazor,Angelo Stiller,Bilal El Khannouss,Nikolas Nartey,Jamie Leweling,Deniz Undav,7.9,7.2,7.7,6.4,6.7,6.9,6.9,6.8,6.9,6.3,7.0,7.6,7.1,7.2,7.4,6.7,6.7,7.1,7.3,7.1,6.4,6.1,0,1,2,11,2,229,11,14,0.31,4,18,6,512,14,14,0.69
SC Freiburg,Lille,A,4-2-3-1,4-4-2,0,Noah Atubolu,Philipp Treu,Matthias Ginter,Bruno Ogbus,Christian Günter,Maximilian Eggestein,Johan Manzambi,Jan-Niklas Beste,Yuito Suzuki,Vincenzo Grifo,Junior Adamu,Berke Özer,Tiago Santos,Nathan Ngoy,Aïssa Mandi,Calvin Verdonk,Ngal'ayel Mukau,Benjamin André,Ayyoub Bouaddi,Félix Correia,Matías Fernández,Hakon Arnar Haraldsson,6.8,6.6,6.6,7.0,6.5,6.3,6.5,6.9,7.0,6.9,6.0,6.8,7.2,8.5,7.3,6.6,6.7,6.8,7.1,6.7,7.4,6.9,0,1,1,4,2,295,13,16,0.35,2,10,8,538,13,16,0.65
SC Freiburg,1. FC Köln,H,4-2-3-1,4-4-2,3,Noah Atubolu,Lukas Kübler,Matthias Ginter,Max Rosenfelder,Philipp Treu,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Yuito Suzuki,Derry Scherhant,Igor Matanović,Marvin Schwäbe,Alessio Castro-Montes,Sebastian Sebulonsen,Rav van den Berg,Kristoffer Lund,Jan Thielmann,Tom Krauß,Jakub Kamiński,Linton Maina,Ragnar Ache,Marius Bülter,8.0,6.9,7.6,5.6,6.9,6.6,6.8,6.7,7.7,7.0,6.0,7.3,6.8,6.6,6.3,6.9,6.6,7.0,6.7,6.3,6.7,6.8,2,1,3,13,5,379,11,8,0.47,2,19,5,421,19,5,0.53
SC Freiburg,Maccabi Tel Aviv,H,4-2-3-1,3-4-2-1,3,Noah Atubolu,Philipp Treu,Matthias Ginter,Max Rosenfelder,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Yuito Suzuki,Derry Scherhant,Igor Matanović,Roei Mashpati,Itai Ben Hamo,Raz Shlomo,Heitor,Noam Ben Harush,Itamar Noy,Ben Lederman,Roy Revivo,Saied Abu Farchi,Sagiv Jehezkel,Dor Peretz,7.4,7.1,7.6,7.5,8.1,7.3,7.0,7.2,6.8,6.5,7.6,8.6,6.7,7.4,6.9,6.4,6.5,6.6,7.2,6.8,6.9,6.5,1,0,3,21,5,457,13,14,0.59,0,4,4,337,14,9,0.41
SC Freiburg,FC Augsburg,A,4-2-3-1,3-4-2-1,1,Noah Atubolu,Lukas Kübler,Matthias Ginter,Bruno Ogbus,Jordy Makengo,Maximilian Eggestein,Johan Manzambi,Philipp Treu,Lucas Höler,Vincenzo Grifo,Igor Matanović,Finn Dahmen,Noahkai Banks,Yannik Keitel,Keven Schlotterbeck,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Michael Gregoritsch,6.4,6.7,6.8,7.6,6.0,6.9,7.2,6.5,6.1,6.8,7.8,6.9,7.2,6.4,7.2,6.7,7.2,6.3,6.2,6.8,7.8,6.8,2,2,2,13,6,420,17,11,0.55,1,13,9,334,17,14,0.45
SC Freiburg,RB Leipzig,A,4-2-3-1,4-3-3,0,Noah Atubolu,Lukas Kübler,Bruno Ogbus,Anthony Jung,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Philipp Treu,Yuito Suzuki,Johan Manzambi,Lucas Höler,Péter Gulácsi,Ridle Baku,Willi Orbán,Castello Lukeba,David Raum,Xaver Schlager,Nicolas Seiwald,Christoph Baumgartner,Tidiam Gomis,Rômulo,Assan Ouédraogo,8.5,6.3,7.1,6.8,6.3,7.0,6.7,6.5,6.8,6.4,7.1,6.8,7.3,8.5,7.1,8.4,6.6,6.9,6.9,6.5,6.8,6.6,0,2,0,3,2,313,26,12,0.36,4,21,7,552,13,16,0.64
SC Freiburg,Hamburger SV,H,4-2-3-1,3-4-3,3,Noah Atubolu,Lukas Kübler,Matthias Ginter,Philipp Lienhart,Christian Günter,Maximilian Eggestein,Johan Manzambi,Philipp Treu,Yuito Suzuki,Vincenzo Grifo,Lucas Höler,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Daniel Elfadli,Bakery Jatta,Albert Sambi Lokonga,Nicolai Remberg,Miro Muheim,Fábio Vieira,Damion Downs,Jean-Luc Dompé,7.4,6.2,7.1,7.3,7.2,6.5,6.7,6.5,6.7,7.1,6.7,7.5,6.4,7.4,5.0,6.1,6.7,7.4,7.1,7.1,6.1,6.6,2,1,3,20,0,514,12,10,0.6,1,10,3,341,10,13,0.4
