Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
SV Werder Bremen,FC Bayern München,H,3-4-1-2,4-2-3-1,0,Mio Backhaus,Niklas Stark,Marco Friedl,Karim Coulibaly,Justin Njinmah,Jens Stage,Senne Lynen,Felix Agu,Romano Schmid,Cameron Puertas,Marco Grüll,Manuel Neuer,Josip Stanišić,Jonathan Tah,Min-jae Kim,Konrad Laimer,Joshua Kimmich,Leon Goretzka,Lennart Karl,Serge Gnabry,Luis Díaz,Harry Kane,6.2,5.9,6.8,6.5,6.4,6.6,5.8,7.0,7.6,7.1,6.7,6.8,6.7,7.7,7.8,6.7,7.2,8.0,7.0,6.2,6.5,8.3,0,3,0,14,2,387,31,6,0.35,4,11,4,717,12,9,0.65
SV Werder Bremen,SC Freiburg,A,3-1-4-2,4-2-3-1,0,Mio Backhaus,Julián Malatini,Marco Friedl,Karim Coulibaly,Senne Lynen,Yukinari Sugawara,Jens Stage,Romano Schmid,Olivier Deman,Justin Njinmah,Keke Topp,Noah Atubolu,Bruno Ogbus,Matthias Ginter,Max Rosenfelder,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Jan-Niklas Beste,Johan Manzambi,Vincenzo Grifo,Igor Matanović,6.7,6.0,7.8,7.0,6.5,7.0,6.4,6.2,6.7,6.6,5.8,8.4,6.8,7.2,7.5,6.7,7.7,6.8,7.8,5.5,6.8,7.1,0,1,1,17,8,554,15,9,0.67,0,7,4,280,11,12,0.33
SV Werder Bremen,Borussia M'gladbach,H,3-4-2-1,5-4-1,1,Mio Backhaus,Julián Malatini,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Jens Stage,Senne Lynen,Olivier Deman,Romano Schmid,Samuel Mbangula,Justin Njinmah,Moritz Nicolas,Joseph Scally,Philipp Sander,Nico Elvedi,Fabio Chiarodia,Luca Netz,Franck Honorat,Rocco Reitz,Yannik Engelhardt,Florian Neuhaus,Haris Tabaković,6.7,6.4,7.4,6.6,6.3,7.0,6.4,7.1,7.1,7.7,6.4,7.2,6.8,7.3,7.7,6.4,6.5,6.4,6.0,7.1,6.6,7.1,1,1,0,18,7,611,17,14,0.68,2,7,3,292,17,10,0.32
SV Werder Bremen,TSG Hoffenheim,H,3-5-2,4-1-4-1,0,Mio Backhaus,Julián Malatini,Senne Lynen,Karim Coulibaly,Yukinari Sugawara,Romano Schmid,Cameron Puertas,Jens Stage,Olivier Deman,Jovan Milošević,Justin Njinmah,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Leon Avdullahu,Grischa Prömel,Wouter Burger,Andrej Kramarić,Alexander Prass,Tim Lemperle,6.9,6.3,7.2,6.2,7.0,6.7,7.0,6.6,7.0,6.9,6.4,6.9,7.1,7.5,7.3,6.7,6.9,7.5,6.3,7.2,7.9,6.0,0,2,1,26,6,522,13,10,0.59,1,12,7,373,13,7,0.41
SV Werder Bremen,Bayer 04 Leverkusen,A,3-5-2,3-4-2-1,0,Mio Backhaus,Amos Pieper,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Romano Schmid,Senne Lynen,Jens Stage,Isaac Schmidt,Justin Njinmah,Marco Grüll,Janis Blaswich,Jarell Quansah,Robert Andrich,Loïc Badé,Lucas Vázquez,Ibrahim Maza,Aleix García,Alejandro Grimaldo,Jonas Hofmann,Ernest Poku,Patrik Schick,8.1,6.8,8.1,6.6,6.3,6.4,7.0,6.3,6.5,6.4,6.3,7.9,7.3,7.1,8.0,7.6,7.5,7.1,6.4,7.2,5.9,7.5,0,1,0,17,5,555,18,6,0.5,4,13,5,551,13,9,0.5
SV Werder Bremen,Eintracht Frankfurt,H,3-4-2-1,4-2-3-1,1,Mio Backhaus,Amos Pieper,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Senne Lynen,Jens Stage,Isaac Schmidt,Romano Schmid,Marco Grüll,Justin Njinmah,Kauã Santos,Rasmus Kristensen,Nnamdi Collins,Robin Koch,Arthur Theate,Mahmoud Dahoud,Ellyes Skhiri,Ritsu Doan,Farès Chaïbi,Nathaniel Brown,Arnaud Kalimuendo,5.7,7.1,6.5,6.3,6.9,7.0,7.9,6.7,6.9,6.0,7.6,6.0,6.3,7.5,6.6,6.3,6.5,6.6,6.2,6.3,7.0,6.7,3,3,3,13,4,524,17,15,0.6,4,8,1,345,21,8,0.4
SV Werder Bremen,Borussia Dortmund,A,3-4-2-1,3-4-2-1,0,Mio Backhaus,Amos Pieper,Marco Friedl,Karim Coulibaly,Yukinari Sugawara,Senne Lynen,Jens Stage,Isaac Schmidt,Romano Schmid,Marco Grüll,Justin Njinmah,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Marcel Sabitzer,Felix Nmecha,Julian Ryerson,Maximilian Beier,Carney Chukwuemeka,Fábio Silva,6.5,6.9,6.0,6.4,6.1,6.3,6.0,6.5,6.5,6.9,6.7,7.0,6.7,7.3,9.0,7.2,7.6,7.3,7.7,6.2,6.3,6.9,0,3,1,6,3,553,11,14,0.54,3,18,3,459,18,8,0.46
SV Werder Bremen,FC Augsburg,A,3-5-2,3-4-2-1,1,Mio Backhaus,Niklas Stark,Marco Friedl,Amos Pieper,Yukinari Sugawara,Jens Stage,Senne Lynen,Cameron Puertas,Isaac Schmidt,Justin Njinmah,Romano Schmid,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Fabian Rieder,Alexis Claude-Maurice,Marius Wolf,8.4,7.4,7.3,7.5,6.6,7.0,7.9,6.7,6.3,6.6,6.5,8.1,7.0,7.6,6.9,7.1,7.4,6.8,6.8,6.6,7.7,6.2,0,0,1,9,11,393,23,10,0.47,3,14,6,444,11,20,0.53
SV Werder Bremen,VfB Stuttgart,H,4-2-3-1,3-4-2-1,0,Mio Backhaus,Yukinari Sugawara,Amos Pieper,Karim Coulibaly,Marco Friedl,Jens Stage,Senne Lynen,Justin Njinmah,Romano Schmid,Samuel Mbangula,Marco Grüll,Alexander Nübel,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Josha Vagnoman,Atakan Karazor,Angelo Stiller,Jamie Leweling,Bilal El Khannouss,Nikolas Nartey,Deniz Undav,7.7,5.5,5.6,5.7,6.2,6.3,6.4,6.4,7.2,6.2,6.8,8.2,7.5,7.2,6.9,6.4,7.2,7.5,9.3,8.5,7.1,6.9,0,4,0,11,1,371,15,6,0.38,1,24,9,610,19,11,0.62
SV Werder Bremen,Hamburger SV,A,4-2-3-1,3-4-3,0,Mio Backhaus,Yukinari Sugawara,Amos Pieper,Karim Coulibaly,Marco Friedl,Senne Lynen,Jens Stage,Cameron Puertas,Romano Schmid,Marco Grüll,Keke Topp,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Bakery Jatta,Albert Sambi Lokonga,Nicolai Remberg,Aboubaka Soumahoro,Fábio Vieira,Rayan Philippe,Jean-Luc Dompé,6.6,5.9,6.6,6.1,5.9,5.9,7.8,6.1,6.6,6.6,6.2,6.5,6.4,7.3,6.7,7.2,8.0,7.5,6.3,7.2,6.5,7.7,2,3,1,10,3,384,14,8,0.46,3,12,5,456,18,13,0.54
