Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
TSG Hoffenheim,FC Bayern München,A,4-4-1-1,4-2-3-1,0,Oliver Baumann,Vladimír Coufal,Kevin Akpoguma,Ozan Kabak,Albian Hajdari,Alexander Prass,Leon Avdullahu,Grischa Prömel,Bazoumana Touré,Andrej Kramarić,Fisnik Asllani,Manuel Neuer,Josip Stanišić,Dayot Upamecano,Jonathan Tah,Alphonso Davies,Joshua Kimmich,Aleksandar Pavlović,Michael Olise,Serge Gnabry,Luis Díaz,Harry Kane,7.3,5.5,3.0,5.7,6.0,6.6,6.3,6.7,5.7,7.8,7.2,7.6,7.7,7.2,6.4,6.5,8.2,8.1,7.9,6.5,10.0,8.5,1,5,7,9,3,398,19,11,0.45,11,27,8,475,18,7,0.55
TSG Hoffenheim,1. FC Union Berlin,H,4-3-3,3-4-2-1,3,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Albian Hajdari,Andrej Kramarić,Leon Avdullahu,Grischa Prömel,Tim Lemperle,Fisnik Asllani,Bazoumana Touré,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,Rani Khedira,Aljoscha Kemlein,Stanley N'Soki,Oliver Burke,Woo-Yeong Jeong,Andrej Ilić,6.9,6.8,6.8,7.1,7.1,8.2,7.2,6.9,6.5,6.5,7.3,6.9,6.1,6.1,6.0,6.5,7.6,6.8,6.2,6.5,6.1,6.2,3,1,2,9,3,449,16,17,0.59,2,16,10,286,17,11,0.41
TSG Hoffenheim,SV Werder Bremen,A,4-1-4-1,3-5-2,3,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Leon Avdullahu,Grischa Prömel,Wouter Burger,Andrej Kramarić,Alexander Prass,Tim Lemperle,Mio Backhaus,Julián Malatini,Senne Lynen,Karim Coulibaly,Yukinari Sugawara,Romano Schmid,Cameron Puertas,Jens Stage,Olivier Deman,Jovan Milošević,Justin Njinmah,6.9,7.1,7.5,7.3,6.7,6.9,7.5,6.3,7.2,7.9,6.0,6.9,6.3,7.2,6.2,7.0,6.7,7.0,6.6,7.0,6.9,6.4,2,0,1,12,7,373,13,7,0.41,1,26,6,522,13,10,0.59
TSG Hoffenheim,Eintracht Frankfurt,A,3-4-2-1,3-4-2-1,3,Oliver Baumann,Ozan Kabak,Albian Hajdari,Bernardo,Vladimír Coufal,Leon Avdullahu,Wouter Burger,Alexander Prass,Andrej Kramarić,Fisnik Asllani,Max Moerstedt,Kauã Santos,Nnamdi Collins,Robin Koch,Aurèle Amenda,Rasmus Kristensen,Farès Chaïbi,Ellyes Skhiri,Nathaniel Brown,Ritsu Doan,Can Uzun,Arnaud Kalimuendo,7.0,8.1,7.1,6.8,6.8,6.5,7.6,6.4,6.4,6.5,7.3,6.1,6.1,6.0,5.3,6.6,6.3,6.4,7.3,6.7,7.1,7.6,3,1,3,10,6,478,17,8,0.53,1,9,6,431,16,16,0.47
TSG Hoffenheim,Bayer 04 Leverkusen,H,4-2-3-1,3-4-2-1,3,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Leon Avdullahu,Wouter Burger,Andrej Kramarić,Fisnik Asllani,Alexander Prass,Tim Lemperle,Mark Flekken,Robert Andrich,Loïc Badé,Jarell Quansah,Arthur,Ezequiel Fernández,Aleix García,Alejandro Grimaldo,Malik Tillman,Ernest Poku,Patrik Schick,7.4,6.8,7.0,7.5,7.7,7.2,8.1,7.0,6.8,6.9,6.2,7.8,7.0,7.9,7.2,6.5,7.0,7.1,6.5,6.8,6.3,6.2,1,0,4,19,3,347,19,7,0.38,2,8,5,576,18,17,0.62
TSG Hoffenheim,Borussia M'gladbach,H,4-3-1-2,5-4-1,3,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Bernardo,Wouter Burger,Leon Avdullahu,Alexander Prass,Andrej Kramarić,Fisnik Asllani,Tim Lemperle,Moritz Nicolas,Joseph Scally,Philipp Sander,Nico Elvedi,Kevin Diks,Lukas Ullrich,Franck Honorat,Rocco Reitz,Yannik Engelhardt,Jens Castrop,Haris Tabaković,7.5,7.4,6.7,7.0,6.8,8.3,6.6,6.9,9.2,6.9,7.8,6.8,5.1,4.9,5.8,6.9,5.4,6.1,6.8,6.3,6.2,6.8,5,1,8,18,6,645,10,9,0.66,2,7,2,336,17,16,0.34
TSG Hoffenheim,VfB Stuttgart,A,4-2-2-2,4-2-3-1,1,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Leon Avdullahu,Wouter Burger,Grischa Prömel,Alexander Prass,Fisnik Asllani,Tim Lemperle,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Tiago Tomás,Nikolas Nartey,Jamie Leweling,Deniz Undav,7.4,7.0,6.9,7.1,7.4,6.7,6.5,7.1,6.5,6.7,6.0,7.4,6.6,7.3,7.1,7.1,7.1,7.0,6.4,6.7,6.5,6.6,0,0,0,4,2,417,18,10,0.53,3,10,4,358,10,17,0.47
TSG Hoffenheim,Hamburger SV,H,4-4-2,3-4-3,3,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Ozan Kabak,Albian Hajdari,Grischa Prömel,Leon Avdullahu,Wouter Burger,Bazoumana Touré,Tim Lemperle,Andrej Kramarić,Daniel Heuer Fernandes,Nicolás Capaldo,Luka Vušković,Jordan Torunarigha,Giorgi Gocholeishvili,Albert Sambi Lokonga,Jonas Meffert,Miro Muheim,Fábio Vieira,Ransford Yeboah Königsdörffer,Fabio Baldé,5.6,6.4,7.3,7.9,6.9,8.3,7.3,7.0,6.9,7.1,6.8,6.0,5.8,6.3,5.6,6.4,6.3,6.6,6.9,7.4,6.6,6.6,4,1,5,10,3,562,18,10,0.59,2,14,3,389,12,15,0.41
TSG Hoffenheim,Borussia Dortmund,A,4-3-1-2,3-4-2-1,0,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Grischa Prömel,Leon Avdullahu,Wouter Burger,Fisnik Asllani,Bazoumana Touré,Tim Lemperle,Gregor Kobel,Aarón Anselmino,Waldemar Anton,Nico Schlotterbeck,Yan Couto,Marcel Sabitzer,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,6.6,7.2,6.0,6.7,5.7,6.5,7.1,7.1,6.3,6.9,6.4,7.7,7.0,7.3,8.8,7.9,6.8,6.9,6.7,6.2,7.4,6.6,0,2,2,11,5,507,14,7,0.57,2,8,7,380,15,9,0.43
TSG Hoffenheim,FC Augsburg,H,4-3-1-2,3-4-2-1,3,Oliver Baumann,Vladimír Coufal,Robin Hranáč,Albian Hajdari,Bernardo,Grischa Prömel,Leon Avdullahu,Wouter Burger,Fisnik Asllani,Bazoumana Touré,Tim Lemperle,Finn Dahmen,Noahkai Banks,Chrislain Matsima,Cedric Zesiger,Anton Kade,Robin Fellhauer,Han-Noah Massengo,Dimitrios Giannoulis,Fabian Rieder,Mert Kömür,Samuel Essende,7.5,7.1,7.6,7.9,7.6,6.4,7.7,8.3,6.2,8.3,5.5,5.8,6.5,5.9,6.2,6.0,7.3,6.5,7.1,6.6,6.4,6.2,3,0,3,17,7,600,9,9,0.6,0,14,2,398,13,17,0.4
