Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
VfB Stuttgart,Celtic,A,4-2-3-1,4-2-3-1,3,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Atakan Karazor,Angelo Stiller,Bilal El Khannouss,Deniz Undav,Jamie Leweling,Ermedin Demirović,Kasper Schmeichel,Julián Araujo,Auston Trusty,Liam Scales,Kieran Tierney,Callum McGregor,Paulo Bernardo,Daizen Maeda,Benjamin Nygren,Sebastian Tounekti,Tomáš Čvančara,7.2,6.6,6.9,7.2,6.3,6.0,7.5,8.4,7.1,7.6,6.4,5.6,5.2,6.4,6.2,6.4,6.6,6.1,6.2,7.9,6.6,6.7,4,1,3,16,2,507,12,8,0.47,2,11,4,555,5,7,0.53
VfB Stuttgart,1. FC Köln,H,4-2-3-1,5-3-2,3,Alexander Nübel,Lorenz Assignon,Finn Jeltsch,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Chema Andrés,Jamie Leweling,Deniz Undav,Chris Führich,Ermedin Demirović,Marvin Schwäbe,Sebastian Sebulonsen,Joel Schmied,Eric Martel,Cenk Özkaçar,Kristoffer Lund,Jan Thielmann,Tom Krauß,Jakub Kamiński,Marius Bülter,Ragnar Ache,7.1,7.3,6.8,7.2,7.8,6.8,6.6,6.3,8.3,7.3,9.1,6.9,5.3,6.5,6.0,7.0,7.0,7.0,6.2,6.4,6.7,7.4,3,1,4,13,2,475,22,10,0.57,2,10,5,337,11,10,0.43
VfB Stuttgart,FC St. Pauli,A,4-2-3-1,3-4-2-1,0,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Ramon Hendriks,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Bilal El Khannouss,Deniz Undav,Chris Führich,Ermedin Demirović,Nikola Vasilj,Adam Dźwigała,Tomoya Ando,Karol Mets,Manolis Saliakas,James Sands,Jackson Irvine,Arkadiusz Pyrka,Danel Sinani,Mathias Rasmussen,Martijn Kaars,7.9,6.0,7.3,7.0,7.2,6.6,7.2,6.5,6.3,6.2,6.6,6.4,6.5,6.7,6.9,8.3,6.6,6.9,7.2,6.8,6.5,6.3,1,2,2,7,5,660,13,9,0.68,2,15,5,307,8,9,0.32
VfB Stuttgart,Holstein Kiel,A,4-2-3-1,4-3-1-2,3,Alexander Nübel,Josha Vagnoman,Ramon Hendriks,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Jamie Leweling,Bilal El Khannouss,Chris Führich,Deniz Undav,Timon Weiner,Ivan Nekić,David Zec,Marko Ivezić,John Tolkin,Umut Tohumcu,Jonas Meffert,Kasper Davidsen,Andu Yobel Kelati,Adrián Kaprálik,Phil Harres,7.1,6.8,7.1,7.7,7.2,7.3,7.6,6.0,7.8,8.3,7.7,6.9,6.8,6.8,6.6,6.1,6.6,6.5,7.0,6.9,6.4,6.3,3,0,4,16,5,567,18,10,0.59,2,11,4,393,15,14,0.41
VfB Stuttgart,SC Freiburg,H,4-2-3-1,4-2-3-1,3,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Atakan Karazor,Angelo Stiller,Bilal El Khannouss,Nikolas Nartey,Jamie Leweling,Deniz Undav,Noah Atubolu,Philipp Treu,Matthias Ginter,Max Rosenfelder,Jordy Makengo,Maximilian Eggestein,Johan Manzambi,Jan-Niklas Beste,Yuito Suzuki,Derry Scherhant,Igor Matanović,7.6,7.1,7.2,7.4,6.7,6.7,7.1,7.3,7.1,6.4,6.1,7.9,7.2,7.7,6.4,6.7,6.9,6.9,6.8,6.9,6.3,7.0,1,0,4,18,6,512,14,14,0.69,2,11,2,229,11,14,0.31
VfB Stuttgart,BSC Young Boys,H,4-2-3-1,4-2-3-1,3,Fabian Bredlow,Lorenz Assignon,Finn Jeltsch,Jeff Chabot,Maximilian Mittelstädt,Chema Andrés,Angelo Stiller,Badredine Bouanani,Deniz Undav,Chris Führich,Ermedin Demirović,Marvin Keller,Saidy Janko,Gregory Wüthrich,Sandro Lauper,Loris Benito,Armin Gigović,Edimilson Fernandes,Christian Fassnacht,Alvyn Sanches,Joël Monteiro,Chris Bedia,6.4,6.4,7.1,6.6,6.4,7.7,6.2,7.0,7.1,8.4,8.0,6.8,7.0,6.6,7.3,7.1,8.1,6.8,6.4,6.3,6.2,6.3,3,2,6,28,8,527,10,3,0.61,3,12,4,347,18,7,0.39
VfB Stuttgart,Borussia M'gladbach,A,4-2-3-1,4-2-3-1,3,Alexander Nübel,Josha Vagnoman,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Atakan Karazor,Angelo Stiller,Badredine Bouanani,Nikolas Nartey,Jamie Leweling,Ermedin Demirović,Moritz Nicolas,Joseph Scally,Kota Takai,Nico Elvedi,Lukas Ullrich,Philipp Sander,Florian Neuhaus,Franck Honorat,Rocco Reitz,Shuto Machino,Haris Tabaković,7.9,6.8,6.9,8.3,7.1,6.6,7.3,7.1,6.9,7.7,6.5,8.1,4.5,6.8,6.4,6.3,6.5,6.6,6.4,6.5,6.5,5.1,3,0,4,17,4,555,21,11,0.56,2,12,1,431,12,6,0.44
VfB Stuttgart,Roma,A,3-4-2-1,3-4-2-1,0,Alexander Nübel,Finn Jeltsch,Jeff Chabot,Ramon Hendriks,Lorenz Assignon,Atakan Karazor,Chema Andrés,Maximilian Mittelstädt,Jamie Leweling,Chris Führich,Deniz Undav,Mile Svilar,Zeki Çelik,Jan Ziółkowski,Daniele Ghilardi,Devyne Rensch,Niccolò Pisilli,Manu Koné,Konstantinos Tsimikas,Matías Soulé,Lorenzo Pellegrini,Evan Ferguson,6.8,6.7,7.1,6.0,6.1,6.7,6.5,6.6,6.7,6.5,6.1,7.6,6.5,7.3,8.1,7.2,9.6,6.5,6.8,7.8,6.8,6.7,0,2,3,15,4,451,20,12,0.49,2,12,2,458,16,12,0.51
VfB Stuttgart,1. FC Union Berlin,H,4-4-2,3-5-2,1,Alexander Nübel,Josha Vagnoman,Ramon Hendriks,Jeff Chabot,Maximilian Mittelstädt,Jamie Leweling,Atakan Karazor,Angelo Stiller,Chris Führich,Deniz Undav,Nikolas Nartey,Frederik Rønnow,Danilho Doekhi,Leopold Querfeld,Diogo Leite,Janik Haberer,András Schäfer,Rani Khedira,Aljoscha Kemlein,Josip Juranović,Andrej Ilić,Livan Burcu,7.0,5.4,8.0,7.9,7.0,6.3,7.6,6.7,8.8,7.0,6.5,7.3,6.4,7.0,6.7,7.2,6.1,6.5,7.0,8.1,5.9,6.1,1,1,4,12,3,509,17,11,0.57,2,20,8,370,18,6,0.43
VfB Stuttgart,Eintracht Frankfurt,H,4-2-2-2,4-4-2,3,Alexander Nübel,Josha Vagnoman,Ramon Hendriks,Jeff Chabot,Maximilian Mittelstädt,Atakan Karazor,Angelo Stiller,Jamie Leweling,Chris Führich,Deniz Undav,Ermedin Demirović,Kauã Santos,Rasmus Kristensen,Robin Koch,Aurèle Amenda,Arthur Theate,Ritsu Doan,Ellyes Skhiri,Oscar Højlund,Ansgar Knauff,Arnaud Kalimuendo,Younes Ebnoutalib,7.2,7.2,7.3,6.2,7.2,6.7,7.3,7.3,7.8,8.3,7.6,7.0,7.0,6.5,6.0,6.8,6.1,6.5,6.5,6.3,6.9,6.3,3,2,7,20,10,479,16,15,0.58,1,12,2,348,12,8,0.42
