Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
VfL Wolfsburg,FC Augsburg,H,4-2-3-1,3-4-2-1,0,Kamil Grabara,Saël Kumbedi,Denis Vavro,Moritz Jenz,Jeanuël Belocian,Christian Eriksen,Yannick Gerhardt,Adam Daghim,Lovro Majer,Mattias Svanberg,Mohamed Amoura,Finn Dahmen,Noahkai Banks,Keven Schlotterbeck,Cedric Zesiger,Robin Fellhauer,Kristijan Jakić,Han-Noah Massengo,Dimitrios Giannoulis,Mert Kömür,Alexis Claude-Maurice,Rodrigo Ribeiro,5.8,6.1,6.1,6.5,6.3,9.1,7.5,7.1,6.7,6.5,7.1,6.9,6.3,6.7,6.7,7.0,6.5,6.4,7.2,6.6,7.5,7.0,2,3,4,10,4,455,12,16,0.5,2,15,10,448,15,9,0.5
VfL Wolfsburg,RB Leipzig,A,4-2-3-1,4-3-3,1,Kamil Grabara,Saël Kumbedi,Denis Vavro,Moritz Jenz,Jeanuël Belocian,Christian Eriksen,Maximilian Arnold,Adam Daghim,Lovro Majer,Kento Shiogai,Mohamed Amoura,Péter Gulácsi,Benjamin Henrichs,Willi Orbán,Nicolas Seiwald,Max Finkgräfe,Brajan Gruda,Xaver Schlager,Christoph Baumgartner,Yan Diomande,Conrad Harder,Antonio Nusa,8.1,6.5,7.6,6.9,6.3,6.6,6.6,6.5,6.2,6.2,7.3,6.5,6.9,7.2,6.8,7.0,8.9,7.1,6.1,8.8,6.7,7.4,2,2,1,10,2,328,20,6,0.32,5,20,6,692,10,10,0.68
VfL Wolfsburg,Borussia Dortmund,H,4-2-3-1,3-4-2-1,0,Kamil Grabara,Kilian Fischer,Denis Vavro,Konstantinos Koulierakis,Jeanuël Belocian,Christian Eriksen,Maximilian Arnold,Adam Daghim,Kento Shiogai,Kevin Paredes,Mohamed Amoura,Gregor Kobel,Niklas Süle,Waldemar Anton,Nico Schlotterbeck,Julian Ryerson,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Julian Brandt,Maximilian Beier,Serhou Guirassy,5.7,6.6,7.0,7.4,7.1,7.1,8.1,7.4,6.1,6.9,6.2,6.5,7.1,6.9,7.7,6.4,6.9,7.2,6.8,7.3,6.3,7.2,1,2,4,12,4,312,14,10,0.35,2,21,8,580,13,13,0.65
VfL Wolfsburg,1. FC Köln,A,4-2-3-1,4-4-2,0,Kamil Grabara,Kilian Fischer,Denis Vavro,Moritz Jenz,Yannick Gerhardt,Vinícius Souza,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,Marvin Schwäbe,Alessio Castro-Montes,Sebastian Sebulonsen,Cenk Özkaçar,Kristoffer Lund,Linton Maina,Eric Martel,Tom Krauß,Jakub Kamiński,Ragnar Ache,Marius Bülter,7.2,7.1,6.9,6.4,6.1,6.5,6.9,6.9,6.4,6.7,6.8,7.3,7.3,7.0,6.6,7.6,7.9,6.7,7.8,6.8,6.9,6.9,0,1,3,14,4,466,20,8,0.58,2,15,3,320,21,16,0.42
VfL Wolfsburg,1. FSV Mainz 05,A,4-2-3-1,3-5-2,0,Kamil Grabara,Saël Kumbedi,Denis Vavro,Moritz Jenz,Aaron Zehnter,Yannick Gerhardt,Vinícius Souza,Patrick Wimmer,Christian Eriksen,Mohamed Amoura,Dženan Pejčinović,Daniel Batz,Stefan Posch,Stefan Bell,Dominik Kohr,Danny da Costa,Paul Nebel,Kaishu Sano,Jae-sung Lee,Silvan Widmer,Benedict Hollerbach,Phillip Tietz,7.9,7.2,7.1,6.7,5.7,6.4,6.8,6.2,6.9,6.8,6.5,6.6,7.5,6.8,7.1,6.5,6.7,6.6,7.1,7.0,6.8,6.0,1,3,1,7,1,319,21,8,0.41,9,20,15,425,17,9,0.59
VfL Wolfsburg,1. FC Heidenheim,H,4-2-3-1,4-2-3-1,1,Kamil Grabara,Jan Bürger,Moritz Jenz,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Mohamed Amoura,Diant Ramaj,Marnon Busch,Patrick Mainka,Benedikt Gimber,Jonas Föhrenbach,Jan Schöppner,Niklas Dorsch,Arijon Ibrahimović,Adrian Beck,Mathias Honsak,Marvin Pieringer,7.5,6.1,8.6,6.8,6.3,6.7,6.9,7.4,6.5,7.1,6.9,6.5,6.7,6.7,6.3,6.6,6.2,8.1,6.8,7.3,6.2,6.5,1,1,2,13,9,627,12,12,0.7,3,13,6,267,16,10,0.3
VfL Wolfsburg,FC St. Pauli,H,4-2-3-1,3-4-1-2,3,Kamil Grabara,Saël Kumbedi,Moritz Jenz,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,Nikola Vasilj,Adam Dźwigała,Hauke Wahl,Karol Mets,Arkadiusz Pyrka,James Sands,Eric Smith,Lars Ritzka,Joel Chima Fujita,Ricky-Jade Jones,Mathias Pereira Lage,8.1,6.3,6.9,7.4,7.0,6.6,7.6,6.6,7.1,7.1,7.3,7.1,6.6,6.7,6.9,7.0,6.3,8.0,6.2,7.0,6.7,7.2,2,1,2,13,7,620,13,8,0.61,2,9,4,396,18,10,0.39
VfL Wolfsburg,FC Bayern München,A,4-2-3-1,4-2-3-1,0,Kamil Grabara,Saël Kumbedi,Moritz Jenz,Konstantinos Koulierakis,Kilian Fischer,Mattias Svanberg,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,Manuel Neuer,Konrad Laimer,Dayot Upamecano,Jonathan Tah,Josip Stanišić,Aleksandar Pavlović,Tom Bischof,Michael Olise,Lennart Karl,Luis Díaz,Harry Kane,6.8,4.6,4.7,5.4,4.1,6.0,6.5,5.9,6.2,6.0,7.6,7.2,7.1,6.8,7.7,6.6,7.2,6.9,10.0,6.4,8.1,8.8,1,8,2,8,2,340,26,7,0.32,7,16,6,714,14,6,0.68
VfL Wolfsburg,SC Freiburg,H,4-2-3-1,4-2-3-1,0,Kamil Grabara,Saël Kumbedi,Jenson Seelt,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Dženan Pejčinović,Noah Atubolu,Lukas Kübler,Matthias Ginter,Anthony Jung,Christian Günter,Maximilian Eggestein,Patrick Osterhage,Philipp Treu,Yuito Suzuki,Johan Manzambi,Lucas Höler,8.5,6.4,5.9,6.0,6.5,6.1,6.6,6.4,6.2,7.1,10.0,5.4,6.2,6.2,6.7,6.3,6.7,6.6,7.8,6.4,6.7,6.4,3,4,2,13,2,477,17,8,0.56,5,15,6,371,12,15,0.44
VfL Wolfsburg,Borussia M'gladbach,A,4-2-3-1,3-4-2-1,3,Kamil Grabara,Saël Kumbedi,Jenson Seelt,Konstantinos Koulierakis,Aaron Zehnter,Yannick Gerhardt,Maximilian Arnold,Christian Eriksen,Lovro Majer,Patrick Wimmer,Mohamed Amoura,Moritz Nicolas,Philipp Sander,Nico Elvedi,Kevin Diks,Jens Castrop,Rocco Reitz,Yannik Engelhardt,Luca Netz,Shuto Machino,Giovanni Reyna,Haris Tabaković,6.8,6.1,7.0,6.0,6.6,6.1,6.7,6.9,6.9,8.5,7.4,6.9,6.6,6.4,6.7,6.2,6.6,6.9,6.2,6.8,6.2,6.8,3,1,3,11,3,430,15,6,0.42,0,14,6,575,16,8,0.58
