Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
AEK Athens,APS Atromitos Athinon,H,4-2-3-1,4-4-1-1,3,Thomas Strakosha,Lazaros Rota,Harold Moukoudi,Filipe Relvas,Stavros Pilios,Răzvan Marin,Orbelín Pineda,Dimitrios Kaloskamis,Mijat Gaćinović,João Mário,Luka Jović,Lefteris Choutesiotis,Quini,Dimitrios Tsakmakis,Dimitrios Stavropoulos,Mansur,Denzel Jubitana,Samuel Moutoussamy,Theocharis Tsingaras,Makana Baku,Aitor García,Panagiotis Tsantilas,6.4,7.1,6.9,7.3,6.3,7.8,9.0,6.6,6.9,5.9,9.0,8.2,6.3,5.7,6.0,6.1,6.3,6.6,6.1,5.9,6.8,7.4,4,1,3,17,5,523,19,13,0.59,2,5,0,367,11,14,0.41
AEK Athens,OFI Crete,H,4-2-3-1,4-1-3-2,3,Alberto Brignoli,Moses Odubajo,Harold Moukoudi,Filipe Relvas,James Penrice,Marko Grujić,Roberto Pereyra,Dimitrios Kaloskamis,João Mário,Aboubakary Koita,Luka Jović,Nikolaos Christogeorgos,Kevin Lewis,Konstantinos Kostoulas,Krešimir Krizmanić,Ilias Chatzitheodoridis,Filip Bainović,Athanasios Androutsos,Thiago Nuss,Giannis Theodosoulakis,Eddie Salcedo,Marko Rakonjac,,,,,,,,,,,,,,,,,,,,,,,2,0,,,9,,,13,0.0,,,5,,,14,0.0
AEK Athens,Panathinaikos,A,4-2-3-1,3-4-3,3,Thomas Strakosha,Lazaros Rota,Harold Moukoudi,Filipe Relvas,Stavros Pilios,Petros Mantalos,Orbelín Pineda,Dimitrios Kaloskamis,Mijat Gaćinović,João Mário,Luka Jović,Bartłomiej Drągowski,Tin Jedvaj,Erik Palmer-Brown,Ahmed Touba,Davide Calabria,Pedro Chirivella,Manolis Siopis,Anass Zaroury,Tetê,Karol Świderski,Anastasios Bakasetas,6.4,6.8,6.5,6.8,5.9,7.5,7.1,6.2,6.2,6.5,9.1,5.7,6.3,6.0,4.8,6.6,7.1,6.7,7.0,8.5,5.8,7.0,3,2,4,7,2,458,22,16,0.5,3,14,5,439,16,21,0.5
AEK Athens,Fiorentina,A,4-3-3,3-5-2,3,Thomas Strakosha,Lazaros Rota,Harold Moukoudi,Filipe Relvas,Stavros Pilios,Orbelín Pineda,Răzvan Marin,Roberto Pereyra,Aboubakary Koita,Luka Jović,Mijat Gaćinović,David De Gea,Marin Pongračić,Pietro Comuzzo,Luca Ranieri,Niccolò Fortini,Rolando Mandragora,Hans Nicolussi Caviglia,Cher Ndour,Fabiano Parisi,Edin Džeko,Albert Guðmundsson,7.7,7.1,7.5,6.8,7.3,7.2,6.9,6.5,6.7,5.7,6.8,6.8,7.0,6.7,6.9,6.7,6.7,7.6,6.5,8.0,6.2,6.2,1,0,2,12,3,441,19,13,0.48,4,10,7,470,17,16,0.52
AEK Athens,Aris Thessaloniki,H,4-2-2-2,4-4-2,3,Thomas Strakosha,Lazaros Rota,Harold Moukoudi,Filipe Relvas,James Penrice,Petros Mantalos,Orbelín Pineda,Dimitrios Kaloskamis,João Mário,Luka Jović,Zini,Sokratis Dioudis,Álvaro Tejero,Pedro Álvaro,Noah Sonko Sundberg,Noah Fadiga,Carles Pérez,Monchu,Uroš Račić,Michalis Panagidis,Migouel Alfarela,Loren Morón,7.4,7.7,6.9,7.4,6.6,8.8,7.0,6.3,6.6,6.3,8.1,7.7,6.7,7.3,7.1,7.0,6.2,6.5,6.5,6.2,6.8,6.3,1,0,5,27,10,495,22,11,0.66,1,6,1,265,13,13,0.34
AEK Athens,OFI Crete,A,4-2-2-2,4-1-3-2,3,Thomas Strakosha,Mijat Gaćinović,Harold Moukoudi,Filipe Relvas,James Penrice,Răzvan Marin,Orbelín Pineda,Dimitrios Kaloskamis,João Mário,Luka Jović,Aboubakary Koita,Klidman Lilo,Nikolaos Marinakis,Vasilis Lampropoulos,Krešimir Krizmanić,Giannis Apostolakis,Zisis Karachalios,Taxiarchis Fountas,Athanasios Androutsos,Levan Shengelia,Juan Angel Neira,Giannis Theodosoulakis,6.7,6.7,6.9,7.6,7.0,7.1,8.4,6.5,7.1,5.9,6.4,8.0,6.5,7.5,7.3,6.3,7.1,7.0,7.2,6.9,6.8,6.2,1,0,7,23,6,518,8,17,0.64,0,4,0,302,21,16,0.36
AEK Athens,Shamrock Rovers,H,4-2-3-1,3-5-2,1,Thomas Strakosha,Lazaros Rota,Harold Moukoudi,Filipe Relvas,Stavros Pilios,Orbelín Pineda,Răzvan Marin,Mijat Gaćinović,Petros Mantalos,Dereck Kutesa,Luka Jović,Edward McGinty,Dan Cleary,Roberto Lopes,Lee Grace,Adam Matthews,Darragh Nugent,Connor Malley,Dylan Watts,Cory O'Sullivan,Graham Burke,John McGovern,6.4,6.8,6.8,8.0,7.0,8.4,6.4,7.1,8.2,6.1,6.2,7.9,6.9,6.5,6.4,6.6,6.0,6.4,6.5,6.6,6.8,7.0,1,1,4,30,10,621,12,10,0.8,1,1,0,161,11,7,0.2
AEK Athens,GFS Panetolikos,H,4-2-3-1,4-1-4-1,3,Thomas Strakosha,Lazaros Rota,Domagoj Vida,Filipe Relvas,James Penrice,Orbelín Pineda,Răzvan Marin,Dimitrios Kaloskamis,Aboubakary Koita,João Mário,Frantzdy Pierrot,Lucas Cháves,Charis Mavrias,Christos Sielis,Andreas Bouchalakis,Nikola Stajić,Lazar Kojić,Béni Nkololo,Diego Esteban,Sotiris Kontouris,Konrad Michalak,Kosta Aleksić,7.0,8.3,7.4,8.1,6.7,8.7,7.4,6.5,6.4,6.5,6.2,7.3,6.7,6.6,6.5,6.2,6.6,6.9,7.7,6.2,6.6,7.0,1,0,4,18,8,603,5,12,0.73,0,5,2,232,12,16,0.27
AEK Athens,GS Ilioupolis,A,3-4-2-1,4-2-3-1,3,Alberto Brignoli,Konstantinos Chrysopoulos,Filipe Relvas,Christos Kosidis,Stavros Pilios,Dereck Kutesa,Robert Ljubičić,Marko Grujić,João Mário,Mijat Gaćinović,Frantzdy Pierrot,Apostolos Tsilingiris,Christos Nonis,Marios Kostoulas,Evangelos Keramidas,Dimitrios Thomaidis,Ousmane Sountoura,Orestis Kreci,Aleksei Chaika,Alexandros Zafirakis,Luke Xavier Keet,Efthymios Christopoulos,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
AEK Athens,Olympiacos FC,A,4-2-3-1,4-2-3-1,0,Thomas Strakosha,Lazaros Rota,Domagoj Vida,Filipe Relvas,James Penrice,Orbelín Pineda,Răzvan Marin,Dimitrios Kaloskamis,Petros Mantalos,Aboubakary Koita,Luka Jović,Konstantinos Tzolakis,Costinha,Panagiotis Retsos,Lorenzo Pirola,Bruno Onyemaechi,Santiago Hezze,Dani García,Rémy Cabella,Mehdi Taremi,Daniel Podence,Ayoub El Kaabi,6.7,6.2,6.3,6.3,6.0,7.3,6.1,6.5,6.6,6.1,5.7,6.9,8.3,7.2,7.4,7.1,7.3,6.7,7.1,8.3,7.6,6.7,0,2,1,6,4,400,10,9,0.52,4,11,4,362,21,16,0.48
