Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
AS Monaco,Stade Brestois,A,4-2-3-1,4-2-3-1,0,Lukáš Hrádecký,Vanderson,Jordan Teze,Mohammed Salisu,Caio Henrique,Lamine Camara,Mamadou Coulibaly,Maghnes Akliouche,Takumi Minamino,Aleksandr Golovin,Mika Biereth,Grégoire Coudert,Kenny Lala,Brendan Chardonnet,Soumaila Coulibaly,Daouda Guindo,Joris Chotard,Hugo Magnetti,Romain Del Castillo,Kamory Doumbia,Remy Labeau Lascary,Ludovic Ajorque,6.7,6.8,6.9,6.8,6.3,7.3,6.7,6.4,6.0,6.1,6.2,7.3,6.8,7.4,6.9,7.1,6.6,6.8,7.2,7.1,6.5,5.5,0,1,1,10,3,476,11,17,0.6,2,12,2,320,17,15,0.4
AS Monaco,Paris Saint-Germain,H,4-2-3-1,4-3-3,3,Lukáš Hrádecký,Vanderson,Thilo Kehrer,Mohammed Salisu,Caio Henrique,Jordan Teze,Lamine Camara,Maghnes Akliouche,Takumi Minamino,Aleksandr Golovin,Folarin Balogun,Lucas Chevalier,Warren Zaïre-Emery,Marquinhos,Willian Pacho,Lucas Hernández,João Neves,Vitinha,Fabián Ruiz,Kang-in Lee,Senny Mayulu,Khvicha Kvaratskhelia,7.8,6.6,6.7,7.4,7.3,7.5,7.1,7.1,8.1,6.9,6.3,7.0,6.6,7.2,6.2,7.1,6.6,7.7,6.1,6.6,6.3,6.6,1,0,1,10,4,407,16,13,0.43,2,17,4,534,13,10,0.57
AS Monaco,Pafos FC,A,4-2-3-1,4-2-3-1,1,Lukáš Hrádecký,Vanderson,Jordan Teze,Mohammed Salisu,Caio Henrique,Lamine Camara,Denis Zakaria,Maghnes Akliouche,Takumi Minamino,Aleksandr Golovin,Folarin Balogun,Neofytos Michael,Bruno,Derrick Luckassen,David Luiz,David Goldar,Pêpê,Ivan Šunjić,Domingos Quina,Vlad Dragomir,Mislav Oršić,Anderson Silva,7.6,6.7,6.8,7.3,7.4,6.9,6.6,7.3,7.0,6.1,7.3,6.3,6.4,6.2,8.4,6.2,6.9,6.1,6.6,6.7,7.6,6.8,2,2,4,14,3,445,15,14,0.52,1,17,5,399,17,9,0.48
AS Monaco,Stade Rennais,A,3-4-2-1,3-5-2,0,Lukáš Hrádecký,Jordan Teze,Thilo Kehrer,Mohammed Salisu,Krépin Diatta,Denis Zakaria,Mamadou Coulibaly,Kassoum Ouattara,Maghnes Akliouche,Ansu Fati,George Ilenikhena,Brice Samba,Abdelhamid Ait Boudlal,Jérémy Jacquet,Lilian Brassier,Przemysław Frankowski,Mahdi Camara,Valentin Rongier,Djaoui Cissé,Mousa Tamari,Esteban Lepaul,Breel Embolo,6.6,6.4,6.4,6.5,6.5,6.0,6.3,5.9,6.6,6.4,6.3,6.1,8.0,7.8,7.5,7.9,8.4,7.2,6.5,6.9,7.0,7.4,1,4,3,13,6,486,16,3,0.5,5,17,4,497,21,12,0.5
AS Monaco,RC Lens,H,3-1-4-2,3-4-2-1,0,Philipp Köhn,Thilo Kehrer,Mohammed Salisu,Caio Henrique,Mamadou Coulibaly,Jordan Teze,Maghnes Akliouche,Aleksandr Golovin,Kassoum Ouattara,Folarin Balogun,Mika Biereth,Robin Risser,Jonathan Gradit,Samson Baidoo,Malang Sarr,Ruben Aguilar,Mamadou Sangare,Adrien Thomasson,Matthieu Udol,Florian Thauvin,Wesley Saïd,Odsonne Édouard,6.7,5.6,6.7,6.7,7.2,6.4,6.3,6.8,6.2,6.8,6.6,7.7,6.8,6.9,6.9,7.3,7.4,6.6,7.2,8.3,8.7,6.9,1,4,5,16,5,460,20,17,0.5,6,20,4,459,17,15,0.5
AS Monaco,Bodø/Glimt,A,3-1-4-2,4-3-3,3,Philipp Köhn,Thilo Kehrer,Mohammed Salisu,Caio Henrique,Mamadou Coulibaly,Jordan Teze,Takumi Minamino,Aleksandr Golovin,Kassoum Ouattara,Maghnes Akliouche,Folarin Balogun,Nikita Haikin,Fredrik Sjøvold,Brede Moe,Odin Luras Bjørtuft,Fredrik André Bjørkan,Håkon Evjen,Patrick Berg,Sondre Fet,Sondre Auklend,Kasper Høgh,Jens Petter Hauge,8.4,7.2,7.1,7.0,7.0,7.2,6.5,6.9,7.1,6.4,7.4,6.3,7.0,6.4,7.6,6.7,7.2,7.6,6.6,7.2,6.6,7.7,1,0,1,9,4,382,26,14,0.36,3,17,4,683,15,16,0.64
AS Monaco,Paris FC,H,3-4-2-1,4-3-3,0,Philipp Köhn,Thilo Kehrer,Mohammed Salisu,Caio Henrique,Krépin Diatta,Jordan Teze,Mamadou Coulibaly,Kassoum Ouattara,Maghnes Akliouche,Aleksandr Golovin,Mika Biereth,Kevin Trapp,Samir Sophian Chergui,Moustapha Mbow,Otávio,Tuomas Ollila,Maxime López,Adama Camara,Pierre Lees Melou,Ilan Kebbal,Jean-Philippe Krasso,Moses Simon,6.4,7.0,7.3,7.0,7.1,7.3,6.6,6.5,6.9,6.3,6.3,7.3,6.8,7.5,6.9,6.7,7.3,7.1,6.9,6.6,6.2,7.6,0,1,1,10,3,517,15,12,0.55,2,9,2,420,9,10,0.45
AS Monaco,Nantes,A,3-1-4-2,4-3-3,3,Philipp Köhn,Thilo Kehrer,Mohammed Salisu,Christian Mawissa,Jordan Teze,Krépin Diatta,Takumi Minamino,Mamadou Coulibaly,Kassoum Ouattara,Maghnes Akliouche,Folarin Balogun,Anthony Lopes,Kelvin Amian,Chidozie Awaziem,Tylel Tati,Louis Leroux,Junior Mwanga,Hyeok-kyu Kwon,Dehmaine Tabibou,Bahereba Guirassy,Youssef El Arabi,Matthis Abline,6.5,6.2,6.4,6.4,6.9,6.9,6.8,8.1,7.0,8.3,7.4,6.0,5.8,6.5,5.4,5.9,6.8,6.3,6.1,8.2,6.5,8.6,5,3,9,19,3,396,23,13,0.52,5,18,1,370,16,17,0.48
AS Monaco,Toulouse,H,3-4-2-1,3-4-2-1,3,Philipp Köhn,Thilo Kehrer,Mohammed Salisu,Christian Mawissa,Krépin Diatta,Mamadou Coulibaly,Aleksandr Golovin,Kassoum Ouattara,Takumi Minamino,Ansu Fati,Folarin Balogun,Guillaume Restes,Mark McKenzie,Charlie Cresswell,Rasmus Nicolaisen,Aron Dønnum,Cristian Cásseres Jr.,Abu Francis,Dayann Methalie,Frank Magri,Yann Gboho,Emersonn,7.7,7.5,8.5,7.0,7.3,6.4,6.3,7.9,6.9,6.8,6.1,7.2,6.8,6.6,6.3,7.6,6.6,6.3,6.5,6.8,7.3,6.0,1,0,6,14,2,418,23,18,0.54,0,10,5,350,14,15,0.46
AS Monaco,Tottenham Hotspur,H,3-4-2-1,4-2-3-1,1,Philipp Köhn,Thilo Kehrer,Mohammed Salisu,Caio Henrique,Krépin Diatta,Jordan Teze,Mamadou Coulibaly,Kassoum Ouattara,Maghnes Akliouche,Ansu Fati,Folarin Balogun,Guglielmo Vicario,Pedro Porro,Kevin Danso,Micky van de Ven,Archie Gray,Rodrigo Bentancur,João Palhinha,Mohammed Kudus,Lucas Bergvall,Wilson Odobert,Richarlison,7.4,7.1,8.0,8.6,7.3,7.3,7.5,7.3,7.0,7.4,6.5,10.0,7.0,7.6,7.4,7.2,6.4,7.0,6.6,6.2,6.7,6.5,0,0,5,23,5,456,24,12,0.56,1,11,4,347,16,13,0.44
