Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
SK Brann,HamKam,H,4-3-3,5-3-2,3,Matias Dyngeland,Denzel De Roeve,Fredrik Pallesen Knudsen,Eivind Helland,Vetle Winger Dragsnes,Emil Kornvig,Jacob Lungi Sørensen,Thore Baardsen Pedersen,Ulrik Mathisen,Noah Jean Holm,Bård Finne,Marcus Sandberg,Viðar Ari Jónsson,Gustav Granath,Fredrik Sjolstad,Ethan Amundsen-Day,Anton Ekeroth,Ylldren Ibrahimaj,Markus Johnsgard,Aksel Baran Potur,Kristian Stromland Lien,Julian Bakkeli Gonstad,7.1,8.2,7.3,7.3,6.9,8.3,8.0,7.5,7.3,6.9,6.8,7.2,6.8,7.0,6.1,3.0,6.2,6.8,6.6,5.9,7.2,6.7,3,1,6,19,8,666,15,7,0.73,1,3,3,248,25,11,0.27
SK Brann,PAOK,A,4-3-3,4-2-3-1,1,Matias Dyngeland,Eivind Helland,Fredrik Pallesen Knudsen,Japhet Sery Larsen,Vetle Winger Dragsnes,Emil Kornvig,Jacob Lungi Sørensen,Eggert Aron Guðmundsson,Ulrik Mathisen,Noah Jean Holm,Niklas Castro,Jiří Pavlenka,Jonjoe Kenny,Tomasz Kędziora,Ioannis Michailidis,Abdul Rahman Baba,Alessandro Bianco,Soualiho Meïté,Andrija Živković,Luka Ivanušec,Taison,Giorgos Giakoumakis,8.5,6.9,6.5,6.6,6.1,6.9,7.5,6.8,6.7,6.0,6.4,7.6,7.2,7.3,7.4,6.9,6.7,6.3,6.8,7.2,6.9,6.5,1,1,3,9,8,433,19,11,0.55,4,16,6,348,22,9,0.45
SK Brann,Molde FK,A,4-3-3,4-4-2,0,Matias Dyngeland,Denzel De Roeve,Eivind Helland,Japhet Sery Larsen,Vetle Winger Dragsnes,Emil Kornvig,Jacob Lungi Sørensen,Eggert Aron Guðmundsson,Ulrik Mathisen,Bård Finne,Niklas Castro,Jacob Karlstrøm,Neraysho Kasanwirjo,Eirik Haugan,Birk Risa,Samukelo Kabini,Caleb Zady Sery,Jacob Christensen,Mats Møller Dæhli,Oskar Spiten-Nysæter,Gustav Kjolstad Nyheim,Emil Breivik,5.4,7.1,6.5,6.4,6.1,6.4,7.4,6.4,7.3,6.4,7.4,7.2,7.0,8.0,7.0,7.6,7.0,6.6,7.5,7.0,6.6,8.5,0,4,,10,4,623,16,11,0.58,,9,1,441,20,10,0.42
SK Brann,KFUM Oslo,H,4-3-3,3-4-3,1,Matias Dyngeland,Denzel De Roeve,Nana Kwame Boakye,Japhet Sery Larsen,Joachim Soltvedt,Emil Kornvig,Eivind Helland,Eggert Aron Guðmundsson,Ulrik Mathisen,Bård Finne,Niklas Castro,Emil Odegaard,Ayoub Aleesami,Fredrik Tobias Berglie,Mathias Tonnessen,Amin Nouri,Sverre Hakami Sandal,Simen Hestnes,Jonas Lange Hjorth,Teodor Haltvik,Mame Ndiaye,Bilal Njie,6.5,6.6,7.5,6.6,6.7,6.6,7.0,7.1,7.4,6.6,7.4,6.4,6.2,7.5,7.8,7.4,7.2,6.6,6.5,6.6,7.0,6.6,1,1,4,10,7,506,24,9,0.62,5,5,3,312,29,8,0.38
SK Brann,Bologna,A,4-4-2,4-2-3-1,1,Matias Dyngeland,Denzel De Roeve,Eivind Helland,Japhet Sery Larsen,Vetle Winger Dragsnes,Ulrik Mathisen,Emil Kornvig,Jacob Lungi Sørensen,Eggert Aron Guðmundsson,Bård Finne,Markus Haaland,Łukasz Skorupski,Emil Holm,Torbjørn Heggem,Jhon Lucumí,Charalampos Lykogiannis,Nikola Moro,Lewis Ferguson,Federico Bernardeschi,Giovanni Fabbian,Nicolò Cambiaghi,Santiago Castro,8.2,6.9,7.7,7.2,7.1,6.3,6.9,7.4,6.4,6.4,6.6,6.8,7.6,7.1,8.3,4.4,7.3,6.9,6.9,6.5,6.7,6.4,0,0,1,9,3,388,18,6,0.45,1,16,11,444,9,14,0.55
SK Brann,Bryne FK,A,4-3-3,4-4-2,0,Matias Dyngeland,Denzel De Roeve,Nana Kwame Boakye,Eivind Helland,Vetle Winger Dragsnes,Emil Kornvig,Jacob Lungi Sørensen,Eggert Aron Guðmundsson,Ulrik Mathisen,Bård Finne,Markus Haaland,Jan de Boer,Dadi Dodou Gaye,Jacob Haahr,Andreas Skovgaard,Eirik Franke Saunes,Heine Asen Larsen,Lars Erik Sødal,Nicklas Strunck,Alfred Scriven,Duarte Moreira,Magnus Grødem,5.8,6.8,7.2,6.9,6.9,7.9,7.0,6.8,7.9,6.6,6.8,7.5,7.0,8.1,6.9,6.4,6.7,6.6,6.7,6.9,7.1,7.5,1,2,2,13,5,596,13,16,0.69,3,9,2,259,14,15,0.31
SK Brann,Bodø/Glimt,H,4-3-3,4-3-3,0,Matias Dyngeland,Denzel De Roeve,Eivind Helland,Japhet Sery Larsen,Vetle Winger Dragsnes,Emil Kornvig,Jacob Lungi Sørensen,Eggert Aron Guðmundsson,Ulrik Mathisen,Noah Jean Holm,Bård Finne,Nikita Haikin,Fredrik Sjøvold,Odin Luras Bjørtuft,Haitam Aleesami,Fredrik André Bjørkan,Håkon Evjen,Patrick Berg,Sondre Fet,Sondre Auklend,Kasper Høgh,Jens Petter Hauge,6.3,6.1,7.1,6.7,7.0,6.1,6.6,6.7,6.9,7.4,7.4,6.7,6.8,7.1,6.5,6.8,6.7,7.4,6.5,7.4,6.4,7.1,1,2,4,13,2,471,19,10,0.54,2,4,1,410,24,17,0.46
SK Brann,Rosenborg BK,A,4-1-4-1,4-5-1,3,Matias Dyngeland,Thore Baardsen Pedersen,Fredrik Pallesen Knudsen,Japhet Sery Larsen,Joachim Soltvedt,Eivind Helland,Ulrik Mathisen,Emil Kornvig,Eggert Aron Guðmundsson,Markus Haaland,Noah Jean Holm,Sander Tangvik,Jonas Mortensen,Mikkel Konradsen Ceide,Tomáš Nemčík,Ulrik Jenssen,Adrian Nilsen Pereira,Simen Bolkan Nordli,Ole Selnaes,Dávid Ďuriš,Emil Konradsen Ceide,Dino Islamović,6.7,6.4,6.8,6.8,7.9,6.7,6.7,8.7,7.4,7.2,6.5,6.3,6.7,6.7,7.1,5.9,7.5,6.9,7.1,6.9,7.2,7.3,3,2,3,14,8,495,9,16,0.58,2,14,7,353,13,13,0.42
SK Brann,Rangers,H,4-3-3,4-4-2,3,Matias Dyngeland,Denzel De Roeve,Fredrik Pallesen Knudsen,Eivind Helland,Vetle Winger Dragsnes,Emil Kornvig,Jacob Lungi Sørensen,Eggert Aron Guðmundsson,Ulrik Mathisen,Noah Jean Holm,Bård Finne,Jack Butland,James Tavernier,John Souttar,Nasser Djiga,Jayden Meghoma,Oliver Antman,Nicolas Raskin,Joe Rothwell,Djeidi Gassama,Youssef Chermiti,Thelo Aasgaard,6.8,6.8,7.5,7.2,7.3,7.2,7.9,6.5,6.7,8.7,7.2,6.8,6.5,6.7,6.7,6.2,6.1,7.1,6.4,6.3,6.0,6.2,3,0,3,13,3,433,12,10,0.53,1,9,5,376,14,10,0.47
SK Brann,Haugesund,H,4-1-3-2,4-4-2,3,Matias Dyngeland,Denzel De Roeve,Fredrik Pallesen Knudsen,Eivind Helland,Joachim Soltvedt,Jacob Lungi Sørensen,Emil Kornvig,Eggert Aron Guðmundsson,Niklas Castro,Ulrik Mathisen,Bård Finne,Amund Wichne,Claus Niyukuri,Miika Koskela,Madiodio Dia,Niko Hämäläinen,Troy Nyhammer,Parfait Bizoza,Almar Gjerd Grindhaug,Mikkel Hope,Sory Diarra,Pyry Hannola,6.6,7.5,6.8,6.9,6.8,7.6,6.8,8.4,6.6,8.6,8.9,7.1,6.5,6.7,6.2,5.6,6.8,6.1,6.6,6.1,7.5,6.8,4,1,4,20,8,539,14,16,0.61,2,11,5,341,14,9,0.39
