Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Bulgaria,Türkiye,A,4-5-1,4-2-3-1,0,Dimitar Mitov,Martin Georgiev,Kristian Dimitrov,Atanas Chernev,Hristiyan Petrov,Georgi Rusev,Ilia Gruev,Andrian Kraev,Filip Krastev,Zdravko Dimitrov,Kiril Despodov,Uğurcan Çakır,Zeki Çelik,Merih Demiral,Abdülkerim Bardakcı,Ferdi Kadıoğlu,Hakan Çalhanoğlu,İsmail Yüksek,Oğuz Aydın,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,7.5,6.7,6.4,6.3,6.4,6.7,6.7,7.0,7.1,6.1,6.5,7.0,7.1,6.7,6.9,7.3,8.7,7.2,7.5,7.1,8.0,6.8,0,2,1,9,6,283,11,11,0.33,5,19,9,555,22,11,0.67
Bulgaria,Spain,A,4-5-1,4-2-3-1,0,Svetoslav Vutsov,Martin Georgiev,Petko Hristov,Atanas Chernev,Dimitar Velkovski,Martin Minchev,Stanislav Shopov,Ilia Gruev,Filip Krastev,Radoslav Kirilov,Kiril Despodov,Unai Simón,Pedro Porro,Robin Le Normand,Aymeric Laporte,Alejandro Grimaldo,Martín Zubimendi,Pedri,Mikel Oyarzabal,Mikel Merino,Alejandro Baena,Samu Aghehowa,7.9,6.0,7.0,6.3,6.3,6.7,6.3,6.3,7.3,6.4,6.3,6.8,7.2,7.5,7.7,8.0,7.6,8.1,8.0,10.0,7.7,6.1,0,4,1,3,0,239,11,7,0.22,8,33,11,817,8,5,0.78
Bulgaria,Türkiye,H,4-4-1-1,4-2-3-1,0,Dimitar Mitov,Viktor Popov,Petko Hristov,Rosen Bozhinov,Hristiyan Petrov,Marin Petkov,Kristiyan Stoyanov,Andrian Kraev,Radoslav Kirilov,Ivajlo Chochev,Kiril Despodov,Uğurcan Çakır,Zeki Çelik,Merih Demiral,Abdülkerim Bardakcı,Ferdi Kadıoğlu,Hakan Çalhanoğlu,Orkun Kökçü,Oğuz Aydın,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,5.4,5.7,5.2,5.6,5.6,6.3,6.5,6.3,6.9,6.9,6.6,6.9,7.7,7.1,6.8,7.1,8.5,7.3,7.6,8.8,8.3,6.8,1,6,1,4,5,198,21,4,0.22,2,18,8,717,9,11,0.78
Bulgaria,Georgia,A,5-4-1,4-3-3,0,Svetoslav Vutsov,Nikolay Minkov,Kristian Dimitrov,Rosen Bozhinov,Emil Tsenov,Anton Nedyalkov,Marin Petkov,Georgi Milanov,Andrian Kraev,Radoslav Kirilov,Vladimir Nikolov,Giorgi Mamardashvili,Otar Kakabadze,Saba Goglichidze,Luka Lochoshvili,Irakli Azarovi,Nika Gagnidze,Giorgi Kochorashvili,Anzor Mekvabishvili,Zuriko Davitashvili,Georges Mikautadze,Khvicha Kvaratskhelia,6.2,5.7,6.1,6.2,6.3,6.1,6.2,6.4,6.4,6.7,6.5,7.1,7.4,7.1,7.0,7.7,7.5,7.4,7.3,7.3,7.6,8.5,0,3,1,5,1,414,12,3,0.4,5,15,4,627,9,18,0.6
Bulgaria,Spain,H,4-3-3,4-3-3,0,Svetoslav Vutsov,Anton Nedyalkov,Kristian Dimitrov,Emil Tsenov,Fabian Nürnberger,Vasil Panayotov,Ivajlo Chochev,Ilia Gruev,Nikolay Minkov,Aleksandar Kolev,Radoslav Kirilov,Unai Simón,Pedro Porro,Robin Le Normand,Dean Huijsen,Marc Cucurella,Mikel Merino,Martín Zubimendi,Pedri,Lamine Yamal,Mikel Oyarzabal,Nico Williams,7.5,6.5,6.3,7.1,6.1,6.3,6.7,6.7,6.7,6.4,6.5,6.7,7.8,6.7,7.8,8.0,8.1,8.0,8.0,7.9,7.6,7.6,0,3,0,3,1,228,17,17,0.22,6,24,6,818,5,6,0.78
Bulgaria,Ireland,A,5-4-1,4-4-2,0,Plamen Iliev,Nikolay Minkov,Valentin Antov,Simeon Petrov,Anton Nedyalkov,Fabian Nürnberger,Marin Petkov,Georgi Milanov,Ilia Gruev,Kiril Despodov,Bozhidar Kraev,Caoimhin Kelleher,Matt Doherty,Nathan Collins,Jake O'Brien,Robbie Brady,Michael Johnston,Josh Cullen,Jason Knight,Finn Azaz,Evan Ferguson,Troy Parrott,6.6,6.6,7.5,6.7,7.3,6.7,6.8,6.8,6.8,6.6,6.3,6.6,7.1,6.7,7.1,7.4,6.4,6.8,6.4,7.4,7.5,7.2,1,2,0,7,5,483,15,12,0.5,3,14,5,488,9,12,0.5
Bulgaria,Ireland,H,4-4-2,4-4-2,0,Dimitar Mitov,Anton Nedyalkov,Zhivko Atanasov,Aleks Petkov,Fabian Nürnberger,Marin Petkov,Andrian Kraev,Ilia Gruev,Kiril Despodov,Filip Krastev,Lukas Petkov,Caoimhin Kelleher,Matt Doherty,Nathan Collins,Dara O'Shea,Robbie Brady,Michael Johnston,Jason Knight,Josh Cullen,Ryan Manning,Finn Azaz,Troy Parrott,6.0,6.8,6.7,6.4,6.6,7.3,6.8,6.6,7.0,7.2,6.6,6.4,7.5,6.8,7.2,7.6,6.7,6.7,7.5,7.0,7.6,7.2,1,2,0,7,2,509,10,10,0.56,3,12,3,395,13,21,0.44
Bulgaria,Belarus,H,4-1-4-1,3-4-2-1,1,Dimitar Mitov,Viktor Popov,Simeon Petrov,Aleks Petkov,Fabian Nürnberger,Andrian Kraev,Marin Petkov,Vasil Panayotov,Georgi Milanov,Radoslav Kirilov,Aleksandar Kolev,Fedor Lapoukhov,Aleksandr Martynovich,Sergei Politevich,Denis Polyakov,Sergei Karpovich,Valeriy Bocherov,Max Ebong,Dmitriy Prishchepa,Valeriy Gromyko,Vitaliy Lisakovich,Yevgeniy Shikavka,6.5,7.0,6.7,6.6,7.2,7.2,7.6,7.2,6.2,6.5,6.7,6.9,7.2,6.6,6.6,6.7,6.9,6.5,6.5,6.8,6.4,6.7,1,1,1,9,1,455,13,18,0.52,0,5,3,410,17,17,0.48
Bulgaria,Luxembourg,A,4-2-3-1,4-2-3-1,3,Dimitar Mitov,Viktor Popov,Simeon Petrov,Aleks Petkov,Fabian Nürnberger,Vasil Panayotov,Andrian Kraev,Georgi Milanov,Filip Krastev,Kiril Despodov,Aleksandar Kolev,Tiago Pereira Cardoso,Laurent Jans,Seid Korać,Dirk Carlson,Mica Pinto,Christopher Martins Pereira,Tomas de Sousa Moreira,Danel Sinani,Mathias Olesen,Florian Bohnert,Gerson Rodrigues,7.8,7.6,7.0,7.4,7.1,6.4,7.3,6.7,6.8,6.5,6.7,6.9,6.9,7.7,7.2,7.1,7.6,6.5,7.5,7.2,6.2,7.2,1,0,0,7,0,313,25,16,0.35,1,18,12,550,13,9,0.65
Bulgaria,Northern Ireland,A,4-3-3,3-4-2-1,0,Dimitar Mitov,Viktor Popov,Zhivko Atanasov,Simeon Petrov,Hristiyan Petrov,Filip Krastev,Georgi Kostadinov,Serkan Yussein,Kiril Despodov,Martin Minchev,Radoslav Kirilov,Pierce Charles,Trai Hume,Paddy McNair,Eoin Toal,Conor Bradley,Alistair McCann,Shea Charles,Brodie Spencer,Isaac Price,Callum Marshall,Dion Charles,5.1,5.9,6.1,6.4,6.3,6.5,6.5,6.2,6.0,6.4,6.3,6.8,6.9,6.9,6.2,6.7,7.3,8.2,8.1,9.3,6.7,7.1,0,5,2,5,2,456,20,13,0.57,1,12,7,322,25,12,0.43
