Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Spain,Georgia,A,4-3-3,4-1-4-1,3,Unai Simón,Pedro Porro,Pau Cubarsí,Aymeric Laporte,Marc Cucurella,Mikel Merino,Martín Zubimendi,Fabián Ruiz,Ferran Torres,Mikel Oyarzabal,Alejandro Baena,Giorgi Mamardashvili,Vladimer Mamuchashvili,Saba Goglichidze,Luka Lochoshvili,Giorgi Gocholeishvili,Anzor Mekvabishvili,Iuri Tabatadze,Zuriko Davitashvili,Otar Kiteishvili,Khvicha Kvaratskhelia,Budu Zivzivadze,7.3,7.1,7.2,7.8,6.9,7.0,7.6,7.6,8.0,8.6,7.7,6.6,6.0,6.2,6.4,6.2,6.4,6.6,6.5,6.5,7.2,6.6,4,0,6,14,6,634,10,8,0.61,0,6,4,400,11,9,0.39
Spain,Bulgaria,H,4-2-3-1,4-5-1,3,Unai Simón,Pedro Porro,Robin Le Normand,Aymeric Laporte,Alejandro Grimaldo,Martín Zubimendi,Pedri,Mikel Oyarzabal,Mikel Merino,Alejandro Baena,Samu Aghehowa,Svetoslav Vutsov,Martin Georgiev,Petko Hristov,Atanas Chernev,Dimitar Velkovski,Martin Minchev,Stanislav Shopov,Ilia Gruev,Filip Krastev,Radoslav Kirilov,Kiril Despodov,6.8,7.2,7.5,7.7,8.0,7.6,8.1,8.0,10.0,7.7,6.1,7.9,6.0,7.0,6.3,6.3,6.7,6.3,6.3,7.3,6.4,6.3,4,0,8,33,11,817,8,5,0.78,1,3,0,239,11,7,0.22
Spain,Georgia,H,4-3-3,5-3-2,3,Unai Simón,Pedro Porro,Robin Le Normand,Pau Cubarsí,Marc Cucurella,Mikel Merino,Martín Zubimendi,Pedri,Ferran Torres,Mikel Oyarzabal,Yéremy Pino,Giorgi Mamardashvili,Otar Kakabadze,Saba Goglichidze,Guram Kashia,Lasha Dvali,Giorgi Gocholeishvili,Otar Kiteishvili,Giorgi Kochorashvili,Anzor Mekvabishvili,Georges Mikautadze,Khvicha Kvaratskhelia,6.9,9.1,8.2,7.6,8.0,6.8,7.8,8.2,5.9,6.6,7.7,7.1,6.4,6.4,6.5,7.0,6.3,6.5,6.8,6.5,6.5,5.9,2,0,10,24,10,814,21,7,0.83,0,1,0,171,13,12,0.17
Spain,Türkiye,A,4-3-3,4-2-3-1,3,Unai Simón,Pedro Porro,Robin Le Normand,Dean Huijsen,Marc Cucurella,Mikel Merino,Martín Zubimendi,Pedri,Lamine Yamal,Mikel Oyarzabal,Nico Williams,Uğurcan Çakır,Mert Müldür,Merih Demiral,Abdülkerim Bardakcı,Eren Elmalı,İsmail Yüksek,Hakan Çalhanoğlu,Yunus Akgün,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,7.4,7.1,7.5,8.2,7.6,9.7,7.1,9.4,9.4,8.9,6.1,7.0,5.9,6.2,6.0,5.7,6.4,6.5,6.2,6.6,6.4,6.3,6,0,10,21,4,525,26,6,0.5,0,11,8,509,13,9,0.5
Spain,Bulgaria,A,4-3-3,4-3-3,3,Unai Simón,Pedro Porro,Robin Le Normand,Dean Huijsen,Marc Cucurella,Mikel Merino,Martín Zubimendi,Pedri,Lamine Yamal,Mikel Oyarzabal,Nico Williams,Svetoslav Vutsov,Anton Nedyalkov,Kristian Dimitrov,Emil Tsenov,Fabian Nürnberger,Vasil Panayotov,Ivajlo Chochev,Ilia Gruev,Nikolay Minkov,Aleksandar Kolev,Radoslav Kirilov,6.7,7.8,6.7,7.8,8.0,8.1,8.0,8.0,7.9,7.6,7.6,7.5,6.5,6.3,7.1,6.1,6.3,6.7,6.7,6.7,6.4,6.5,3,0,6,24,6,818,5,6,0.78,0,3,1,228,17,17,0.22
Spain,Portugal,A,4-3-3,4-3-3,0,Unai Simón,Óscar Mingueza,Robin Le Normand,Dean Huijsen,Marc Cucurella,Pedri,Martín Zubimendi,Fabián Ruiz,Lamine Yamal,Mikel Oyarzabal,Nico Williams,Diogo Costa,João Neves,Rúben Dias,Gonçalo Inácio,Nuno Mendes,Bruno Fernandes,Vitinha,Bernardo Silva,Francisco Conceição,Cristiano Ronaldo,Pedro Neto,6.3,6.4,6.8,6.8,7.3,7.9,7.9,7.0,7.9,7.2,6.9,7.5,5.9,6.8,6.3,8.7,6.6,7.3,6.6,6.6,7.2,6.8,5,7,3,16,4,812,17,14,0.61,2,7,3,509,14,19,0.39
Spain,France,H,4-3-3,4-2-3-1,3,Unai Simón,Pedro Porro,Robin Le Normand,Dean Huijsen,Marc Cucurella,Pedri,Martín Zubimendi,Mikel Merino,Lamine Yamal,Mikel Oyarzabal,Nico Williams,Mike Maignan,Pierre Kalulu,Ibrahima Konaté,Clément Lenglet,Theo Hernández,Manu Koné,Adrien Rabiot,Ousmane Dembélé,Michael Olise,Désiré Doué,Kylian Mbappé,7.4,6.7,6.5,6.6,6.3,7.0,6.3,7.5,9.7,7.9,8.4,6.2,6.1,6.4,6.1,6.7,7.2,6.6,7.4,6.5,6.4,8.4,5,4,5,16,4,393,24,13,0.43,4,24,6,503,12,16,0.57
Spain,Netherlands,H,4-2-3-1,4-2-3-1,3,Unai Simón,Óscar Mingueza,Robin Le Normand,Dean Huijsen,Marc Cucurella,Martín Zubimendi,Fabián Ruiz,Lamine Yamal,Dani Olmo,Nico Williams,Mikel Oyarzabal,Bart Verbruggen,Lutsharel Geertruida,Jan Paul van Hecke,Virgil van Dijk,Ian Maatsen,Tijjani Reijnders,Frenkie de Jong,Jeremie Frimpong,Justin Kluivert,Cody Gakpo,Memphis Depay,7.9,6.9,6.4,7.5,6.6,7.2,6.7,6.9,6.1,8.1,8.4,8.1,7.0,6.6,7.1,7.5,7.2,7.2,6.6,7.0,7.2,7.6,8,7,5,19,4,715,16,10,0.54,4,16,2,601,14,12,0.46
Spain,Netherlands,A,4-3-3,4-2-3-1,1,Unai Simón,Pedro Porro,Robin Le Normand,Pau Cubarsí,Marc Cucurella,Pedri,Martín Zubimendi,Fabián Ruiz,Lamine Yamal,Álvaro Morata,Nico Williams,Bart Verbruggen,Lutsharel Geertruida,Jan Paul van Hecke,Virgil van Dijk,Jorrel Hato,Tijjani Reijnders,Frenkie de Jong,Jeremie Frimpong,Justin Kluivert,Cody Gakpo,Memphis Depay,6.7,6.7,7.0,6.5,7.2,7.1,7.2,6.8,6.7,6.6,7.9,7.8,6.1,7.2,7.1,5.8,7.4,7.0,7.1,6.8,7.5,7.3,2,2,2,15,4,629,14,14,0.6,0,10,2,424,11,7,0.4
Spain,Switzerland,H,4-3-3,4-2-3-1,3,Álex Remiro,Óscar Mingueza,Pau Cubarsí,Aitor Paredes,Alejandro Grimaldo,Pedri,Marc Casadó,Fabián Ruiz,Yéremy Pino,Álvaro Morata,Nico Williams,Yvon Mvogo,Edimilson Fernandes,Eray Cömert,Ricardo Rodríguez,Miro Muheim,Remo Freuler,Granit Xhaka,Filip Ugrinić,Simon Sohm,Dereck Kutesa,Zeki Amdouni,6.7,6.5,7.0,6.8,8.0,7.0,7.5,7.3,7.4,7.0,6.9,8.1,6.4,6.9,6.2,6.8,6.8,6.5,6.5,6.6,6.3,6.5,3,2,5,21,7,570,12,12,0.6,2,11,3,394,15,10,0.4
Spain,Denmark,A,4-2-3-1,4-3-3,3,David Raya,Pedro Porro,Daniel Vivian,Aymeric Laporte,Marc Cucurella,Martín Zubimendi,Mikel Merino,Mikel Oyarzabal,Dani Olmo,Alejandro Baena,Ayoze Pérez,Kasper Schmeichel,Alexander Bah,Joachim Andersen,Jannik Vestergaard,Victor Kristiansen,Pierre-Emile Højbjerg,Christian Nørgaard,Morten Hjulmand,Christian Eriksen,Rasmus Højlund,Albert Grønbæk,6.3,7.8,6.7,7.0,6.7,6.9,7.1,7.2,7.7,6.9,8.4,6.9,7.3,6.9,5.9,6.7,6.9,6.4,7.5,7.1,6.5,6.1,2,1,3,11,7,532,16,8,0.53,1,10,7,464,15,17,0.47
