Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Türkiye,Bulgaria,H,4-2-3-1,4-5-1,3,Uğurcan Çakır,Zeki Çelik,Merih Demiral,Abdülkerim Bardakcı,Ferdi Kadıoğlu,Hakan Çalhanoğlu,İsmail Yüksek,Oğuz Aydın,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Dimitar Mitov,Martin Georgiev,Kristian Dimitrov,Atanas Chernev,Hristiyan Petrov,Georgi Rusev,Ilia Gruev,Andrian Kraev,Filip Krastev,Zdravko Dimitrov,Kiril Despodov,7.0,7.1,6.7,6.9,7.3,8.7,7.2,7.5,7.1,8.0,6.8,7.5,6.7,6.4,6.3,6.4,6.7,6.7,7.0,7.1,6.1,6.5,2,0,5,19,9,555,22,11,0.67,1,9,6,283,11,11,0.33
Türkiye,Georgia,H,4-2-3-1,4-3-3,3,Uğurcan Çakır,Mert Müldür,Merih Demiral,Abdülkerim Bardakcı,Eren Elmalı,Hakan Çalhanoğlu,İsmail Yüksek,Yunus Akgün,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Giorgi Mamardashvili,Otar Kakabadze,Saba Goglichidze,Luka Lochoshvili,Giorgi Gocholeishvili,Giorgi Kochorashvili,Otar Kiteishvili,Anzor Mekvabishvili,Zuriko Davitashvili,Georges Mikautadze,Khvicha Kvaratskhelia,6.6,7.6,8.7,7.5,7.0,8.7,6.9,6.8,7.1,7.7,6.7,6.1,6.8,6.4,6.3,6.8,7.0,6.6,6.5,7.1,6.2,6.8,4,1,5,10,7,434,21,16,0.45,1,12,6,527,9,14,0.55
Türkiye,Bulgaria,A,4-2-3-1,4-4-1-1,3,Uğurcan Çakır,Zeki Çelik,Merih Demiral,Abdülkerim Bardakcı,Ferdi Kadıoğlu,Hakan Çalhanoğlu,Orkun Kökçü,Oğuz Aydın,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Dimitar Mitov,Viktor Popov,Petko Hristov,Rosen Bozhinov,Hristiyan Petrov,Marin Petkov,Kristiyan Stoyanov,Andrian Kraev,Radoslav Kirilov,Ivajlo Chochev,Kiril Despodov,6.9,7.7,7.1,6.8,7.1,8.5,7.3,7.6,8.8,8.3,6.8,5.4,5.7,5.2,5.6,5.6,6.3,6.5,6.3,6.9,6.9,6.6,6,1,2,18,8,717,9,11,0.78,1,4,5,198,21,4,0.22
Türkiye,Spain,H,4-2-3-1,4-3-3,0,Uğurcan Çakır,Mert Müldür,Merih Demiral,Abdülkerim Bardakcı,Eren Elmalı,İsmail Yüksek,Hakan Çalhanoğlu,Yunus Akgün,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Unai Simón,Pedro Porro,Robin Le Normand,Dean Huijsen,Marc Cucurella,Mikel Merino,Martín Zubimendi,Pedri,Lamine Yamal,Mikel Oyarzabal,Nico Williams,7.0,5.9,6.2,6.0,5.7,6.4,6.5,6.2,6.6,6.4,6.3,7.4,7.1,7.5,8.2,7.6,9.7,7.1,9.4,9.4,8.9,6.1,0,6,0,11,8,509,13,9,0.5,10,21,4,525,26,6,0.5
Türkiye,Georgia,A,4-2-3-1,4-4-2,3,Uğurcan Çakır,Mert Müldür,Merih Demiral,Abdülkerim Bardakcı,Eren Elmalı,İsmail Yüksek,Hakan Çalhanoğlu,Yunus Akgün,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Giorgi Mamardashvili,Otar Kakabadze,Saba Goglichidze,Guram Kashia,Luka Lochoshvili,Georgiy Tsitaishvili,Giorgi Kochorashvili,Anzor Mekvabishvili,Zuriko Davitashvili,Georges Mikautadze,Khvicha Kvaratskhelia,6.6,7.6,7.3,6.5,6.4,6.5,6.4,7.2,7.4,6.7,7.9,5.9,5.8,6.1,6.2,5.8,6.3,7.4,6.4,8.2,6.4,7.8,3,2,2,6,2,360,20,13,0.46,2,15,6,407,16,14,0.54
Türkiye,Mexico,A,4-2-3-1,4-4-2,0,Berke Özer,Mert Müldür,Merih Demiral,Çağlar Söyüncü,Yasin Özcan,Kaan Ayhan,İsmail Yüksek,İrfan Can Kahveci,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Luis Malagón,Jorge Sánchez,Israel Reyes,César Montes,Jesús Gallardo,Orbelín Pineda,Edson Álvarez,Marcel Ruíz,Alexis Vega,Ángel Sepúlveda,Julián Quiñones,6.8,7.2,7.0,6.6,6.2,6.9,7.2,6.7,7.1,7.2,6.8,7.2,7.0,7.1,7.8,7.3,7.8,7.3,7.5,6.3,6.7,6.5,0,1,0,17,10,545,17,13,0.58,3,6,0,397,23,9,0.42
Türkiye,USA,A,4-2-3-1,4-2-3-1,3,Berke Özer,Zeki Çelik,Merih Demiral,Çağlar Söyüncü,Eren Elmalı,İsmail Yüksek,Orkun Kökçü,Oğuz Aydın,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Matthew Freese,Alexander Freeman,Chris Richards,Miles Robinson,Maximilian Arfsten,Johnny Cardoso,Luca De La Torre,Jack McGlynn,Malik Tillman,Diego Luna,Patrick Agyemang,6.3,6.5,7.1,7.2,6.5,7.6,7.2,7.5,8.1,6.3,7.5,6.6,6.8,6.9,6.4,6.6,5.9,6.9,7.2,7.1,7.0,6.4,2,1,3,10,5,442,26,14,0.41,1,13,4,633,18,8,0.59
Türkiye,Hungary,A,4-2-3-1,3-4-2-1,3,Uğurcan Çakır,Mert Müldür,Samet Akaydın,Abdülkerim Bardakcı,Eren Elmalı,Hakan Çalhanoğlu,İsmail Yüksek,Oğuz Aydın,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Dénes Dibusz,Attila Fiola,Willi Orbán,Márton Dárdai,Bendegúz Bolla,Bence Dárdai,Bálint Vécsei,Miloš Kerkez,Dániel Gazdag,Dominik Szoboszlai,Barnabás Varga,7.2,7.0,6.9,7.7,6.8,7.5,7.1,7.0,7.6,7.2,6.5,6.2,6.0,6.9,6.4,6.8,6.2,6.6,7.0,6.9,6.9,6.3,3,0,2,9,3,414,10,17,0.45,2,10,2,496,15,13,0.55
Türkiye,Hungary,H,4-2-3-1,3-4-3,3,Uğurcan Çakır,Kaan Ayhan,Samet Akaydın,Abdülkerim Bardakcı,Eren Elmalı,Orkun Kökçü,Hakan Çalhanoğlu,Oğuz Aydın,Kenan Yıldız,Barış Alper Yılmaz,Kerem Aktürkoğlu,Dénes Dibusz,Attila Fiola,Willi Orbán,Márton Dárdai,Bendegúz Bolla,András Schäfer,Tamás Nikitscher,Miloš Kerkez,Dominik Szoboszlai,Barnabás Varga,Zsolt Nagy,7.1,6.5,6.8,7.0,7.1,7.1,7.4,8.0,6.8,6.3,8.4,5.9,6.8,7.0,7.1,7.1,7.6,6.2,6.9,7.3,7.1,7.6,3,1,1,10,4,543,14,17,0.63,2,15,3,321,19,13,0.37
Türkiye,Montenegro,A,4-2-3-1,3-5-2,0,Mert Günok,Kaan Ayhan,Merih Demiral,Emirhan Topçu,Eren Elmalı,Okay Yokuşlu,Orkun Kökçü,Yunus Akgün,Arda Güler,Kenan Yıldız,Kerem Aktürkoğlu,Igor Nikić,Marko Tuci,Igor Vujačić,Nikola Šipčić,Marko Vukčević,Milan Vukotić,Marko Janković,Stefan Lončar,Ognjen Gašević,Nikola Krstović,Stevan Jovetić,6.6,6.4,6.9,6.4,6.7,6.7,7.4,6.3,8.4,6.9,7.3,7.2,7.4,6.7,6.4,7.2,6.8,6.1,6.7,6.6,9.2,6.9,1,3,3,21,5,523,9,14,0.71,2,10,2,208,13,6,0.29
