Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Arsenal,Sunderland,H,4-3-3,4-2-3-1,3,David Raya,Jurriën Timber,William Saliba,Gabriel Magalhães,Riccardo Calafiori,Kai Havertz,Martín Zubimendi,Declan Rice,Noni Madueke,Gabriel Jesus,Leandro Trossard,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Noah Sadiki,Enzo Le Fée,Trai Hume,Habib Diarra,Chemsdine Talbi,Brian Brobbey,7.6,7.0,7.1,7.8,6.8,7.0,7.8,7.3,6.6,6.3,7.4,5.7,6.6,5.9,6.5,5.7,6.4,6.2,6.6,6.8,6.3,6.4,3,0,1,16,5,389,15,8,0.49,1,5,2,408,13,11,0.51
Arsenal,Chelsea,H,4-3-3,3-5-2,3,Kepa Arrizabalaga,Jurriën Timber,William Saliba,Gabriel Magalhães,Piero Hincapié,Eberechi Eze,Martín Zubimendi,Declan Rice,Noni Madueke,Viktor Gyökeres,Gabriel Martinelli,Robert Sánchez,Wesley Fofana,Trevoh Chalobah,Jorrel Hato,Malo Gusto,Moisés Caicedo,Andrey Santos,Enzo Fernández,Marc Cucurella,Liam Delap,João Pedro,6.7,6.8,6.8,7.5,7.4,6.6,6.9,7.2,6.5,6.6,6.6,6.7,6.6,6.7,6.8,7.1,7.1,7.1,7.4,7.0,6.1,6.3,1,0,3,5,2,411,15,12,0.44,1,14,5,511,10,14,0.56
Arsenal,Leeds United,A,4-2-3-1,3-4-2-1,3,David Raya,Jurriën Timber,William Saliba,Gabriel Magalhães,Piero Hincapié,Martín Zubimendi,Declan Rice,Noni Madueke,Kai Havertz,Leandro Trossard,Viktor Gyökeres,Karl Darlow,James Justin,Joe Rodon,Pascal Struijk,Jayden Bogle,Ethan Ampadu,Ilia Gruev,Gabriel Gudmundsson,Anton Stach,Brenden Aaronson,Dominic Calvert-Lewin,6.8,7.3,6.9,7.9,6.8,7.7,7.7,8.4,6.5,6.9,7.2,5.7,6.2,6.5,6.8,6.1,6.8,6.5,6.3,7.4,5.8,6.5,4,0,6,15,12,395,14,10,0.5,0,3,4,395,16,7,0.5
Arsenal,Kairat Almaty,H,4-3-3,3-4-3,3,Kepa Arrizabalaga,Ben White,Cristhian Mosquera,Riccardo Calafiori,Myles Lewis-Skelly,Kai Havertz,Christian Nørgaard,Eberechi Eze,Noni Madueke,Viktor Gyökeres,Gabriel Martinelli,Temirlan Anarbekov,Aleksandr Shirobokov,Aleksandr Martynovich,Egor Sorokin,Erkin Tapalov,Dan Glazer,Adilet Sadybekov,Luís Mata,Aleksandr Mrynskiy,Edmilson,Jorginho,6.3,7.7,7.2,5.9,7.4,8.6,7.7,7.3,7.5,6.6,7.8,7.2,6.2,6.8,6.2,6.8,6.2,6.6,6.2,6.4,6.0,7.6,3,2,10,25,11,583,8,10,0.66,2,4,0,303,24,13,0.34
Arsenal,Manchester United,H,4-3-3,4-2-3-1,0,David Raya,Jurriën Timber,William Saliba,Gabriel Magalhães,Piero Hincapié,Martin Ødegaard,Martín Zubimendi,Declan Rice,Bukayo Saka,Gabriel Jesus,Leandro Trossard,Senne Lammens,Diogo Dalot,Harry Maguire,Lisandro Martínez,Luke Shaw,Casemiro,Kobbie Mainoo,Amad Diallo,Bruno Fernandes,Patrick Dorgu,Bryan Mbeumo,5.1,5.8,5.9,6.1,6.2,6.2,6.1,7.4,7.7,6.4,6.5,6.7,6.2,6.7,6.7,6.3,7.0,6.3,6.5,6.2,7.3,7.6,2,3,1,15,9,443,11,9,0.56,2,10,2,364,14,11,0.44
Arsenal,Inter,A,4-3-3,3-5-2,3,David Raya,Jurriën Timber,William Saliba,Cristhian Mosquera,Myles Lewis-Skelly,Mikel Merino,Martín Zubimendi,Eberechi Eze,Bukayo Saka,Gabriel Jesus,Leandro Trossard,Yann Sommer,Manuel Akanji,Francesco Acerbi,Alessandro Bastoni,Luís Henrique,Nicolò Barella,Piotr Zieliński,Petar Sučić,Federico Dimarco,Marcus Thuram,Lautaro Martínez,6.8,5.8,6.9,6.9,6.8,6.4,6.5,6.4,6.9,7.6,6.7,6.8,6.7,6.4,6.9,7.0,6.4,6.6,8.9,6.8,7.1,6.9,3,1,3,17,7,420,14,9,0.49,1,18,4,446,22,17,0.51
Arsenal,Nottingham Forest,A,4-3-3,4-2-3-1,1,David Raya,Ben White,William Saliba,Gabriel Magalhães,Jurriën Timber,Martin Ødegaard,Martín Zubimendi,Declan Rice,Noni Madueke,Viktor Gyökeres,Gabriel Martinelli,Matz Sels,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Ibrahim Sangaré,Elliot Anderson,Callum Hudson-Odoi,Morgan Gibbs-White,Nicolás Domínguez,Igor Jesus,6.6,6.7,7.1,7.2,6.6,6.8,6.8,8.0,6.6,6.0,6.8,7.1,7.0,7.3,6.8,7.8,7.2,8.0,7.5,6.5,6.6,6.6,0,0,4,15,9,494,16,8,0.6,0,6,4,321,12,14,0.4
Arsenal,Chelsea,A,4-3-3,4-2-3-1,3,Kepa Arrizabalaga,Ben White,William Saliba,Gabriel Magalhães,Jurriën Timber,Martin Ødegaard,Martín Zubimendi,Declan Rice,Bukayo Saka,Viktor Gyökeres,Leandro Trossard,Robert Sánchez,Josh Acheampong,Trevoh Chalobah,Wesley Fofana,Marc Cucurella,Andrey Santos,Enzo Fernández,Estêvão,João Pedro,Pedro Neto,Marc Guiu,5.9,7.2,6.8,6.9,6.3,6.6,7.6,7.5,6.5,7.3,6.5,5.9,6.4,6.2,6.0,6.0,6.5,7.4,6.3,6.7,6.3,6.3,3,2,4,17,9,356,19,12,0.42,1,10,6,495,11,14,0.58
Arsenal,Portsmouth,A,4-3-3,4-2-3-1,3,Kepa Arrizabalaga,Ben White,Christian Nørgaard,Gabriel Magalhães,Myles Lewis-Skelly,Ethan Nwaneri,Mikel Merino,Eberechi Eze,Noni Madueke,Gabriel Jesus,Gabriel Martinelli,Josef Bursik,Terry Devlin,Regan Poole,Conor Shaughnessy,Zak Swanson,Andre Dozzell,Luke Le Roux,Adrian Segecic,Conor Chaplin,Harvey Blair,Colby Bishop,7.4,6.9,6.7,6.0,6.5,6.9,7.0,6.9,6.9,6.9,9.0,5.8,6.5,7.1,6.5,5.2,6.7,7.0,6.2,6.3,6.7,7.1,4,1,6,15,8,441,9,15,0.61,1,13,6,273,17,9,0.39
Arsenal,Liverpool,H,4-3-3,4-2-3-1,1,David Raya,Jurriën Timber,William Saliba,Gabriel Magalhães,Piero Hincapié,Martin Ødegaard,Martín Zubimendi,Declan Rice,Bukayo Saka,Viktor Gyökeres,Leandro Trossard,Alisson,Conor Bradley,Ibrahima Konaté,Virgil van Dijk,Miloš Kerkez,Ryan Gravenberch,Alexis Mac Allister,Jeremie Frimpong,Dominik Szoboszlai,Cody Gakpo,Florian Wirtz,6.4,7.0,7.2,7.4,6.5,6.7,7.6,7.5,6.6,6.2,6.8,7.8,6.6,7.2,7.2,7.6,7.3,6.8,6.6,6.7,6.6,6.9,0,0,1,9,3,459,11,9,0.48,0,8,0,509,10,10,0.52
