Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Aston Villa,Bournemouth,A,4-2-3-1,4-2-3-1,1,Emiliano Martínez,Matty Cash,Ezri Konsa,Tyrone Mings,Lucas Digne,Amadou Onana,Douglas Luiz,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Ollie Watkins,Đorđe Petrović,Álex Jiménez,James Hill,Marcos Senesi,Adrien Truffert,Lewis Cook,Alex Scott,Rayan,Eli Junior Kroupi,Amine Adli,Evanilson,8.7,6.9,7.1,6.4,6.4,7.8,7.1,6.8,7.0,6.3,6.4,7.3,6.9,7.1,6.8,6.0,7.1,6.7,7.9,6.5,8.1,6.3,1,1,1,7,4,382,18,4,0.47,3,20,11,413,10,11,0.53
Aston Villa,Brentford,H,4-2-3-1,4-2-3-1,0,Emiliano Martínez,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Douglas Luiz,Lamare Bogarde,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Tammy Abraham,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Sepp van den Berg,Rico Henry,Jordan Henderson,Vitaly Janelt,Dango Ouattara,Mathias Jensen,Kevin Schade,Igor Thiago,6.6,7.6,7.4,7.1,7.2,6.7,6.7,7.3,7.2,6.1,6.3,7.8,7.3,7.7,7.3,6.5,6.5,7.1,7.9,6.6,5.5,6.3,0,1,3,27,12,636,19,8,0.72,2,6,1,256,7,8,0.28
Aston Villa,Red Bull Salzburg,H,4-2-3-1,4-2-3-1,3,Emiliano Martínez,Lamare Bogarde,Victor Lindelöf,Tyrone Mings,Lucas Digne,Amadou Onana,George Hemmings,Jadon Sancho,Harvey Elliott,Emiliano Buendía,Ollie Watkins,Alexander Schlager,Tim Trummer,Joane Gadou,Jannik Schuster,Frans Krätzig,Mads Bidstrup,Soumaïla Diabaté,Edmund Baidoo,Sota Kitano,Kerim Alajbegović,Karim Konaté,7.7,6.5,6.4,7.8,6.7,7.0,6.5,6.6,6.5,6.4,6.4,6.2,6.0,6.4,6.0,6.0,6.5,7.0,6.9,6.1,7.5,7.1,3,2,4,14,4,658,17,13,0.65,5,14,2,364,21,8,0.35
Aston Villa,Newcastle United,A,4-2-3-1,4-3-3,3,Emiliano Martínez,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Amadou Onana,Youri Tielemans,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Ollie Watkins,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Lewis Miley,Sandro Tonali,Joelinton,Harvey Barnes,Yoane Wissa,Anthony Gordon,8.2,6.9,6.9,6.6,7.1,7.3,7.3,6.4,7.1,7.9,7.3,8.2,6.3,6.9,7.0,6.9,7.0,7.8,6.5,5.9,6.5,7.3,2,0,2,14,5,353,21,7,0.39,3,15,6,519,24,12,0.61
Aston Villa,Fenerbahçe,A,4-2-3-1,4-2-3-1,3,Marco Bizot,Matty Cash,Victor Lindelöf,Tyrone Mings,Lucas Digne,Lamare Bogarde,Youri Tielemans,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Ollie Watkins,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Nélson Semedo,İsmail Yüksek,Fred,Dorgeles Nene,Marco Asensio,Kerem Aktürkoğlu,Jhon Durán,9.0,7.0,7.1,7.7,6.6,7.0,6.8,7.4,7.1,6.8,6.6,7.0,6.8,8.9,6.3,6.7,8.8,7.6,6.8,7.7,6.4,6.4,1,0,3,12,5,289,15,13,0.37,2,13,5,510,22,15,0.63
Aston Villa,Everton,H,4-2-3-1,4-2-3-1,0,Emiliano Martínez,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Lamare Bogarde,Youri Tielemans,John McGinn,Morgan Rogers,Emiliano Buendía,Ollie Watkins,Jordan Pickford,Nathan Patterson,James Tarkowski,Jake O'Brien,Vitaliy Mykolenko,Merlin Röhl,James Garner,Dwight McNeil,Harrison Armstrong,Jack Grealish,Thierno Barry,6.1,7.0,7.6,6.6,7.2,6.7,7.6,6.6,5.5,6.9,6.1,8.8,7.4,7.4,8.0,6.7,6.4,7.9,6.6,6.4,6.9,6.8,0,1,0,18,6,495,14,13,0.63,1,9,4,292,17,15,0.37
Aston Villa,Tottenham Hotspur,A,4-2-3-1,4-2-3-1,3,Marco Bizot,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Boubacar Kamara,Lamare Bogarde,John McGinn,Morgan Rogers,Emiliano Buendía,Donyell Malen,Guglielmo Vicario,Pedro Porro,Kevin Danso,Micky van de Ven,Ben Davies,Archie Gray,João Palhinha,Wilson Odobert,Xavi Simons,Mathys Tel,Richarlison,7.3,7.2,6.9,6.9,5.8,6.7,6.2,6.7,7.5,7.8,6.1,6.4,7.9,6.6,7.2,6.2,6.6,7.2,7.4,7.1,6.2,6.7,2,1,2,17,6,521,24,17,0.6,0,13,4,330,19,10,0.4
Aston Villa,Crystal Palace,A,4-2-3-1,3-4-2-1,1,Emiliano Martínez,Matty Cash,Ezri Konsa,Victor Lindelöf,Lucas Digne,Boubacar Kamara,Youri Tielemans,Jadon Sancho,John McGinn,Morgan Rogers,Ollie Watkins,Dean Henderson,Jaydee Canvot,Maxence Lacroix,Marc Guéhi,Justin Devenny,Adam Wharton,Will Hughes,Tyrick Mitchell,Brennan Johnson,Yéremy Pino,Jean-Philippe Mateta,7.2,7.6,7.4,7.5,7.7,6.8,7.2,6.2,6.3,6.3,6.7,7.4,7.5,7.2,7.8,6.6,7.5,7.1,7.0,6.3,6.8,6.4,0,0,3,15,5,537,14,8,0.59,3,11,3,369,20,3,0.41
Aston Villa,Nottingham Forest,H,4-2-3-1,4-5-1,3,Emiliano Martínez,Matty Cash,Ezri Konsa,Victor Lindelöf,Ian Maatsen,Boubacar Kamara,Youri Tielemans,John McGinn,Morgan Rogers,Emiliano Buendía,Ollie Watkins,John Victor,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Omari Hutchinson,Morgan Gibbs-White,Elliot Anderson,Nicolás Domínguez,Dilane Bakwa,Igor Jesus,7.0,7.2,7.2,7.0,6.3,7.7,7.9,8.5,6.9,6.6,7.8,5.2,6.1,6.1,6.7,6.1,6.4,7.6,6.5,7.2,6.1,6.0,3,1,2,11,4,645,18,20,0.73,2,10,4,239,19,10,0.27
Aston Villa,Arsenal,A,4-2-3-1,4-3-3,0,Emiliano Martínez,Lamare Bogarde,Ezri Konsa,Victor Lindelöf,Lucas Digne,Amadou Onana,Youri Tielemans,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Ollie Watkins,David Raya,Jurriën Timber,William Saliba,Gabriel Magalhães,Piero Hincapié,Martin Ødegaard,Martín Zubimendi,Mikel Merino,Bukayo Saka,Viktor Gyökeres,Leandro Trossard,5.3,5.8,6.8,6.1,5.6,7.1,6.8,6.1,6.6,6.6,6.7,7.2,6.9,6.6,8.1,7.7,8.3,8.2,7.0,6.6,5.8,8.9,1,4,5,11,3,416,10,18,0.54,6,22,3,351,17,9,0.46
