Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Brentford,Newcastle United,A,4-2-3-1,4-3-3,3,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Sepp van den Berg,Rico Henry,Jordan Henderson,Vitaly Janelt,Dango Ouattara,Mathias Jensen,Keane Lewis-Potter,Igor Thiago,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Sandro Tonali,Bruno Guimarães,Joe Willock,Jacob Murphy,Yoane Wissa,Harvey Barnes,6.4,6.0,6.5,6.5,5.9,6.7,8.9,7.8,6.8,5.9,6.7,6.2,6.3,6.7,7.8,7.1,6.6,7.8,6.5,6.2,6.0,6.5,3,2,4,11,3,379,15,13,0.46,4,16,9,428,9,17,0.54
Brentford,Aston Villa,A,4-2-3-1,4-2-3-1,3,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Sepp van den Berg,Rico Henry,Jordan Henderson,Vitaly Janelt,Dango Ouattara,Mathias Jensen,Kevin Schade,Igor Thiago,Emiliano Martínez,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Douglas Luiz,Lamare Bogarde,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Tammy Abraham,7.8,7.3,7.7,7.3,6.5,6.5,7.1,7.9,6.6,5.5,6.3,6.6,7.6,7.4,7.1,7.2,6.7,6.7,7.3,7.2,6.1,6.3,1,0,2,6,1,256,7,8,0.28,3,27,12,636,19,8,0.72
Brentford,Nottingham Forest,H,4-2-3-1,4-2-3-1,0,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Mikkel Damsgaard,Kevin Schade,Igor Thiago,Matz Sels,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Ibrahim Sangaré,Elliot Anderson,Callum Hudson-Odoi,Morgan Gibbs-White,Nicolás Domínguez,Igor Jesus,6.0,6.8,6.6,6.7,6.6,7.1,6.4,7.7,6.8,7.0,6.2,6.8,7.1,7.0,7.4,7.2,7.1,7.0,6.7,7.3,6.6,7.7,0,2,3,10,6,567,14,10,0.66,1,7,5,295,18,11,0.34
Brentford,Chelsea,A,4-2-3-1,4-2-3-1,0,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Mikkel Damsgaard,Kevin Schade,Igor Thiago,Robert Sánchez,Reece James,Trevoh Chalobah,Tosin Adarabioyo,Marc Cucurella,Moisés Caicedo,Enzo Fernández,Pedro Neto,Cole Palmer,Alejandro Garnacho,João Pedro,5.4,6.0,6.6,6.9,6.4,6.5,7.0,6.8,7.1,6.1,6.1,8.7,6.9,7.1,7.3,7.0,7.3,7.5,7.3,7.3,6.3,7.5,0,2,3,15,9,513,14,7,0.54,2,6,3,443,17,9,0.46
Brentford,Sheffield Wednesday,A,4-2-3-1,5-3-2,3,Hákon Rafn Valdimarsson,Aaron Hickey,Sepp van den Berg,Ethan Pinnock,Rico Henry,Mathias Jensen,Jordan Henderson,Romelle Donovan,Mikkel Damsgaard,Reiss Nelson,Keane Lewis-Potter,Pierce Charles,Sean Fusire,Joe Emery,Gabriel Otegbayo,Cole McGhee,Yisa Alao,Rio Shipston,Jarvis Thornton,Svante Ingelsson,Charlie McNeill,Bailey Cadamarteri,7.6,6.9,7.8,7.6,6.5,8.9,7.0,7.5,7.0,6.5,8.2,8.3,6.1,6.3,7.4,6.2,6.2,6.5,6.8,7.1,6.2,6.4,2,0,7,20,6,640,11,7,0.65,1,6,2,338,16,4,0.35
Brentford,Sunderland,H,4-2-3-1,4-2-3-1,3,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Keane Lewis-Potter,Mathias Jensen,Kevin Schade,Igor Thiago,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Trai Hume,Granit Xhaka,Lutsharel Geertruida,Chris Rigg,Enzo Le Fée,Simon Adingra,Brian Brobbey,7.9,7.3,6.6,7.5,7.7,7.2,7.0,7.0,7.1,7.8,8.5,7.3,5.8,6.4,5.9,5.9,7.2,6.2,6.0,5.9,6.2,6.9,3,0,5,18,7,392,8,13,0.51,2,11,4,389,7,12,0.49
Brentford,Everton,A,4-2-3-1,4-2-3-1,3,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Aaron Hickey,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Mikkel Damsgaard,Kevin Schade,Igor Thiago,Jordan Pickford,Jake O'Brien,James Tarkowski,Michael Keane,Vitaliy Mykolenko,Tim Iroegbunam,James Garner,Tyler Dibling,Dwight McNeil,Jack Grealish,Thierno Barry,6.7,6.2,6.2,8.0,6.4,6.3,8.4,7.5,6.7,6.7,10.0,6.6,6.1,6.8,5.7,6.0,7.0,7.5,6.1,7.1,7.7,7.3,4,2,6,11,5,455,16,9,0.55,1,14,4,364,24,8,0.45
Brentford,Tottenham Hotspur,H,4-3-3,4-3-3,1,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Jordan Henderson,Vitaly Janelt,Yehor Yarmolyuk,Keane Lewis-Potter,Igor Thiago,Kevin Schade,Guglielmo Vicario,Pedro Porro,Cristian Romero,Micky van de Ven,Djed Spence,Archie Gray,João Palhinha,Rodrigo Bentancur,Mohammed Kudus,Richarlison,Wilson Odobert,8.1,7.3,7.4,7.8,6.7,8.0,7.3,6.8,7.0,5.6,6.7,6.9,7.5,7.4,7.1,6.8,6.4,6.9,7.1,6.2,7.3,6.8,0,0,1,7,3,515,18,10,0.56,0,9,1,412,18,8,0.44
Brentford,Bournemouth,H,4-2-3-1,4-2-3-1,3,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Keane Lewis-Potter,Mathias Jensen,Kevin Schade,Igor Thiago,Đorđe Petrović,Adam Smith,Bafodé Diakité,Marcos Senesi,Adrien Truffert,Lewis Cook,Alex Scott,Álex Jiménez,Marcus Tavernier,Antoine Semenyo,Eli Junior Kroupi,8.0,7.7,7.2,7.2,5.7,8.0,7.3,6.5,6.7,10.0,7.5,5.9,5.8,6.2,5.8,5.5,6.8,7.5,6.5,6.8,7.6,6.7,4,1,5,15,2,395,12,8,0.49,4,20,15,376,18,9,0.51
Brentford,Wolverhampton,A,4-3-3,3-5-2,3,Caoimhin Kelleher,Michael Kayode,Nathan Collins,Sepp van den Berg,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Keane Lewis-Potter,Igor Thiago,Kevin Schade,José Sá,Matt Doherty,Santiago Bueno,Ladislav Krejčí,Ki-Jana Hoever,Fer López,André,João Gomes,David Möller Wolfe,Jørgen Strand Larsen,Hee-Chan Hwang,7.3,7.5,6.9,7.1,6.6,6.9,7.7,8.0,8.6,5.7,7.3,7.7,7.0,6.8,6.3,6.8,6.5,6.7,6.7,6.7,5.9,6.3,2,0,4,7,4,481,12,12,0.57,2,9,3,358,16,14,0.43
