Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Brighton & Hove Albion,Crystal Palace,H,4-2-3-1,3-4-2-1,0,Bart Verbruggen,Ferdi Kadıoğlu,Lewis Dunk,Olivier Boscagli,Maxim De Cuyper,Pascal Groß,Carlos Baleba,Harry Howell,Georginio Rutter,Kaoru Mitoma,Charalampos Kostoulas,Dean Henderson,Jefferson Lerma,Maxence Lacroix,Chris Richards,Daniel Muñoz,Adam Wharton,Will Hughes,Tyrick Mitchell,Ismaïla Sarr,Yéremy Pino,Jørgen Strand Larsen,6.8,6.6,7.0,7.3,6.3,7.5,6.7,6.5,5.9,7.0,6.0,7.4,6.8,8.1,7.4,6.7,7.0,7.5,6.6,7.6,6.6,5.6,0,1,1,7,3,557,17,9,0.64,1,7,4,311,21,12,0.36
Brighton & Hove Albion,Everton,H,4-3-3,4-2-3-1,1,Bart Verbruggen,Ferdi Kadıoğlu,Jan Paul van Hecke,Lewis Dunk,Maxim De Cuyper,Yasin Ayari,Carlos Baleba,Pascal Groß,Georginio Rutter,Danny Welbeck,Kaoru Mitoma,Jordan Pickford,Jake O'Brien,James Tarkowski,Michael Keane,Jarrad Branthwaite,James Garner,Idrissa Gueye,Harrison Armstrong,Kiernan Dewsbury-Hall,Iliman Ndiaye,Thierno Barry,7.1,7.0,6.7,6.7,6.8,7.0,6.3,8.0,6.7,6.5,6.9,7.7,7.5,7.0,7.0,6.4,7.2,6.6,6.8,6.5,6.2,6.6,1,1,2,11,5,492,20,14,0.54,2,7,2,423,23,13,0.46
Brighton & Hove Albion,Fulham,A,4-3-3,4-2-3-1,0,Bart Verbruggen,Ferdi Kadıoğlu,Jan Paul van Hecke,Lewis Dunk,Olivier Boscagli,Yasin Ayari,Carlos Baleba,Pascal Groß,Diego Gómez,Danny Welbeck,Kaoru Mitoma,Bernd Leno,Timothy Castagne,Joachim Andersen,Jorge Cuenca,Antonee Robinson,Alex Iwobi,Sander Berge,Harry Wilson,Emile Smith Rowe,Kevin,Raúl Jiménez,5.7,6.6,6.7,7.1,6.4,7.9,6.6,7.2,7.1,6.1,6.8,6.7,7.4,7.6,6.9,6.3,6.2,6.9,8.1,6.3,6.5,6.2,1,2,4,13,6,517,16,10,0.51,2,12,6,502,11,6,0.49
Brighton & Hove Albion,Bournemouth,H,4-2-3-1,4-2-3-1,1,Bart Verbruggen,Joël Veltman,Jan Paul van Hecke,Lewis Dunk,Ferdi Kadıoğlu,Jack Hinshelwood,Pascal Groß,Brajan Gruda,Diego Gómez,Kaoru Mitoma,Danny Welbeck,Đorđe Petrović,Álex Jiménez,James Hill,Marcos Senesi,Adrien Truffert,Alex Scott,Lewis Cook,Marcus Tavernier,Eli Junior Kroupi,Amine Adli,Evanilson,6.3,6.6,7.9,7.0,6.8,7.2,6.8,7.4,6.7,6.2,6.3,7.7,6.6,6.7,6.6,7.0,6.8,7.5,7.2,6.4,6.5,6.6,1,1,1,17,11,580,21,6,0.67,1,11,6,282,18,6,0.33
Brighton & Hove Albion,Manchester United,A,4-2-3-1,4-2-3-1,3,Jason Steele,Joël Veltman,Diego Coppola,Olivier Boscagli,Ferdi Kadıoğlu,Jack Hinshelwood,Pascal Groß,Brajan Gruda,Georginio Rutter,Diego Gómez,Danny Welbeck,Senne Lammens,Diogo Dalot,Leny Yoro,Lisandro Martínez,Patrick Dorgu,Manuel Ugarte,Kobbie Mainoo,Mason Mount,Bruno Fernandes,Matheus Cunha,Benjamin Šeško,8.9,7.1,6.6,6.8,7.1,6.5,7.2,8.1,6.2,6.1,8.0,6.4,6.6,6.5,7.7,6.8,7.2,6.7,6.5,7.5,6.5,7.5,2,1,4,13,1,360,22,11,0.4,2,19,6,523,23,15,0.6
Brighton & Hove Albion,Manchester City,A,4-2-3-1,4-1-4-1,1,Bart Verbruggen,Jack Hinshelwood,Jan Paul van Hecke,Lewis Dunk,Maxim De Cuyper,Yasin Ayari,Pascal Groß,Ferdi Kadıoğlu,Diego Gómez,Kaoru Mitoma,Georginio Rutter,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Max Alleyne,Nathan Aké,Nico González,Bernardo Silva,Tijjani Reijnders,Phil Foden,Jérémy Doku,Erling Haaland,7.2,7.4,6.8,6.9,6.4,6.4,6.5,7.3,5.4,7.8,6.1,6.8,6.2,7.1,7.4,6.7,6.8,7.2,6.2,7.3,7.8,6.8,1,1,5,6,2,399,22,6,0.4,7,21,6,608,14,15,0.6
Brighton & Hove Albion,Burnley,H,4-2-3-1,5-4-1,3,Bart Verbruggen,Joël Veltman,Jan Paul van Hecke,Lewis Dunk,Ferdi Kadıoğlu,Yasin Ayari,Diego Gómez,Brajan Gruda,Georginio Rutter,Kaoru Mitoma,Charalampos Kostoulas,Martin Dúbravka,Kyle Walker,Josh Laurent,Hjalmar Ekdal,Bashir Humphreys,Lucas Pires,Jacob Bruun Larsen,Lesley Ugochukwu,Florentino Luís,Jaidon Anthony,Armando Broja,7.4,7.0,7.7,7.9,8.7,8.5,6.4,6.7,6.9,6.7,7.2,6.7,5.9,6.2,6.2,6.1,6.1,6.3,5.9,7.0,6.8,6.5,2,0,2,15,4,608,17,17,0.6,0,5,4,396,25,7,0.4
Brighton & Hove Albion,West Ham United,A,4-2-3-1,4-2-3-1,1,Bart Verbruggen,Joël Veltman,Jan Paul van Hecke,Lewis Dunk,Ferdi Kadıoğlu,Yasin Ayari,James Milner,Yankuba Minteh,Diego Gómez,Maxim De Cuyper,Danny Welbeck,Alphonse Aréola,Kyle Walker-Peters,Jean-Clair Todibo,Max Kilman,Oliver Scarles,Soungoutou Magassa,Freddie Potts,Jarrod Bowen,Mateus Fernandes,Lucas Paquetá,Callum Wilson,7.0,7.8,6.8,7.6,6.2,6.3,5.8,6.9,6.0,6.3,6.2,6.2,6.3,6.6,6.1,7.0,7.0,6.8,7.8,7.3,6.9,6.2,2,2,4,16,5,541,13,9,0.61,4,10,5,335,27,17,0.39
Brighton & Hove Albion,Arsenal,A,3-4-2-1,4-3-3,0,Bart Verbruggen,Diego Coppola,Jan Paul van Hecke,Lewis Dunk,Ferdi Kadıoğlu,Yasin Ayari,Jack Hinshelwood,Maxim De Cuyper,Brajan Gruda,Diego Gómez,Georginio Rutter,David Raya,Declan Rice,William Saliba,Piero Hincapié,Myles Lewis-Skelly,Martin Ødegaard,Martín Zubimendi,Mikel Merino,Bukayo Saka,Viktor Gyökeres,Leandro Trossard,6.7,5.9,7.7,7.0,6.7,6.8,6.3,6.4,6.0,7.6,5.5,7.2,6.8,6.8,6.5,6.5,8.5,7.0,6.6,7.7,6.1,7.4,1,2,1,8,2,407,16,7,0.47,4,24,7,450,14,13,0.53
Brighton & Hove Albion,Sunderland,H,4-2-3-1,4-2-3-1,1,Bart Verbruggen,Mats Wieffer,Diego Coppola,Olivier Boscagli,Ferdi Kadıoğlu,Yasin Ayari,Jack Hinshelwood,Yankuba Minteh,Brajan Gruda,Maxim De Cuyper,Georginio Rutter,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Trai Hume,Granit Xhaka,Lutsharel Geertruida,Chris Rigg,Enzo Le Fée,Simon Adingra,Brian Brobbey,9.1,6.6,7.5,8.0,7.2,6.4,6.5,6.1,6.9,7.3,6.8,7.0,7.3,8.0,7.0,7.6,7.4,6.8,6.4,7.2,6.6,6.4,0,0,0,16,3,441,12,15,0.57,2,14,4,334,25,11,0.43
