Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Burnley,West Ham United,H,4-5-1,4-4-1-1,0,Martin Dúbravka,Kyle Walker,Bashir Humphreys,Maxime Estève,Lucas Pires,Marcus Edwards,Hannibal Mejbri,Florentino Luís,Lesley Ugochukwu,Jaidon Anthony,Zian Flemming,Mads Hermansen,Aaron Wan-Bissaka,Konstantinos Mavropanos,Axel Disasi,El Hadji Malick Diouf,Jarrod Bowen,Tomáš Souček,Mateus Fernandes,Crysencio Summerville,Callum Wilson,Valentín Castellanos,6.3,6.6,7.0,6.5,6.7,6.5,7.2,6.2,6.3,6.8,6.4,8.1,7.5,7.4,7.5,7.3,6.9,6.8,7.5,7.9,6.0,7.4,0,2,2,18,5,470,16,10,0.54,2,6,2,424,14,11,0.46
Burnley,Sunderland,A,3-4-2-1,5-4-1,0,Martin Dúbravka,Axel Tuanzebe,Maxime Estève,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Jaidon Anthony,Lyle Foster,Robin Roefs,Trai Hume,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Habib Diarra,Noah Sadiki,Enzo Le Fée,Chemsdine Talbi,Brian Brobbey,7.0,5.6,6.5,6.7,6.8,6.4,6.3,6.2,6.3,6.6,6.3,6.7,6.6,6.9,7.4,7.1,7.4,8.2,6.8,7.5,7.9,6.0,0,3,0,5,2,529,14,12,0.56,3,14,1,426,9,10,0.44
Burnley,Tottenham Hotspur,H,3-4-2-1,3-4-2-1,1,Martin Dúbravka,Axel Tuanzebe,Maxime Estève,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Jaidon Anthony,Armando Broja,Guglielmo Vicario,Kevin Danso,Cristian Romero,Micky van de Ven,Pedro Porro,Conor Gallagher,Yves Bissouma,Djed Spence,Wilson Odobert,Xavi Simons,Dominic Solanke,7.8,7.1,7.1,6.0,7.3,6.5,6.5,6.8,6.5,6.9,5.6,6.3,6.9,7.8,7.7,6.3,6.8,7.2,7.5,7.4,6.5,5.8,2,2,3,9,1,379,19,9,0.38,4,18,3,620,26,8,0.62
Burnley,Liverpool,A,3-4-2-1,4-2-3-1,1,Martin Dúbravka,Axel Tuanzebe,Maxime Estève,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Jaidon Anthony,Armando Broja,Alisson,Jeremie Frimpong,Ibrahima Konaté,Virgil van Dijk,Miloš Kerkez,Ryan Gravenberch,Dominik Szoboszlai,Florian Wirtz,Curtis Jones,Cody Gakpo,Hugo Ekitiké,8.0,6.6,6.8,8.2,7.1,6.8,7.3,7.1,7.3,7.4,5.8,6.1,7.4,7.5,7.3,6.9,8.1,7.3,8.2,6.5,7.0,6.6,1,1,0,7,1,275,19,8,0.27,3,32,9,728,7,9,0.73
Burnley,Millwall,H,4-2-3-1,4-2-3-1,3,Max Weiss,Oliver Sonne,Hjalmar Ekdal,Maxime Estève,Quilindschy Hartman,Lesley Ugochukwu,Josh Laurent,Loum Tchaouna,Jacob Bruun Larsen,Jaidon Anthony,Ashley Barnes,Steven Benda,Ryan Leonard,Kamarl Grant,Jake Cooper,Joe Bryan,Raees Bangura-Williams,Billy Mitchell,Alfie Doughty,Thierno Ballo,Aidomo Emakhu,Macaulay Langstaff,8.1,7.5,7.2,6.6,7.0,7.1,6.8,7.3,8.7,8.2,7.6,5.4,5.7,5.3,6.8,7.0,6.3,6.5,6.9,6.1,6.2,6.3,5,1,5,16,4,702,14,10,0.67,1,12,4,340,26,9,0.33
Burnley,Manchester United,H,3-4-2-1,4-2-3-1,1,Martin Dúbravka,Josh Laurent,Maxime Estève,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Hannibal Mejbri,Armando Broja,Senne Lammens,Diogo Dalot,Ayden Heaven,Lisandro Martínez,Luke Shaw,Manuel Ugarte,Casemiro,Matheus Cunha,Bruno Fernandes,Patrick Dorgu,Benjamin Šeško,7.7,6.8,7.9,7.0,6.4,6.4,6.0,6.2,7.0,6.4,6.7,6.5,6.7,5.9,7.7,6.9,6.7,6.7,6.4,7.8,7.7,8.6,2,2,0,7,2,315,16,8,0.35,5,30,6,593,19,9,0.65
Burnley,Brighton & Hove Albion,A,5-4-1,4-2-3-1,0,Martin Dúbravka,Kyle Walker,Josh Laurent,Hjalmar Ekdal,Bashir Humphreys,Lucas Pires,Jacob Bruun Larsen,Lesley Ugochukwu,Florentino Luís,Jaidon Anthony,Armando Broja,Bart Verbruggen,Joël Veltman,Jan Paul van Hecke,Lewis Dunk,Ferdi Kadıoğlu,Yasin Ayari,Diego Gómez,Brajan Gruda,Georginio Rutter,Kaoru Mitoma,Charalampos Kostoulas,6.7,5.9,6.2,6.2,6.1,6.1,6.3,5.9,7.0,6.8,6.5,7.4,7.0,7.7,7.9,8.7,8.5,6.4,6.7,6.9,6.7,7.2,0,2,0,5,4,396,25,7,0.4,2,15,4,608,17,17,0.6
Burnley,Newcastle United,H,3-4-3,4-3-3,0,Martin Dúbravka,Josh Laurent,Hjalmar Ekdal,Maxime Estève,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Armando Broja,Loum Tchaouna,Nick Pope,Lewis Miley,Malick Thiaw,Fabian Schär,Lewis Hall,Bruno Guimarães,Sandro Tonali,Joelinton,Harvey Barnes,Yoane Wissa,Anthony Gordon,5.9,7.1,6.6,5.9,7.5,7.0,6.6,6.6,6.3,6.9,6.5,6.5,6.8,6.7,7.9,7.0,8.4,6.5,8.3,6.6,7.2,6.4,1,3,2,15,3,439,21,3,0.48,7,20,4,467,19,9,0.52
Burnley,Everton,H,3-4-3,4-2-3-1,1,Martin Dúbravka,Josh Laurent,Hjalmar Ekdal,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Josh Cullen,Lucas Pires,Marcus Edwards,Armando Broja,Jacob Bruun Larsen,Jordan Pickford,Jake O'Brien,James Tarkowski,Michael Keane,Vitaliy Mykolenko,Tim Iroegbunam,James Garner,Tyler Dibling,Carlos Alcaraz,Dwight McNeil,Beto,9.2,7.1,7.5,7.2,7.2,6.9,6.5,6.8,7.1,6.0,6.2,7.1,7.7,7.3,7.5,6.9,6.9,7.6,6.8,6.5,6.5,6.2,0,0,1,16,6,466,22,8,0.54,1,15,5,394,25,8,0.46
Burnley,Bournemouth,A,4-4-2,4-2-3-1,1,Martin Dúbravka,Josh Laurent,Joe Worrall,Hjalmar Ekdal,Lucas Pires,Kyle Walker,Lesley Ugochukwu,Josh Cullen,Jaidon Anthony,Jacob Bruun Larsen,Zian Flemming,Đorđe Petrović,Álex Jiménez,Bafodé Diakité,Marcos Senesi,Adrien Truffert,Marcus Tavernier,Lewis Cook,David Brooks,Justin Kluivert,Antoine Semenyo,Evanilson,6.7,5.9,6.5,6.7,6.9,6.6,6.7,6.8,6.6,6.1,6.6,6.4,7.2,6.8,8.3,7.1,6.6,7.0,5.9,6.6,8.5,6.0,1,1,1,4,3,269,15,11,0.34,3,16,5,506,21,11,0.66
