Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Chelsea,Wolverhampton,A,4-2-3-1,4-2-3-1,3,Robert Sánchez,Malo Gusto,Wesley Fofana,Trevoh Chalobah,Marc Cucurella,Andrey Santos,Moisés Caicedo,Pedro Neto,Cole Palmer,Enzo Fernández,João Pedro,José Sá,Matt Doherty,Yerson Mosquera,Santiago Bueno,Hugo Bueno,João Gomes,Angel Gomes,Hee-Chan Hwang,Mateus Mané,Adam Armstrong,Tolu Arokodare,6.9,6.7,7.3,6.9,6.7,7.1,7.6,6.4,8.9,6.2,8.0,6.7,5.4,6.2,6.0,6.4,6.9,7.3,6.4,6.7,7.0,7.4,3,1,6,15,4,747,21,7,0.66,1,11,3,365,12,10,0.34
Chelsea,Arsenal,A,3-5-2,4-3-3,0,Robert Sánchez,Wesley Fofana,Trevoh Chalobah,Jorrel Hato,Malo Gusto,Moisés Caicedo,Andrey Santos,Enzo Fernández,Marc Cucurella,Liam Delap,João Pedro,Kepa Arrizabalaga,Jurriën Timber,William Saliba,Gabriel Magalhães,Piero Hincapié,Eberechi Eze,Martín Zubimendi,Declan Rice,Noni Madueke,Viktor Gyökeres,Gabriel Martinelli,6.7,6.6,6.7,6.8,7.1,7.1,7.1,7.4,7.0,6.1,6.3,6.7,6.8,6.8,7.5,7.4,6.6,6.9,7.2,6.5,6.6,6.6,0,1,1,14,5,511,10,14,0.56,3,5,2,411,15,12,0.44
Chelsea,West Ham United,H,4-1-4-1,4-4-1-1,3,Robert Sánchez,Malo Gusto,Trevoh Chalobah,Benoît Badiashile,Jorrel Hato,Moisés Caicedo,Jamie Gittens,Cole Palmer,Enzo Fernández,Alejandro Garnacho,Liam Delap,Alphonse Aréola,Aaron Wan-Bissaka,Konstantinos Mavropanos,Jean-Clair Todibo,El Hadji Malick Diouf,Jarrod Bowen,Tomáš Souček,Mateus Fernandes,Crysencio Summerville,Pablo Felipe,Valentín Castellanos,6.6,5.8,6.6,6.9,6.6,7.5,6.4,6.8,8.3,6.1,6.2,6.4,7.0,6.6,5.9,6.8,7.7,6.1,7.0,7.3,6.6,6.5,3,2,4,14,9,721,14,13,0.71,2,11,3,300,15,11,0.29
Chelsea,Napoli,A,4-2-3-1,3-4-2-1,3,Robert Sánchez,Malo Gusto,Reece James,Wesley Fofana,Marc Cucurella,Andrey Santos,Moisés Caicedo,Estêvão,Enzo Fernández,Pedro Neto,João Pedro,Alex Meret,Giovanni Di Lorenzo,Juan Jesus,Alessandro Buongiorno,Leonardo Spinazzola,Stanislav Lobotka,Scott McTominay,Mathías Olivera,Antonio Vergara,Eljif Elmas,Rasmus Højlund,7.4,6.1,6.6,6.4,6.7,6.5,6.6,6.0,7.3,6.9,9.0,7.2,6.7,5.9,6.1,6.5,6.4,6.6,8.0,8.7,6.8,7.2,3,2,4,11,1,636,11,14,0.54,1,8,4,528,16,15,0.46
Chelsea,Crystal Palace,A,4-2-3-1,3-4-2-1,3,Robert Sánchez,Reece James,Trevoh Chalobah,Benoît Badiashile,Marc Cucurella,Andrey Santos,Moisés Caicedo,Estêvão,Enzo Fernández,Pedro Neto,João Pedro,Dean Henderson,Jaydee Canvot,Maxence Lacroix,Chris Richards,Daniel Muñoz,Adam Wharton,Jefferson Lerma,Tyrick Mitchell,Ismaïla Sarr,Brennan Johnson,Jean-Philippe Mateta,7.6,6.9,6.9,6.6,7.6,7.1,6.8,7.7,6.9,6.4,7.7,5.8,5.3,6.3,7.7,6.3,6.1,6.1,6.8,6.6,6.7,6.9,3,1,5,10,5,590,15,10,0.57,6,13,4,440,17,10,0.43
Chelsea,Pafos FC,H,4-2-3-1,3-4-2-1,3,Filip Jørgensen,Malo Gusto,Wesley Fofana,Benoît Badiashile,Jorrel Hato,Reece James,Moisés Caicedo,Pedro Neto,Enzo Fernández,Alejandro Garnacho,Liam Delap,Jay Gorter,Derrick Luckassen,Ivan Šunjić,Kostas Pileas,Bruno,Vlad Dragomir,Pêpê,Ken Sema,Mislav Oršić,Jajá,Anderson Silva,6.5,7.0,8.1,7.4,6.9,7.3,9.0,7.2,7.0,7.5,6.4,7.6,7.2,6.6,6.2,6.2,7.1,6.9,6.7,6.4,6.6,6.4,1,0,3,21,15,746,20,10,0.71,0,4,2,306,21,6,0.29
Chelsea,Brentford,H,4-2-3-1,4-2-3-1,3,Robert Sánchez,Reece James,Trevoh Chalobah,Tosin Adarabioyo,Marc Cucurella,Moisés Caicedo,Enzo Fernández,Pedro Neto,Cole Palmer,Alejandro Garnacho,João Pedro,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Mikkel Damsgaard,Kevin Schade,Igor Thiago,8.7,6.9,7.1,7.3,7.0,7.3,7.5,7.3,7.3,6.3,7.5,5.4,6.0,6.6,6.9,6.4,6.5,7.0,6.8,7.1,6.1,6.1,2,0,2,6,3,443,17,9,0.46,3,15,9,513,14,7,0.54
Chelsea,Arsenal,H,4-2-3-1,4-3-3,0,Robert Sánchez,Josh Acheampong,Trevoh Chalobah,Wesley Fofana,Marc Cucurella,Andrey Santos,Enzo Fernández,Estêvão,João Pedro,Pedro Neto,Marc Guiu,Kepa Arrizabalaga,Ben White,William Saliba,Gabriel Magalhães,Jurriën Timber,Martin Ødegaard,Martín Zubimendi,Declan Rice,Bukayo Saka,Viktor Gyökeres,Leandro Trossard,5.9,6.4,6.2,6.0,6.0,6.5,7.4,6.3,6.7,6.3,6.3,5.9,7.2,6.8,6.9,6.3,6.6,7.6,7.5,6.5,7.3,6.5,2,3,1,10,6,495,11,14,0.58,4,17,9,356,19,12,0.42
Chelsea,Charlton Athletic,A,4-2-3-1,3-1-4-2,3,Filip Jørgensen,Josh Acheampong,Tosin Adarabioyo,Benoît Badiashile,Jorrel Hato,Moisés Caicedo,Andrey Santos,Jamie Gittens,Facundo Buonanotte,Alejandro Garnacho,Marc Guiu,William Mannion,Keenan Gough,Lloyd Jones,Amari'i Bell,Conor Coventry,James Bree,Sonny Carey,Greg Docherty,Tyreece Campbell,Miles Leaburn,Charlie Kelman,6.7,7.0,8.4,6.7,7.4,7.2,7.3,6.9,7.6,6.5,7.3,6.4,6.0,5.3,6.2,6.2,7.1,6.1,6.2,6.7,7.1,5.9,5,1,9,30,6,758,20,10,0.73,1,11,3,261,16,7,0.27
Chelsea,Fulham,A,4-2-3-1,3-4-2-1,0,Robert Sánchez,Malo Gusto,Trevoh Chalobah,Tosin Adarabioyo,Marc Cucurella,Andrey Santos,Moisés Caicedo,Cole Palmer,Enzo Fernández,Pedro Neto,Liam Delap,Bernd Leno,Issa Diop,Joachim Andersen,Jorge Cuenca,Timothy Castagne,Sander Berge,Tom Cairney,Antonee Robinson,Harry Wilson,Emile Smith Rowe,Raúl Jiménez,7.1,6.3,6.4,6.8,4.2,6.6,6.8,6.6,7.1,6.6,7.9,7.5,6.8,7.2,7.3,6.1,9.0,7.0,6.7,8.7,7.0,7.6,1,2,4,14,11,459,13,11,0.45,0,16,2,572,16,6,0.55
Chelsea,Manchester City,A,4-2-3-1,4-1-4-1,1,Filip Jørgensen,Josh Acheampong,Trevoh Chalobah,Benoît Badiashile,Malo Gusto,Reece James,Enzo Fernández,Estêvão,Cole Palmer,Pedro Neto,João Pedro,Gianluigi Donnarumma,Matheus Nunes,Rúben Dias,Joško Gvardiol,Nico O'Reilly,Rodri,Bernardo Silva,Rayan Cherki,Phil Foden,Tijjani Reijnders,Erling Haaland,7.3,6.4,6.7,6.9,6.2,6.7,7.7,6.5,6.6,6.0,6.2,7.2,6.9,7.3,7.5,6.9,7.8,6.2,6.5,6.5,8.2,7.0,1,1,3,8,2,436,20,12,0.43,0,14,8,580,24,14,0.57
Chelsea,Bournemouth,H,4-2-3-1,4-2-3-1,1,Robert Sánchez,Josh Acheampong,Wesley Fofana,Trevoh Chalobah,Malo Gusto,Moisés Caicedo,Enzo Fernández,Estêvão,Cole Palmer,Alejandro Garnacho,Liam Delap,Đorđe Petrović,Álex Jiménez,James Hill,Marcos Senesi,Adrien Truffert,Marcus Tavernier,Alex Scott,David Brooks,Justin Kluivert,Antoine Semenyo,Evanilson,7.3,5.7,8.1,6.6,6.3,7.1,8.1,7.8,7.8,6.7,6.3,6.4,7.6,6.8,6.9,7.1,6.4,6.4,7.6,7.3,5.4,6.2,2,2,2,17,12,563,17,11,0.67,6,17,3,269,16,5,0.33
Chelsea,Aston Villa,H,4-2-3-1,4-4-2,0,Robert Sánchez,Reece James,Trevoh Chalobah,Benoît Badiashile,Marc Cucurella,Moisés Caicedo,Enzo Fernández,Pedro Neto,Cole Palmer,Alejandro Garnacho,João Pedro,Emiliano Martínez,Matty Cash,Ezri Konsa,Victor Lindelöf,Ian Maatsen,John McGinn,Boubacar Kamara,Youri Tielemans,Emiliano Buendía,Donyell Malen,Morgan Rogers,7.6,8.2,6.2,6.4,6.9,7.1,7.2,6.5,6.7,7.1,7.7,7.3,6.6,7.1,6.7,6.1,6.7,6.7,7.1,6.1,6.4,6.5,1,2,2,14,6,528,26,8,0.63,5,11,7,321,8,16,0.37
Chelsea,Newcastle United,A,4-2-3-1,4-3-3,1,Robert Sánchez,Malo Gusto,Wesley Fofana,Trevoh Chalobah,Marc Cucurella,Reece James,Moisés Caicedo,Pedro Neto,Cole Palmer,Alejandro Garnacho,João Pedro,Aaron Ramsdale,Lewis Miley,Malick Thiaw,Fabian Schär,Lewis Hall,Bruno Guimarães,Sandro Tonali,Jacob Ramsey,Jacob Murphy,Nick Woltemade,Anthony Gordon,7.1,5.8,6.1,6.5,6.4,8.2,7.5,6.6,6.4,6.2,8.1,6.6,6.3,6.0,6.3,6.7,7.0,7.0,6.5,7.1,7.7,7.9,2,2,1,13,4,433,11,13,0.53,7,11,6,361,13,14,0.47
Chelsea,Cardiff City,A,4-2-3-1,4-1-4-1,3,Filip Jørgensen,Josh Acheampong,Tosin Adarabioyo,Benoît Badiashile,Jorrel Hato,Andrey Santos,Moisés Caicedo,Tyrique George,Facundo Buonanotte,Jamie Gittens,Marc Guiu,Nathan Trott,Perry Ng,Dylan Lawlor,Calum Chambers,Joel Bagan,Ryan Wintle,Cian Ashford,Joel Colwill,David Turnbull,Isaak Davies,Callum Robinson,7.3,6.9,6.3,6.7,6.6,7.2,7.7,6.3,6.9,6.3,6.7,7.3,7.0,6.5,6.7,7.4,6.4,6.0,6.3,7.4,6.1,6.3,3,1,5,20,8,540,26,5,0.54,1,10,2,445,18,9,0.46
Chelsea,Everton,H,4-2-3-1,4-2-3-1,3,Robert Sánchez,Malo Gusto,Wesley Fofana,Trevoh Chalobah,Marc Cucurella,Reece James,Enzo Fernández,Pedro Neto,Cole Palmer,Alejandro Garnacho,João Pedro,Jordan Pickford,Jake O'Brien,James Tarkowski,Michael Keane,Vitaliy Mykolenko,Idrissa Gueye,James Garner,Iliman Ndiaye,Kiernan Dewsbury-Hall,Jack Grealish,Thierno Barry,7.4,8.7,7.6,7.5,7.1,7.1,7.6,7.5,7.6,6.1,6.5,5.8,6.3,6.4,6.5,6.7,7.3,7.1,6.2,6.7,6.6,6.3,2,0,5,17,4,537,15,11,0.58,3,11,7,373,22,13,0.42
Chelsea,Atalanta,A,4-2-3-1,3-4-2-1,0,Robert Sánchez,Josh Acheampong,Trevoh Chalobah,Benoît Badiashile,Marc Cucurella,Moisés Caicedo,Reece James,Pedro Neto,Enzo Fernández,Jamie Gittens,João Pedro,Marco Carnesecchi,Odilon Kossounou,Berat Djimsiti,Sead Kolašinac,Raoul Bellanova,Marten de Roon,Éderson,Lorenzo Bernasconi,Charles De Ketelaere,Ademola Lookman,Gianluca Scamacca,7.5,6.6,7.2,6.9,6.2,6.8,7.1,6.7,6.1,6.4,6.7,7.3,6.7,6.8,7.1,6.4,7.1,7.2,6.6,10.0,6.8,7.1,1,2,2,10,5,509,9,6,0.51,2,14,2,494,16,14,0.49
