Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Manchester City,Liverpool,A,4-3-3,4-2-3-1,3,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Marc Guéhi,Rayan Aït-Nouri,Bernardo Silva,Rodri,Nico O'Reilly,Antoine Semenyo,Erling Haaland,Omar Marmoush,Alisson,Dominik Szoboszlai,Ibrahima Konaté,Virgil van Dijk,Miloš Kerkez,Ryan Gravenberch,Alexis Mac Allister,Mohamed Salah,Florian Wirtz,Cody Gakpo,Hugo Ekitiké,6.8,7.4,6.6,7.1,6.8,7.7,7.0,6.6,6.1,7.5,5.9,6.6,7.7,6.6,5.9,6.1,6.9,6.4,6.7,6.3,7.0,6.8,2,1,3,17,4,460,15,12,0.53,2,15,5,385,17,16,0.47
Manchester City,Newcastle United,H,4-1-4-1,3-4-1-2,3,James Trafford,Matheus Nunes,Abdukodir Khusanov,Nathan Aké,Nico O'Reilly,Nico González,Antoine Semenyo,Phil Foden,Tijjani Reijnders,Rayan Aït-Nouri,Omar Marmoush,Aaron Ramsdale,Malick Thiaw,Sven Botman,Dan Burn,Kieran Trippier,Jacob Ramsey,Sandro Tonali,Lewis Hall,Joe Willock,Anthony Gordon,Nick Woltemade,7.5,6.4,6.3,7.1,6.6,7.1,6.3,6.0,7.4,7.3,9.4,7.3,6.2,6.0,6.9,7.1,6.5,6.8,6.7,6.5,6.4,6.6,3,1,5,18,5,652,16,14,0.63,4,12,4,379,16,13,0.37
Manchester City,Tottenham Hotspur,A,4-1-3-2,3-4-2-1,1,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Marc Guéhi,Rayan Aït-Nouri,Rodri,Rayan Cherki,Bernardo Silva,Nico O'Reilly,Erling Haaland,Antoine Semenyo,Guglielmo Vicario,João Palhinha,Cristian Romero,Radu Drăguşin,Archie Gray,Conor Gallagher,Yves Bissouma,Destiny Udogie,Randal Kolo Muani,Xavi Simons,Dominic Solanke,7.1,6.0,6.7,8.1,6.3,8.4,8.1,7.2,6.6,6.6,6.8,6.1,7.1,5.8,5.4,6.5,7.0,5.9,6.8,6.2,9.0,9.1,2,2,2,15,4,578,23,15,0.6,2,12,3,385,24,12,0.4
Manchester City,Galatasaray,H,4-2-3-1,4-2-3-1,3,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Nathan Aké,Rayan Aït-Nouri,Bernardo Silva,Nico O'Reilly,Rayan Cherki,Omar Marmoush,Jérémy Doku,Erling Haaland,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,Mario Lemina,İlkay Gündoğan,Leroy Sané,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,7.6,6.9,6.8,7.2,8.3,7.2,7.2,8.2,6.1,7.4,7.7,6.2,6.8,6.8,6.1,5.9,6.4,6.4,6.6,6.4,6.7,6.4,2,0,5,10,4,525,11,10,0.5,0,4,4,516,18,8,0.5
Manchester City,Wolverhampton,H,4-1-4-1,3-5-2,3,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Marc Guéhi,Nico O'Reilly,Rodri,Antoine Semenyo,Tijjani Reijnders,Bernardo Silva,Rayan Cherki,Omar Marmoush,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,João Gomes,André,Jhon Arias,Hugo Bueno,Mateus Mané,Hee-Chan Hwang,7.1,7.0,7.3,7.4,7.4,7.7,7.2,6.5,7.4,6.4,8.0,6.1,6.1,6.5,6.4,6.2,6.3,7.1,6.2,6.7,7.4,6.6,2,0,1,11,4,644,16,14,0.64,1,11,6,349,19,16,0.36
Manchester City,Bodø/Glimt,A,4-3-3,4-4-2,0,Gianluigi Donnarumma,Rayan Aït-Nouri,Abdukodir Khusanov,Max Alleyne,Nico O'Reilly,Rico Lewis,Rodri,Tijjani Reijnders,Rayan Cherki,Erling Haaland,Phil Foden,Nikita Haikin,Fredrik Sjøvold,Odin Luras Bjørtuft,Jostein Gundersen,Fredrik André Bjørkan,Håkon Evjen,Patrick Berg,Sondre Fet,Jens Petter Hauge,Ole Didrik Blomberg,Kasper Høgh,6.6,6.5,6.2,5.9,6.4,6.6,5.9,6.0,8.1,6.2,7.1,7.6,6.4,6.7,6.9,6.8,7.0,7.2,6.6,8.8,7.5,8.7,1,3,4,16,9,696,14,6,0.66,4,8,2,368,24,9,0.34
Manchester City,Manchester United,A,4-1-4-1,4-2-3-1,0,Gianluigi Donnarumma,Rico Lewis,Abdukodir Khusanov,Max Alleyne,Nathan Aké,Rodri,Antoine Semenyo,Phil Foden,Bernardo Silva,Jérémy Doku,Erling Haaland,Senne Lammens,Diogo Dalot,Harry Maguire,Lisandro Martínez,Luke Shaw,Casemiro,Kobbie Mainoo,Amad Diallo,Bruno Fernandes,Patrick Dorgu,Bryan Mbeumo,7.2,6.2,6.7,6.8,6.3,7.4,6.6,6.6,6.3,6.6,6.4,7.0,7.0,7.0,7.5,6.9,7.0,6.9,6.9,8.6,8.2,7.0,0,2,0,7,6,646,13,13,0.68,6,11,1,302,24,8,0.32
Manchester City,Newcastle United,A,4-1-4-1,4-3-3,3,James Trafford,Matheus Nunes,Abdukodir Khusanov,Max Alleyne,Nathan Aké,Nico O'Reilly,Antoine Semenyo,Phil Foden,Bernardo Silva,Jérémy Doku,Erling Haaland,Nick Pope,Lewis Miley,Malick Thiaw,Sven Botman,Lewis Hall,Jacob Ramsey,Bruno Guimarães,Joelinton,Jacob Murphy,Yoane Wissa,Anthony Gordon,7.4,6.7,7.9,7.1,6.7,6.6,6.7,6.8,6.8,7.4,6.5,6.4,6.3,6.5,6.6,7.6,6.6,6.2,6.9,6.6,6.3,7.6,2,0,2,11,6,472,14,10,0.58,4,10,5,341,16,12,0.42
Manchester City,Exeter City,H,4-1-4-1,3-4-2-1,3,James Trafford,Rico Lewis,Abdukodir Khusanov,Max Alleyne,Nathan Aké,Rodri,Ryan McAidoo,Rayan Cherki,Tijjani Reijnders,Antoine Semenyo,Erling Haaland,Joe Whitworth,Ed Turns,Jack Fitzwater,Luca Woodhouse,Ilmari Niskanen,Jake Doyle Hayes,Ethan Brierley,Liam Oakes,Reece Cole,Jack Aitchison,Jayden Wareham,7.2,8.9,7.2,8.6,7.0,8.6,7.5,7.1,8.2,9.5,6.5,4.1,4.7,4.1,4.7,5.8,6.7,6.3,6.0,7.0,6.3,6.1,10,1,4,21,7,780,7,10,0.72,3,7,3,294,17,8,0.28
Manchester City,Brighton & Hove Albion,H,4-1-4-1,4-2-3-1,1,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Max Alleyne,Nathan Aké,Nico González,Bernardo Silva,Tijjani Reijnders,Phil Foden,Jérémy Doku,Erling Haaland,Bart Verbruggen,Jack Hinshelwood,Jan Paul van Hecke,Lewis Dunk,Maxim De Cuyper,Yasin Ayari,Pascal Groß,Ferdi Kadıoğlu,Diego Gómez,Kaoru Mitoma,Georginio Rutter,6.8,6.2,7.1,7.4,6.7,6.8,7.2,6.2,7.3,7.8,6.8,7.2,7.4,6.8,6.9,6.4,6.4,6.5,7.3,5.4,7.8,6.1,1,1,7,21,6,608,14,15,0.6,5,6,2,399,22,6,0.4
