Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Newcastle United,Brentford,H,4-3-3,4-2-3-1,0,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Sandro Tonali,Bruno Guimarães,Joe Willock,Jacob Murphy,Yoane Wissa,Harvey Barnes,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Sepp van den Berg,Rico Henry,Jordan Henderson,Vitaly Janelt,Dango Ouattara,Mathias Jensen,Keane Lewis-Potter,Igor Thiago,6.2,6.3,6.7,7.8,7.1,6.6,7.8,6.5,6.2,6.0,6.5,6.4,6.0,6.5,6.5,5.9,6.7,8.9,7.8,6.8,5.9,6.7,2,3,4,16,9,428,9,17,0.54,4,11,3,379,15,13,0.46
Newcastle United,Manchester City,A,3-4-1-2,4-1-4-1,0,Aaron Ramsdale,Malick Thiaw,Sven Botman,Dan Burn,Kieran Trippier,Jacob Ramsey,Sandro Tonali,Lewis Hall,Joe Willock,Anthony Gordon,Nick Woltemade,James Trafford,Matheus Nunes,Abdukodir Khusanov,Nathan Aké,Nico O'Reilly,Nico González,Antoine Semenyo,Phil Foden,Tijjani Reijnders,Rayan Aït-Nouri,Omar Marmoush,7.3,6.2,6.0,6.9,7.1,6.5,6.8,6.7,6.5,6.4,6.6,7.5,6.4,6.3,7.1,6.6,7.1,6.3,6.0,7.4,7.3,9.4,1,3,4,12,4,379,16,13,0.37,5,18,5,652,16,14,0.63
Newcastle United,Liverpool,A,4-3-3,4-2-3-1,0,Nick Pope,Kieran Trippier,Malick Thiaw,Dan Burn,Lewis Hall,Jacob Ramsey,Sandro Tonali,Joe Willock,Anthony Elanga,Anthony Gordon,Harvey Barnes,Alisson,Dominik Szoboszlai,Ibrahima Konaté,Virgil van Dijk,Miloš Kerkez,Ryan Gravenberch,Alexis Mac Allister,Mohamed Salah,Florian Wirtz,Cody Gakpo,Hugo Ekitiké,5.4,5.9,5.7,5.8,6.3,6.1,6.3,6.6,6.7,7.6,6.4,6.7,7.6,7.9,7.0,6.7,7.0,6.8,7.0,8.4,7.9,8.8,1,4,0,8,11,332,13,11,0.46,7,17,7,411,18,7,0.54
Newcastle United,Paris Saint-Germain,A,3-4-2-1,4-3-3,1,Nick Pope,Malick Thiaw,Sven Botman,Dan Burn,Lewis Miley,Jacob Ramsey,Sandro Tonali,Lewis Hall,Anthony Elanga,Joe Willock,Nick Woltemade,Matvey Safonov,Achraf Hakimi,Marquinhos,Willian Pacho,Nuno Mendes,João Neves,Vitinha,Warren Zaïre-Emery,Khvicha Kvaratskhelia,Ousmane Dembélé,Bradley Barcola,7.7,6.9,6.8,6.9,6.8,6.8,6.7,6.8,5.9,8.2,6.4,6.9,6.8,7.5,6.7,7.0,6.7,8.7,6.5,6.6,6.5,6.7,1,1,2,10,1,332,18,8,0.33,3,25,5,686,12,7,0.67
Newcastle United,Aston Villa,H,4-3-3,4-2-3-1,0,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Lewis Miley,Sandro Tonali,Joelinton,Harvey Barnes,Yoane Wissa,Anthony Gordon,Emiliano Martínez,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Amadou Onana,Youri Tielemans,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Ollie Watkins,8.2,6.3,6.9,7.0,6.9,7.0,7.8,6.5,5.9,6.5,7.3,8.2,6.9,6.9,6.6,7.1,7.3,7.3,6.4,7.1,7.9,7.3,0,2,3,15,6,519,24,12,0.61,2,14,5,353,21,7,0.39
Newcastle United,PSV Eindhoven,H,4-3-3,4-2-3-1,3,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Bruno Guimarães,Sandro Tonali,Joelinton,Harvey Barnes,Yoane Wissa,Anthony Gordon,Matěj Kovář,Kiliann Sildillia,Jerdy Schouten,Yarek Gasiorowski,Anass Salah-Eddine,Mauro Júnior,Joey Veerman,Dennis Man,Guus Til,Ivan Perišić,Paul Wanner,6.6,7.1,7.0,7.0,7.1,6.1,7.5,7.3,8.3,8.0,7.6,5.6,5.9,6.0,5.7,5.9,6.3,7.2,6.2,6.2,6.1,6.2,3,0,4,11,3,517,11,11,0.54,0,6,1,445,15,4,0.46
Newcastle United,Wolverhampton,A,4-3-3,3-5-2,1,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Bruno Guimarães,Sandro Tonali,Joelinton,Harvey Barnes,Nick Woltemade,Anthony Gordon,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,João Gomes,André,Mateus Mané,Hugo Bueno,Tolu Arokodare,Hee-Chan Hwang,7.0,7.3,8.0,7.2,7.4,7.4,6.9,6.8,6.5,6.4,6.6,7.4,7.3,6.8,6.7,7.0,7.2,6.9,6.2,7.0,6.4,6.6,0,0,,12,7,614,10,14,0.67,,6,4,303,11,8,0.33
Newcastle United,Manchester City,H,4-3-3,4-1-4-1,0,Nick Pope,Lewis Miley,Malick Thiaw,Sven Botman,Lewis Hall,Jacob Ramsey,Bruno Guimarães,Joelinton,Jacob Murphy,Yoane Wissa,Anthony Gordon,James Trafford,Matheus Nunes,Abdukodir Khusanov,Max Alleyne,Nathan Aké,Nico O'Reilly,Antoine Semenyo,Phil Foden,Bernardo Silva,Jérémy Doku,Erling Haaland,6.4,6.3,6.5,6.6,7.6,6.6,6.2,6.9,6.6,6.3,7.6,7.4,6.7,7.9,7.1,6.7,6.6,6.7,6.8,6.8,7.4,6.5,0,2,4,10,5,341,16,12,0.42,2,11,6,472,14,10,0.58
Newcastle United,Bournemouth,H,4-2-3-1,4-2-3-1,3,Aaron Ramsdale,Kieran Trippier,Malick Thiaw,Sven Botman,Valentino Livramento,Sandro Tonali,Jacob Ramsey,Joe Willock,Nick Woltemade,Harvey Barnes,Yoane Wissa,Đorđe Petrović,Adam Smith,James Hill,Bafodé Diakité,Julio Soler,Lewis Cook,Alex Scott,David Brooks,Eli Junior Kroupi,Amine Adli,Enes Ünal,9.6,6.1,7.4,6.4,7.1,8.7,7.0,5.9,6.4,10.0,6.6,7.0,6.6,7.6,5.9,6.6,6.6,6.3,8.2,5.9,7.2,6.3,10,9,10,23,7,688,20,20,0.63,7,22,5,413,20,7,0.37
Newcastle United,Leeds United,H,4-3-3,3-1-4-2,3,Nick Pope,Lewis Miley,Malick Thiaw,Fabian Schär,Lewis Hall,Bruno Guimarães,Sandro Tonali,Joelinton,Harvey Barnes,Nick Woltemade,Anthony Gordon,Lucas Perri,Joe Rodon,Jaka Bijol,Pascal Struijk,Ethan Ampadu,James Justin,Anton Stach,Ilia Gruev,Gabriel Gudmundsson,Dominic Calvert-Lewin,Brenden Aaronson,7.2,7.7,5.1,6.7,6.3,8.1,6.5,7.4,8.6,7.1,7.2,6.9,6.0,6.4,6.8,6.7,6.1,7.2,7.2,6.6,7.4,9.3,4,3,3,18,8,545,14,9,0.63,3,14,4,334,17,10,0.37
