Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Nottingham Forest,Leeds United,A,4-2-3-1,3-4-2-1,0,Stefan Ortega,Zach Abbott,Nikola Milenković,Morato,Ola Aina,Ibrahim Sangaré,Elliot Anderson,Nicolás Domínguez,Morgan Gibbs-White,Callum Hudson-Odoi,Igor Jesus,Karl Darlow,James Justin,Joe Rodon,Pascal Struijk,Jayden Bogle,Ethan Ampadu,Ilia Gruev,Gabriel Gudmundsson,Brenden Aaronson,Noah Okafor,Dominic Calvert-Lewin,6.5,6.1,6.2,6.5,6.2,6.4,7.0,6.6,6.7,6.4,6.4,8.1,7.7,6.9,7.2,7.6,7.3,8.1,7.4,6.6,8.2,6.4,1,3,2,16,10,350,14,9,0.44,7,14,5,477,22,12,0.56
Nottingham Forest,Crystal Palace,H,4-2-3-1,3-4-2-1,1,Matz Sels,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Ibrahim Sangaré,Elliot Anderson,Callum Hudson-Odoi,Morgan Gibbs-White,Nicolás Domínguez,Igor Jesus,Dean Henderson,Chris Richards,Maxence Lacroix,Chadi Riad,Daniel Muñoz,Will Hughes,Jefferson Lerma,Tyrick Mitchell,Ismaïla Sarr,Brennan Johnson,Yéremy Pino,6.5,7.4,6.8,7.2,5.8,6.6,8.1,6.4,7.3,6.7,6.8,6.7,7.5,7.1,6.3,6.4,6.9,6.7,6.4,6.7,6.0,6.0,1,1,2,9,5,282,16,12,0.33,1,14,7,575,14,3,0.67
Nottingham Forest,Ferencváros TC,H,4-2-3-1,3-4-2-1,3,Matz Sels,Zach Abbott,Nikola Milenković,Morato,Neco Williams,Ryan Yates,Ibrahim Sangaré,James McAtee,Nicolás Domínguez,Dan Ndoye,Igor Jesus,Dávid Gróf,Bence Ötvös,Ibrahim Cissé,Gábor Szalai,Cebrail Makreckis,Júlio Romão,Gabi Kanichowsky,Cadu,Jonathan Levi,Kristoffer Zachariassen,Yusuf Bamidele,7.6,6.8,8.1,7.5,7.2,7.6,8.3,9.6,6.5,8.1,8.4,8.7,4.6,5.8,5.9,6.9,6.4,6.3,6.3,6.7,6.2,6.9,4,0,6,20,6,540,13,13,0.55,3,9,4,443,18,10,0.45
Nottingham Forest,Brentford,A,4-2-3-1,4-2-3-1,3,Matz Sels,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Ibrahim Sangaré,Elliot Anderson,Callum Hudson-Odoi,Morgan Gibbs-White,Nicolás Domínguez,Igor Jesus,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Mikkel Damsgaard,Kevin Schade,Igor Thiago,6.8,7.1,7.0,7.4,7.2,7.1,7.0,6.7,7.3,6.6,7.7,6.0,6.8,6.6,6.7,6.6,7.1,6.4,7.7,6.8,7.0,6.2,2,0,1,7,5,295,18,11,0.34,3,10,6,567,14,10,0.66
Nottingham Forest,Sporting Braga,A,4-4-2,3-4-2-1,0,Matz Sels,Nicolò Savona,Nikola Milenković,Morato,Ola Aina,James McAtee,Douglas Luiz,Ryan Yates,Dilane Bakwa,Morgan Gibbs-White,Dan Ndoye,Lukáš Horníček,Gustaf Lagerbielke,Sikou Niakaté,Bright Arrey-Mbi,Victor Gómez,Jean-Baptiste Gorby,Florian Grillitsch,Gabriel Martínez,Ricardo Horta,Diego Rodrigues,Fran Navarro,6.3,6.4,6.5,6.5,6.2,7.2,6.9,5.6,6.3,6.1,6.2,8.3,8.1,6.6,6.9,6.6,6.9,6.5,7.2,6.8,7.1,6.6,0,1,3,12,1,424,16,9,0.43,1,6,3,564,18,18,0.57
Nottingham Forest,Arsenal,H,4-2-3-1,4-3-3,1,Matz Sels,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Ibrahim Sangaré,Elliot Anderson,Callum Hudson-Odoi,Morgan Gibbs-White,Nicolás Domínguez,Igor Jesus,David Raya,Ben White,William Saliba,Gabriel Magalhães,Jurriën Timber,Martin Ødegaard,Martín Zubimendi,Declan Rice,Noni Madueke,Viktor Gyökeres,Gabriel Martinelli,7.1,7.0,7.3,6.8,7.8,7.2,8.0,7.5,6.5,6.6,6.6,6.6,6.7,7.1,7.2,6.6,6.8,6.8,8.0,6.6,6.0,6.8,0,0,0,6,4,321,12,14,0.4,4,15,9,494,16,8,0.6
Nottingham Forest,Wrexham,A,4-2-3-1,3-4-2-1,0,Matz Sels,Nicolò Savona,Jair,Morato,Oleksandr Zinchenko,Douglas Luiz,James McAtee,Dan Ndoye,Omari Hutchinson,Dilane Bakwa,Igor Jesus,Arthur Okonkwo,Dominic Hyam,Dan Scarr,Callum Doyle,Ryan Longman,Ben Sheaf,George Dobson,Liberato Cacace,Oliver Rathbone,Nathan Broadhead,Sam Smith,7.6,7.5,6.6,5.6,6.2,7.2,6.4,6.1,5.6,6.5,5.8,9.2,7.5,7.0,7.8,6.6,7.0,7.4,7.8,8.1,7.4,7.1,6,7,0,31,7,742,14,10,0.62,3,17,8,449,26,12,0.38
Nottingham Forest,West Ham United,A,4-2-3-1,4-2-3-1,3,Matz Sels,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Elliot Anderson,Nicolás Domínguez,Omari Hutchinson,Morgan Gibbs-White,Callum Hudson-Odoi,Igor Jesus,Alphonse Aréola,Kyle Walker-Peters,Konstantinos Mavropanos,Jean-Clair Todibo,Oliver Scarles,Tomáš Souček,Mateus Fernandes,Jarrod Bowen,Lucas Paquetá,Crysencio Summerville,Valentín Castellanos,7.4,6.8,6.8,7.4,7.0,7.4,7.8,6.1,8.0,6.1,5.7,6.7,6.8,6.5,6.5,6.9,7.3,7.3,6.7,6.3,6.5,6.2,2,1,1,13,5,418,15,14,0.53,3,14,6,379,28,9,0.47
Nottingham Forest,Aston Villa,A,4-5-1,4-2-3-1,0,John Victor,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Omari Hutchinson,Morgan Gibbs-White,Elliot Anderson,Nicolás Domínguez,Dilane Bakwa,Igor Jesus,Emiliano Martínez,Matty Cash,Ezri Konsa,Victor Lindelöf,Ian Maatsen,Boubacar Kamara,Youri Tielemans,John McGinn,Morgan Rogers,Emiliano Buendía,Ollie Watkins,5.2,6.1,6.1,6.7,6.1,6.4,7.6,6.5,7.2,6.1,6.0,7.0,7.2,7.2,7.0,6.3,7.7,7.9,8.5,6.9,6.6,7.8,1,3,2,10,4,239,19,10,0.27,2,11,4,645,18,20,0.73
Nottingham Forest,Aston Villa,A,4-5-1,4-2-3-1,0,John Victor,Ola Aina,Nikola Milenković,Murillo,Neco Williams,Omari Hutchinson,Morgan Gibbs-White,Elliot Anderson,Nicolás Domínguez,Dilane Bakwa,Igor Jesus,Emiliano Martínez,Matty Cash,Ezri Konsa,Victor Lindelöf,Ian Maatsen,Boubacar Kamara,Youri Tielemans,John McGinn,Morgan Rogers,Emiliano Buendía,Ollie Watkins,5.2,6.1,6.1,6.7,6.1,6.4,7.6,6.5,7.2,6.1,6.0,7.0,7.2,7.2,7.0,6.3,7.7,7.9,8.5,6.9,6.6,7.8,1,3,2,10,4,239,19,10,0.27,2,11,4,645,18,20,0.73
