Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Sunderland,Arsenal,A,4-2-3-1,4-3-3,0,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Noah Sadiki,Enzo Le Fée,Trai Hume,Habib Diarra,Chemsdine Talbi,Brian Brobbey,David Raya,Jurriën Timber,William Saliba,Gabriel Magalhães,Riccardo Calafiori,Kai Havertz,Martín Zubimendi,Declan Rice,Noni Madueke,Gabriel Jesus,Leandro Trossard,5.7,6.6,5.9,6.5,5.7,6.4,6.2,6.6,6.8,6.3,6.4,7.6,7.0,7.1,7.8,6.8,7.0,7.8,7.3,6.6,6.3,7.4,0,3,1,5,2,408,13,11,0.51,1,16,5,389,15,8,0.49
Sunderland,Burnley,H,5-4-1,3-4-2-1,3,Robin Roefs,Trai Hume,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Habib Diarra,Noah Sadiki,Enzo Le Fée,Chemsdine Talbi,Brian Brobbey,Martin Dúbravka,Axel Tuanzebe,Maxime Estève,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Jaidon Anthony,Lyle Foster,6.7,6.6,6.9,7.4,7.1,7.4,8.2,6.8,7.5,7.9,6.0,7.0,5.6,6.5,6.7,6.8,6.4,6.3,6.2,6.3,6.6,6.3,3,0,3,14,1,426,9,10,0.44,0,5,2,529,14,12,0.56
Sunderland,West Ham United,A,4-4-2,4-4-1-1,0,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Trai Hume,Noah Sadiki,Enzo Le Fée,Romaine Mundle,Eliezer Mayenda,Brian Brobbey,Alphonse Aréola,Aaron Wan-Bissaka,Konstantinos Mavropanos,Jean-Clair Todibo,Oliver Scarles,Jarrod Bowen,Tomáš Souček,Mateus Fernandes,Crysencio Summerville,Pablo Felipe,Valentín Castellanos,6.1,6.1,6.4,6.5,5.4,5.6,6.7,6.6,5.9,6.1,7.5,6.7,6.9,6.0,6.6,7.2,7.9,7.1,8.9,8.0,5.8,6.5,1,3,3,7,3,406,13,9,0.53,4,13,3,366,25,15,0.47
Sunderland,Crystal Palace,H,4-2-3-1,3-4-2-1,3,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Granit Xhaka,Noah Sadiki,Trai Hume,Enzo Le Fée,Romaine Mundle,Brian Brobbey,Dean Henderson,Chris Richards,Maxence Lacroix,Jefferson Lerma,Justin Devenny,Adam Wharton,Will Hughes,Tyrick Mitchell,Brennan Johnson,Yéremy Pino,Jean-Philippe Mateta,6.9,7.1,7.0,6.7,6.7,6.8,7.3,6.3,7.7,6.5,8.0,6.7,7.1,6.0,6.9,5.8,5.8,6.0,6.2,6.2,8.1,6.9,2,1,3,13,3,456,15,15,0.57,2,6,4,339,12,8,0.43
Sunderland,Everton,A,4-2-3-1,4-2-3-1,3,Robin Roefs,Trai Hume,Nordi Mukiele,Luke O'Nien,Dennis Cirkin,Granit Xhaka,Noah Sadiki,Simon Adingra,Enzo Le Fée,Romaine Mundle,Eliezer Mayenda,Jordan Pickford,Nathan Patterson,James Tarkowski,Jake O'Brien,Vitaliy Mykolenko,Merlin Röhl,James Garner,Tyler Dibling,Harrison Armstrong,Dwight McNeil,Beto,9.1,6.2,7.4,7.5,6.1,8.4,6.4,6.0,7.5,6.1,6.2,7.4,7.3,7.9,7.2,7.0,6.6,8.8,6.2,6.9,7.1,5.3,4,1,0,18,7,647,18,16,0.55,1,14,0,526,27,19,0.45
Sunderland,Brentford,A,4-2-3-1,4-2-3-1,0,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Trai Hume,Granit Xhaka,Lutsharel Geertruida,Chris Rigg,Enzo Le Fée,Simon Adingra,Brian Brobbey,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Keane Lewis-Potter,Mathias Jensen,Kevin Schade,Igor Thiago,7.3,5.8,6.4,5.9,5.9,7.2,6.2,6.0,5.9,6.2,6.9,7.9,7.3,6.6,7.5,7.7,7.2,7.0,7.0,7.1,7.8,8.5,0,3,2,11,4,389,7,12,0.49,5,18,7,392,8,13,0.51
Sunderland,Tottenham Hotspur,A,4-4-2,4-2-3-1,1,Robin Roefs,Lutsharel Geertruida,Nordi Mukiele,Omar Alderete,Dennis Cirkin,Trai Hume,Granit Xhaka,Enzo Le Fée,Simon Adingra,Eliezer Mayenda,Brian Brobbey,Guglielmo Vicario,Pedro Porro,Cristian Romero,Micky van de Ven,Ben Davies,Rodrigo Bentancur,Archie Gray,Mohammed Kudus,Wilson Odobert,Mathys Tel,Richarlison,7.1,6.8,7.1,6.6,6.1,7.1,7.5,6.6,6.0,6.8,7.7,6.7,7.9,6.8,6.8,7.7,6.3,6.7,6.5,6.8,6.5,6.6,1,1,0,10,5,382,17,9,0.51,2,13,3,361,15,6,0.49
Sunderland,Manchester City,H,4-2-3-1,4-3-2-1,1,Robin Roefs,Trai Hume,Nordi Mukiele,Omar Alderete,Dennis Cirkin,Lutsharel Geertruida,Granit Xhaka,Eliezer Mayenda,Enzo Le Fée,Simon Adingra,Brian Brobbey,Gianluigi Donnarumma,Matheus Nunes,Rúben Dias,Nathan Aké,Nico O'Reilly,Bernardo Silva,Nico González,Phil Foden,Rayan Cherki,Savinho,Erling Haaland,7.1,6.6,7.5,7.8,7.3,7.0,7.3,7.2,8.2,5.6,6.3,7.2,7.4,7.5,7.8,6.6,6.6,6.9,6.8,7.6,6.6,6.2,0,0,2,10,3,304,18,6,0.32,5,14,5,640,23,9,0.68
Sunderland,Leeds United,H,4-2-3-1,3-5-2,1,Robin Roefs,Trai Hume,Nordi Mukiele,Omar Alderete,Dennis Cirkin,Granit Xhaka,Lutsharel Geertruida,Chris Rigg,Enzo Le Fée,Simon Adingra,Brian Brobbey,Lucas Perri,Joe Rodon,Jaka Bijol,Pascal Struijk,Jayden Bogle,Brenden Aaronson,Ethan Ampadu,Anton Stach,Gabriel Gudmundsson,Dominic Calvert-Lewin,Noah Okafor,7.2,7.0,7.4,7.3,6.6,7.5,7.0,6.7,6.5,8.0,6.6,7.0,6.1,7.0,7.0,6.6,6.3,7.2,7.9,6.8,7.4,6.9,1,1,2,8,3,393,14,9,0.43,4,17,9,513,14,7,0.57
Sunderland,Brighton & Hove Albion,A,4-2-3-1,4-2-3-1,1,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Trai Hume,Granit Xhaka,Lutsharel Geertruida,Chris Rigg,Enzo Le Fée,Simon Adingra,Brian Brobbey,Bart Verbruggen,Mats Wieffer,Diego Coppola,Olivier Boscagli,Ferdi Kadıoğlu,Yasin Ayari,Jack Hinshelwood,Yankuba Minteh,Brajan Gruda,Maxim De Cuyper,Georginio Rutter,7.0,7.3,8.0,7.0,7.6,7.4,6.8,6.4,7.2,6.6,6.4,9.1,6.6,7.5,8.0,7.2,6.4,6.5,6.1,6.9,7.3,6.8,0,0,2,14,4,334,25,11,0.43,0,16,3,441,12,15,0.57
Sunderland,Newcastle United,H,4-2-3-1,4-3-3,3,Robin Roefs,Nordi Mukiele,Daniel Ballard,Omar Alderete,Reinildo Mandava,Granit Xhaka,Noah Sadiki,Bertrand Traoré,Enzo Le Fée,Chemsdine Talbi,Brian Brobbey,Aaron Ramsdale,Valentino Livramento,Malick Thiaw,Dan Burn,Lewis Hall,Bruno Guimarães,Sandro Tonali,Lewis Miley,Anthony Elanga,Nick Woltemade,Anthony Gordon,7.0,6.9,7.5,7.0,7.3,7.3,7.0,6.5,6.4,6.7,6.7,6.7,6.0,8.0,7.0,7.0,7.2,6.8,6.6,6.1,5.4,6.7,1,0,1,5,3,394,10,10,0.47,0,6,6,444,8,10,0.53
