Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Tottenham Hotspur,Manchester United,A,4-3-3,4-2-3-1,0,Guglielmo Vicario,Archie Gray,Cristian Romero,Micky van de Ven,Destiny Udogie,Conor Gallagher,João Palhinha,Pape Matar Sarr,Wilson Odobert,Dominic Solanke,Xavi Simons,Senne Lammens,Diogo Dalot,Harry Maguire,Lisandro Martínez,Luke Shaw,Casemiro,Kobbie Mainoo,Amad Diallo,Bruno Fernandes,Bryan Mbeumo,Matheus Cunha,8.1,6.3,5.3,6.3,6.5,6.4,6.3,6.7,6.4,6.2,7.2,6.8,7.9,7.4,8.1,6.8,6.8,7.9,7.1,8.9,6.9,6.5,0,2,1,7,0,342,16,12,0.35,3,23,7,649,18,11,0.65
Tottenham Hotspur,Manchester City,H,3-4-2-1,4-1-3-2,1,Guglielmo Vicario,João Palhinha,Cristian Romero,Radu Drăguşin,Archie Gray,Conor Gallagher,Yves Bissouma,Destiny Udogie,Randal Kolo Muani,Xavi Simons,Dominic Solanke,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Marc Guéhi,Rayan Aït-Nouri,Rodri,Rayan Cherki,Bernardo Silva,Nico O'Reilly,Erling Haaland,Antoine Semenyo,6.1,7.1,5.8,5.4,6.5,7.0,5.9,6.8,6.2,9.0,9.1,7.1,6.0,6.7,8.1,6.3,8.4,8.1,7.2,6.6,6.6,6.8,2,2,2,12,3,385,24,12,0.4,2,15,4,578,23,15,0.6
Tottenham Hotspur,Eintracht Frankfurt,A,3-4-3,3-5-2,3,Guglielmo Vicario,João Palhinha,Cristian Romero,Kevin Danso,Djed Spence,Pape Matar Sarr,Archie Gray,Destiny Udogie,Wilson Odobert,Randal Kolo Muani,Xavi Simons,Kauã Santos,Aurèle Amenda,Robin Koch,Arthur Theate,Aurélio Buta,Oscar Højlund,Ellyes Skhiri,Hugo Larsson,Nathaniel Brown,Mario Götze,Ansgar Knauff,6.9,7.8,8.5,7.2,6.0,7.2,6.9,6.6,6.9,6.6,8.1,7.7,6.1,6.4,6.6,5.8,6.5,6.9,6.4,6.4,6.4,6.1,2,0,5,15,5,621,13,12,0.55,1,4,0,511,18,8,0.45
Tottenham Hotspur,Burnley,A,3-4-2-1,3-4-2-1,1,Guglielmo Vicario,Kevin Danso,Cristian Romero,Micky van de Ven,Pedro Porro,Conor Gallagher,Yves Bissouma,Djed Spence,Wilson Odobert,Xavi Simons,Dominic Solanke,Martin Dúbravka,Axel Tuanzebe,Maxime Estève,Bashir Humphreys,Kyle Walker,Lesley Ugochukwu,Florentino Luís,Lucas Pires,Marcus Edwards,Jaidon Anthony,Armando Broja,6.3,6.9,7.8,7.7,6.3,6.8,7.2,7.5,7.4,6.5,5.8,7.8,7.1,7.1,6.0,7.3,6.5,6.5,6.8,6.5,6.9,5.6,2,2,4,18,3,620,26,8,0.62,3,9,1,379,19,9,0.38
Tottenham Hotspur,Borussia Dortmund,H,4-2-3-1,3-4-2-1,3,Guglielmo Vicario,Pedro Porro,Kevin Danso,Cristian Romero,Destiny Udogie,Lucas Bergvall,Archie Gray,Wilson Odobert,Xavi Simons,Djed Spence,Dominic Solanke,Gregor Kobel,Waldemar Anton,Nico Schlotterbeck,Ramy Bensebaini,Yan Couto,Jobe Bellingham,Felix Nmecha,Daniel Svensson,Karim Adeyemi,Julian Brandt,Serhou Guirassy,7.2,7.3,7.0,8.5,7.6,6.7,6.9,8.7,7.4,6.9,7.2,7.3,5.6,7.4,6.3,6.8,6.9,6.5,4.7,6.4,6.4,6.2,2,0,2,16,4,460,22,12,0.54,0,6,2,401,22,14,0.46
Tottenham Hotspur,West Ham United,H,4-2-3-1,4-4-1-1,0,Guglielmo Vicario,Pedro Porro,Cristian Romero,Micky van de Ven,Ben Davies,Conor Gallagher,Archie Gray,Wilson Odobert,Xavi Simons,Mathys Tel,Randal Kolo Muani,Alphonse Aréola,Aaron Wan-Bissaka,Konstantinos Mavropanos,Jean-Clair Todibo,Oliver Scarles,Jarrod Bowen,Tomáš Souček,Mateus Fernandes,Crysencio Summerville,Pablo Felipe,Valentín Castellanos,7.1,7.5,8.5,6.9,6.4,6.5,6.4,6.1,6.6,7.1,6.2,7.7,6.8,7.2,7.3,6.6,6.9,6.8,7.5,8.2,6.2,6.0,1,2,3,21,11,481,19,17,0.62,4,17,5,306,25,12,0.38
Tottenham Hotspur,Aston Villa,H,4-2-3-1,4-2-3-1,0,Guglielmo Vicario,Pedro Porro,Kevin Danso,Micky van de Ven,Ben Davies,Archie Gray,João Palhinha,Wilson Odobert,Xavi Simons,Mathys Tel,Richarlison,Marco Bizot,Matty Cash,Ezri Konsa,Pau Torres,Ian Maatsen,Boubacar Kamara,Lamare Bogarde,John McGinn,Morgan Rogers,Emiliano Buendía,Donyell Malen,6.4,7.9,6.6,7.2,6.2,6.6,7.2,7.4,7.1,6.2,6.7,7.3,7.2,6.9,6.9,5.8,6.7,6.2,6.7,7.5,7.8,6.1,1,2,0,13,4,330,19,10,0.4,2,17,6,521,24,17,0.6
Tottenham Hotspur,Bournemouth,A,4-2-3-1,4-2-3-1,0,Guglielmo Vicario,Pedro Porro,Cristian Romero,Micky van de Ven,Djed Spence,João Palhinha,Rodrigo Bentancur,Lucas Bergvall,Xavi Simons,Mathys Tel,Randal Kolo Muani,Đorđe Petrović,Álex Jiménez,James Hill,Marcos Senesi,Adrien Truffert,Alex Scott,Lewis Cook,Marcus Tavernier,Eli Junior Kroupi,Antoine Semenyo,Evanilson,5.6,5.9,8.2,5.9,6.3,8.4,6.8,6.0,6.4,8.0,5.8,6.7,6.1,7.0,8.0,6.7,7.1,6.7,6.5,6.8,7.0,6.5,2,3,2,16,7,434,24,19,0.58,1,11,3,321,17,10,0.42
Tottenham Hotspur,Sunderland,H,4-2-3-1,4-4-2,1,Guglielmo Vicario,Pedro Porro,Cristian Romero,Micky van de Ven,Ben Davies,Rodrigo Bentancur,Archie Gray,Mohammed Kudus,Wilson Odobert,Mathys Tel,Richarlison,Robin Roefs,Lutsharel Geertruida,Nordi Mukiele,Omar Alderete,Dennis Cirkin,Trai Hume,Granit Xhaka,Enzo Le Fée,Simon Adingra,Eliezer Mayenda,Brian Brobbey,6.7,7.9,6.8,6.8,7.7,6.3,6.7,6.5,6.8,6.5,6.6,7.1,6.8,7.1,6.6,6.1,7.1,7.5,6.6,6.0,6.8,7.7,1,1,2,13,3,361,15,6,0.49,0,10,5,382,17,9,0.51
Tottenham Hotspur,Brentford,A,4-3-3,4-3-3,1,Guglielmo Vicario,Pedro Porro,Cristian Romero,Micky van de Ven,Djed Spence,Archie Gray,João Palhinha,Rodrigo Bentancur,Mohammed Kudus,Richarlison,Wilson Odobert,Caoimhin Kelleher,Michael Kayode,Kristoffer Ajer,Nathan Collins,Rico Henry,Jordan Henderson,Vitaly Janelt,Yehor Yarmolyuk,Keane Lewis-Potter,Igor Thiago,Kevin Schade,6.9,7.5,7.4,7.1,6.8,6.4,6.9,7.1,6.2,7.3,6.8,8.1,7.3,7.4,7.8,6.7,8.0,7.3,6.8,7.0,5.6,6.7,0,0,0,9,1,412,18,8,0.44,1,7,3,515,18,10,0.56
