Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Wolverhampton,Chelsea,H,4-2-3-1,4-2-3-1,0,José Sá,Matt Doherty,Yerson Mosquera,Santiago Bueno,Hugo Bueno,João Gomes,Angel Gomes,Hee-Chan Hwang,Mateus Mané,Adam Armstrong,Tolu Arokodare,Robert Sánchez,Malo Gusto,Wesley Fofana,Trevoh Chalobah,Marc Cucurella,Andrey Santos,Moisés Caicedo,Pedro Neto,Cole Palmer,Enzo Fernández,João Pedro,6.7,5.4,6.2,6.0,6.4,6.9,7.3,6.4,6.7,7.0,7.4,6.9,6.7,7.3,6.9,6.7,7.1,7.6,6.4,8.9,6.2,8.0,1,3,1,11,3,365,12,10,0.34,6,15,4,747,21,7,0.66
Wolverhampton,Bournemouth,H,3-5-2,4-2-3-1,0,José Sá,Yerson Mosquera,Santiago Bueno,Emmanuel Agbadou,Rodrigo Gomes,João Gomes,André,Mateus Mané,Hugo Bueno,Tolu Arokodare,Hee-Chan Hwang,Đorđe Petrović,Adam Smith,James Hill,Marcos Senesi,Adrien Truffert,Alex Scott,Lewis Cook,Álex Jiménez,Eli Junior Kroupi,Amine Adli,Evanilson,6.5,6.1,6.5,7.1,6.6,6.3,7.0,7.3,6.7,6.8,6.8,9.5,6.8,6.6,7.3,7.1,7.4,7.6,6.6,7.5,6.7,6.5,0,2,4,17,5,476,23,15,0.51,2,9,6,469,20,11,0.49
Wolverhampton,Manchester City,A,3-5-2,4-1-4-1,0,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,João Gomes,André,Jhon Arias,Hugo Bueno,Mateus Mané,Hee-Chan Hwang,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Marc Guéhi,Nico O'Reilly,Rodri,Antoine Semenyo,Tijjani Reijnders,Bernardo Silva,Rayan Cherki,Omar Marmoush,6.1,6.1,6.5,6.4,6.2,6.3,7.1,6.2,6.7,7.4,6.6,7.1,7.0,7.3,7.4,7.4,7.7,7.2,6.5,7.4,6.4,8.0,0,2,1,11,6,349,19,16,0.36,1,11,4,644,16,14,0.64
Wolverhampton,Newcastle United,H,3-5-2,4-3-3,1,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,João Gomes,André,Mateus Mané,Hugo Bueno,Tolu Arokodare,Hee-Chan Hwang,Nick Pope,Kieran Trippier,Malick Thiaw,Sven Botman,Lewis Hall,Bruno Guimarães,Sandro Tonali,Joelinton,Harvey Barnes,Nick Woltemade,Anthony Gordon,7.4,7.3,6.8,6.7,7.0,7.2,6.9,6.2,7.0,6.4,6.6,7.0,7.3,8.0,7.2,7.4,7.4,6.9,6.8,6.5,6.4,6.6,0,0,,6,4,303,11,8,0.33,,12,7,614,10,14,0.67
Wolverhampton,Shrewsbury Town,H,3-5-2,3-4-1-2,3,Sam Johnstone,Matt Doherty,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,Jhon Arias,André,João Gomes,David Möller Wolfe,Hee-Chan Hwang,Jørgen Strand Larsen,Elyh Harrison,Tom Anderson,Luca Hoole,William Boyle,Ismeal Kabia,Taylor Perry,Josh Ruffels,Sam Clucas,Tommy McDermott,John Marquis,Iwan Morgan,6.5,7.0,7.9,7.0,6.9,8.9,6.9,6.3,7.9,7.6,10.0,5.3,5.4,5.8,5.5,6.3,6.0,6.1,6.5,6.6,7.4,6.4,6,1,9,23,8,697,10,12,0.68,1,6,2,325,11,8,0.32
Wolverhampton,Everton,A,3-5-2,4-3-3,1,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,Jhon Arias,João Gomes,Mateus Mané,Hugo Bueno,Tolu Arokodare,Hee-Chan Hwang,Jordan Pickford,Jake O'Brien,James Tarkowski,Michael Keane,Vitaliy Mykolenko,Harrison Armstrong,James Garner,Tim Iroegbunam,Dwight McNeil,Thierno Barry,Jack Grealish,6.6,7.4,6.9,6.7,6.5,6.3,7.3,7.4,7.0,6.1,6.3,6.7,6.8,7.1,6.8,6.6,6.9,7.5,7.1,7.1,6.6,7.1,1,1,1,13,7,434,16,13,0.55,2,13,2,364,17,15,0.45
Wolverhampton,West Ham United,H,3-5-2,4-2-3-1,3,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Jackson Tchatchoua,Jhon Arias,João Gomes,Mateus Mané,Hugo Bueno,Tolu Arokodare,Hee-Chan Hwang,Alphonse Aréola,Kyle Walker-Peters,Konstantinos Mavropanos,Max Kilman,Oliver Scarles,Soungoutou Magassa,Freddie Potts,Jarrod Bowen,Mateus Fernandes,Crysencio Summerville,Callum Wilson,6.8,7.0,6.8,7.2,6.4,6.9,7.3,8.8,7.0,7.1,8.1,6.5,6.6,6.5,5.9,6.2,6.2,6.5,6.0,7.0,6.1,6.2,3,0,3,11,6,301,23,9,0.33,0,6,7,624,27,11,0.67
Wolverhampton,Manchester United,A,3-5-2,4-2-3-1,1,José Sá,Yerson Mosquera,Matt Doherty,Ladislav Krejčí,Jackson Tchatchoua,Jhon Arias,João Gomes,Mateus Mané,Hugo Bueno,Tolu Arokodare,Hee-Chan Hwang,Senne Lammens,Diogo Dalot,Ayden Heaven,Lisandro Martínez,Luke Shaw,Manuel Ugarte,Casemiro,Joshua Zirkzee,Matheus Cunha,Patrick Dorgu,Benjamin Šeško,7.0,7.8,7.0,7.6,6.7,6.6,6.9,6.8,6.2,6.4,6.0,7.3,6.5,7.4,7.2,6.5,6.5,7.3,7.6,7.2,7.0,6.1,1,1,2,11,4,397,20,9,0.44,2,15,8,506,21,12,0.56
Wolverhampton,Liverpool,A,3-4-2-1,4-2-3-1,0,José Sá,Yerson Mosquera,Santiago Bueno,Ladislav Krejčí,Matt Doherty,André,João Gomes,Hugo Bueno,Mateus Mané,Hee-Chan Hwang,Tolu Arokodare,Alisson,Jeremie Frimpong,Ibrahima Konaté,Virgil van Dijk,Miloš Kerkez,Ryan Gravenberch,Curtis Jones,Federico Chiesa,Alexis Mac Allister,Florian Wirtz,Hugo Ekitiké,6.9,6.3,6.6,6.7,6.2,7.3,6.9,6.7,6.5,6.0,6.0,7.5,7.0,7.2,7.6,6.7,8.3,7.6,6.1,7.0,9.1,7.4,1,2,1,9,4,327,16,5,0.33,1,14,6,660,19,13,0.67
Wolverhampton,Brentford,H,3-5-2,4-3-3,0,José Sá,Matt Doherty,Santiago Bueno,Ladislav Krejčí,Ki-Jana Hoever,Fer López,André,João Gomes,David Möller Wolfe,Jørgen Strand Larsen,Hee-Chan Hwang,Caoimhin Kelleher,Michael Kayode,Nathan Collins,Sepp van den Berg,Rico Henry,Yehor Yarmolyuk,Vitaly Janelt,Mathias Jensen,Keane Lewis-Potter,Igor Thiago,Kevin Schade,7.7,7.0,6.8,6.3,6.8,6.5,6.7,6.7,6.7,5.9,6.3,7.3,7.5,6.9,7.1,6.6,6.9,7.7,8.0,8.6,5.7,7.3,0,2,2,9,3,358,16,14,0.43,4,7,4,481,12,12,0.57
