Rank,Player,Position,Matches,Minutes,AverageRating,Team,TeamId,TournamentId,SeasonId
1,Tarık Çetin,,,,7.45,Fenerbahçe,3052,52,77805
2,Yiğit Efe Demir,,,,7.4,Fenerbahçe,3052,52,77805
3,Milan Škriniar,,,,7.31,Fenerbahçe,3052,52,77805
4,Çağlar Söyüncü,,,,7.28,Fenerbahçe,3052,52,77805
5,Marco Asensio,,,,7.18,Fenerbahçe,3052,52,77805
6,İsmail Yüksek,,,,7.13,Fenerbahçe,3052,52,77805
7,Jhon Durán,,,,7.1,Fenerbahçe,3052,52,77805
8,Fred,,,,7.1,Fenerbahçe,3052,52,77805
9,Yusuf Akçiçek,,,,7.1,Fenerbahçe,3052,52,77805
10,Archie Brown,,,,7.01,Fenerbahçe,3052,52,77805
11,Nélson Semedo,,,,7.0,Fenerbahçe,3052,52,77805
12,Bartuğ Elmaz,,,,6.93,Fenerbahçe,3052,52,77805
13,Anderson Talisca,,,,6.92,Fenerbahçe,3052,52,77805
14,Dorgeles Nene,,,,6.92,Fenerbahçe,3052,52,77805
15,Ederson,,,,6.91,Fenerbahçe,3052,52,77805
16,Youssef En-Nesyri,,,,6.87,Fenerbahçe,3052,52,77805
17,İrfan Can Kahveci,,,,6.86,Fenerbahçe,3052,52,77805
18,Edson Álvarez,,,,6.84,Fenerbahçe,3052,52,77805
19,Kerem Aktürkoğlu,,,,6.84,Fenerbahçe,3052,52,77805
20,Jayden Oosterwolde,,,,6.83,Fenerbahçe,3052,52,77805
21,Oğuz Aydın,,,,6.82,Fenerbahçe,3052,52,77805
22,Sofyan Amrabat,,,,6.8,Fenerbahçe,3052,52,77805
23,Cenk Tosun,,,,6.76,Fenerbahçe,3052,52,77805
24,Sebastian Szymański,,,,6.76,Fenerbahçe,3052,52,77805
25,Rodrigo Becão,,,,6.7,Fenerbahçe,3052,52,77805
26,Levent Mercan,,,,6.66,Fenerbahçe,3052,52,77805
27,Mert Müldür,,,,6.61,Fenerbahçe,3052,52,77805
28,Dominik Livaković,,,,6.6,Fenerbahçe,3052,52,77805
29,İrfan Can Eğribayat,,,,6.43,Fenerbahçe,3052,52,77805
30,Alexander Djiku,,,,,Fenerbahçe,3052,52,77805
