Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Alanyaspor,Kocaelispor,H,3-4-2-1,4-1-4-1,3,Paulo Victor,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Steve Mounié,Gökhan Değirmenci,Rigoberto Rivas,Botond Balogh,Anfernee Dijksteel,Hrvoje Smolčić,Karol Linetty,Daniel Agyei,Habib Keita,Joseph Nonge,Darko Churlinov,Serdar Dursun,7.9,8.2,7.4,7.1,8.5,7.0,8.0,7.0,6.9,8.2,6.3,5.6,5.3,5.9,5.9,6.1,6.5,6.1,6.1,7.0,6.5,6.1,5,0,2,10,3,307,11,14,0.4,0,6,3,465,7,14,0.6
Alanyaspor,Kocaelispor,H,3-4-2-1,4-1-4-1,3,Paulo Victor,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Steve Mounié,Gökhan Değirmenci,Rigoberto Rivas,Botond Balogh,Anfernee Dijksteel,Hrvoje Smolčić,Karol Linetty,Daniel Agyei,Habib Keita,Joseph Nonge,Darko Churlinov,Serdar Dursun,7.9,8.2,7.4,7.1,8.5,7.0,8.0,7.0,6.9,8.2,6.3,5.6,5.3,5.9,5.9,6.1,6.5,6.1,6.1,7.0,6.5,6.1,5,0,2,10,3,307,11,14,0.4,0,6,3,465,7,14,0.6
Alanyaspor,Gençlerbirliği,H,3-4-2-1,4-1-4-1,1,Paulo Victor,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Enes Keskin,Meschack Elia,Ui-Jo Hwang,Steve Mounié,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Adama Malouda Traoré,Dal Varešanović,Göktan Gürpüz,Metehan Mimaroğlu,Sekou Koita,6.6,7.9,7.5,7.9,7.5,6.9,7.9,6.5,6.5,6.4,6.1,9.1,7.1,7.9,7.8,7.1,7.3,6.6,6.7,6.6,6.2,6.7,0,0,1,18,9,553,11,5,0.59,0,3,2,407,15,11,0.41
Alanyaspor,Başakşehir FK,H,3-4-2-1,4-2-3-1,0,Paulo Victor,Fatih Aksoy,Nuno Lima,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Güven Yalçın,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,6.7,6.8,6.1,6.4,8.3,6.3,6.6,6.8,6.7,6.8,6.1,7.0,7.1,6.2,6.7,6.8,7.0,7.1,7.1,6.7,7.0,7.5,1,2,1,13,6,462,12,18,0.53,6,13,2,428,7,13,0.47
Alanyaspor,Konyaspor,H,3-4-2-1,3-4-2-1,3,Paulo Victor,Fatih Aksoy,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Güven Yalçın,Bahadır Han Güngördü,Adamo Nagalo,Adil Demirbağ,Guilherme Haubert Sityá,Yhoan Andzouana,Melih İbrahimoğlu,Berkan Kutlu,Kazeem Olaigbe,Deniz Türüç,Jackson Muleka,Blaž Kramer,6.2,7.2,7.1,6.9,7.8,7.5,6.8,8.3,7.0,6.4,6.2,6.5,8.3,6.3,6.3,6.5,6.4,6.7,6.3,6.8,6.1,5.9,2,1,2,19,4,375,14,16,0.41,1,9,3,550,8,10,0.59
Alanyaspor,Beşiktaş JK,A,3-4-2-1,4-1-4-1,1,Paulo Victor,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Güven Yalçın,Ersin Destanoğlu,Gökhan Sazdağı,Emmanuel Agbadou,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Václav Černý,Junior Olaitan,Orkun Kökçü,Cengiz Ünder,Hyun-gyu Oh,7.2,6.2,6.5,6.2,6.3,6.4,6.1,6.8,6.2,6.9,8.9,6.0,6.2,7.1,6.5,6.4,6.9,6.3,7.0,8.0,7.1,8.2,2,2,0,7,3,233,3,13,0.31,3,20,3,529,16,14,0.69
Alanyaspor,Eyüpspor,H,3-4-3,4-4-2,0,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Efecan Karaca,Güven Yalçın,Ui-Jo Hwang,Jankat Yılmaz,Talha Ülvan,Robin Yalçın,Jérôme Onguene,Umut Meraş,Metehan Altunbaş,Taşkın Ilter,Baran Ali Gezek,Lenny Pintor,Emre Akbaba,Umut Bozok,5.6,7.0,6.3,6.5,7.6,6.3,6.4,6.4,6.4,7.0,7.3,7.5,8.1,7.1,6.9,6.7,6.2,6.8,6.9,6.8,6.4,7.0,1,3,4,17,2,365,9,6,0.42,2,13,3,527,12,11,0.58
Alanyaspor,Çaykur Rizespor,A,3-4-2-1,4-1-4-1,1,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Baran Mogultay,Gaius Makouta,Maestro,Ruan,Efecan Karaca,Ui-Jo Hwang,Güven Yalçın,Yahia Fofana,Taha Şahin,Samet Akaydın,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Loide Augusto,Qazim Laci,Ibrahim Olawoyin,Altin Zeqiri,Ali Sowe,6.9,7.4,6.8,7.1,6.6,7.5,5.8,6.4,6.7,7.2,6.2,6.4,6.6,7.4,6.5,6.4,3.0,6.3,6.9,6.8,6.4,6.3,1,1,2,23,8,439,9,14,0.63,0,6,4,257,9,8,0.37
Alanyaspor,Fenerbahçe,H,3-4-2-1,4-2-3-1,0,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Maestro,Ruan,Efecan Karaca,Ui-Jo Hwang,Uchenna Ogundu,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,Mattéo Guendouzi,İsmail Yüksek,Anthony Musaba,Marco Asensio,Kerem Aktürkoğlu,Anderson Talisca,6.6,6.3,6.0,6.7,8.5,7.8,6.3,6.5,7.0,6.6,6.4,6.1,6.3,6.4,6.5,6.4,6.7,6.6,7.2,6.4,6.6,9.2,2,3,1,9,6,439,11,10,0.45,4,12,6,545,16,10,0.55
Alanyaspor,Fatih Karagümrük,H,3-4-3,4-4-1-1,3,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Fatih Aksoy,Nicolas Janvier,Ruan,Efecan Karaca,Güven Yalçın,Ui-Jo Hwang,Ivo Grbić,Ricardo Esgaio,Atakan Çankaya,Jure Balkovec,Çağtay Kurukalıp,Tiago Çukur,Matías Kranevitter,Marius Tresor Doh,Serginho,Berkay Özcan,David Datro Fofana,8.1,7.2,7.1,6.9,6.8,6.6,7.2,7.8,6.4,7.3,7.1,7.3,5.6,6.7,7.3,6.2,6.5,6.9,7.2,6.5,6.7,6.0,2,0,1,11,2,422,10,16,0.44,0,9,3,547,11,19,0.56
