Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Antalyaspor,Çaykur Rizespor,A,4-2-3-1,4-1-4-1,0,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Jesper Ceesay,Samuel Ballet,Nikola Storm,Doğukan Sinik,Sander van de Streek,Yahia Fofana,Mithat Pala,Samet Akaydın,Modibo Sagnan,Casper Højer,Taylan Antalyalı,Adedire Mebude,Ibrahim Olawoyin,Qazim Laci,Valentin Mihăilă,Ali Sowe,8.2,6.3,7.2,6.4,7.0,6.5,6.5,6.4,6.3,6.3,6.3,7.3,7.1,7.1,7.0,6.9,7.1,7.5,7.2,7.4,6.4,6.7,0,1,1.0,10,1,405,26,12,0.55,3.0,13,2,325,19,16,0.45
Antalyaspor,Kayserispor,A,4-1-4-1,4-1-4-1,0,Julián Cuesta,Hüseyin Türkmen,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Jesper Ceesay,Doğukan Sinik,Soner Dikmen,Dario Šarić,Nikola Storm,Sander van de Streek,Bilal Bayazit,Joshua Brenet,Semih Güler,Stefano Denswil,Lionel Carole,Dorukhan Toköz,João Mendes,Furkan Soyalp,László Bénes,Miguel Cardoso,German Onugkha,6.9,6.8,6.4,7.1,6.0,6.7,6.9,6.4,7.0,7.4,6.2,7.6,6.9,7.5,7.4,6.6,6.6,6.7,6.8,6.3,7.5,6.4,0,1,2.0,11,5,294,8,12,0.47,3.0,15,5,342,13,9,0.53
Antalyaspor,Samsunspor,H,4-1-4-1,4-2-3-1,3,Julián Cuesta,Hüseyin Türkmen,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Jesper Ceesay,Samuel Ballet,Soner Dikmen,Ramzi Safuri,Doğukan Sinik,Sander van de Streek,İrfan Can Eğribayat,Josafat Mendes,Ľubomír Šatka,Rick Van Drongelen,Soner Gönül,Celil Yüksel,Olivier Ntcham,Carlo Holse,Yalçın Kayan,Cherif Ndiaye,Marius Mouandilmadji,6.9,6.9,6.3,7.0,6.5,7.0,8.3,6.5,7.2,6.5,6.8,5.8,6.2,6.1,6.8,6.4,6.6,7.2,6.2,6.7,6.9,6.4,3,1,1.0,13,4,244,17,10,0.35,3.0,13,10,451,16,16,0.65
Antalyaspor,Samsunspor,H,4-1-4-1,4-2-3-1,3,Julián Cuesta,Hüseyin Türkmen,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Jesper Ceesay,Samuel Ballet,Soner Dikmen,Ramzi Safuri,Doğukan Sinik,Sander van de Streek,İrfan Can Eğribayat,Josafat Mendes,Ľubomír Šatka,Rick Van Drongelen,Soner Gönül,Celil Yüksel,Olivier Ntcham,Carlo Holse,Yalçın Kayan,Cherif Ndiaye,Marius Mouandilmadji,6.9,6.9,6.3,7.0,6.5,7.0,8.3,6.5,7.2,6.5,6.8,5.8,6.2,6.1,6.8,6.4,6.6,7.2,6.2,6.7,6.9,6.4,3,1,1.0,13,4,244,17,10,0.35,3.0,13,10,451,16,16,0.65
Antalyaspor,Trabzonspor,H,4-1-4-1,4-4-2,1,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Samuel Ballet,Dario Šarić,Ramzi Safuri,Samet Karakoc,Sander van de Streek,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Oleksandr Zubkov,Christ Inao Oulaï,Tim Jabol-Folcarelli,Ernest Muçi,Paul Onuachu,Felipe Augusto,7.4,6.6,6.7,5.9,6.4,6.4,6.1,6.4,6.8,6.0,7.9,6.5,6.9,7.0,7.8,6.2,6.6,6.5,7.3,6.5,6.6,6.4,1,1,1.0,4,3,206,17,12,0.31,2.0,14,9,458,22,17,0.69
Antalyaspor,Fatih Karagümrük,A,4-1-4-1,4-2-3-1,0,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Samuel Ballet,Dario Šarić,Ramzi Safuri,Samet Karakoc,Sander van de Streek,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Igor Lichnovsky,Filip Mladenović,Matías Kranevitter,Berkay Özcan,Shavy Warren Babicka,Sam Larsson,Baris Kalayci,Serginho,7.1,6.5,7.8,7.4,7.7,6.5,5.9,6.7,7.5,6.1,6.8,7.8,6.9,6.8,7.0,6.9,7.3,6.5,6.5,6.7,6.7,8.0,0,1,1.0,9,4,423,15,22,0.58,3.0,16,9,317,19,13,0.42
Antalyaspor,Gençlerbirliği,H,4-1-4-1,4-2-3-1,3,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Nikola Storm,Dario Šarić,Ramzi Safuri,Samet Karakoc,Sander van de Streek,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Oğulcan Ülgün,Tom Dele-Bashiru,Sekou Koita,Franco Tongya,Metehan Mimaroğlu,M'Baye Niang,6.6,6.6,6.6,6.2,6.5,6.9,6.4,7.6,7.0,7.4,7.6,6.2,6.7,6.6,6.2,6.8,6.7,6.3,7.3,6.5,6.6,6.3,2,1,2.0,11,8,288,14,20,0.48,1.0,12,2,325,15,16,0.52
Antalyaspor,Kasımpaşa,A,4-2-3-1,4-2-3-1,1,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Jesper Ceesay,Soner Dikmen,Abdülkadir Ömür,Dario Šarić,Nikola Storm,Sander van de Streek,Andreas Gianniotis,Cláudio Winck,Adem Arous,Nicholas Opoku,Godfried Frimpong,Andri Baldursson,Kerem Demirbay,İrfan Can Kahveci,Mortadha Ben Ouanes,Fousseni Diabaté,Kubilay Kanatsızkuş,7.8,7.5,7.7,7.1,6.9,6.9,6.8,6.6,6.3,6.8,6.2,7.1,6.8,7.1,7.2,7.2,6.7,7.4,6.9,6.5,6.6,6.3,0,0,1.0,6,4,303,12,18,0.41,3.0,11,10,426,14,11,0.59
Antalyaspor,Kocaelispor,A,4-3-3,4-2-3-1,0,Abdullah Yiğiter,Bünyamin Balcı,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Dario Šarić,Soner Dikmen,Ramzi Safuri,Samuel Ballet,Yohan Boli,Sander van de Streek,Aleksandar Jovanović,Ahmet Oğuz,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Karol Linetty,Daniel Agyei,Tayfur Bingöl,Darko Churlinov,Bruno Petković,5.0,6.7,6.2,7.8,6.7,7.3,6.7,6.9,6.3,6.4,6.3,6.5,7.6,6.3,8.0,6.6,6.6,7.2,6.5,7.1,6.4,6.5,1,2,1.0,6,2,413,28,22,0.54,2.0,7,4,353,20,19,0.46
Antalyaspor,Galatasaray,H,3-4-2-1,4-2-3-1,0,Abdullah Yiğiter,Veysel Sarı,Lautaro Giannetti,Hüseyin Türkmen,Bünyamin Balcı,Jesper Ceesay,Ramzi Safuri,Kenneth Paal,Samuel Ballet,Nikola Storm,Yohan Boli,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Victor Osimhen,4.8,5.7,5.9,6.1,6.8,7.2,6.6,7.5,7.1,6.5,6.5,7.6,8.2,7.1,7.6,6.1,8.0,7.1,7.8,7.3,6.4,7.4,1,4,1.0,11,5,330,15,14,0.37,4.0,13,3,579,15,8,0.63
