Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Başakşehir FK,Antalyaspor,H,4-2-3-1,5-3-2,1,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Kazımcan Karataş,Olivier Kemen,Umut Güneş,Yusuf Sarı,Eldor Shomurodov,Amine Harit,Davie Selke,Julián Cuesta,Erdoğan Yeşilyurt,Veysel Sarı,Bahadır Öztürk,Georgiy Dzhikiya,Kenneth Paal,Soner Dikmen,Jesper Ceesay,Ramzi Safuri,Sander van de Streek,Samuel Ballet,7.9,6.7,7.8,6.8,8.0,7.5,6.7,7.0,6.3,7.5,6.3,8.3,6.7,7.2,7.5,7.4,7.4,6.3,6.9,6.9,6.4,5.9,0,0,1.0,17,2,489,12,18,0.68,2.0,7,3,242,16,12,0.32
Başakşehir FK,Antalyaspor,H,4-2-3-1,5-3-2,1,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Kazımcan Karataş,Olivier Kemen,Umut Güneş,Yusuf Sarı,Eldor Shomurodov,Amine Harit,Davie Selke,Julián Cuesta,Erdoğan Yeşilyurt,Veysel Sarı,Bahadır Öztürk,Georgiy Dzhikiya,Kenneth Paal,Soner Dikmen,Jesper Ceesay,Ramzi Safuri,Sander van de Streek,Samuel Ballet,7.9,6.7,7.8,6.8,8.0,7.5,6.7,7.0,6.3,7.5,6.3,8.3,6.7,7.2,7.5,7.4,7.4,6.3,6.9,6.9,6.4,5.9,0,0,1.0,17,2,489,12,18,0.68,2.0,7,3,242,16,12,0.32
Başakşehir FK,Göztepe,H,3-1-4-2,3-4-1-2,3,Muhammed Şengezer,Léo Duarte,Berat Ayberk Özdemir,Jerome Opoku,Umut Güneş,Ömer Ali Şahiner,Yusuf Sarı,Abbosbek Fayzullaev,Christopher Operi,Davie Selke,Eldor Shomurodov,Mateusz Lis,Allan,Héliton,Malcom Bokele,Ogün Bayrak,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Alexis Antunes,Jeh,Juan Santos da Silva,9.4,7.5,6.8,6.3,6.7,7.5,6.9,6.8,6.4,6.4,7.1,6.3,6.7,7.1,6.2,7.0,6.3,6.7,6.9,7.4,6.3,6.9,2,1,1.0,7,3,370,15,14,0.55,6.0,23,5,290,15,8,0.45
Başakşehir FK,Alanyaspor,A,4-2-3-1,3-4-2-1,3,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,Paulo Victor,Fatih Aksoy,Nuno Lima,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Güven Yalçın,7.0,7.1,6.2,6.7,6.8,7.0,7.1,7.1,6.7,7.0,7.5,6.7,6.8,6.1,6.4,8.3,6.3,6.6,6.8,6.7,6.8,6.1,2,1,6.0,13,2,428,7,13,0.47,1.0,13,6,462,12,18,0.53
Başakşehir FK,Beşiktaş JK,H,4-2-3-1,4-1-4-1,0,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,Ersin Destanoğlu,Amir Murillo,Emmanuel Agbadou,Tiago Djaló,Rıdvan Yılmaz,Kristjan Asllani,Václav Černý,Junior Olaitan,Orkun Kökçü,El Bilal Touré,Hyun-gyu Oh,6.2,6.0,6.7,6.1,6.6,7.0,6.8,6.8,5.9,6.5,7.5,6.5,6.2,6.2,6.3,5.9,6.5,6.6,6.8,8.1,6.6,8.2,2,3,2.0,14,6,383,7,13,0.57,4.0,13,3,295,12,12,0.43
Başakşehir FK,Beşiktaş JK,H,4-2-3-1,4-1-4-1,0,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,Ersin Destanoğlu,Amir Murillo,Emmanuel Agbadou,Tiago Djaló,Rıdvan Yılmaz,Kristjan Asllani,Václav Černý,Junior Olaitan,Orkun Kökçü,El Bilal Touré,Hyun-gyu Oh,6.2,6.0,6.7,6.1,6.6,7.0,6.8,6.8,5.9,6.5,7.5,6.5,6.2,6.2,6.3,5.9,6.5,6.6,6.8,8.1,6.6,8.2,2,3,2.0,14,6,383,7,13,0.57,4.0,13,3,295,12,12,0.43
Başakşehir FK,Eyüpspor,A,4-2-3-1,4-1-4-1,3,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,Jankat Yılmaz,Talha Ülvan,Jérôme Onguene,Bedirhan Özyurt,Umut Meraş,Taşkın Ilter,Metehan Altunbaş,Emre Akbaba,Baran Ali Gezek,Lenny Pintor,Umut Bozok,7.0,6.2,6.8,6.8,7.0,7.6,6.6,7.7,8.0,7.2,8.0,9.9,6.1,5.5,6.7,6.5,6.2,6.6,6.8,6.7,6.7,7.9,2,1,3.0,26,7,500,11,9,0.55,0.0,6,0,417,15,15,0.45
Başakşehir FK,Çaykur Rizespor,H,4-2-3-1,4-2-3-1,1,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,Erdem Canpolat,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Taylan Antalyalı,Qazim Laci,Ibrahim Olawoyin,Valentin Mihăilă,Altin Zeqiri,Ali Sowe,6.4,6.4,6.7,6.7,7.1,6.9,6.4,6.6,7.3,6.8,6.7,6.8,7.9,6.5,7.0,6.6,6.7,6.6,6.8,7.5,6.4,6.1,2,2,1.0,10,4,493,11,10,0.57,0.0,13,4,376,13,15,0.43
Başakşehir FK,Kayserispor,A,4-2-3-1,4-2-3-1,3,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Lionel Carole,Furkan Soyalp,László Bénes,Ramazan Civelek,João Mendes,Miguel Cardoso,German Onugkha,7.5,6.9,6.9,7.2,7.2,6.6,7.0,6.4,7.3,7.6,6.9,7.0,5.8,6.3,5.4,6.4,6.8,6.4,6.2,6.9,6.5,6.5,3,0,5.0,13,4,417,6,7,0.55,0.0,7,10,331,10,18,0.45
Başakşehir FK,Fatih Karagümrük,H,4-2-3-1,4-4-2,3,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Nuno Da Costa,Ivo Grbić,Ricardo Esgaio,Muhammed Kadıoğlu,Jure Balkovec,Çağtay Kurukalıp,Serginho,Matías Kranevitter,Berkay Özcan,Baris Kalayci,Sam Larsson,David Datro Fofana,7.5,8.9,7.5,6.7,7.0,7.0,6.8,6.0,8.0,6.6,6.3,7.4,6.4,6.4,6.5,6.6,6.7,6.7,6.5,6.7,6.0,8.2,2,1,5.0,12,5,582,11,8,0.62,2.0,11,1,355,13,17,0.38
