Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Beşiktaş JK,Çaykur Rizespor,H,4-2-3-1,4-1-4-1,3,Ersin Destanoğlu,Taylan Bulut,Gabriel Paulista,Tiago Djaló,Rıdvan Yılmaz,Kartal Kayra Yılmaz,Demir Ege Tıknaz,Václav Černý,Orkun Kökçü,Milot Rashica,Tammy Abraham,Erdem Canpolat,Mithat Pala,Samet Akaydın,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Jesurun Rak-Sakyi,Qazim Laci,Ibrahim Olawoyin,Loide Augusto,Ali Sowe,7.1,6.8,7.5,7.1,7.2,7.1,7.3,6.7,7.1,7.4,6.3,6.8,6.4,6.7,6.7,6.7,6.9,6.5,6.7,6.4,6.9,6.0,1,0,4,16,4,450,19,14,0.61,1,17,6,275,15,13,0.39
Beşiktaş JK,Trabzonspor,A,4-1-4-1,4-2-3-1,1,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Tiago Djaló,Emirhan Topçu,Wilfred Ndidi,Milot Rashica,Václav Černý,Orkun Kökçü,El Bilal Touré,Tammy Abraham,André Onana,Ozan Tufan,Serdar Saatçı,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,7.2,5.8,6.5,6.3,6.1,6.9,7.1,8.5,6.7,5.9,7.3,6.1,6.9,5.9,7.0,5.7,7.6,6.9,8.7,7.5,6.2,6.6,3,3,4,9,1,195,18,7,0.24,1,34,7,601,13,8,0.76
Beşiktaş JK,Gaziantep FK,H,4-2-3-1,3-4-2-1,1,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Orkun Kökçü,Cengiz Ünder,Václav Černý,Jota Silva,El Bilal Touré,Zafer Görgen,Tayyip Talha Sanuç,Myenty Abena,Arda Kızıldağ,Luis Pérez,Ogün Özçiçek,Drissa Camara,Kévin Rodrigues,Kacper Kozłowski,Alexandru Maxim,Mohamed Bayo,6.1,6.3,6.5,7.1,6.3,6.6,7.5,6.6,7.1,6.4,7.6,8.3,6.8,6.3,6.0,6.7,6.9,6.6,6.2,7.4,7.0,9.2,2,2,6,29,10,426,27,13,0.58,2,9,1,323,15,21,0.42
Beşiktaş JK,Fatih Karagümrük,A,4-2-3-1,4-2-3-1,3,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Emirhan Topçu,David Jurásek,Wilfred Ndidi,Orkun Kökçü,Cengiz Ünder,Václav Černý,Jota Silva,El Bilal Touré,Ivo Grbić,Atakan Çankaya,Enzo Roco,Jure Balkovec,Ricardo Esgaio,Marius Tresor Doh,Matías Kranevitter,João Camacho,Tiago Çukur,Serginho,David Datro Fofana,6.9,7.3,7.9,7.0,7.3,7.3,7.5,7.5,6.5,7.8,7.5,9.6,6.7,6.6,7.1,5.8,6.3,6.4,6.1,6.5,6.3,6.9,2,0,4,27,9,455,19,10,0.62,0,7,2,277,8,11,0.38
Beşiktaş JK,Samsunspor,H,4-2-3-1,4-1-4-1,1,,,,,,,,,,,,,,,,,,,,,,,8.0,6.2,6.8,7.4,7.1,7.0,7.1,7.0,6.8,6.4,6.6,6.5,7.0,6.5,6.0,6.6,7.1,6.7,6.5,6.6,6.5,7.5,1,1,2,14,4,522,10,16,0.62,3,14,3,334,18,10,0.38
Beşiktaş JK,Antalyaspor,A,4-2-3-1,5-3-2,3,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Tiago Djaló,Rıdvan Yılmaz,Wilfred Ndidi,Salih Uçan,Cengiz Ünder,Václav Černý,El Bilal Touré,Tammy Abraham,Abdullah Yiğiter,Bünyamin Balcı,Lautaro Giannetti,Jesper Ceesay,Georgiy Dzhikiya,Kenneth Paal,Abdülkadir Ömür,Soner Dikmen,Dario Šarić,Tomáš Čvančara,Yohan Boli,6.3,6.9,6.9,8.7,6.3,7.0,6.1,7.7,6.9,6.4,7.3,6.0,6.3,6.6,6.4,6.1,6.0,6.2,6.5,6.9,6.3,7.6,3,1,3,13,3,479,15,13,0.54,1,5,3,394,17,18,0.46
Beşiktaş JK,Fenerbahçe,H,4-2-3-1,4-1-4-1,0,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Orkun Kökçü,Cengiz Ünder,Rafa Silva,Václav Černý,El Bilal Touré,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,Edson Álvarez,Dorgeles Nene,Marco Asensio,İsmail Yüksek,Kerem Aktürkoğlu,Youssef En-Nesyri,6.6,7.3,7.0,7.0,6.1,6.2,5.1,6.4,6.6,7.0,8.8,6.9,6.2,6.2,7.0,6.6,7.0,6.6,7.6,7.6,5.9,6.1,2,3,1,9,1,277,15,17,0.32,1,23,6,613,10,8,0.68
Beşiktaş JK,Kasımpaşa,A,4-1-4-1,3-4-3,1,Ersin Destanoğlu,Gökhan Sazdağı,Tiago Djaló,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Cengiz Ünder,Orkun Kökçü,Václav Černý,El Bilal Touré,Tammy Abraham,Andreas Gianniotis,Jhon Espinoza,Nicholas Opoku,Attila Szalai,Cláudio Winck,Andri Baldursson,Cafú,Godfried Frimpong,Fousseni Diabaté,Kubilay Kanatsızkuş,Mamadou Fall,7.2,6.6,6.7,7.4,7.0,7.0,7.9,7.8,6.7,6.0,6.6,7.3,7.0,6.2,6.9,7.4,6.4,6.6,7.1,7.0,6.4,6.3,1,1,6,20,0,502,11,13,0.66,1,12,8,252,12,10,0.34
Beşiktaş JK,Konyaspor,A,4-2-3-1,4-1-4-1,3,Ersin Destanoğlu,Taylan Bulut,Gabriel Paulista,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Orkun Kökçü,Milot Rashica,Rafa Silva,Devrim Şahin,Tammy Abraham,Deniz Ertaş,Yhoan Andzouana,Riechedly Bazoer,Adil Demirbağ,Guilherme Haubert Sityá,Jo Jin-ho,Jackson Muleka,Melih İbrahimoğlu,Enis Bardhi,Pedrinho,Umut Nayir,7.5,6.4,7.4,7.4,6.8,8.2,7.7,7.1,6.4,6.5,8.2,6.6,6.9,6.8,7.0,6.3,6.9,6.4,6.6,6.2,6.9,7.0,2,0,4,9,3,229,16,7,0.29,0,22,17,539,13,16,0.71
Beşiktaş JK,Gençlerbirliği,H,4-2-3-1,5-4-1,0,Mert Günok,Jonas Svensson,Tiago Djaló,Emirhan Topçu,Rıdvan Yılmaz,Wilfred Ndidi,Orkun Kökçü,Cengiz Ünder,Rafa Silva,Václav Černý,Tammy Abraham,Erhan Erentürk,Pedro Pereira,Žan Žužek,Dimitris Goutas,Thalisson Kelven,Matěj Hanousek,Göktan Gürpüz,Tom Dele-Bashiru,Oğulcan Ülgün,Franco Tongya,M'Baye Niang,5.8,7.2,6.4,6.6,6.8,6.1,7.0,7.8,7.5,6.7,5.8,7.2,6.2,6.1,6.8,6.6,6.6,7.2,6.9,6.7,7.7,6.9,1,2,4,11,5,529,12,14,0.62,1,5,4,321,14,21,0.38
