Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Eyüpspor,Fenerbahçe,H,4-2-3-1,4-2-3-1,0,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Nihad Mujakić,Taras Stepanenko,Kerem Demirbay,Denis Drăguş,Yalçın Kayan,Mame Thiam,Umut Bozok,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,İsmail Yüksek,Fred,Marco Asensio,Anderson Talisca,Kerem Aktürkoğlu,Jhon Durán,6.8,6.3,7.6,6.1,6.3,6.5,6.9,6.6,6.4,6.0,6.4,7.9,6.5,7.5,7.1,7.5,7.3,7.6,7.8,7.9,6.7,7.3,0,3,2,8,4,356,11,13,0.43,4,23,5,481,13,12,0.57
Eyüpspor,Çaykur Rizespor,A,4-2-3-1,4-2-3-1,0,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Halil Akbunar,Taras Stepanenko,Kerem Demirbay,Denis Drăguş,Mateusz Łęgowski,Mame Thiam,Umut Bozok,Yahia Fofana,Mithat Pala,Samet Akaydın,Modibo Sagnan,Casper Højer,Qazim Laci,Giannis Papanikolaou,Jesurun Rak-Sakyi,Ibrahim Olawoyin,Loide Augusto,Ali Sowe,7.0,5.8,6.9,5.8,6.3,6.5,6.6,6.4,6.2,6.1,6.1,6.6,7.0,8.6,7.1,7.9,7.7,7.2,6.7,6.6,7.7,7.9,0,3,0,7,3,424,12,20,0.55,4,14,3,337,21,15,0.45
Eyüpspor,Gaziantep FK,A,4-2-3-1,4-2-3-1,3,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Nihad Mujakić,Taras Stepanenko,Kerem Demirbay,Denis Drăguş,Emre Akbaba,Mame Thiam,Umut Bozok,Zafer Görgen,Luis Pérez,Tayyip Talha Sanuç,Semih Güler,Kévin Rodrigues,Melih Kabasakal,Drissa Camara,Kacper Kozłowski,Alexandru Maxim,Christophe Lungoyi,Mohamed Bayo,6.3,6.8,6.8,7.2,6.5,6.9,7.7,6.7,7.4,6.9,6.8,7.0,6.4,6.4,6.4,7.2,6.3,6.5,6.2,6.3,7.0,6.3,2,1,5,17,6,284,29,12,0.41,1,13,13,383,14,18,0.59
Eyüpspor,Kayserispor,H,4-2-3-1,4-2-3-1,1,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Nihad Mujakić,Taras Stepanenko,Mateusz Łęgowski,Denis Drăguş,Emre Akbaba,Prince Ampem,Umut Bozok,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Lionel Carole,Furkan Soyalp,László Bénes,Carlos Mané,João Mendes,Miguel Cardoso,German Onugkha,6.9,6.9,6.9,6.1,6.6,6.7,7.2,6.7,7.1,6.6,6.2,7.8,7.1,6.9,6.9,6.7,6.3,8.0,6.4,6.6,6.3,6.8,1,1,1,16,3,468,12,15,0.59,0,8,1,321,16,11,0.41
Eyüpspor,Karagümrük,H,4-2-3-1,4-2-3-1,1,,,,,,,,,,,,,,,,,,,,,,,7.2,7.1,6.8,7.6,7.0,6.8,6.7,7.8,8.4,6.8,6.0,8.2,6.8,7.6,7.1,6.6,6.5,6.6,6.6,6.5,6.3,6.3,1,1,4,12,5,448,24,18,0.55,2,9,6,370,18,16,0.45
Eyüpspor,Samsunspor,A,4-2-3-1,4-1-4-1,0,Marcos Felipe,Calegari,Robin Yalçın,Emir Ortakaya,Nihad Mujakić,Taras Stepanenko,Kerem Demirbay,Serdar Gürler,Yalçın Kayan,Prince Ampem,Mame Thiam,Okan Koçuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Emre Kılınç,Carlo Holse,Celil Yüksel,Anthony Musaba,Cherif Ndiaye,8.1,6.8,7.3,6.9,6.6,7.1,7.0,6.5,6.5,6.8,6.4,7.1,7.6,6.6,7.3,6.8,7.1,6.9,6.7,6.6,6.2,6.3,0,1,0,2,0,296,19,19,0.37,2,17,14,472,14,13,0.63
Eyüpspor,Antalyaspor,H,4-2-3-1,5-3-2,0,Marcos Felipe,Calegari,Robin Yalçın,Nihad Mujakić,Umut Meraş,Kerem Demirbay,Mateusz Łęgowski,Halil Akbunar,Yalçın Kayan,Serdar Gürler,Mame Thiam,Abdullah Yiğiter,Bünyamin Balcı,Lautaro Giannetti,Jesper Ceesay,Georgiy Dzhikiya,Samet Karakoc,Abdülkadir Ömür,Dario Šarić,Ramzi Safuri,Yohan Boli,Sander van de Streek,6.5,6.8,7.1,6.4,6.6,7.0,6.5,6.6,6.5,6.4,6.2,7.5,7.8,7.2,7.3,7.3,6.3,6.8,7.1,7.6,7.6,5.8,0,1,3,15,5,478,12,9,0.6,2,7,2,336,16,8,0.4
Eyüpspor,Trabzonspor,A,4-2-3-1,4-2-3-1,0,Marcos Felipe,Calegari,Robin Yalçın,Luccas Claro,Nihad Mujakić,Kerem Demirbay,Mateusz Łęgowski,Halil Akbunar,Yalçın Kayan,Serdar Gürler,Mame Thiam,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Felipe Augusto,Ernest Muçi,Paul Onuachu,7.0,6.8,6.5,6.5,7.0,6.4,6.0,7.2,6.2,6.4,6.5,8.5,7.6,7.4,7.1,8.0,7.9,7.6,6.9,7.3,6.9,5.5,0,2,2,10,3,356,18,18,0.44,3,14,8,460,14,12,0.56
Eyüpspor,Kasımpaşa,H,4-3-3,4-2-3-1,3,Marcos Felipe,Calegari,Robin Yalçın,Luccas Claro,Nihad Mujakić,Yalçın Kayan,Kerem Demirbay,Mateusz Łęgowski,Halil Akbunar,Mame Thiam,Serdar Gürler,Andreas Gianniotis,Cláudio Winck,Nicholas Opoku,Attila Szalai,Godfried Frimpong,Cem Üstündag,Andri Baldursson,Mamadou Fall,Fousseni Diabaté,Ali Yavuz Kol,Kubilay Kanatsızkuş,7.3,7.6,7.4,7.2,7.2,6.3,7.5,7.1,7.0,8.2,6.5,8.0,6.1,6.5,6.6,6.5,7.4,6.9,6.4,6.3,6.1,6.0,2,0,8,18,8,517,12,9,0.56,1,9,10,380,17,6,0.44
Eyüpspor,Kocaelispor,A,3-4-2-1,4-2-3-1,0,Marcos Felipe,Robin Yalçın,Luccas Claro,Nihad Mujakić,Calegari,Kerem Demirbay,Mateusz Łęgowski,Serdar Gürler,Prince Ampem,Svit Sešlar,Mame Thiam,Aleksandar Jovanović,Anfernee Dijksteel,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Show,Habib Keita,Can Keleş,Tayfur Bingöl,Rigoberto Rivas,Bruno Petković,6.7,7.2,7.6,6.0,6.7,7.4,7.1,6.5,6.8,6.5,5.8,8.2,7.1,7.6,6.9,7.4,6.8,7.1,6.7,6.6,6.8,6.8,0,1,0,12,3,353,19,18,0.54,1,9,3,311,16,16,0.46
