Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Fenerbahçe,Trabzonspor,A,4-3-1-2,4-2-3-1,3,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,N'Golo Kanté,Mattéo Guendouzi,İsmail Yüksek,Marco Asensio,Anderson Talisca,Kerem Aktürkoğlu,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Felipe Augusto,Ernest Muçi,Mustafa Eskihellaç,Paul Onuachu,6.5,6.5,5.9,6.0,6.2,6.4,7.0,6.4,8.2,7.5,7.7,5.9,6.1,7.2,6.3,6.0,6.8,7.4,6.5,7.4,6.5,8.2,3,2,1,9,7,296,10,16,0.42,4,17,7,412,16,14,0.58
Fenerbahçe,Gençlerbirliği,H,4-2-3-1,4-1-4-1,3,Ederson,Nélson Semedo,Çağlar Söyüncü,Jayden Oosterwolde,Mert Müldür,N'Golo Kanté,Mattéo Guendouzi,Dorgeles Nene,Marco Asensio,Kerem Aktürkoğlu,Anderson Talisca,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Göktan Gürpüz,Oğulcan Ülgün,Franco Tongya,Metehan Mimaroğlu,Sekou Koita,6.1,6.6,7.2,6.5,7.2,6.6,7.3,6.7,7.3,8.9,6.9,5.9,5.5,6.4,6.4,5.9,6.8,6.6,6.3,6.5,7.0,7.6,3,1,2,19,7,486,16,11,0.63,1,13,9,266,12,9,0.37
Fenerbahçe,Kocaelispor,A,4-2-3-1,4-3-3,3,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,Edson Álvarez,Mattéo Guendouzi,Marco Asensio,Anderson Talisca,Anthony Musaba,Youssef En-Nesyri,Gökhan Değirmenci,Ahmet Oğuz,Anfernee Dijksteel,Botond Balogh,Massadio Haïdara,Habib Keita,Show,Karol Linetty,Can Keleş,Bruno Petković,Rigoberto Rivas,7.5,7.4,7.0,7.5,7.4,6.5,6.8,7.7,6.6,6.3,6.5,6.6,6.7,6.5,5.6,6.5,6.9,7.3,6.8,6.7,6.3,6.3,2,0,2,9,3,333,15,17,0.41,0,12,8,469,15,14,0.59
Fenerbahçe,Göztepe,H,4-1-4-1,3-4-1-2,1,Ederson,Yiğit Efe Demir,Milan Škriniar,Jayden Oosterwolde,Nélson Semedo,İsmail Yüksek,Dorgeles Nene,Marco Asensio,Mattéo Guendouzi,Anthony Musaba,Anderson Talisca,Mateusz Lis,Taha Altıkardeş,Allan,Ogün Bayrak,Arda Kurtulan,Efkan Bekiroğlu,Novatus Miroshi,Amine Cherni,Junior Olaitan,Guilherme Luiz,Janderson,6.6,7.1,7.5,7.7,7.0,6.8,7.5,7.0,7.2,7.5,6.3,7.3,6.6,6.2,6.9,6.8,7.2,6.4,6.9,6.5,7.1,7.1,1,1,5,21,8,700,18,22,0.82,2,14,4,160,19,8,0.18
Fenerbahçe,FCSB,A,4-3-3,4-2-3-1,1,Ederson,Nélson Semedo,Çağlar Söyüncü,Jayden Oosterwolde,Mert Müldür,Anderson Talisca,İsmail Yüksek,Fred,Dorgeles Nene,Youssef En-Nesyri,Kerem Aktürkoğlu,Ștefan Târnovanu,Alexandru Pantea,Siyabonga Ngezana,Daniel Graovac,Risto Radunović,Mihai Lixandru,Baba Alhassan,David Miculescu,Darius Olaru,Dennis Politic,Mamadou Thiam,8.3,6.9,6.8,6.9,6.7,6.9,7.6,7.0,6.9,6.4,6.4,8.2,6.6,6.2,6.8,7.3,6.6,7.1,6.6,6.6,6.4,6.4,1,1,4,17,5,621,18,11,0.66,5,15,7,306,19,11,0.34
Fenerbahçe,Aston Villa,H,4-2-3-1,4-2-3-1,0,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Nélson Semedo,İsmail Yüksek,Fred,Dorgeles Nene,Marco Asensio,Kerem Aktürkoğlu,Jhon Durán,Marco Bizot,Matty Cash,Victor Lindelöf,Tyrone Mings,Lucas Digne,Lamare Bogarde,Youri Tielemans,Jadon Sancho,Morgan Rogers,Emiliano Buendía,Ollie Watkins,7.0,6.8,8.9,6.3,6.7,8.8,7.6,6.8,7.7,6.4,6.4,9.0,7.0,7.1,7.7,6.6,7.0,6.8,7.4,7.1,6.8,6.6,0,1,2,13,5,510,22,15,0.63,3,12,5,289,15,13,0.37
Fenerbahçe,Alanyaspor,A,4-2-3-1,3-4-2-1,3,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,Mattéo Guendouzi,İsmail Yüksek,Anthony Musaba,Marco Asensio,Kerem Aktürkoğlu,Anderson Talisca,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Maestro,Ruan,Efecan Karaca,Ui-Jo Hwang,Uchenna Ogundu,6.1,6.3,6.4,6.5,6.4,6.7,6.6,7.2,6.4,6.6,9.2,6.6,6.3,6.0,6.7,8.5,7.8,6.3,6.5,7.0,6.6,6.4,3,2,4,12,6,545,16,10,0.55,1,9,6,439,11,10,0.45
Fenerbahçe,Galatasaray,A,4-2-3-1,4-2-3-1,3,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,Mattéo Guendouzi,İsmail Yüksek,Anthony Musaba,Marco Asensio,Kerem Aktürkoğlu,Jhon Durán,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Mario Lemina,Lucas Torreira,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,6.9,6.7,6.6,7.9,7.5,8.8,7.2,6.3,7.4,6.4,6.2,6.1,6.3,6.4,6.9,6.1,7.6,6.8,6.8,6.2,6.5,6.4,2,0,0,12,6,242,24,12,0.36,1,7,2,448,17,17,0.64
Fenerbahçe,Samsunspor,H,4-2-3-1,3-4-1-2,3,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,Bartuğ Elmaz,İsmail Yüksek,Anthony Musaba,Marco Asensio,Kerem Aktürkoğlu,Jhon Durán,Okan Kocuk,Yunus Emre Çift,Ľubomír Šatka,Toni Borevković,Zeki Yavru,Antoine Makoumbou,Celil Yüksel,Logi Tomasson,Carlo Holse,Ebrima Ceesay,Marius Mouandilmadji,7.0,8.0,7.5,7.0,7.3,7.0,7.0,8.1,6.6,7.7,7.3,5.9,7.2,6.3,6.7,6.5,6.2,6.8,6.8,6.5,6.1,6.2,2,0,3,17,7,473,15,13,0.49,0,6,6,485,19,8,0.51
Fenerbahçe,Eyüpspor,A,4-2-3-1,4-2-3-1,3,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,İsmail Yüksek,Fred,Marco Asensio,Anderson Talisca,Kerem Aktürkoğlu,Jhon Durán,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Nihad Mujakić,Taras Stepanenko,Kerem Demirbay,Denis Drăguş,Yalçın Kayan,Mame Thiam,Umut Bozok,7.9,6.5,7.5,7.1,7.5,7.3,7.6,7.8,7.9,6.7,7.3,6.8,6.3,7.6,6.1,6.3,6.5,6.9,6.6,6.4,6.0,6.4,3,0,4,23,5,481,13,12,0.57,2,8,4,356,11,13,0.43
