Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Galatasaray,Fatih Karagümrük,A,4-2-3-1,4-4-2,3,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Yunus Akgün,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Jure Balkovec,Çağtay Kurukalıp,Ahmed Traore,Marius Tresor Doh,Berkay Özcan,Baris Kalayci,Sam Larsson,Serginho,6.9,6.8,6.9,7.2,6.2,7.5,6.8,6.7,9.1,6.2,7.2,6.8,5.9,6.0,5.3,6.4,6.2,6.5,6.7,7.3,7.3,7.2,3,1,4,11,6,615,22,8,0.64,1,10,2,349,14,13,0.36
Galatasaray,Fatih Karagümrük,A,4-2-3-1,4-4-2,3,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Yunus Akgün,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Jure Balkovec,Çağtay Kurukalıp,Ahmed Traore,Marius Tresor Doh,Berkay Özcan,Baris Kalayci,Sam Larsson,Serginho,6.9,6.8,6.9,7.2,6.2,7.5,6.8,6.7,9.1,6.2,7.2,6.8,5.9,6.0,5.3,6.4,6.2,6.5,6.7,7.3,7.3,7.2,3,1,4,11,6,615,22,8,0.64,1,10,2,349,14,13,0.36
Galatasaray,Fatih Karagümrük,A,4-2-3-1,4-4-2,3,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Yunus Akgün,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Jure Balkovec,Çağtay Kurukalıp,Ahmed Traore,Marius Tresor Doh,Berkay Özcan,Baris Kalayci,Sam Larsson,Serginho,6.9,6.8,6.9,7.2,6.2,7.5,6.8,6.7,9.1,6.2,7.2,6.8,5.9,6.0,5.3,6.4,6.2,6.5,6.7,7.3,7.3,7.2,3,1,4,11,6,615,22,8,0.64,1,10,2,349,14,13,0.36
Galatasaray,Manchester City,A,4-2-3-1,4-2-3-1,0,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,Mario Lemina,İlkay Gündoğan,Leroy Sané,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,Gianluigi Donnarumma,Matheus Nunes,Abdukodir Khusanov,Nathan Aké,Rayan Aït-Nouri,Bernardo Silva,Nico O'Reilly,Rayan Cherki,Omar Marmoush,Jérémy Doku,Erling Haaland,6.2,6.8,6.8,6.1,5.9,6.4,6.4,6.6,6.4,6.7,6.4,7.6,6.9,6.8,7.2,8.3,7.2,7.2,8.2,6.1,7.4,7.7,0,2,0,4,4,516,18,8,0.5,5,10,4,525,11,10,0.5
Galatasaray,Atlético Madrid,H,4-2-3-1,4-4-2,1,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Lucas Torreira,Mario Lemina,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Victor Osimhen,Jan Oblak,Marcos Llorente,Marc Pubill,Dávid Hancko,Matteo Ruggeri,Giuliano Simeone,Pablo Barrios,Koke,Thiago Almada,Alexander Sørloth,Julián Alvarez,7.8,6.9,6.8,8.1,6.4,6.9,6.9,6.5,6.7,6.4,6.9,6.5,6.3,7.1,6.9,6.6,7.3,7.2,7.2,6.5,6.0,6.3,1,1,2,7,4,443,16,11,0.46,2,15,7,521,9,11,0.54
Galatasaray,Gaziantep FK,H,4-2-3-1,3-4-1-2,1,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Mario Lemina,İlkay Gündoğan,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,Zafer Görgen,Nazım Sangaré,Arda Kızıldağ,Nihad Mujakić,Luis Pérez,Melih Kabasakal,Ogün Özçiçek,Yusuf Kabadayi,Alexandru Maxim,Mohamed Bayo,Denis Drăguş,7.0,6.2,6.9,7.6,6.9,7.3,7.2,7.3,5.8,7.7,5.8,6.4,7.7,6.7,6.9,6.8,6.8,7.0,6.3,6.4,6.9,6.5,1,1,4,17,10,563,25,12,0.68,2,10,2,272,18,17,0.32
Galatasaray,Fenerbahçe,H,4-2-3-1,4-2-3-1,0,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Mario Lemina,Lucas Torreira,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,Mattéo Guendouzi,İsmail Yüksek,Anthony Musaba,Marco Asensio,Kerem Aktürkoğlu,Jhon Durán,6.1,6.3,6.4,6.9,6.1,7.6,6.8,6.8,6.2,6.5,6.4,6.9,6.7,6.6,7.9,7.5,8.8,7.2,6.3,7.4,6.4,6.2,0,2,1,7,2,448,17,17,0.64,0,12,6,242,24,12,0.36
Galatasaray,Trabzonspor,H,4-2-3-1,4-1-4-1,3,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,İlkay Gündoğan,Gabriel Sara,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,André Onana,Wagner Pina,Serdar Saatçı,Arseniy Batagov,Ozan Tufan,Benjamin Bouchouari,Oleksandr Zubkov,Ernest Muçi,Tim Jabol-Folcarelli,Kazeem Olaigbe,Felipe Augusto,7.2,6.9,6.6,6.7,7.9,7.2,7.5,7.6,7.7,7.5,7.5,7.2,6.2,5.9,5.7,5.9,6.4,6.8,6.4,6.4,6.6,7.8,4,1,7,15,7,547,16,4,0.64,2,12,4,307,14,7,0.36
Galatasaray,Kasımpaşa,H,4-2-3-1,4-1-4-1,3,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Kazımcan Karataş,Lucas Torreira,İlkay Gündoğan,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,Andreas Gianniotis,Cláudio Winck,Nicholas Opoku,Attila Szalai,Godfried Frimpong,Jhon Espinoza,Mamadou Fall,Cem Üstündag,Atakan Mujde,Fousseni Diabaté,Pape Habib Gueye,6.7,6.7,7.8,7.9,6.2,7.5,7.3,7.4,9.7,7.8,7.3,6.2,6.6,6.4,5.8,5.8,5.5,6.5,6.6,7.1,6.0,6.4,3,0,2,27,10,550,17,13,0.71,0,1,1,227,18,11,0.29
Galatasaray,Antalyaspor,A,4-2-3-1,3-4-2-1,3,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Victor Osimhen,Abdullah Yiğiter,Veysel Sarı,Lautaro Giannetti,Hüseyin Türkmen,Bünyamin Balcı,Jesper Ceesay,Ramzi Safuri,Kenneth Paal,Samuel Ballet,Nikola Storm,Yohan Boli,7.6,8.2,7.1,7.6,6.1,8.0,7.1,7.8,7.3,6.4,7.4,4.8,5.7,5.9,6.1,6.8,7.2,6.6,7.5,7.1,6.5,6.5,4,1,4,13,3,579,15,8,0.63,1,11,5,330,15,14,0.37
