Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Gençlerbirliği,Fenerbahçe,A,4-1-4-1,4-2-3-1,0,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Göktan Gürpüz,Oğulcan Ülgün,Franco Tongya,Metehan Mimaroğlu,Sekou Koita,Ederson,Nélson Semedo,Çağlar Söyüncü,Jayden Oosterwolde,Mert Müldür,N'Golo Kanté,Mattéo Guendouzi,Dorgeles Nene,Marco Asensio,Kerem Aktürkoğlu,Anderson Talisca,5.9,5.5,6.4,6.4,5.9,6.8,6.6,6.3,6.5,7.0,7.6,6.1,6.6,7.2,6.5,7.2,6.6,7.3,6.7,7.3,8.9,6.9,1,3,1.0,13,9,266,12,9,0.37,2.0,19,7,486,16,11,0.63
Gençlerbirliği,Gaziantep FK,H,4-1-4-1,3-5-2,3,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Sekou Koita,Oğulcan Ülgün,Göktan Gürpüz,Metehan Mimaroğlu,M'Baye Niang,Zafer Görgen,Nazım Sangaré,Tayyip Talha Sanuç,Nihad Mujakić,Deian Sorescu,Melih Kabasakal,Karamba Gassama,Drissa Camara,Kévin Rodrigues,Mohamed Bayo,Alexandru Maxim,6.2,6.9,6.6,7.1,7.6,7.4,6.5,5.9,6.6,7.3,6.2,5.8,6.5,6.3,6.9,7.0,6.4,6.2,6.3,6.9,7.1,7.8,2,1,2.0,13,3,270,16,13,0.36,1.0,14,2,470,19,18,0.64
Gençlerbirliği,Antalyaspor,A,4-2-3-1,4-1-4-1,0,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Oğulcan Ülgün,Tom Dele-Bashiru,Sekou Koita,Franco Tongya,Metehan Mimaroğlu,M'Baye Niang,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Nikola Storm,Dario Šarić,Ramzi Safuri,Samet Karakoc,Sander van de Streek,6.2,6.7,6.6,6.2,6.8,6.7,6.3,7.3,6.5,6.6,6.3,6.6,6.6,6.6,6.2,6.5,6.9,6.4,7.6,7.0,7.4,7.6,1,2,1.0,12,2,325,15,16,0.52,2.0,11,8,288,14,20,0.48
Gençlerbirliği,Antalyaspor,A,4-2-3-1,4-1-4-1,0,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Oğulcan Ülgün,Tom Dele-Bashiru,Sekou Koita,Franco Tongya,Metehan Mimaroğlu,M'Baye Niang,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Soner Dikmen,Nikola Storm,Dario Šarić,Ramzi Safuri,Samet Karakoc,Sander van de Streek,6.2,6.7,6.6,6.2,6.8,6.7,6.3,7.3,6.5,6.6,6.3,6.6,6.6,6.6,6.2,6.5,6.9,6.4,7.6,7.0,7.4,7.6,1,2,1.0,12,2,325,15,16,0.52,2.0,11,8,288,14,20,0.48
Gençlerbirliği,Samsunspor,H,4-1-4-1,4-2-3-1,1,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Göktan Gürpüz,Oğulcan Ülgün,Franco Tongya,Metehan Mimaroğlu,Sekou Koita,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Ali Diabaté,Soner Gönül,Yunus Emre Çift,Celil Yüksel,Josafat Mendes,Yalçın Kayan,Tahsin Bülbül ,Marius Mouandilmadji,6.6,6.6,6.5,7.7,6.7,7.1,6.8,6.8,6.7,6.2,7.4,6.3,7.6,6.6,7.4,7.0,6.5,6.5,6.5,6.7,6.4,7.2,1,1,3.0,7,4,417,16,14,0.52,2.0,18,6,376,12,9,0.48
Gençlerbirliği,Trabzonspor,H,4-1-4-1,4-2-3-1,3,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Göktan Gürpüz,Oğulcan Ülgün,Franco Tongya,Metehan Mimaroğlu,Sekou Koita,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Arif Boşluk,Benjamin Bouchouari,Ozan Tufan,Oleksandr Zubkov,Ernest Muçi,Danylo Sikan,Felipe Augusto,6.7,6.1,7.5,5.9,5.8,6.4,8.0,8.7,7.3,6.9,8.1,6.5,6.0,6.2,7.2,5.7,6.5,6.2,6.9,7.6,5.9,7.9,4,3,4.0,18,6,261,12,15,0.37,3.0,14,6,458,18,5,0.63
Gençlerbirliği,Kasımpaşa,A,4-1-4-1,4-2-3-1,1,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Sekou Koita,Göktan Gürpüz,Franco Tongya,Metehan Mimaroğlu,M'Baye Niang,Andreas Gianniotis,Jhon Espinoza,Nicholas Opoku,Adem Arous,Godfried Frimpong,Cem Üstündag,Andri Baldursson,Mortadha Ben Ouanes,Fousseni Diabaté,Yusuf Barası,Pape Habib Gueye,7.8,7.0,7.4,7.0,7.4,7.1,6.8,6.6,6.5,6.8,6.1,7.0,7.2,7.1,7.1,7.2,7.4,7.0,6.8,7.4,7.9,6.3,0,0,1.0,6,2,412,12,12,0.51,2.0,10,3,393,21,16,0.49
Gençlerbirliği,Fatih Karagümrük,H,4-4-2,4-3-1-2,3,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Göktan Gürpüz,Tom Dele-Bashiru,Oğulcan Ülgün,Franco Tongya,Sekou Koita,M'Baye Niang,Ivo Grbić,Atakan Çankaya,Muhammed Kadıoğlu,Enzo Roco,Ricardo Esgaio,Marius Tresor Doh,Matías Kranevitter,Daniel Johnson,Berkay Özcan,Serginho,David Datro Fofana,7.1,7.7,6.5,7.0,7.1,6.5,6.9,7.9,7.4,8.3,7.0,6.8,5.9,5.8,7.1,5.8,6.0,6.7,6.3,6.7,6.9,6.7,3,0,6.0,19,7,264,15,11,0.4,3.0,8,4,400,15,14,0.6
Gençlerbirliği,Kocaelispor,A,4-2-3-1,4-2-3-1,0,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Matěj Hanousek,Tom Dele-Bashiru,Samed Onur,Dilhan Demir,M'Baye Niang,Franco Tongya,Metehan Mimaroğlu,Aleksandar Jovanović,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Show,Karol Linetty,Daniel Agyei,Tayfur Bingöl,Darko Churlinov,Serdar Dursun,7.5,7.4,6.9,7.1,7.2,6.9,7.0,6.3,6.3,6.1,6.6,6.4,8.1,7.4,7.4,7.0,7.2,7.2,6.9,6.1,6.7,7.1,0,1,0.0,5,1,435,15,16,0.47,2.0,15,6,479,10,15,0.53
Gençlerbirliği,Galatasaray,A,4-2-3-1,4-2-3-1,0,,,,,,,,,,,,,,,,,,,,,,,7.6,6.3,6.6,7.0,5.5,6.7,6.8,6.6,6.2,7.2,7.2,6.6,7.3,7.1,7.5,6.4,6.8,6.6,7.2,6.8,7.6,8.9,2,3,4.0,11,2,230,17,11,0.27,6.0,28,4,606,14,6,0.73
