Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Göztepe,Samsunspor,H,4-4-1-1,3-4-2-1,3,Mateusz Lis,Allan,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Rhaldney,Anthony Junior Dennis,Amine Cherni,Efkan Bekiroğlu,Juan Santos da Silva,Okan Kocuk,Ľubomír Šatka,Toni Borevković,Rick Van Drongelen,Zeki Yavru,Eyüp Aydın,Antoine Makoumbou,Soner Gönül,Carlo Holse,Emre Kılınç,Marius Mouandilmadji,6.2,7.0,6.7,6.9,6.6,8.3,6.9,7.1,6.5,7.2,8.0,6.0,6.0,7.1,7.3,7.1,6.7,6.8,6.8,6.7,6.1,6.1,2,0,3.0,10,4,270,8,7,0.36,1.0,5,3,480,16,18,0.64
Göztepe,Gaziantep FK,A,3-4-1-2,4-3-3,3,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Junior Olaitan,Janderson,Juan Santos da Silva,Zafer Görgen,Luis Pérez,Semih Güler,Arda Kızıldağ,Kévin Rodrigues,Kacper Kozłowski,Ogün Özçiçek,Drissa Camara,Deian Sorescu,Mohamed Bayo,Emmanuel Boateng,8.3,7.1,7.9,7.3,7.1,6.9,6.9,7.1,6.7,7.1,6.7,6.4,6.3,6.9,6.4,6.4,6.7,6.4,7.0,6.6,5.7,6.4,1,0,2.0,15,6,246,20,12,0.42,3.0,19,8,331,15,13,0.58
Göztepe,Trabzonspor,H,3-4-1-2,4-2-3-1,0,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Efkan Bekiroğlu,Janderson,Juan Santos da Silva,André Onana,Wagner Pina,Serdar Saatçı,Arseniy Batagov,Mustafa Eskihellaç,Ozan Tufan,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Paul Onuachu,6.9,6.4,5.9,6.4,6.5,7.6,6.6,6.0,6.4,6.0,7.1,6.9,6.5,7.4,7.2,7.0,7.3,6.8,7.1,8.7,6.6,7.5,1,2,3.0,21,7,227,12,7,0.38,2.0,18,4,396,18,19,0.62
Göztepe,Antalyaspor,A,3-4-1-2,4-2-3-1,3,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Efkan Bekiroğlu,Juan Santos da Silva,Janderson,Abdullah Yiğiter,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Samet Karakoc,Jesper Ceesay,Kenneth Paal,Abdülkadir Ömür,Ramzi Safuri,Nikola Storm,Yohan Boli,7.3,7.6,6.4,6.7,6.7,6.0,7.1,6.9,6.7,7.4,6.4,6.7,6.9,7.8,7.1,6.3,7.3,7.0,6.6,6.7,6.4,6.5,2,1,1.0,16,4,296,9,11,0.5,0.0,8,1,312,26,20,0.5
Göztepe,Kocaelispor,H,3-4-1-2,4-2-3-1,1,,,,,,,,,,,,,,,,,,,,,,,7.1,7.6,7.3,6.6,7.4,7.3,6.6,6.7,6.9,6.2,6.0,6.6,7.1,7.0,7.1,7.7,6.6,6.8,6.3,6.8,6.4,7.1,0,0,0.0,8,4,260,19,7,0.42,0.0,10,6,362,18,16,0.58
Göztepe,Kasımpaşa,A,3-4-1-2,5-3-2,3,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Efkan Bekiroğlu,Janderson,Juan Santos da Silva,Andreas Gianniotis,Cláudio Winck,Adem Arous,Nicholas Opoku,Attila Szalai,Godfried Frimpong,Mortadha Ben Ouanes,Andri Baldursson,Cafú,Kubilay Kanatsızkuş,Pape Habib Gueye,7.0,7.2,6.6,7.3,8.0,6.7,6.9,6.5,6.2,6.7,9.2,6.3,6.4,7.1,7.1,6.5,6.2,7.4,6.7,6.9,6.8,5.8,2,0,3.0,15,2,201,18,7,0.32,0.0,12,5,426,14,24,0.68
Göztepe,Gençlerbirliği,H,3-4-1-2,4-2-3-1,3,Mateusz Lis,Taha Altıkardeş,Héliton,Novatus Miroshi,Arda Kurtulan,Rhaldney,Anthony Junior Dennis,Amine Cherni,Efkan Bekiroğlu,Janderson,Juan Santos da Silva,Erhan Erentürk,Pedro Pereira,Dimitris Goutas,Žan Žužek,Matěj Hanousek,Tom Dele-Bashiru,Oğulcan Ülgün,Göktan Gürpüz,Sekou Koita,Franco Tongya,M'Baye Niang,7.2,7.3,7.2,8.9,7.0,6.7,7.3,6.4,6.5,6.5,7.1,6.5,6.2,7.0,7.1,6.1,7.0,6.7,6.7,6.8,6.9,6.0,1,0,3.0,15,6,308,15,10,0.51,1.0,13,3,296,23,14,0.49
Göztepe,Galatasaray,A,3-4-1-2,4-2-3-1,0,Mateusz Lis,Furkan Bayır,Héliton,Malcom Bokele,Arda Kurtulan,Rhaldney,Anthony Junior Dennis,Amine Cherni,Efkan Bekiroğlu,Janderson,Juan Santos da Silva,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,Mario Lemina,Gabriel Sara,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Victor Osimhen,8.9,5.9,6.3,5.2,6.1,6.5,6.6,6.8,7.1,6.5,7.2,6.6,7.3,6.7,6.8,7.0,7.0,9.4,7.9,6.9,6.6,7.5,1,3,3.0,5,2,155,17,8,0.2,6.0,27,8,587,12,12,0.8
Göztepe,Alanyaspor,A,3-1-4-2,3-4-2-1,0,Mateusz Lis,Furkan Bayır,Héliton,Malcom Bokele,Novatus Miroshi,Arda Kurtulan,Rhaldney,Efkan Bekiroğlu,Amine Cherni,Janderson,Juan Santos da Silva,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Ruan,Gaius Makouta,Maestro,Yusuf Özdemir,Ianis Hagi,Ibrahim Kaya,Uchenna Ogundu,6.8,6.5,6.4,6.2,6.7,6.5,6.8,6.7,6.7,6.3,6.4,7.6,6.8,7.1,8.8,6.7,6.8,7.4,6.9,7.2,6.4,6.8,0,1,1.0,10,4,309,7,5,0.4,0.0,15,8,455,10,13,0.6
Göztepe,Başakşehir FK,H,3-4-1-2,3-1-4-2,3,Mateusz Lis,Allan,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Rhaldney,Juan Santos da Silva,Janderson,Muhammed Şengezer,Ousseynou Ba,Berat Ayberk Özdemir,Jerome Opoku,Jakub Kałuziński,Ömer Ali Şahiner,Miguel Crespo,Amine Harit,Christopher Operi,Nuno Da Costa,Eldor Shomurodov,7.4,7.5,6.9,7.4,6.6,6.5,6.3,6.5,6.8,6.7,7.0,6.4,6.7,7.3,7.1,7.4,6.6,6.8,7.3,6.6,6.4,6.2,1,0,1.0,9,6,213,14,10,0.28,2.0,11,5,562,20,22,0.72
Göztepe,Eyüpspor,A,3-4-1-2,5-3-2,1,Mateusz Lis,Allan,Héliton,Malcom Bokele,Arda Kurtulan,Rhaldney,Anthony Junior Dennis,Amine Cherni,Efkan Bekiroğlu,Juan Santos da Silva,Janderson,Marcos Felipe,Calegari,Robin Yalçın,Luccas Claro,Nihad Mujakić,Umut Meraş,Yalçın Kayan,Kerem Demirbay,Svit Sešlar,Mame Thiam,Denis Drăguş,7.2,7.5,7.4,7.1,6.9,7.0,6.4,7.2,6.1,6.2,5.8,7.1,6.7,7.2,8.0,7.1,6.9,6.9,7.0,6.8,6.2,5.8,0,0,2.0,16,3,276,17,6,0.42,2.0,6,6,386,18,19,0.58
Göztepe,Beşiktaş JK,H,3-1-4-2,4-2-3-1,3,Mateusz Lis,Allan,Héliton,Malcom Bokele,Anthony Junior Dennis,Arda Kurtulan,Rhaldney,Junior Olaitan,Amine Cherni,Janderson,Juan Santos da Silva,Mert Günok,Gökhan Sazdağı,Gabriel Paulista,Felix Uduokhai,David Jurásek,Necip Uysal,Demir Ege Tıknaz,Václav Černý,Rafa Silva,El Bilal Touré,Tammy Abraham,6.6,7.2,7.1,7.0,6.8,7.7,7.5,8.1,7.0,6.4,7.4,6.8,6.5,6.8,6.9,6.3,6.3,7.0,6.1,6.4,6.7,6.3,3,0,6.0,13,6,204,17,12,0.3,0.0,13,5,464,17,16,0.7
Göztepe,Kayserispor,A,3-4-1-2,4-1-4-1,1,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Rhaldney,Anthony Junior Dennis,Amine Cherni,Junior Olaitan,Janderson,Juan Santos da Silva,Onurcan Piri,Ramazan Civelek,Gideon Jung,Stefano Denswil,Lionel Carole,Dorukhan Toköz,Carlos Mané,João Mendes,László Bénes,Miguel Cardoso,German Onugkha,7.8,6.4,6.6,6.6,6.5,6.9,6.4,6.5,7.1,6.4,6.3,7.7,6.4,6.8,6.9,6.7,6.8,6.9,6.9,7.3,7.9,6.8,1,1,0.0,13,7,301,7,12,0.47,2.0,8,3,328,10,17,0.53
