Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Fatih Karagümrük,Galatasaray,H,4-4-2,4-2-3-1,0,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Jure Balkovec,Çağtay Kurukalıp,Ahmed Traore,Marius Tresor Doh,Berkay Özcan,Baris Kalayci,Sam Larsson,Serginho,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Yunus Akgün,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,6.8,5.9,6.0,5.3,6.4,6.2,6.5,6.7,7.3,7.3,7.2,6.9,6.8,6.9,7.2,6.2,7.5,6.8,6.7,9.1,6.2,7.2,1,3,1.0,10.0,2.0,349.0,14.0,13.0,0.36,4.0,11.0,6.0,615.0,22.0,8.0,0.64
Fatih Karagümrük,Galatasaray,H,4-4-2,4-2-3-1,0,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Jure Balkovec,Çağtay Kurukalıp,Ahmed Traore,Marius Tresor Doh,Berkay Özcan,Baris Kalayci,Sam Larsson,Serginho,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Ismail Jakobs,İlkay Gündoğan,Lucas Torreira,Yunus Akgün,Gabriel Sara,Barış Alper Yılmaz,Victor Osimhen,6.8,5.9,6.0,5.3,6.4,6.2,6.5,6.7,7.3,7.3,7.2,6.9,6.8,6.9,7.2,6.2,7.5,6.8,6.7,9.1,6.2,7.2,1,3,1.0,10.0,2.0,349.0,14.0,13.0,0.36,4.0,11.0,6.0,615.0,22.0,8.0,0.64
Fatih Karagümrük,Başakşehir FK,A,4-4-2,4-2-3-1,0,Ivo Grbić,Ricardo Esgaio,Muhammed Kadıoğlu,Jure Balkovec,Çağtay Kurukalıp,Serginho,Matías Kranevitter,Berkay Özcan,Baris Kalayci,Sam Larsson,David Datro Fofana,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Nuno Da Costa,7.4,6.4,6.4,6.5,6.6,6.7,6.7,6.5,6.7,6.0,8.2,7.5,8.9,7.5,6.7,7.0,7.0,6.8,6.0,8.0,6.6,6.3,1,2,2.0,11.0,1.0,355.0,13.0,17.0,0.38,5.0,12.0,5.0,582.0,11.0,8.0,0.62
Fatih Karagümrük,Alanyaspor,A,4-4-1-1,3-4-3,0,Ivo Grbić,Ricardo Esgaio,Atakan Çankaya,Jure Balkovec,Çağtay Kurukalıp,Tiago Çukur,Matías Kranevitter,Marius Tresor Doh,Serginho,Berkay Özcan,David Datro Fofana,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Fatih Aksoy,Nicolas Janvier,Ruan,Efecan Karaca,Güven Yalçın,Ui-Jo Hwang,7.3,5.6,6.7,7.3,6.2,6.5,6.9,7.2,6.5,6.7,6.0,8.1,7.2,7.1,6.9,6.8,6.6,7.2,7.8,6.4,7.3,7.1,0,2,0.0,9.0,3.0,547.0,11.0,19.0,0.56,1.0,11.0,2.0,422.0,10.0,16.0,0.44
Fatih Karagümrük,Kocaelispor,H,4-2-3-1,4-3-3,1,Ivo Grbić,Ricardo Esgaio,Atakan Çankaya,Jure Balkovec,Çağtay Kurukalıp,Matías Kranevitter,Marius Tresor Doh,Daniel Johnson,Berkay Özcan,Serginho,David Datro Fofana,Aleksandar Jovanović,Anfernee Dijksteel,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Show,Karol Linetty,Daniel Agyei,Serdar Dursun,Tayfur Bingöl,7.7,6.9,6.8,6.7,6.6,6.7,7.0,7.1,6.5,6.3,7.2,6.5,7.6,7.0,8.1,7.0,7.0,6.7,6.8,6.6,6.3,6.7,1,1,1.0,8.0,2.0,303.0,12.0,12.0,0.35,3.0,16.0,6.0,547.0,26.0,14.0,0.65
Fatih Karagümrük,Gençlerbirliği,A,4-3-1-2,4-4-2,0,Ivo Grbić,Atakan Çankaya,Muhammed Kadıoğlu,Enzo Roco,Ricardo Esgaio,Marius Tresor Doh,Matías Kranevitter,Daniel Johnson,Berkay Özcan,Serginho,David Datro Fofana,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Göktan Gürpüz,Tom Dele-Bashiru,Oğulcan Ülgün,Franco Tongya,Sekou Koita,M'Baye Niang,6.8,5.9,5.8,7.1,5.8,6.0,6.7,6.3,6.7,6.9,6.7,7.1,7.7,6.5,7.0,7.1,6.5,6.9,7.9,7.4,8.3,7.0,0,3,3.0,8.0,4.0,400.0,15.0,14.0,0.6,6.0,19.0,7.0,264.0,15.0,11.0,0.4
Fatih Karagümrük,Beşiktaş JK,H,4-2-3-1,4-2-3-1,0,Ivo Grbić,Atakan Çankaya,Enzo Roco,Jure Balkovec,Ricardo Esgaio,Marius Tresor Doh,Matías Kranevitter,João Camacho,Tiago Çukur,Serginho,David Datro Fofana,Ersin Destanoğlu,Gökhan Sazdağı,Gabriel Paulista,Emirhan Topçu,David Jurásek,Wilfred Ndidi,Orkun Kökçü,Cengiz Ünder,Václav Černý,Jota Silva,El Bilal Touré,9.6,6.7,6.6,7.1,5.8,6.3,6.4,6.1,6.5,6.3,6.9,6.9,7.3,7.9,7.0,7.3,7.3,7.5,7.5,6.5,7.8,7.5,0,2,0.0,7.0,2.0,277.0,8.0,11.0,0.38,4.0,27.0,9.0,455.0,19.0,10.0,0.62
Fatih Karagümrük,Eyüpspor,A,4-2-3-1,4-2-3-1,1,,,,,,,,,,,,,,,,,,,,,,,8.2,6.8,7.6,7.1,6.6,6.5,6.6,6.6,6.5,6.3,6.3,7.2,7.1,6.8,7.6,7.0,6.8,6.7,7.8,8.4,6.8,6.0,1,1,2.0,9.0,6.0,370.0,18.0,16.0,0.45,4.0,12.0,5.0,448.0,24.0,18.0,0.55
Fatih Karagümrük,Konyaspor,H,4-2-3-1,4-1-3-2,3,Ivo Grbić,Atakan Çankaya,Enzo Roco,Jure Balkovec,Çağtay Kurukalıp,Marius Tresor Doh,Matías Kranevitter,Serginho,Berkay Özcan,Sam Larsson,David Datro Fofana,Bahadır Han Güngördü,Yhoan Andzouana,Muzaffer Utku Eriş,Josip Ćalušić,Guilherme Haubert Sityá,Melih İbrahimoğlu,Enis Bardhi,Pedrinho,Alassane Ndao,Jackson Muleka,Umut Nayir,7.3,6.9,7.4,7.6,7.6,6.4,6.3,8.6,7.5,6.5,7.8,7.2,6.3,7.1,6.5,6.7,6.7,6.3,6.6,6.2,6.7,6.5,2,0,2.0,10.0,4.0,368.0,6.0,11.0,0.43,2.0,11.0,7.0,490.0,11.0,17.0,0.57
Fatih Karagümrük,Çaykur Rizespor,A,4-2-3-1,4-2-3-1,0,Ivo Grbić,Atakan Çankaya,Enzo Roco,Anıl Yiğit Çınar,Jure Balkovec,Matías Kranevitter,Marius Tresor Doh,Serginho,Berkay Özcan,Sam Larsson,David Datro Fofana,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Giannis Papanikolaou,Muhamed Buljubašić,Jesurun Rak-Sakyi,Qazim Laci,Loide Augusto,Václav Jurečka,7.2,6.5,6.8,6.0,6.7,6.8,6.7,6.6,6.6,6.4,6.3,6.9,7.5,7.8,7.6,7.1,6.6,6.5,6.5,6.9,6.4,6.6,0,1,0.0,14.0,4.0,327.0,11.0,14.0,0.38,2.0,13.0,4.0,533.0,10.0,13.0,0.62
