Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Kasımpaşa,Samsunspor,H,4-1-4-1,4-2-3-1,0,Andreas Gianniotis,Kamil Ahmet Çörekçi,Rodrigo Becão,Nicholas Opoku,Godfried Frimpong,Andri Baldursson,Fousseni Diabaté,Mortadha Ben Ouanes,İrfan Can Kahveci,Ali Yavuz Kol,Pape Habib Gueye,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Olivier Ntcham,Elayis Tavsan,Carlo Holse,Jaures Assoumou,Cherif Ndiaye,7.4,6.4,7.0,7.1,6.5,6.3,6.8,6.8,7.6,6.2,6.8,6.7,7.1,6.8,7.2,6.9,6.9,6.7,6.9,6.7,7.7,6.7,0,1,1,11,4,473,7,22,0.52,1,8,1,445,6,21,0.48
Kasımpaşa,Trabzonspor,A,4-1-4-1,4-2-3-1,0,Andreas Gianniotis,Cláudio Winck,Rodrigo Becão,Nicholas Opoku,Godfried Frimpong,Kerem Demirbay,Mamadou Fall,İrfan Can Kahveci,Mortadha Ben Ouanes,Fousseni Diabaté,Kubilay Kanatsızkuş,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,6.3,6.8,6.5,6.3,6.2,7.6,6.6,7.2,6.3,7.5,7.0,7.0,6.6,7.4,8.0,6.6,7.7,7.1,7.8,5.9,6.5,6.2,1,2,1,6,3,383,18,18,0.43,1,15,3,499,11,13,0.57
Kasımpaşa,Trabzonspor,A,4-1-4-1,4-2-3-1,0,Andreas Gianniotis,Cláudio Winck,Rodrigo Becão,Nicholas Opoku,Godfried Frimpong,Kerem Demirbay,Mamadou Fall,İrfan Can Kahveci,Mortadha Ben Ouanes,Fousseni Diabaté,Kubilay Kanatsızkuş,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,6.3,6.8,6.5,6.3,6.2,7.6,6.6,7.2,6.3,7.5,7.0,7.0,6.6,7.4,8.0,6.6,7.7,7.1,7.8,5.9,6.5,6.2,1,2,1,6,3,383,18,18,0.43,1,15,3,499,11,13,0.57
Kasımpaşa,Antalyaspor,H,4-2-3-1,4-2-3-1,1,Andreas Gianniotis,Cláudio Winck,Adem Arous,Nicholas Opoku,Godfried Frimpong,Andri Baldursson,Kerem Demirbay,İrfan Can Kahveci,Mortadha Ben Ouanes,Fousseni Diabaté,Kubilay Kanatsızkuş,Julián Cuesta,Bünyamin Balcı,Veysel Sarı,Hüseyin Türkmen,Kenneth Paal,Jesper Ceesay,Soner Dikmen,Abdülkadir Ömür,Dario Šarić,Nikola Storm,Sander van de Streek,7.1,6.8,7.1,7.2,7.2,6.7,7.4,6.9,6.5,6.6,6.3,7.8,7.5,7.7,7.1,6.9,6.9,6.8,6.6,6.3,6.8,6.2,0,0,3,11,10,426,14,11,0.59,1,6,4,303,12,18,0.41
Kasımpaşa,Galatasaray,A,4-1-4-1,4-2-3-1,0,Andreas Gianniotis,Cláudio Winck,Nicholas Opoku,Attila Szalai,Godfried Frimpong,Jhon Espinoza,Mamadou Fall,Cem Üstündag,Atakan Mujde,Fousseni Diabaté,Pape Habib Gueye,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Kazımcan Karataş,Lucas Torreira,İlkay Gündoğan,Leroy Sané,Yunus Akgün,Barış Alper Yılmaz,Mauro Icardi,6.2,6.6,6.4,5.8,5.8,5.5,6.5,6.6,7.1,6.0,6.4,6.7,6.7,7.8,7.9,6.2,7.5,7.3,7.4,9.7,7.8,7.3,0,3,0,1,1,227,18,11,0.29,2,27,10,550,17,13,0.71
Kasımpaşa,Gençlerbirliği,H,4-2-3-1,4-1-4-1,1,Andreas Gianniotis,Jhon Espinoza,Nicholas Opoku,Adem Arous,Godfried Frimpong,Cem Üstündag,Andri Baldursson,Mortadha Ben Ouanes,Fousseni Diabaté,Yusuf Barası,Pape Habib Gueye,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Sekou Koita,Göktan Gürpüz,Franco Tongya,Metehan Mimaroğlu,M'Baye Niang,7.0,7.2,7.1,7.1,7.2,7.4,7.0,6.8,7.4,7.9,6.3,7.8,7.0,7.4,7.0,7.4,7.1,6.8,6.6,6.5,6.8,6.1,0,0,2,10,3,393,21,16,0.49,1,6,2,412,12,12,0.51
Kasımpaşa,Kocaelispor,A,4-2-3-1,4-2-3-1,1,Andreas Gianniotis,Jhon Espinoza,Nicholas Opoku,Adem Arous,Godfried Frimpong,Andri Baldursson,Cem Üstündag,Mamadou Fall,Fousseni Diabaté,Yusuf Barası,Pape Habib Gueye,Aleksandar Jovanović,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Show,Karol Linetty,Darko Churlinov,Joseph Nonge,Tayfur Bingöl,Serdar Dursun,8.6,6.7,7.1,7.0,6.8,7.1,6.7,6.4,6.5,6.7,6.9,6.6,7.1,7.5,7.1,7.6,7.3,6.6,6.7,6.3,7.1,6.7,0,0,0,4,3,223,10,10,0.33,2,9,5,456,12,19,0.67
Kasımpaşa,Başakşehir FK,H,5-4-1,4-2-3-1,0,Andreas Gianniotis,Cláudio Winck,Nicholas Opoku,Attila Szalai,Adem Arous,Godfried Frimpong,Mamadou Fall,Andri Baldursson,Cafú,Mortadha Ben Ouanes,Pape Habib Gueye,Muhammed Şengezer,Onur Bulut,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,4.9,5.7,5.6,6.9,7.9,6.3,6.5,6.7,6.7,6.9,6.1,6.6,6.8,7.3,7.8,7.5,7.4,7.1,7.3,7.4,7.8,5.6,1,3,2,16,12,347,13,17,0.51,3,11,3,366,15,13,0.49
Kasımpaşa,Alanyaspor,A,5-3-2,4-2-3-1,3,,,,,,,,,,,,,,,,,,,,,,,6.0,6.6,6.7,7.0,6.3,7.2,6.8,6.8,6.7,6.7,8.5,6.2,7.1,6.9,6.8,7.1,7.5,6.8,7.2,6.5,6.8,7.2,2,1,1,8,1,273,20,9,0.32,2,17,13,589,16,16,0.68
Kasımpaşa,Göztepe,H,5-3-2,3-4-1-2,0,Andreas Gianniotis,Cláudio Winck,Adem Arous,Nicholas Opoku,Attila Szalai,Godfried Frimpong,Mortadha Ben Ouanes,Andri Baldursson,Cafú,Kubilay Kanatsızkuş,Pape Habib Gueye,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Efkan Bekiroğlu,Janderson,Juan Santos da Silva,6.3,6.4,7.1,7.1,6.5,6.2,7.4,6.7,6.9,6.8,5.8,7.0,7.2,6.6,7.3,8.0,6.7,6.9,6.5,6.2,6.7,9.2,0,2,0,12,5,426,14,24,0.68,3,15,2,201,18,7,0.32
