Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Kayserispor,Antalyaspor,H,4-1-4-1,4-1-4-1,3.0,Bilal Bayazit,Joshua Brenet,Semih Güler,Stefano Denswil,Lionel Carole,Dorukhan Toköz,João Mendes,Furkan Soyalp,László Bénes,Miguel Cardoso,German Onugkha,Julián Cuesta,Hüseyin Türkmen,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Jesper Ceesay,Doğukan Sinik,Soner Dikmen,Dario Šarić,Nikola Storm,Sander van de Streek,7.6,6.9,7.5,7.4,6.6,6.6,6.7,6.8,6.3,7.5,6.4,6.9,6.8,6.4,7.1,6.0,6.7,6.9,6.4,7.0,7.4,6.2,1.0,0.0,3.0,15.0,5.0,342.0,13.0,9.0,0.53,2.0,11.0,5.0,294.0,8.0,12.0,0.47
Kayserispor,Göztepe,A,3-4-2-1,3-4-1-2,1.0,Bilal Bayazit,Dorukhan Toköz,Semih Güler,Stefano Denswil,Joshua Brenet,Furkan Soyalp,László Bénes,Lionel Carole,Miguel Cardoso,Ramazan Civelek,German Onugkha,Mateusz Lis,Allan,Héliton,Malcom Bokele,Ogün Bayrak,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Filip Krastev,Janderson,Guilherme Luiz,7.1,7.8,7.1,7.0,6.9,7.2,6.6,7.2,6.7,6.6,6.6,8.7,7.2,6.8,7.0,6.9,6.9,7.3,7.0,6.7,6.6,6.3,0.0,0.0,2.0,10.0,3.0,313.0,22.0,14.0,0.45,1.0,17.0,6.0,373.0,19.0,9.0,0.55
Kayserispor,Göztepe,A,3-4-2-1,3-4-1-2,1.0,Bilal Bayazit,Dorukhan Toköz,Semih Güler,Stefano Denswil,Joshua Brenet,Furkan Soyalp,László Bénes,Lionel Carole,Miguel Cardoso,Ramazan Civelek,German Onugkha,Mateusz Lis,Allan,Héliton,Malcom Bokele,Ogün Bayrak,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Filip Krastev,Janderson,Guilherme Luiz,7.1,7.8,7.1,7.0,6.9,7.2,6.6,7.2,6.7,6.6,6.6,8.7,7.2,6.8,7.0,6.9,6.9,7.3,7.0,6.7,6.6,6.3,0.0,0.0,2.0,10.0,3.0,313.0,22.0,14.0,0.45,1.0,17.0,6.0,373.0,19.0,9.0,0.55
Kayserispor,Kocaelispor,H,4-1-4-1,4-2-3-1,0.0,Deniz Eren Dönmezer,Dorukhan Toköz,Semih Güler,Stefano Denswil,Lionel Carole,Youssef Aït Bennasser,Miguel Cardoso,Görkem Sağlam,László Bénes,João Mendes,Fedor Chalov,Gökhan Değirmenci,Anfernee Dijksteel,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Show,Can Keleş,Tayfur Bingöl,Rigoberto Rivas,Bruno Petković,6.3,6.8,7.0,6.4,6.7,6.7,7.0,7.1,6.7,7.1,6.0,7.5,6.7,7.6,7.2,6.7,6.2,7.0,6.5,6.4,6.6,6.5,1.0,2.0,2.0,20.0,8.0,420.0,15.0,14.0,0.57,2.0,10.0,2.0,340.0,12.0,17.0,0.43
Kayserispor,Galatasaray,A,4-1-4-1,4-2-3-1,0.0,Bilal Bayazit,Aaron Opoku,Semih Güler,Stefano Denswil,Lionel Carole,Youssef Aït Bennasser,Ramazan Civelek,Furkan Soyalp,László Bénes,Miguel Cardoso,German Onugkha,Uğurcan Çakır,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Mario Lemina,Lucas Torreira,Yunus Akgün,Gabriel Sara,Noa Lang,Victor Osimhen,7.0,5.3,5.9,5.5,5.5,6.9,6.2,6.6,6.6,6.5,6.4,7.5,7.8,7.4,7.2,7.3,6.8,7.1,6.4,8.7,7.7,7.7,0.0,4.0,1.0,9.0,4.0,321.0,10.0,13.0,0.33,3.0,23.0,6.0,652.0,12.0,9.0,0.67
Kayserispor,Başakşehir FK,H,4-2-3-1,4-2-3-1,0.0,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Lionel Carole,Furkan Soyalp,László Bénes,Ramazan Civelek,João Mendes,Miguel Cardoso,German Onugkha,Muhammed Şengezer,Ömer Ali Şahiner,Léo Duarte,Jerome Opoku,Christopher Operi,Olivier Kemen,Umut Güneş,Abbosbek Fayzullaev,Eldor Shomurodov,Amine Harit,Davie Selke,7.0,5.8,6.3,5.4,6.4,6.8,6.4,6.2,6.9,6.5,6.5,7.5,6.9,6.9,7.2,7.2,6.6,7.0,6.4,7.3,7.6,6.9,0.0,3.0,0.0,7.0,10.0,331.0,10.0,18.0,0.45,5.0,13.0,4.0,417.0,6.0,7.0,0.55
Kayserispor,Beşiktaş JK,A,4-2-3-1,4-2-3-1,0.0,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Ramazan Civelek,Furkan Soyalp,László Bénes,Carlos Mané,João Mendes,Miguel Cardoso,German Onugkha,Ersin Destanoğlu,Gökhan Sazdağı,Felix Uduokhai,Emirhan Topçu,Rıdvan Yılmaz,Kartal Kayra Yılmaz,Orkun Kökçü,Václav Černý,Milot Rashica,El Bilal Touré,Tammy Abraham,6.6,6.5,7.8,6.9,7.6,7.4,7.2,6.7,7.0,6.9,6.2,7.5,7.9,7.6,8.2,7.6,7.7,8.4,6.7,6.4,7.3,6.1,0.0,1.0,1.0,9.0,2.0,290.0,16.0,12.0,0.31,1.0,31.0,9.0,637.0,16.0,15.0,0.69
Kayserispor,Konyaspor,A,4-2-3-1,4-1-4-1,1.0,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Ramazan Civelek,Furkan Soyalp,László Bénes,Carlos Mané,João Mendes,Miguel Cardoso,German Onugkha,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Yasir Subaşı,Guilherme Haubert Sityá,Jo Jin-ho,Jackson Muleka,Morten Bjørlo,Enis Bardhi,Pedrinho,Umut Nayir,6.7,7.1,7.4,6.7,6.2,6.7,7.0,6.3,6.8,7.0,8.0,6.9,7.1,7.1,6.8,7.0,6.9,6.3,7.1,7.1,6.8,7.7,1.0,1.0,3.0,13.0,2.0,367.0,17.0,13.0,0.43,1.0,16.0,3.0,507.0,11.0,11.0,0.57
Kayserispor,Alanyaspor,H,4-2-3-1,3-4-2-1,1.0,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Ramazan Civelek,Dorukhan Toköz,László Bénes,Carlos Mané,Indrit Tuci,Miguel Cardoso,German Onugkha,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Fatih Aksoy,Ruan,Ianis Hagi,Ui-Jo Hwang,Uchenna Ogundu,9.2,6.9,6.8,7.3,6.7,7.0,6.5,6.9,7.2,7.2,6.6,8.0,7.3,7.7,7.2,7.4,6.3,6.5,7.0,6.6,6.6,6.2,0.0,0.0,2.0,10.0,3.0,323.0,15.0,12.0,0.42,5.0,14.0,8.0,440.0,13.0,9.0,0.58
Kayserispor,Çaykur Rizespor,A,4-2-3-1,4-2-3-1,3.0,Bilal Bayazit,Ramazan Civelek,Youssef Aït Bennasser,Stefano Denswil,Lionel Carole,Furkan Soyalp,László Bénes,Carlos Mané,João Mendes,Miguel Cardoso,German Onugkha,Yahia Fofana,Taha Şahin,Attila Mocsi,Modibo Sagnan,Casper Højer,Taylan Antalyalı,Giannis Papanikolaou,Jesurun Rak-Sakyi,Václav Jurečka,Emrecan Bulut,Ali Sowe,8.5,6.9,7.5,7.3,7.5,7.1,8.4,6.6,7.8,6.7,6.5,7.6,7.0,6.8,6.6,7.1,6.4,6.9,6.5,6.9,6.7,6.1,1.0,0.0,1.0,10.0,5.0,364.0,17.0,16.0,0.41,0.0,16.0,5.0,519.0,12.0,15.0,0.59
