Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Kocaelispor,Gaziantep FK,H,4-3-3,3-5-2,3,Gökhan Değirmenci,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Show,Karol Linetty,Daniel Agyei,Bruno Petković,Tayfur Bingöl,Zafer Görgen,Nazım Sangaré,Tayyip Talha Sanuç,Arda Kızıldağ,Deian Sorescu,Kacper Kozłowski,Ogün Özçiçek,Alexandru Maxim,Christophe Lungoyi,Mohamed Bayo,Denis Drăguş,7.2,6.7,7.1,7.4,7.1,6.6,7.0,6.7,8.2,6.0,6.7,6.0,6.1,6.6,5.7,6.9,6.2,6.6,7.0,7.0,6.4,6.3,3,0,4,14,4,407,15,17,0.6,1,7,2,269,13,25,0.4
Kocaelispor,Kayserispor,A,4-2-3-1,4-1-4-1,3,Gökhan Değirmenci,Anfernee Dijksteel,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Show,Can Keleş,Tayfur Bingöl,Rigoberto Rivas,Bruno Petković,Deniz Eren Dönmezer,Dorukhan Toköz,Semih Güler,Stefano Denswil,Lionel Carole,Youssef Aït Bennasser,Miguel Cardoso,Görkem Sağlam,László Bénes,João Mendes,Fedor Chalov,7.5,6.7,7.6,7.2,6.7,6.2,7.0,6.5,6.4,6.6,6.5,6.3,6.8,7.0,6.4,6.7,6.7,7.0,7.1,6.7,7.1,6.0,2,1,2,10,2,340,12,17,0.43,2,20,8,420,15,14,0.57
Kocaelispor,Fenerbahçe,H,4-3-3,4-2-3-1,0,Gökhan Değirmenci,Ahmet Oğuz,Anfernee Dijksteel,Botond Balogh,Massadio Haïdara,Habib Keita,Show,Karol Linetty,Can Keleş,Bruno Petković,Rigoberto Rivas,Ederson,Nélson Semedo,Milan Škriniar,Jayden Oosterwolde,Mert Müldür,Edson Álvarez,Mattéo Guendouzi,Marco Asensio,Anderson Talisca,Anthony Musaba,Youssef En-Nesyri,6.6,6.7,6.5,5.6,6.5,6.9,7.3,6.8,6.7,6.3,6.3,7.5,7.4,7.0,7.5,7.4,6.5,6.8,7.7,6.6,6.3,6.5,0,2,0,12,8,469,15,14,0.59,2,9,3,333,15,17,0.41
Kocaelispor,Samsunspor,A,4-1-4-1,4-2-3-1,1,Gökhan Değirmenci,Ahmet Oğuz,Botond Balogh,Anfernee Dijksteel,Massadio Haïdara,Show,Daniel Agyei,Habib Keita,Karol Linetty,Tayfur Bingöl,Bruno Petković,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Soner Gönül,Antoine Makoumbou,Celil Yüksel,Elayis Tavsan,Yalçın Kayan,Jaures Assoumou,Marius Mouandilmadji,7.5,7.1,7.7,7.2,7.0,6.8,6.5,6.6,6.5,6.2,7.0,6.9,6.9,7.1,7.0,7.4,7.6,6.4,6.5,6.9,6.7,6.4,0,0,1,7,1,321,15,13,0.37,0,16,9,530,18,14,0.63
Kocaelispor,Trabzonspor,H,4-2-3-1,4-2-3-1,0,Aleksandar Jovanović,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Tayfur Bingöl,Karol Linetty,Daniel Agyei,Darko Churlinov,Rigoberto Rivas,Bruno Petković,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Tim Jabol-Folcarelli,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Felipe Augusto,6.9,6.6,6.4,6.9,6.2,6.3,6.0,6.1,6.3,6.2,8.4,6.5,6.8,7.7,7.4,7.2,7.2,6.9,7.0,7.6,6.6,7.1,1,2,1,17,4,350,19,14,0.44,2,10,3,465,30,16,0.56
Kocaelispor,Antalyaspor,H,4-2-3-1,4-3-3,3,Aleksandar Jovanović,Ahmet Oğuz,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Karol Linetty,Daniel Agyei,Tayfur Bingöl,Darko Churlinov,Bruno Petković,Abdullah Yiğiter,Bünyamin Balcı,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Dario Šarić,Soner Dikmen,Ramzi Safuri,Samuel Ballet,Yohan Boli,Sander van de Streek,6.5,7.6,6.3,8.0,6.6,6.6,7.2,6.5,7.1,6.4,6.5,5.0,6.7,6.2,7.8,6.7,7.3,6.7,6.9,6.3,6.4,6.3,2,1,2,7,4,353,20,19,0.46,1,6,2,413,28,22,0.54
Kocaelispor,Fatih Karagümrük,A,4-3-3,4-2-3-1,1,Aleksandar Jovanović,Anfernee Dijksteel,Botond Balogh,Hrvoje Smolčić,Massadio Haïdara,Habib Keita,Show,Karol Linetty,Daniel Agyei,Serdar Dursun,Tayfur Bingöl,Ivo Grbić,Ricardo Esgaio,Atakan Çankaya,Jure Balkovec,Çağtay Kurukalıp,Matías Kranevitter,Marius Tresor Doh,Daniel Johnson,Berkay Özcan,Serginho,David Datro Fofana,6.5,7.6,7.0,8.1,7.0,7.0,6.7,6.8,6.6,6.3,6.7,7.7,6.9,6.8,6.7,6.6,6.7,7.0,7.1,6.5,6.3,7.2,1,1,3,16,6,547,26,14,0.65,1,8,2,303,12,12,0.35
Kocaelispor,Kasımpaşa,H,4-2-3-1,4-2-3-1,1,Aleksandar Jovanović,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Show,Karol Linetty,Darko Churlinov,Joseph Nonge,Tayfur Bingöl,Serdar Dursun,Andreas Gianniotis,Jhon Espinoza,Nicholas Opoku,Adem Arous,Godfried Frimpong,Andri Baldursson,Cem Üstündag,Mamadou Fall,Fousseni Diabaté,Yusuf Barası,Pape Habib Gueye,6.6,7.1,7.5,7.1,7.6,7.3,6.6,6.7,6.3,7.1,6.7,8.6,6.7,7.1,7.0,6.8,7.1,6.7,6.4,6.5,6.7,6.9,0,0,2,9,5,456,12,19,0.67,0,4,3,223,10,10,0.33
Kocaelispor,Gençlerbirliği,H,4-2-3-1,4-2-3-1,3,Aleksandar Jovanović,Ahmet Oğuz,Anfernee Dijksteel,Hrvoje Smolčić,Massadio Haïdara,Show,Karol Linetty,Daniel Agyei,Tayfur Bingöl,Darko Churlinov,Serdar Dursun,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Matěj Hanousek,Tom Dele-Bashiru,Samed Onur,Dilhan Demir,M'Baye Niang,Franco Tongya,Metehan Mimaroğlu,6.4,8.1,7.4,7.4,7.0,7.2,7.2,6.9,6.1,6.7,7.1,7.5,7.4,6.9,7.1,7.2,6.9,7.0,6.3,6.3,6.1,6.6,1,0,2,15,6,479,10,15,0.53,0,5,1,435,15,16,0.47
Kocaelispor,Göztepe,A,4-2-3-1,3-4-1-2,1,,,,,,,,,,,,,,,,,,,,,,,6.6,7.1,7.0,7.1,7.7,6.6,6.8,6.3,6.8,6.4,7.1,7.1,7.6,7.3,6.6,7.4,7.3,6.6,6.7,6.9,6.2,6.0,0,0,0,10,6,362,18,16,0.58,0,8,4,260,19,7,0.42
