Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Konyaspor,Alanyaspor,A,3-4-2-1,3-4-2-1,0,Bahadır Han Güngördü,Adamo Nagalo,Adil Demirbağ,Guilherme Haubert Sityá,Yhoan Andzouana,Melih İbrahimoğlu,Berkan Kutlu,Kazeem Olaigbe,Deniz Türüç,Jackson Muleka,Blaž Kramer,Paulo Victor,Fatih Aksoy,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Ruan,Ianis Hagi,Ui-Jo Hwang,Güven Yalçın,6.5,8.3,6.3,6.3,6.5,6.4,6.7,6.3,6.8,6.1,5.9,6.2,7.2,7.1,6.9,7.8,7.5,6.8,8.3,7.0,6.4,6.2,1,2,1.0,9,3,550,8,10,0.59,2.0,19,4,375,14,16,0.41
Konyaspor,Göztepe,H,3-5-2,3-4-1-2,1,Bahadır Han Güngördü,Uğurcan Yazğılı,Adil Demirbağ,Guilherme Haubert Sityá,Yhoan Andzouana,Melih İbrahimoğlu,Berkan Kutlu,Enis Bardhi,Kazeem Olaigbe,Blaž Kramer,Jackson Muleka,Mateusz Lis,Allan,Héliton,Malcom Bokele,Ogün Bayrak,Novatus Miroshi,Anthony Junior Dennis,Amine Cherni,Filip Krastev,Janderson,Juan Santos da Silva,7.5,7.2,7.7,7.6,7.4,7.6,6.6,6.6,7.0,5.8,7.0,7.8,6.9,8.0,6.9,6.5,6.6,6.2,6.6,7.0,6.4,5.9,0,0,2.0,11,4,428,20,15,0.64,1.0,7,3,249,11,9,0.36
Konyaspor,Beşiktaş JK,A,4-2-3-1,4-1-4-1,0,Bahadır Han Güngördü,Uğurcan Yazğılı,Riechedly Bazoer,Adil Demirbağ,Guilherme Haubert Sityá,Morten Bjørlo,Berkan Kutlu,Deniz Türüç,Jackson Muleka,Enis Bardhi,Blaž Kramer,Ersin Destanoğlu,Gökhan Sazdağı,Tiago Djaló,Emirhan Topçu,Rıdvan Yılmaz,Salih Uçan,Cengiz Ünder,Václav Černý,Orkun Kökçü,El Bilal Touré,Mustafa Hekimoğlu,8.3,6.1,5.9,6.1,6.5,6.4,6.6,7.1,7.2,6.2,6.6,6.5,6.9,6.8,7.4,6.5,6.6,5.9,7.2,8.9,6.9,7.3,1,2,2.0,9,2,300,10,16,0.4,2.0,22,8,438,16,22,0.6
Konyaspor,Gaziantep FK,A,4-2-3-1,3-5-2,1,Bahadır Han Güngördü,Jo Jin-ho,Uğurcan Yazğılı,Adil Demirbağ,Arif Boşluk,Morten Bjørlo,Berkan Kutlu,Deniz Türüç,Sander Svendsen,Jackson Muleka,Umut Nayir,Zafer Görgen,Nazım Sangaré,Arda Kızıldağ,Nihad Mujakić,Deian Sorescu,Alexandru Maxim,Ogün Özçiçek,Drissa Camara,Yusuf Kabadayi,Denis Drăguş,Mohamed Bayo,6.6,6.5,7.1,6.7,6.4,6.7,7.2,7.8,6.4,6.7,7.0,7.5,6.9,6.7,6.5,7.6,7.5,6.7,6.8,6.1,6.1,6.3,1,1,2.0,11,4,412,20,16,0.58,1.0,15,10,283,15,15,0.42
Konyaspor,Eyüpspor,H,4-2-3-1,4-4-2,1,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Adil Demirbağ,Guilherme Haubert Sityá,Marko Jevtović,Morten Bjørlo,Deniz Türüç,Sander Svendsen,Jackson Muleka,Umut Nayir,Jankat Yılmaz,Talha Ülvan,Jérôme Onguene,Emir Ortakaya,Arda Yavuz,Metehan Altunbaş,Taşkın Ilter,Baran Ali Gezek,Lenny Pintor,Mateusz Łęgowski,Umut Bozok,7.2,6.5,7.2,7.5,6.1,7.0,6.2,8.3,6.5,8.1,6.7,6.6,8.1,6.3,6.9,7.1,7.3,6.2,7.1,6.6,7.2,6.3,1,1,4.0,18,5,562,14,14,0.7,3.0,10,2,251,20,7,0.3
Konyaspor,Kayserispor,H,4-1-4-1,4-2-3-1,1,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Yasir Subaşı,Guilherme Haubert Sityá,Jo Jin-ho,Jackson Muleka,Morten Bjørlo,Enis Bardhi,Pedrinho,Umut Nayir,Bilal Bayazit,Aaron Opoku,Youssef Aït Bennasser,Stefano Denswil,Ramazan Civelek,Furkan Soyalp,László Bénes,Carlos Mané,João Mendes,Miguel Cardoso,German Onugkha,6.9,7.1,7.1,6.8,7.0,6.9,6.3,7.1,7.1,6.8,7.7,6.7,7.1,7.4,6.7,6.2,6.7,7.0,6.3,6.8,7.0,8.0,1,1,1.0,16,3,507,11,11,0.57,3.0,13,2,367,17,13,0.43
Konyaspor,Fenerbahçe,A,4-1-4-1,4-2-3-1,0,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Josip Ćalušić,Guilherme Haubert Sityá,Jo Jin-ho,Jackson Muleka,Melih İbrahimoğlu,Morten Bjorlo,Enis Bardhi,Umut Nayir,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Archie Brown,Edson Álvarez,Fred,Marco Asensio,Anderson Talisca,Kerem Aktürkoğlu,Jhon Durán,6.1,6.0,6.1,5.5,6.2,6.0,6.3,6.4,6.7,6.4,6.5,8.3,8.0,7.7,7.1,7.1,7.2,7.0,9.3,8.8,7.2,6.8,0,4,0.0,17,4,405,17,15,0.47,4.0,17,4,462,24,8,0.53
Konyaspor,Çaykur Rizespor,H,4-1-4-1,3-2-4-1,1,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Yasir Subaşı,Guilherme Haubert Sityá,Jo Jin-ho,Enis Bardhi,Melih İbrahimoğlu,Morten Bjorlo,Pedrinho,Umut Nayir,Yahia Fofana,Husniddin Alikulov,Samet Akaydın,Casper Højer,Qazim Laci,Giannis Papanikolaou,Jesurun Rak-Sakyi,Ibrahim Olawoyin,Taha Şahin,Loide Augusto,Ali Sowe,6.5,6.4,6.5,6.8,6.7,6.5,6.4,6.7,6.6,7.2,7.9,6.7,5.8,7.4,6.6,7.1,6.8,6.4,6.9,6.3,6.8,6.9,1,1,1.0,11,4,427,10,11,0.48,3.0,11,2,465,15,7,0.52
Konyaspor,Trabzonspor,A,4-1-4-1,4-2-3-1,0,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Muzaffer Utku Eriş,Guilherme Haubert Sityá,Jo Jin-ho,Jackson Muleka,Melih İbrahimoğlu,Morten Bjorlo,Enis Bardhi,Umut Nayir,André Onana,Wagner Pina,Okay Yokuşlu,Arseniy Batagov,Mustafa Eskihellaç,Christ Inao Oulaï,Benjamin Bouchouari,Oleksandr Zubkov,Ernest Muçi,Kazeem Olaigbe,Paul Onuachu,5.7,6.8,6.8,5.9,5.8,7.1,6.3,6.3,6.5,6.0,8.2,6.7,7.4,7.4,7.1,6.7,6.6,6.6,7.8,7.8,6.8,8.5,1,3,4.0,16,3,399,26,15,0.47,4.0,19,3,446,14,12,0.53
Konyaspor,Antalyaspor,H,4-1-4-1,4-2-3-1,1,,,,,,,,,,,,,,,,,,,,,,,6.6,7.2,7.5,7.3,6.8,6.8,6.8,6.8,7.5,7.1,6.2,7.4,6.9,8.0,7.1,7.3,6.8,6.9,6.6,6.2,6.8,6.4,0,0,1.0,12,10,444,18,8,0.59,1.0,4,2,319,12,15,0.41
