Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Samsunspor,Eyüpspor,A,4-3-3,4-4-1-1,3,Okan Kocuk,Josafat Mendes,Yunus Emre Çift,Rick Van Drongelen,Logi Tomasson,Yalçın Kayan,Antoine Makoumbou,Olivier Ntcham,Emre Kilinc,Marius Mouandilmadji,Cherif Ndiaye,Marcos Felipe,Talha Ülvan,Luccas Claro,Seyfettin Anıl Yaşar,Umut Meraş,Calegari,Mateusz Łęgowski,Baran Ali Gezek,Denis Radu,Charles-Andre Raux Yao,Metehan Altunbaş,6.4,7.1,8.1,6.5,6.8,6.6,7.4,7.0,6.3,7.2,6.4,6.5,6.5,6.8,7.1,6.5,7.2,6.9,6.6,5.5,7.3,6.6,2,1,1,13,7,605,12,11,0.7,1,9,2,265,13,13,0.3
Samsunspor,Fenerbahçe,A,4-3-3,3-4-1-2,0,Okan Kocuk,Yunus Emre Çift,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Celil Yüksel,Antoine Makoumbou,Olivier Ntcham,Josafat Mendes,Marius Mouandilmadji,Carlo Holse,Ederson,Mert Müldür,Jayden Oosterwolde,Levent Mercan,Anthony Musaba,Mattéo Guendouzi,N'Golo Kanté,Archie Brown,Marco Asensio,Sidiki Cherif,Kerem Aktürkoğlu,7.4,6.2,6.3,6.6,6.2,6.8,6.5,6.9,6.5,8.6,7.1,7.7,6.2,6.2,6.3,7.0,8.5,7.4,7.0,7.2,6.8,7.1,2,3,2,12,6,356,29,11,0.45,2,14,7,440,13,25,0.55
Samsunspor,Fatih Karagümrük,A,4-2-3-1,4-2-3-1,1,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Celil Yüksel,Josafat Mendes,Carlo Holse,Jaures Assoumou,Cherif Ndiaye,Ivo Grbić,Ricardo Esgaio,Davide Biraschi,Igor Lichnovsky,Filip Mladenović,Matías Kranevitter,Bartuğ Elmaz,Daniele Verde,Berkay Özcan,Shavy Warren Babicka,Sam Larsson,7.5,7.0,7.4,7.3,7.6,7.1,6.5,6.5,6.5,6.4,6.6,6.7,7.2,6.7,6.9,7.2,6.6,7.1,7.2,6.7,7.0,6.4,0,0,1,7,1,685,12,14,0.65,2,12,5,356,12,15,0.35
Samsunspor,Antalyaspor,A,4-2-3-1,4-1-4-1,0,İrfan Can Eğribayat,Josafat Mendes,Ľubomír Šatka,Rick Van Drongelen,Soner Gönül,Celil Yüksel,Olivier Ntcham,Carlo Holse,Yalçın Kayan,Cherif Ndiaye,Marius Mouandilmadji,Julián Cuesta,Hüseyin Türkmen,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Jesper Ceesay,Samuel Ballet,Soner Dikmen,Ramzi Safuri,Doğukan Sinik,Sander van de Streek,5.8,6.2,6.1,6.8,6.4,6.6,7.2,6.2,6.7,6.9,6.4,6.9,6.9,6.3,7.0,6.5,7.0,8.3,6.5,7.2,6.5,6.8,1,3,3,13,10,451,16,16,0.65,1,13,4,244,17,10,0.35
Samsunspor,Antalyaspor,A,4-2-3-1,4-1-4-1,0,İrfan Can Eğribayat,Josafat Mendes,Ľubomír Šatka,Rick Van Drongelen,Soner Gönül,Celil Yüksel,Olivier Ntcham,Carlo Holse,Yalçın Kayan,Cherif Ndiaye,Marius Mouandilmadji,Julián Cuesta,Hüseyin Türkmen,Veysel Sarı,Lautaro Giannetti,Kenneth Paal,Jesper Ceesay,Samuel Ballet,Soner Dikmen,Ramzi Safuri,Doğukan Sinik,Sander van de Streek,5.8,6.2,6.1,6.8,6.4,6.6,7.2,6.2,6.7,6.9,6.4,6.9,6.9,6.3,7.0,6.5,7.0,8.3,6.5,7.2,6.5,6.8,1,3,3,13,10,451,16,16,0.65,1,13,4,244,17,10,0.35
Samsunspor,Trabzonspor,H,4-1-4-1,4-2-3-1,0,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Carlo Holse,Celil Yüksel,Olivier Ntcham,Jaures Assoumou,Cherif Ndiaye,André Onana,Wagner Pina,Chibuike Nwaiwu,Arseniy Batagov,Mathias Løvik,Christ Inao Oulaï,Tim Jabol-Folcarelli,Felipe Augusto,Ernest Muçi,Mustafa Eskihellaç,Paul Onuachu,7.5,5.8,6.9,6.4,6.5,6.9,6.7,6.4,6.7,6.2,6.4,7.2,7.3,7.2,8.2,6.7,7.5,6.7,6.7,7.9,7.7,8.5,0,3,0,11,8,451,22,12,0.53,3,17,1,419,20,13,0.47
Samsunspor,Kasımpaşa,A,4-2-3-1,4-1-4-1,3,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Olivier Ntcham,Elayis Tavsan,Carlo Holse,Jaures Assoumou,Cherif Ndiaye,Andreas Gianniotis,Kamil Ahmet Çörekçi,Rodrigo Becão,Nicholas Opoku,Godfried Frimpong,Andri Baldursson,Fousseni Diabaté,Mortadha Ben Ouanes,İrfan Can Kahveci,Ali Yavuz Kol,Pape Habib Gueye,6.7,7.1,6.8,7.2,6.9,6.9,6.7,6.9,6.7,7.7,6.7,7.4,6.4,7.0,7.1,6.5,6.3,6.8,6.8,7.6,6.2,6.8,1,0,1,8,1,445,6,21,0.48,1,11,4,473,7,22,0.52
Samsunspor,Kocaelispor,H,4-2-3-1,4-1-4-1,1,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Soner Gönül,Antoine Makoumbou,Celil Yüksel,Elayis Tavsan,Yalçın Kayan,Jaures Assoumou,Marius Mouandilmadji,Gökhan Değirmenci,Ahmet Oğuz,Botond Balogh,Anfernee Dijksteel,Massadio Haïdara,Show,Daniel Agyei,Habib Keita,Karol Linetty,Tayfur Bingöl,Bruno Petković,6.9,6.9,7.1,7.0,7.4,7.6,6.4,6.5,6.9,6.7,6.4,7.5,7.1,7.7,7.2,7.0,6.8,6.5,6.6,6.5,6.2,7.0,0,0,0,16,9,530,18,14,0.63,1,7,1,321,15,13,0.37
Samsunspor,Gençlerbirliği,A,4-2-3-1,4-1-4-1,1,Okan Kocuk,Zeki Yavru,Ľubomír Šatka,Ali Diabaté,Soner Gönül,Yunus Emre Çift,Celil Yüksel,Josafat Mendes,Yalçın Kayan,Tahsin Bülbül ,Marius Mouandilmadji,Ricardo Velho,Pedro Pereira,Dimitris Goutas,Žan Žužek,Thalisson Kelven,Tom Dele-Bashiru,Göktan Gürpüz,Oğulcan Ülgün,Franco Tongya,Metehan Mimaroğlu,Sekou Koita,6.3,7.6,6.6,7.4,7.0,6.5,6.5,6.5,6.7,6.4,7.2,6.6,6.6,6.5,7.7,6.7,7.1,6.8,6.8,6.7,6.2,7.4,1,1,2,18,6,376,12,9,0.48,3,7,4,417,16,14,0.52
Samsunspor,Fenerbahçe,A,3-4-1-2,4-2-3-1,0,Okan Kocuk,Yunus Emre Çift,Ľubomír Šatka,Toni Borevković,Zeki Yavru,Antoine Makoumbou,Celil Yüksel,Logi Tomasson,Carlo Holse,Ebrima Ceesay,Marius Mouandilmadji,Ederson,Mert Müldür,Milan Škriniar,Jayden Oosterwolde,Levent Mercan,Bartuğ Elmaz,İsmail Yüksek,Anthony Musaba,Marco Asensio,Kerem Aktürkoğlu,Jhon Durán,5.9,7.2,6.3,6.7,6.5,6.2,6.8,6.8,6.5,6.1,6.2,7.0,8.0,7.5,7.0,7.3,7.0,7.0,8.1,6.6,7.7,7.3,0,2,0,6,6,485,19,8,0.51,3,17,7,473,15,13,0.49
