Team1,Team2,Team1H_A,Team1Formation,Team2Formation,Win(3)_Draw(1)_Lose(0),Team1Player1Name,Team1Player2Name,Team1Player3Name,Team1Player4Name,Team1Player5Name,Team1Player6Name,Team1Player7Name,Team1Player8Name,Team1Player9Name,Team1Player10Name,Team1Player11Name,Team2Player1Name,Team2Player2Name,Team2Player3Name,Team2Player4Name,Team2Player5Name,Team2Player6Name,Team2Player7Name,Team2Player8Name,Team2Player9Name,Team2Player10Name,Team2Player11Name,Team1Player1,Team1Player2,Team1Player3,Team1Player4,Team1Player5,Team1Player6,Team1Player7,Team1Player8,Team1Player9,Team1Player10,Team1Player11,Team2Player1,Team2Player2,Team2Player3,Team2Player4,Team2Player5,Team2Player6,Team2Player7,Team2Player8,Team2Player9,Team2Player10,Team2Player11,Team1_Goals,Team2_Goals,Team1_BigChances,Team1_TotalShots,Team1_Corners,Team1_Passes,Team1_Tackels,Team1_FreeKicks,Team1_BallPosses,Team2_BigChances,Team2_TotalShots,Team2_Corners,Team2_Passes,Team2_Tackels,Team2_FreeKicks,Team2_BallPosses
Çaykur Rizespor,Alanyaspor,H,4-1-4-1,3-4-2-1,1,Yahia Fofana,Taha Şahin,Samet Akaydın,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Loide Augusto,Qazim Laci,Ibrahim Olawoyin,Altin Zeqiri,Ali Sowe,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Baran Mogultay,Gaius Makouta,Maestro,Ruan,Efecan Karaca,Ui-Jo Hwang,Güven Yalçın,6.4,6.6,7.4,6.5,6.4,3.0,6.3,6.9,6.8,6.4,6.3,6.9,7.4,6.8,7.1,6.6,7.5,5.8,6.4,6.7,7.2,6.2,1,1,0,6,4,257,9,8,0.37,2,23,8,439,9,14,0.63
Çaykur Rizespor,Alanyaspor,H,4-1-4-1,3-4-2-1,1,Yahia Fofana,Taha Şahin,Samet Akaydın,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Loide Augusto,Qazim Laci,Ibrahim Olawoyin,Altin Zeqiri,Ali Sowe,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Baran Mogultay,Gaius Makouta,Maestro,Ruan,Efecan Karaca,Ui-Jo Hwang,Güven Yalçın,6.4,6.6,7.4,6.5,6.4,3.0,6.3,6.9,6.8,6.4,6.3,6.9,7.4,6.8,7.1,6.6,7.5,5.8,6.4,6.7,7.2,6.2,1,1,0,6,4,257,9,8,0.37,2,23,8,439,9,14,0.63
Çaykur Rizespor,Göztepe,A,5-3-2,3-4-1-2,0,Yahia Fofana,Taha Şahin,Husniddin Alikulov,Samet Akaydın,Modibo Sagnan,Casper Højer,Qazim Laci,Giannis Papanikolaou,Ibrahim Olawoyin,Loide Augusto,Ali Sowe,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Anthony Junior Dennis,Novatus Miroshi,Amine Cherni,Junior Olaitan,Janderson,Juan Santos da Silva,6.8,5.9,6.3,6.0,6.2,6.1,7.3,6.3,6.5,6.3,6.4,6.5,6.7,6.6,6.3,8.0,6.6,7.6,7.0,6.8,6.3,7.1,1,3,2,16,9,422,10,14,0.67,3,13,3,208,18,8,0.33
Çaykur Rizespor,Beşiktaş JK,A,4-1-4-1,4-2-3-1,0,Erdem Canpolat,Mithat Pala,Samet Akaydın,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Jesurun Rak-Sakyi,Qazim Laci,Ibrahim Olawoyin,Loide Augusto,Ali Sowe,Ersin Destanoğlu,Taylan Bulut,Gabriel Paulista,Tiago Djaló,Rıdvan Yılmaz,Kartal Kayra Yılmaz,Demir Ege Tıknaz,Václav Černý,Orkun Kökçü,Milot Rashica,Tammy Abraham,6.8,6.4,6.7,6.7,6.7,6.9,6.5,6.7,6.4,6.9,6.0,7.1,6.8,7.5,7.1,7.2,7.1,7.3,6.7,7.1,7.4,6.3,0,1,1,17,6,275,15,13,0.39,4,16,4,450,19,14,0.61
Çaykur Rizespor,Eyüpspor,H,4-2-3-1,4-2-3-1,3,Yahia Fofana,Mithat Pala,Samet Akaydın,Modibo Sagnan,Casper Højer,Qazim Laci,Giannis Papanikolaou,Jesurun Rak-Sakyi,Ibrahim Olawoyin,Loide Augusto,Ali Sowe,Marcos Felipe,Serdar Gürler,Robin Yalçın,Emir Ortakaya,Halil Akbunar,Taras Stepanenko,Kerem Demirbay,Denis Drăguş,Mateusz Łęgowski,Mame Thiam,Umut Bozok,6.6,7.0,8.6,7.1,7.9,7.7,7.2,6.7,6.6,7.7,7.9,7.0,5.8,6.9,5.8,6.3,6.5,6.6,6.4,6.2,6.1,6.1,3,0,4,14,3,337,21,15,0.45,0,7,3,424,12,20,0.55
Çaykur Rizespor,Konyaspor,A,3-2-4-1,4-1-4-1,1,Yahia Fofana,Husniddin Alikulov,Samet Akaydın,Casper Højer,Qazim Laci,Giannis Papanikolaou,Jesurun Rak-Sakyi,Ibrahim Olawoyin,Taha Şahin,Loide Augusto,Ali Sowe,Bahadır Han Güngördü,Yhoan Andzouana,Uğurcan Yazğılı,Yasir Subaşı,Guilherme Haubert Sityá,Jo Jin-ho,Enis Bardhi,Melih İbrahimoğlu,Morten Bjorlo,Pedrinho,Umut Nayir,6.7,5.8,7.4,6.6,7.1,6.8,6.4,6.9,6.3,6.8,6.9,6.5,6.4,6.5,6.8,6.7,6.5,6.4,6.7,6.6,7.2,7.9,1,1,3,11,2,465,15,7,0.52,1,11,4,427,10,11,0.48
Çaykur Rizespor,Kayserispor,H,4-2-3-1,4-2-3-1,0,Yahia Fofana,Taha Şahin,Attila Mocsi,Modibo Sagnan,Casper Højer,Taylan Antalyalı,Giannis Papanikolaou,Jesurun Rak-Sakyi,Václav Jurečka,Emrecan Bulut,Ali Sowe,Bilal Bayazit,Ramazan Civelek,Youssef Aït Bennasser,Stefano Denswil,Lionel Carole,Furkan Soyalp,László Bénes,Carlos Mané,João Mendes,Miguel Cardoso,German Onugkha,7.6,7.0,6.8,6.6,7.1,6.4,6.9,6.5,6.9,6.7,6.1,8.5,6.9,7.5,7.3,7.5,7.1,8.4,6.6,7.8,6.7,6.5,0,1,0,16,5,519,12,15,0.59,1,10,5,364,17,16,0.41
Çaykur Rizespor,Fenerbahçe,H,4-2-3-1,4-1-4-1,0,,,,,,,,,,,,,,,,,,,,,,,7.2,6.0,5.7,5.2,6.3,6.7,6.2,6.0,6.4,6.6,7.2,6.2,6.0,7.1,6.6,6.4,7.3,7.4,9.0,7.2,6.5,7.4,2,5,1,6,5,307,20,6,0.41,5,28,9,457,15,16,0.59
Çaykur Rizespor,Gaziantep FK,A,4-2-3-1,4-2-3-1,1,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Giannis Papanikolaou,Muhamed Buljubašić,Jesurun Rak-Sakyi,Qazim Laci,Emrecan Bulut,Ali Sowe,Zafer Görgen,Luis Pérez,Arda Kızıldağ,Myenty Abena,Kévin Rodrigues,Melih Kabasakal,Drissa Camara,Kacper Kozłowski,Alexandru Maxim,Christophe Lungoyi,Mohamed Bayo,7.8,6.6,6.3,6.5,6.0,6.3,6.6,6.9,6.4,5.7,7.9,6.6,5.6,6.7,6.5,7.1,6.7,7.1,6.4,7.0,6.2,7.5,2,2,1,11,2,328,15,14,0.4,7,15,3,481,13,14,0.6
Çaykur Rizespor,Fatih Karagümrük,H,4-2-3-1,4-2-3-1,3,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Giannis Papanikolaou,Muhamed Buljubašić,Jesurun Rak-Sakyi,Qazim Laci,Loide Augusto,Václav Jurečka,Ivo Grbić,Atakan Çankaya,Enzo Roco,Anıl Yiğit Çınar,Jure Balkovec,Matías Kranevitter,Marius Tresor Doh,Serginho,Berkay Özcan,Sam Larsson,David Datro Fofana,6.9,7.5,7.8,7.6,7.1,6.6,6.5,6.5,6.9,6.4,6.6,7.2,6.5,6.8,6.0,6.7,6.8,6.7,6.6,6.6,6.4,6.3,1,0,2,13,4,532,10,13,0.62,0,14,4,329,11,14,0.38
Çaykur Rizespor,Samsunspor,A,4-3-3,4-2-3-1,1,Erdem Canpolat,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Qazim Laci,Giannis Papanikolaou,Muhamed Buljubašić,Jesurun Rak-Sakyi,Václav Jurečka,Loide Augusto,Okan Koçuk,Zeki Yavru,Ľubomír Šatka,Rick Van Drongelen,Logi Tomasson,Antoine Makoumbou,Celil Yüksel,Emre Kılınç,Carlo Holse,Anthony Musaba,Marius Mouandilmadji,7.2,7.5,6.6,7.1,6.5,6.7,6.4,7.1,7.8,6.6,6.9,6.2,7.0,7.1,6.9,7.2,7.2,7.3,6.6,6.9,7.6,7.1,1,1,1,8,4,374,17,9,0.45,5,27,7,462,16,14,0.55
Çaykur Rizespor,Başakşehir FK,H,4-3-3,4-2-3-1,1,Erdem Canpolat,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Qazim Laci,Giannis Papanikolaou,Muhamed Buljubašić,Altin Zeqiri,Ali Sowe,Emrecan Bulut,Muhammed Şengezer,Festy Ebosele,Léo Duarte,Jerome Opoku,Christopher Operi,Berat Ayberk Özdemir,Umut Güneş,Deniz Türüç,Olivier Kemen,Nuno Da Costa,Eldor Shomurodov,7.0,7.7,7.0,6.6,7.3,6.1,7.2,6.7,6.1,7.1,6.8,7.0,6.5,8.1,7.3,7.5,7.9,6.7,6.7,6.6,7.3,7.4,0,0,0,14,5,364,16,11,0.47,1,15,5,424,29,16,0.53
Çaykur Rizespor,Trabzonspor,H,4-2-3-1,4-2-3-1,0,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Qazim Laci,Giannis Papanikolaou,Jesurun Rak-Sakyi,Muhamed Buljubašić,Emrecan Bulut,Václav Jurečka,André Onana,Wagner Pina,Stefan Savić,Arseniy Batagov,Mustafa Eskihellaç,Tim Jabol-Folcarelli,Okay Yokuşlu,Felipe Augusto,Christ Inao Oulaï,Kazeem Olaigbe,Paul Onuachu,6.7,7.0,6.3,6.8,6.4,6.9,7.2,7.9,6.3,6.0,6.5,7.3,7.1,7.6,6.7,6.6,7.0,6.4,7.9,7.0,6.2,7.6,1,2,3,22,7,466,19,8,0.55,1,8,0,400,16,18,0.45
Çaykur Rizespor,Antalyaspor,A,4-2-3-1,4-2-3-1,3,Yahia Fofana,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Giannis Papanikolaou,Qazim Laci,Jesurun Rak-Sakyi,Muhamed Buljubašić,Emrecan Bulut,Václav Jurečka,Julián Cuesta,Bünyamin Balcı,Lautaro Giannetti,Georgiy Dzhikiya,Kenneth Paal,Soner Dikmen,Hasan Yakub İlçin,Sander van de Streek,Ramzi Safuri,Nikola Storm,Yohan Boli,7.9,7.0,6.4,6.5,6.4,6.6,7.5,8.7,6.6,7.3,7.1,4.8,6.2,5.9,6.5,5.9,7.4,6.4,5.9,6.8,6.6,7.2,5,2,3,14,2,441,17,10,0.49,2,15,6,453,17,16,0.51
Çaykur Rizespor,Kasımpaşa,H,4-2-3-1,4-1-4-1,0,Yahia Fofana,Taha Şahin,Attila Mocsi,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Mithat Pala,Jesurun Rak-Sakyi,Qazim Laci,Loide Augusto,Ali Sowe,Andreas Gianniotis,Cláudio Winck,Nicholas Opoku,Attila Szalai,Godfried Frimpong,Andri Baldursson,Mamadou Fall,Haris Hajradinović,Cem Üstündag,Mortadha Ben Ouanes,Pape Habib Gueye,5.0,6.1,6.8,6.4,7.0,7.1,7.1,6.4,8.0,6.7,5.8,6.9,5.9,7.6,6.8,6.1,7.2,6.2,6.4,6.5,8.2,7.7,1,2,2,13,1,495,14,17,0.62,0,8,4,288,27,8,0.38
Çaykur Rizespor,Kocaelispor,A,4-2-3-1,4-2-3-1,1,Yahia Fofana,Mithat Pala,Samet Akaydın,Modibo Sagnan,Casper Højer,Giannis Papanikolaou,Ibrahim Olawoyin,Loide Augusto,Qazim Laci,Altin Zeqiri,Ali Sowe,Aleksandar Jovanović,Anfernee Dijksteel,Botond Balogh,Hrvoje Smolčić,Muharrem Cinan,Show,Habib Keita,Rigoberto Rivas,Tayfur Bingöl,Darko Churlinov,Bruno Petković,6.8,6.2,7.3,6.7,6.4,6.9,8.1,6.7,6.0,6.5,6.0,6.3,6.4,6.9,6.8,7.2,6.9,7.3,6.6,6.1,6.4,7.2,1,1,0,8,3,301,12,11,0.42,1,16,8,392,17,18,0.58
Çaykur Rizespor,Gençlerbirliği,H,5-3-2,4-2-3-1,3,Yahia Fofana,Taha Şahin,Husniddin Alikulov,Samet Akaydın,Casper Højer,Altin Zeqiri,Ibrahim Olawoyin,Giannis Papanikolaou,Qazim Laci,Ali Sowe,Halil Dervişoğlu,Erhan Erentürk,Pedro Pereira,Dimitris Goutas,Thalisson Kelven,Matěj Hanousek,Žan Žužek,Oğulcan Ülgün,Göktan Gürpüz,Sekou Koita,Franco Tongya,M'Baye Niang,7.5,7.0,7.4,7.3,7.1,7.1,6.2,6.5,6.9,6.4,6.8,6.9,6.7,6.7,6.7,6.6,7.2,7.2,6.6,6.9,6.3,7.0,1,0,1,15,4,355,14,14,0.49,1,15,7,377,18,21,0.51
Çaykur Rizespor,Galatasaray,A,5-3-2,4-2-3-1,0,Erdem Canpolat,Taha Şahin,Husniddin Alikulov,Samet Akaydın,Casper Højer,Mithat Pala,Ibrahim Olawoyin,Giannis Papanikolaou,Qazim Laci,Halil Dervişoğlu,Ali Sowe,Günay Güvenç,Roland Sallai,Davinson Sánchez,Abdülkerim Bardakcı,Eren Elmalı,Lucas Torreira,Mario Lemina,Leroy Sané,Gabriel Sara,Yunus Akgün,Victor Osimhen,6.7,6.1,6.3,6.3,6.1,6.2,6.4,6.3,6.6,6.1,6.6,6.8,7.7,8.1,7.8,6.6,6.8,7.1,6.7,7.1,7.1,7.0,1,3,2,9,2,292,20,11,0.35,4,16,5,523,24,9,0.65
Çaykur Rizespor,Alanyaspor,A,3-5-1-1,3-4-2-1,1,Erdem Canpolat,Husniddin Alikulov,Samet Akaydın,Casper Højer,Taha Şahin,Ibrahim Olawoyin,Giannis Papanikolaou,Qazim Laci,Mithat Pala,Halil Dervişoğlu,Ali Sowe,Ertuğrul Taşkıran,Nuno Lima,Fidan Aliti,Ümit Akdağ,Florent Hadergjonaj,Gaius Makouta,Nicolas Janvier,Yusuf Özdemir,Güven Yalçın,Ui-Jo Hwang,Andraž Šporar,6.8,7.4,7.7,7.6,6.6,8.1,7.1,6.8,6.8,6.8,6.1,7.0,7.0,7.1,7.4,6.9,7.0,6.7,6.4,5.9,6.1,6.1,0,0,3,7,1,504,14,22,0.57,0,9,3,372,13,14,0.43
Çaykur Rizespor,Göztepe,H,4-2-3-1,3-4-1-2,0,Erdem Canpolat,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Mithat Pala,Giannis Papanikolaou,Ibrahim Olawoyin,Qazim Laci,Valentin Mihăilă,Ali Sowe,Mateusz Lis,Taha Altıkardeş,Héliton,Malcom Bokele,Arda Kurtulan,Novatus Miroshi,Rhaldney,Amine Cherni,Junior Olaitan,Juan Santos da Silva,Janderson,5.9,6.7,7.1,7.2,6.4,6.9,6.9,6.9,6.7,6.5,6.1,7.2,7.0,7.5,8.3,7.2,6.6,7.4,6.8,6.9,6.4,7.3,0,3,3,13,3,370,18,14,0.56,3,17,5,289,19,9,0.44
Çaykur Rizespor,Hatayspor,H,4-3-3,4-5-1,3,Ivo Grbić,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Ibrahim Olawoyin,Mithat Pala,Dal Varešanović,Rachid Ghezzal,Ali Sowe,Babajide David Akintola,Demir Sarıcalı,Kerim Alıcı,Recep Burak Yılmaz,Yigit Ali Buz,Cengiz Demir,Bilal Boutobba,Görkem Sağlam,Abdulkadir Parmak,Selimcan Temel,Joelson Fernandes,Jonathan Okoronkwo,7.3,7.8,6.3,7.1,7.3,7.5,8.0,6.8,6.7,8.8,7.6,7.8,6.8,6.6,7.2,5.8,6.8,7.5,6.5,6.8,7.0,6.8,5,2,12,21,7,338,10,8,0.5,1,13,8,353,23,9,0.5
Çaykur Rizespor,Beşiktaş JK,A,4-1-4-1,4-2-3-1,3,Ivo Grbić,Taha Şahin,Attila Mocsi,Samet Akaydın,Casper Højer,Mithat Pala,Rachid Ghezzal,Ibrahim Olawoyin,Dal Varešanović,Altin Zeqiri,Ali Sowe,Mert Günok,Jonas Svensson,Gabriel Paulista,Felix Uduokhai,Arthur Masuaku,Gedson Fernandes,Amir Hadžiahmetović,Keny Arroyo,Rafa Silva,Ernest Muçi,Ciro Immobile,7.0,7.2,7.0,8.2,7.5,6.7,6.7,7.3,6.3,7.0,7.0,6.8,7.2,7.3,7.0,7.8,7.5,7.4,6.5,7.2,6.9,6.7,2,1,1,10,7,341,17,9,0.42,0,25,6,482,13,15,0.58
